"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"CD4_c4_Tstr","0.00000000000000000000000000000000000000000000000000000000000000000000000000000002585271027478936","0.7408266090505831736","0.000000000000000000000000000000000000000000000000000000000000000000000000000007290464297490599","79.587493920822083737","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr","0.00000000000000000000000000000000000000000000000000000000000022895274103415930742881070309459149","0.6732127251371397003","0.000000000000000000000000000000000000000000000000000000000032282336485816463452891884188426313","60.640254152708969571","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c0_t_Teff","0.00000000000000000000000000000000000000000000001764734711545585192719069073957052267927671775106","0.6087578315493918923","0.000000000000000000000000000000000000000000001658850628852850047123810128716510420907911174490","46.753320571846302300","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c0_Tcm","0.00000000000000000000000000000001832069111937791544539304168324033854020473684926454384822335463","0.5170136031369512164","0.000000000000000000000000000001291608723916143007425732212622747938133476510697299736371988041","31.737058147280027498","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_exhaustion_Peng_et_al","0.00000000000000000000000012434443065399665069855599851419141415091682956830703945805530415450683","0.4636584259700420318","0.000000000000000000000007013025888885410869809817921222366857967854261432658076476202597265841","24.905373661864921075","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"GPAGs","0.00000000000000000025053492943389490767571493565794526365954657938903322750984203892699042626191","0.4043701255850571941","0.000000000000000011775141683393060131127867269433567801604755020429549094984622570336796343327","18.601131716491845935","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_11_CCL4","0.00000000000000135909220624415272567224999414215141034602870716979650111966293479781597852706909","0.3627038623328908140","0.000000000000054752000308693010312778367406091403152908377027774378120739129371941089630126953","14.866751077995536079","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c11_Teff_SEMA4A","0.00000000000003545509011888142837005403216322763664583020068454821682735200738534331321716308594","0.3451738037061477526","0.000000000001249791926690570339000351960659608916001314660171317427739268168807029724121093750","13.450321406408942693","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_06_PTGS2","0.00000000000045281877394434298712611476398707230811872467834966471400548471137881278991699218750","0.3306745769880478636","0.000000000014188321583589412351269846896024295511071211528530966461403295397758483886718750000","12.344075575522504451","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Release_of_cancer_cell_antigens","0.00000000000145078838776847422985579319515108944133388590991273758845636621117591857910156250000","0.3237829409171862349","0.000000000040912232535070975139858572079787726351318699613557328120805323123931884765625000000","11.838395929207027990","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mono_like_01_CD14","0.00000000000226912961808497993480697465663295303225921450973601167788729071617126464843750000000","0.3210883019137134586","0.000000000058172232027269489126332551508515001335852812047733095823787152767181396484375000000","11.644140695471937974","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mast","0.00000000000255388627395609645765509416138121467866259339807299966196296736598014831542968750000","0.3203715829730204856","0.000000000060016327437968271399707722733776055212828737239760812371969223022460937500000000000","11.592798446028357517","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_10_SPP1","0.00000000000442588353968777654082516782801335350830407300293245498323813080787658691406250000000","0.3170127113785820017","0.000000000096007627553227163094001274960066815225556702273479459108784794807434082031250000000","11.354000018049157816","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_05_ELL2","0.00000000000749241831106204135201243184618113252724869166598864467232488095760345458984375000000","0.3137570289668596968","0.000000000150918711694249682935793105662848883480320338890123821329325437545776367187500000000","11.125377983417138239","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Th1_cells_Bindea_et_al","0.00000000022225537066075054805059767509183097505820470018988999072462320327758789062500000000000","0.2917695798289353104","0.000000004178400968422110324030751605552114202879465665319003164768218994140625000000000000000","9.653147735778910388","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_07_APOA2","0.00000000052639337815063016072161675498741750800490990513935685157775878906250000000000000000000","0.2858656298489361536","0.000000009277683289904856582718495306653233578586537078081164509057998657226562500000000000000","9.278689582636369337","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c6_Tcm","0.00000000120548777877573027614582829210049946810912047112651634961366653442382812500000000000000","0.2800591363192800332","0.000000019996914918515056288133980417175139532304228850989602506160736083984375000000000000000","8.918837188137764826","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Interleukins_Li_et_al","0.00000000152784678259834778409517217710169786903939836975041544064879417419433593750000000000000","0.2783734582134767543","0.000000023936266260707449100013054763859410289938978166901506483554840087890625000000000000000","8.815920196027642319","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_08_CD74","0.00000000327665363024628650390643146280908459822001077554887160658836364746093750000000000000000","0.2728672324661195470","0.000000048632438091023837015234448921674470511788967996835708618164062500000000000000000000000","8.484569464758340729","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_09_IFIT1","0.00000000655813582013458626716588352792945693092718784100725315511226654052734375000000000000000","0.2677503229439236465","0.000000092469715063897669427607224190007739750285509217064827680587768554687500000000000000000","8.183219593259185132","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mph_02_CCL20","0.00000000756652782952292562853189509912421595316800448927097022533416748046875000000000000000000","0.2666821238117320081","0.000000099836834692041683235779663072723133510066872986499220132827758789062500000000000000000","8.121103366261154477","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c1_Treg","0.00000000778868923129403224841446504124117811151961632276652380824089050292968750000000000000000","0.2664654265280279599","0.000000099836834692041683235779663072723133510066872986499220132827758789062500000000000000000","8.108535624164931122","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Cancer_antigen_presentation_1","0.00000001777193631184076932326861540407253459150638263963628560304641723632812500000000000000000","0.2602047732003678893","0.000000217899393040830304151472341170348023808855941751971840858459472656250000000000000000000","7.750265251781924825","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Cyclooxygenase_Arachidonic_Acid_Metabolism","0.00000002058100935797193293601881926551538937175678256608080118894577026367187500000000000000000","0.2590737688001772954","0.000000241826859956170207862318063604667450761098734801635146141052246093750000000000000000000","7.686533329872514031","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_regulatory_Peng_et_al","0.00000004440767650351066117815157594655994799381915072444826364517211914062500000000000000000000","0.2530569476894540815","0.000000500918590959600272912626353627452147065923782065510749816894531250000000000000000000000","7.352541949368592178","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c12_Trm","0.00000006219289543668799086601438590865553734943205199670046567916870117187500000000000000000000","0.2503725002102001884","0.000000674553712044077457718157294491723163787355588283389806747436523437500000000000000000000","7.206259223811906089","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CMLS_Review_Exosome","0.00000010288285098907806369314084978666690162185659573879092931747436523437500000000000000000000","0.2463023876193363992","0.000001074554221441481945633245227711416447391457040794193744659423828125000000000000000000000","6.987657009508607686","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mph_05_IL1B","0.00000012558698110018629807471451844541610043393120577093213796615600585937500000000000000000000","0.2446699602275767549","0.000001264840309651876289643180478750039696933527011424303054809570312500000000000000000000000","6.901055379145005553","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_T_cells_Bindea_et_al","0.00000030758073297544913790593714038312800340690955636091530323028564453125000000000000000000000","0.2371898910271272587","0.000002990957472381953550756789397824242371370928594842553138732910156250000000000000000000000","6.512040872461354546","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c8_Tf17","0.00000046873788912730912404491128223082974102453590603545308113098144531250000000000000000000000","0.2335842571525391098","0.000004406136157796706295417758086907511483332200441509485244750976562500000000000000000000000","6.329069940070897182","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neutrophils_Rooney_et_al","0.00000099351097470625468836542912992593201693125593010336160659790039062500000000000000000000000","0.2270066474216717589","0.000009037744995714963301713419652205772081288159824907779693603515625000000000000000000000000","6.002827331142951195","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Other_Types_of_O_Glycan_Biosynthesis","0.00000126846481887185320775498619666477040368590678554028272628784179687500000000000000000000000","-0.2248242599042506451","0.000011178346216308206618333942472531816747505217790603637695312500000000000000000000000000000","5.896721573520454562","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Ferroptosis","0.00000277510503916100579870030948259618241991120157763361930847167968750000000000000000000000000","0.2176791096684442539","0.000023714533971012229676645841069948517088050721213221549987792968750000000000000000000000000","5.556720573959442966","****","IOBR::batch_cor","<0.001","<0.001","***","***"
