"Feature","AUC","Direction"
"Endothelial_cells_MCPcounter","0.7047363418439629",">"
"Fibroblasts_MCPcounter","0.6768431561265179",">"
"NK_cells_MCPcounter","0.6749481411517149","<"
"Myeloid_dendritic_cells_MCPcounter","0.6609895923625511",">"
"B_lineage_MCPcounter","0.6166809141504409","<"
"T_cells_MCPcounter","0.6071759494503250",">"
"Monocytic_lineage_MCPcounter","0.6063808800760402",">"
"CD8_T_cells_MCPcounter","0.5998559310381940","<"
"Cytotoxic_lymphocytes_MCPcounter","0.5679306077797234",">"
"Neutrophils_MCPcounter","0.5267484053777782",">"
