"Feature","AUC","Direction"
"T_cells_follicular_helper_CIBERSORT","0.6158513022644715",">"
"T_cells_CD4_memory_resting_CIBERSORT","0.5911874951696420",">"
"NK_cells_resting_CIBERSORT","0.5628139732591394",">"
"B_cells_naive_CIBERSORT","0.5462748280392612",">"
"T_cells_CD8_CIBERSORT","0.5339091119870161",">"
"Plasma_cells_CIBERSORT","0.5281320040188573",">"
"T_cells_CD4_memory_activated_CIBERSORT","0.5261032537290363",">"
"T_cells_regulatory_(Tregs)_CIBERSORT","0.5213308601901226",">"
"NK_cells_activated_CIBERSORT","0.5154668057809723","<"
"T_cells_gamma_delta_CIBERSORT","0.4846781049540150","<"
"B_cells_memory_CIBERSORT","0.4799153721307675","<"
"Monocytes_CIBERSORT","0.4589612798516113","<"
