"ID","P","HR","CI_low_0.95","CI_up_0.95"
"T_cells_follicular_helper_CIBERSORT","0.2302136920067906","23.90899999999999892","0.1338","4270.994899999999689"
"NK_cells_activated_CIBERSORT","0.2329337995392345","207977056.61759999394416809","0.0000","9670698501369856262144.000000000000000"
"T_cells_CD4_memory_resting_CIBERSORT","0.4033832438057977","0.32510000000000000","0.0233","4.534600000000000"
"T_cells_gamma_delta_CIBERSORT","0.4124776416776245","111824.06609999999636784","0.0000","132525049221742800.000000000000000"
"T_cells_CD4_memory_activated_CIBERSORT","0.4453674673906960","0.06419999999999999","0.0001","74.065299999999993"
"Monocytes_CIBERSORT","0.4781233567735660","150.52180000000001314","0.0001","156537124.586600005626678"
"T_cells_CD8_CIBERSORT","0.5143309626079879","2.31059999999999999","0.1864","28.634899999999998"
"B_cells_naive_CIBERSORT","0.6378957966843217","0.24279999999999999","0.0007","88.120900000000006"
"Plasma_cells_CIBERSORT","0.6966070357575946","0.58989999999999998","0.0416","8.373100000000001"
"T_cells_regulatory_(Tregs)_CIBERSORT","0.7966689405065206","0.47370000000000001","0.0016","139.358000000000004"
"NK_cells_resting_CIBERSORT","0.9101960484715448","1.46229999999999993","0.0020","1078.788000000000011"
"B_cells_memory_CIBERSORT","0.9180432908151377","0.00070000000000000","0.0000","1212886329721269728675556634393375320435504896576088702976.000000000000000"
