"ID","P","HR","CI_low_0.95","CI_up_0.95"
"T_cells_follicular_helper_CIBERSORT","0.001530516484743891","96496.68240000001","79.7129","116814352.8962"
"B_cells_naive_CIBERSORT","0.001760129311962408","1585.93100000000","15.6680","160529.2976"
"T_cells_regulatory_(Tregs)_CIBERSORT","0.032505092120236813","0.00050000000","0.0000","0.5292"
"B_cells_memory_CIBERSORT","0.130455943623494275","125300.24420000000","0.0310","506929969823.2387"
"NK_cells_resting_CIBERSORT","0.322521714983363073","93.64440000000","0.0116","753964.6462"
"T_cells_CD4_naive_CIBERSORT","0.396404872381805884","727339508560811266146304.00000000000","0.0000","10209090798585052967614257601464942360519850389899062332025357629861588629454848.0000"
"T_cells_CD4_memory_activated_CIBERSORT","0.532613870738268491","0.51080000000","0.0619","4.2132"
"T_cells_gamma_delta_CIBERSORT","0.647191152181582185","34.10470000000","0.0000","125054790.5275"
"NK_cells_activated_CIBERSORT","0.734823001592025626","68567.58550000000","0.0000","660716222772777924275510819422208.0000"
"Plasma_cells_CIBERSORT","0.866606189418705375","1.26790000000","0.0794","20.2365"
"T_cells_CD4_memory_resting_CIBERSORT","0.916833103207793210","1.20920000000","0.0342","42.7313"
"T_cells_CD8_CIBERSORT","0.957961364344807831","0.81450000000","0.0004","1677.7399"
