"Input_Type","TF_Analysis_Name","Intersection_Name","ATF3_Found_In_Top_Candidates","Consensus_Rank","Required_Methods","Number_Of_Methods","Source_Method_Count","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Integrated_TopRank","Result_File"
"DEG","ALL","ACTIVITY_METHODS_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","ALL","ALL_6_METHODS",TRUE,4,"DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI",6,6,39.5,1,1,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv"
"DEG","ALL","API_METHODS_CHEA3_ENRICHR",TRUE,3,"ChEA3;ENRICHR",2,6,12.5,1,1,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv"
"DEG","ALL","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI",TRUE,1,"ChEA3;ENRICHR;CollecTRI",3,6,10,1,1,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","ALL","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST",TRUE,3,"ChEA3;ENRICHR;TRRUST",3,6,11.6666666666667,1,1,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","ALL","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI",TRUE,3,"DoRothEA;TRRUST;CollecTRI",3,6,18,5,1,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","ALL","DOROTHEA_CHEA3_VIPER",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv"
"DEG","ALL","ENRICHR_TRRUST_COLLECTRI",TRUE,3,"ENRICHR;TRRUST;CollecTRI",3,6,13,5,1,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","ALL","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST",TRUE,4,"DoRothEA;ChEA3;ENRICHR;TRRUST",4,6,18.5,1,1,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","ALL","ORA_METHODS_DOROTHEA_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","ALL","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","ALL","WITHOUT_CHEA3",TRUE,6,"DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI",5,6,47.2,5,1,"results/ngs/GSE114012/TF_summary/deg/ALL/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","ACTIVITY_METHODS_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","ALL_6_METHODS",TRUE,1,"DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI",6,6,28.3333333333333,1,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","API_METHODS_CHEA3_ENRICHR",TRUE,1,"ChEA3;ENRICHR",2,6,6.5,1,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI",TRUE,1,"ChEA3;ENRICHR;CollecTRI",3,6,6,1,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST",TRUE,4,"ChEA3;ENRICHR;TRRUST",3,6,18,1,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI",TRUE,5,"DoRothEA;TRRUST;CollecTRI",3,6,22.6666666666667,5,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","DOROTHEA_CHEA3_VIPER",TRUE,8,"DoRothEA;ChEA3;VIPER",3,6,37.3333333333333,1,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","ENRICHR_TRRUST_COLLECTRI",TRUE,1,"ENRICHR;TRRUST;CollecTRI",3,6,19.3333333333333,5,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST",TRUE,3,"DoRothEA;ChEA3;ENRICHR;TRRUST",4,6,19,1,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","ORA_METHODS_DOROTHEA_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI",TRUE,9,"DoRothEA;VIPER;CollecTRI",3,6,38.6666666666667,5,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15_SW48","WITHOUT_CHEA3",TRUE,5,"DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI",5,6,33.8,5,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15","ACTIVITY_METHODS_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","DLD1_HCT15","ALL_6_METHODS",TRUE,1,"DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI",6,6,15.6666666666667,1,1,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv"
