"Input_Type","TF_Analysis_Name","Intersections_Checked","ATF3_Intersection_TopN_Count","ATF3_Intersection_Rank1_Count","ATF3_Best_Consensus_Rank","ATF3_Max_Required_Methods","ATF3_TopN_Intersections","ATF3_Rank1_Intersections"
"DEG","ALL",12,8,1,1,6,"BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=1,methods=ChEA3;ENRICHR;CollecTRI);API_METHODS_CHEA3_ENRICHR(rank=3,methods=ChEA3;ENRICHR);CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST(rank=3,methods=ChEA3;ENRICHR;TRRUST);CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI(rank=3,methods=DoRothEA;TRRUST;CollecTRI);ENRICHR_TRRUST_COLLECTRI(rank=3,methods=ENRICHR;TRRUST;CollecTRI);ALL_6_METHODS(rank=4,methods=DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI);LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST(rank=4,methods=DoRothEA;ChEA3;ENRICHR;TRRUST);WITHOUT_CHEA3(rank=6,methods=DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI)","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI"
"DEG","DLD1",12,1,0,10,6,"ALL_6_METHODS(rank=10,methods=DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI)",""
"DEG","DLD1_HCT15",12,11,4,1,6,"ALL_6_METHODS(rank=1,methods=DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI);API_METHODS_CHEA3_ENRICHR(rank=1,methods=ChEA3;ENRICHR);BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=1,methods=ChEA3;ENRICHR;CollecTRI);CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST(rank=1,methods=ChEA3;ENRICHR;TRRUST);CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI(rank=2,methods=DoRothEA;TRRUST;CollecTRI);ENRICHR_TRRUST_COLLECTRI(rank=2,methods=ENRICHR;TRRUST;CollecTRI);LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST(rank=2,methods=DoRothEA;ChEA3;ENRICHR;TRRUST);WITHOUT_CHEA3(rank=4,methods=DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI);DOROTHEA_CHEA3_VIPER(rank=5,methods=DoRothEA;ChEA3;VIPER);SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI(rank=7,methods=DoRothEA;VIPER;CollecTRI);ORA_METHODS_DOROTHEA_TRRUST(rank=8,methods=DoRothEA;TRRUST)","ALL_6_METHODS;API_METHODS_CHEA3_ENRICHR;BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI;CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST"
"DEG","DLD1_HCT15_SW48",12,10,4,1,6,"ALL_6_METHODS(rank=1,methods=DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI);API_METHODS_CHEA3_ENRICHR(rank=1,methods=ChEA3;ENRICHR);BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=1,methods=ChEA3;ENRICHR;CollecTRI);ENRICHR_TRRUST_COLLECTRI(rank=1,methods=ENRICHR;TRRUST;CollecTRI);LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST(rank=3,methods=DoRothEA;ChEA3;ENRICHR;TRRUST);CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST(rank=4,methods=ChEA3;ENRICHR;TRRUST);CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI(rank=5,methods=DoRothEA;TRRUST;CollecTRI);WITHOUT_CHEA3(rank=5,methods=DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI);DOROTHEA_CHEA3_VIPER(rank=8,methods=DoRothEA;ChEA3;VIPER);SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI(rank=9,methods=DoRothEA;VIPER;CollecTRI)","ALL_6_METHODS;API_METHODS_CHEA3_ENRICHR;BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI;ENRICHR_TRRUST_COLLECTRI"
"DEG","HCT15",12,6,2,1,6,"API_METHODS_CHEA3_ENRICHR(rank=1,methods=ChEA3;ENRICHR);BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=1,methods=ChEA3;ENRICHR;CollecTRI);LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST(rank=6,methods=DoRothEA;ChEA3;ENRICHR;TRRUST);CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST(rank=7,methods=ChEA3;ENRICHR;TRRUST);ALL_6_METHODS(rank=8,methods=DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI);ENRICHR_TRRUST_COLLECTRI(rank=9,methods=ENRICHR;TRRUST;CollecTRI)","API_METHODS_CHEA3_ENRICHR;BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI"
"DEG","HT55",12,4,0,6,4,"LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST(rank=6,methods=DoRothEA;ChEA3;ENRICHR;TRRUST);CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST(rank=9,methods=ChEA3;ENRICHR;TRRUST);API_METHODS_CHEA3_ENRICHR(rank=10,methods=ChEA3;ENRICHR);BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=10,methods=ChEA3;ENRICHR;CollecTRI)",""
"DEG","RKO",12,0,0,NA,NA,"",""
"DEG","SW48",12,1,0,7,3,"BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=7,methods=ChEA3;ENRICHR;CollecTRI)",""
"DEG","SW948",12,4,0,2,6,"BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=2,methods=ChEA3;ENRICHR;CollecTRI);API_METHODS_CHEA3_ENRICHR(rank=3,methods=ChEA3;ENRICHR);ALL_6_METHODS(rank=8,methods=DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI);LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST(rank=10,methods=DoRothEA;ChEA3;ENRICHR;TRRUST)",""
"INTERSECT","DLD1_HCT15",12,8,2,1,6,"API_METHODS_CHEA3_ENRICHR(rank=1,methods=ChEA3;ENRICHR);BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=1,methods=ChEA3;ENRICHR;CollecTRI);CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST(rank=3,methods=ChEA3;ENRICHR;TRRUST);ENRICHR_TRRUST_COLLECTRI(rank=3,methods=ENRICHR;TRRUST;CollecTRI);LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST(rank=3,methods=DoRothEA;ChEA3;ENRICHR;TRRUST);CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI(rank=4,methods=DoRothEA;TRRUST;CollecTRI);ALL_6_METHODS(rank=5,methods=DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI);WITHOUT_CHEA3(rank=9,methods=DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI)","API_METHODS_CHEA3_ENRICHR;BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI"
"INTERSECT","DLD1_HCT15_SW48",12,5,0,3,6,"ENRICHR_TRRUST_COLLECTRI(rank=3,methods=ENRICHR;TRRUST;CollecTRI);CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI(rank=4,methods=DoRothEA;TRRUST;CollecTRI);BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=6,methods=ChEA3;ENRICHR;CollecTRI);ALL_6_METHODS(rank=7,methods=DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI);WITHOUT_CHEA3(rank=10,methods=DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI)",""
"INTERSECT","HT55_SW948",12,8,2,1,6,"BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=1,methods=ChEA3;ENRICHR;CollecTRI);CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI(rank=1,methods=DoRothEA;TRRUST;CollecTRI);CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST(rank=2,methods=ChEA3;ENRICHR;TRRUST);LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST(rank=2,methods=DoRothEA;ChEA3;ENRICHR;TRRUST);ALL_6_METHODS(rank=3,methods=DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI);ENRICHR_TRRUST_COLLECTRI(rank=3,methods=ENRICHR;TRRUST;CollecTRI);API_METHODS_CHEA3_ENRICHR(rank=4,methods=ChEA3;ENRICHR);ORA_METHODS_DOROTHEA_TRRUST(rank=6,methods=DoRothEA;TRRUST)","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI;CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI"
"INTERSECT","SW948_RKO",12,1,0,3,3,"BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI(rank=3,methods=ChEA3;ENRICHR;CollecTRI)",""
