"Input_Type","TF_Analysis_Name","Method","ATF3_Found","Rank","Score","P_Value","Adj_P_Value","Direction","ATF3_Rank1","ATF3_TopN","ATF3_P_Significant","ATF3_AdjP_Significant","ATF3_Method_Supported","Result_File"
"DEG","ALL","chea3",TRUE,1,0.0006143,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/ALL/method_final/chea3/chea3_deg_Integrated--topRank.csv"
"DEG","ALL","collectri",TRUE,5,4.56464712567534,5.00335212032765e-06,NA,"Activated",FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/ALL/method_final/collectri/collectri_deg_final_result.csv"
"DEG","ALL","dorothea",TRUE,39,0.822813379247086,0.150378802026842,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/ALL/method_final/dorothea/dorothea_deg_final_result.csv"
"DEG","ALL","enrichr",TRUE,24,303.358237907718,5.7567097600608e-05,0.00482124442405092,NA,FALSE,FALSE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/deg/ALL/method_final/enrichr/enrichr_deg_Integrated--topRank.csv"
"DEG","ALL","trrust",TRUE,10,2.9165278451318,0.00121191498340289,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/ALL/method_final/trrust/trrust_deg_final_result.csv"
"DEG","ALL","viper",TRUE,158,1.44086589231048,NA,NA,"Repressed",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/ALL/method_final/viper/viper_deg_final_result.csv"
"DEG","DLD1_HCT15_SW48","chea3",TRUE,1,0.0006143,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/method_final/chea3/chea3_deg_Integrated--topRank.csv"
"DEG","DLD1_HCT15_SW48","collectri",TRUE,5,4.34431882012301,1.39708492304911e-05,NA,"Activated",FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/method_final/collectri/collectri_deg_final_result.csv"
"DEG","DLD1_HCT15_SW48","dorothea",TRUE,22,1.56995834373307,0.0269179298051944,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/method_final/dorothea/dorothea_deg_final_result.csv"
"DEG","DLD1_HCT15_SW48","enrichr",TRUE,12,90.5007775576607,5.8292072206723e-07,0.000135626221334309,NA,FALSE,FALSE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48/method_final/enrichr/enrichr_deg_Integrated--topRank.csv"
