"Query Name","Rank","TF","Score","Library","Overlapping_Genes"
"DEG_DLD1","1","CENPA","3.000","ARCHS4 Coexpression,2;GTEx Coexpression,4","ERCC6L,POP1,DSCC1,CSE1L,BUB1B,MKI67,SMC4,CEP128,CDC20,PTTG1,PCLAF,ZNF724,NUSAP1,SKP2,GTSE1,TMPO,WDHD1,GAS2L3,VRK1,ESCO2,HASPIN,PIMREG,CDC25C,WDR76,CDC25A,SGO1,DEPDC1B,MELK,DNA2,KIF20A,KIF20B,PRR11,SNRPA,ASF1B,PARPBP,TROAP,CDCA7,NCAPG,HMMR,SKA3,IQGAP3,RAD51AP1,CCNB2,BRIP1,CCNB1,ORC1,CLSPN,ECT2,PLK4,DDIAS,XRCC2,CDC6,PAICS,DHFR,FAM111B,KIF18A,DIAPH3,KIF18B,KIF4A,ARHGAP11A,MCM7,NCAPG2,KIF14,HMGB2,MCM10,BRCA1,KIF11,FOXM1,BRCA2,LMNB1,TUBA1B,NUF2,PBK,MYBL2,TK1,ZNF367,CEP55,DLGAP5,HELLS,RMI2,HAUS1,CCNA2,ASPM,DEPDC1,BIRC5,MCM4,MCM5,MCM6,DTL,MCM2,PCNA,UHRF1,PRIM1,SRSF1,TTK,TYMS,AURKB,RAD54L,IGF2BP3,BUB1,E2F7,GINS1,GINS2,RRM1,CENPW,RRM2,GINS4,MND1,SHCBP1,CENPF,CENPH,CENPI,POLE2,CENPK,CENPM,NCAPD2,RPL22L1,TRIP13,SPC24,MAD2L1,SPC25,CDKN3"
"DEG_DLD1","2","FOXM1","3.833","Literature ChIP-seq,2;ARCHS4 Coexpression,7;ENCODE ChIP-seq,2;Enrichr Queries,8;ReMap ChIP-seq,1;GTEx Coexpression,3","ERCC6L,PRSS1,POP1,UPK2,CSE1L,DSCC1,BUB1B,MKI67,SMC4,CEP128,CDC20,PTTG1,MYB,STMN1,PCLAF,ZNF724,NUSAP1,SKP2,GTSE1,TMPO,PHLDA3,TSPYL2,WDHD1,GAS2L3,KRT7,VRK1,ESCO2,KNL1,CDC25C,HASPIN,PIMREG,WDR76,CDC25A,SGO1,DEPDC1B,MELK,SLPI,KIF20A,DNA2,KIF20B,PRR11,SNRPA,ASF1B,BLM,PARPBP,TROAP,CDCA7,NCAPG,HMMR,LTBP3,SKA3,IQGAP3,RAD51AP1,CCNB2,BRIP1,CCNB1,FAM83E,ORC1,BMF,CLSPN,ECT2,PLK4,NFE2,GADD45B,DDIAS,XRCC2,CDC7,CDC6,GCSAM,PAICS,DHFR,FAM111B,KIF18A,DIAPH3,KIF18B,NR4A3,MAFB,DLG4,KIF4A,BHLHE40,NMU,ARHGAP11A,MCM7,PSCA,CITED2,NCAPG2,KIF14,HMGB2,MCM10,BRCA1,KIF11,BRCA2,FOXM1,HAPLN3,LMNB1,HERPUD1,RND1,CHAF1B,TUBA1B,NUF2,PBK,MYBL2,TK1,UPP1,ZNF367,LBR,CEP55,DLGAP5,HELLS,DUSP5,RMI2,CTPS1,CIT,CCNA2,ASPM,ELF3,PXDN,DEPDC1,BIRC5,MCM4,MCM5,MCM6,DTL,MCM2,DDR2,PCNA,PLPPR2,UHRF1,PRIM1,SRSF1,TTK,SLC3A2,TYMS,THBS1,AURKB,NT5DC2,RAD54L,IGF2BP3,BUB1,HES2,E2F7,TRDMT1,BEND6,GINS1,GINS2,RRM1,CENPW,RRM2,LAMB3,GDF15,GINS3,GINS4,MND1,SHCBP1,CENPF,CENPH,CENPI,POLE2,CENPK,CENPM,FAS,NCAPD2,TRIP13,VIM,SPC24,CDKN3,MAD2L1,SPC25"
"DEG_DLD1","3","E2F7","4.200","Literature ChIP-seq,5;ARCHS4 Coexpression,3;Enrichr Queries,4;ReMap ChIP-seq,2;GTEx Coexpression,7","ERCC6L,COL16A1,POP1,UPK2,DSCC1,CSE1L,RTKN2,BUB1B,MKI67,SMC4,CDC20,PTTG1,EVA1B,MYB,STMN1,PCLAF,ZNF724,NUSAP1,SKP2,GTSE1,TMPO,PHLDA3,WDHD1,GAS2L3,ARRDC3,VRK1,ESCO2,KNL1,HASPIN,PIMREG,CDC25C,WDR76,CDC25A,SGO1,DEPDC1B,MELK,CCDC80,MSH2,DDIT3,DNA2,KIF20A,KIF20B,PRR11,PHLDB2,ATF3,ASF1B,TRABD2A,BLM,PARPBP,TROAP,CDCA7,NCAPG,HMMR,LTBP3,SKA3,IQGAP3,RAD51AP1,CCNB2,BRIP1,CCNB1,ORC1,BMF,CLSPN,SRGAP3,ECT2,PLK4,NFE2,IFITM10,DDIAS,XRCC2,CDC7,CDC6,PAICS,FAM111B,DHFR,KIF18A,DIAPH3,KIF18B,BFSP1,DLG4,KIF4A,BHLHE40,CASS4,ARHGAP11A,MCM7,CITED2,NCAPG2,KIF14,HMGB2,MCM10,ADM,BRCA1,KIF11,FOXM1,BRCA2,SYNE4,LMNB1,MRC2,SPRED3,CHAF1B,TUBA1B,ADAMTSL4,PIP5KL1,NUF2,PBK,BDKRB1,MYBL2,TK1,UPP1,ZNF367,CEP55,DLGAP5,HELLS,DUSP5,RMI2,METRN,SH2D3C,PPP2R5B,CTPS1,CIT,CCNA2,ASPM,IQCN,MMP14,PXDN,DEPDC1,BIRC5,MCM4,MCM5,MCM6,ANGPTL4,DTL,DBN1,MCM2,DDR2,PCNA,SELPLG,PLPPR2,LRP1,UHRF1,PRIM1,SRSF1,TTK,TYMS,THBS1,AURKB,DNAJB2,NT5DC2,PHKG2,RAD54L,ZNF503,IGF2BP3,ZNF467,BUB1,TRDMT1,GINS1,GINS2,RRM1,CENPW,RRM2,GDF15,GINS4,DKKL1,MND1,FBXL16,PRSS33,SHCBP1,DHRS3,CENPF,CENPH,CENPI,AXL,POLE2,CENPK,CENPM,NCAPD2,RPL22L1,VIM,TRIP13,CD68,SPC24,MAD2L1,SPC25,CDKN3"
"DEG_DLD1","4","ZNF367","5.000","ARCHS4 Coexpression,12;Enrichr Queries,1;GTEx Coexpression,2","ERCC6L,POP1,CSE1L,DSCC1,BUB1B,MKI67,SMC4,ACRBP,CDC20,PTTG1,MYB,STMN1,PCLAF,ZNF724,NUSAP1,CHAC2,SKP2,GTSE1,TMPO,WDHD1,GAS2L3,VRK1,ESCO2,KNL1,CDC25C,HASPIN,PIMREG,WDR76,CDC25A,SGO1,DEPDC1B,MELK,MSH2,DNA2,KIF20A,KIF20B,PRR11,ATF3,ASF1B,FKBP5,BLM,PARPBP,TROAP,CDCA7,NCAPG,HMMR,SKA3,IQGAP3,RAD51AP1,CCNB2,BRIP1,CCNB1,ORC1,CLSPN,ECT2,MFAP3L,PLK4,DDIAS,XRCC2,CDC7,CDC6,PAICS,DHFR,FAM111B,KIF18A,DIAPH3,KIF18B,KIF4A,BHLHE40,ESAM,ARHGAP11A,MCM7,NCAPG2,KIF14,HMGB2,MCM10,BRCA1,KIF11,FOXM1,BRCA2,ARHGAP6,LMNB1,CHAF1B,TUBA1B,NUF2,PBK,MYBL2,TK1,LBR,CEP55,DLGAP5,HELLS,DUSP5,RMI2,CTPS1,HAUS1,CIT,CCNA2,ASPM,PXDN,DEPDC1,BIRC5,MCM4,MCM5,MCM6,DTL,MCM2,PCNA,UHRF1,PRIM1,SRSF1,TTK,TYMS,THBS1,AURKB,RAD54L,BUB1,E2F7,GINS1,GINS2,RRM1,CENPW,RRM2,GINS3,GINS4,MND1,SHCBP1,CENPF,CENPH,CENPI,POLE2,CENPK,CENPM,NCAPD2,RPL22L1,TRIP13,SPC24,MAD2L1,SPC25,CDKN3"
"DEG_DLD1","5","ZNF695","12.330","ARCHS4 Coexpression,26;Enrichr Queries,2;GTEx Coexpression,9","ERCC6L,POP1,DSCC1,CSE1L,RTKN2,BUB1B,MKI67,SMC4,CDC20,PTTG1,MYB,STMN1,PCLAF,ZNF724,NUSAP1,SKP2,GTSE1,TMPO,WDHD1,GAS2L3,VRK1,ESCO2,KNL1,HASPIN,PIMREG,CDC25C,WDR76,CDC25A,SGO1,DEPDC1B,MELK,MSH2,DNA2,KIF20A,KIF20B,PRR11,ATF3,ASF1B,BLM,PARPBP,TROAP,CDCA7,NCAPG,HMMR,SKA3,IQGAP3,RAD51AP1,CCNB2,BRIP1,CCNB1,ORC1,CLSPN,ECT2,PLK4,DDIAS,XRCC2,CDC7,CDC6,PAICS,DHFR,FAM111B,KIF18A,DIAPH3,KIF18B,KIF4A,NMU,BHLHE40,RCOR2,ARHGAP11A,CNTNAP2,MCM7,NCAPG2,KIF14,HMGB2,MCM10,ADM,BRCA1,KIF11,HMGB1,FOXM1,BRCA2,LMNB1,CHAF1B,NUF2,PBK,MYBL2,TK1,ZNF367,CEP55,DLGAP5,HELLS,RMI2,CTPS1,ELOVL6,HAUS1,CIT,CCNA2,ASPM,VCAN,DEPDC1,BIRC5,MCM4,MCM5,MCM6,DTL,MCM2,PCNA,UHRF1,PRIM1,TTK,TYMS,AURKB,DNAJB2,RAD54L,IGF2BP3,BUB1,E2F7,GINS1,GINS2,RRM1,CENPW,RRM2,GDF15,GINS3,GINS4,MND1,SHCBP1,CENPF,CENPH,CENPI,POLE2,CENPK,CENPM,NCAPD2,RPL22L1,TRIP13,SPC24,MAD2L1,SPC25,CDKN3"
"DEG_DLD1","6","PA2G4","21.000","ARCHS4 Coexpression,17;GTEx Coexpression,25","ARHGAP11A,ERCC6L,MCM7,POP1,CSE1L,DSCC1,NCAPG2,BUB1B,MCM10,KIF11,MKI67,FOXM1,SMC4,LMNB1,CDC20,TUBA1B,PCLAF,NUSAP1,MYBL2,TK1,GTSE1,ZNF367,CEP55,DLGAP5,TMPO,WDHD1,RMI2,CTPS1,ESCO2,HASPIN,WDR76,CDC25A,SGO1,CCNA2,ASPM,MELK,BIRC5,MCM4,MCM5,MCM6,KIF20B,DTL,SNRPA,MCM2,PCNA,PRIM1,SRSF1,CDCA7,NCAPG,HMMR,SKA3,TYMS,AURKB,RAD51AP1,CCNB1,ORC1,GAR1,RAD54L,BUB1,E2F7,GINS2,RRM1,CENPW,RRM2,XRCC2,CDC6,PAICS,FAM111B,DHFR,CENPF,KIF18B,CENPH,CENPI,KIF4A,POLE2,CENPK,CENPM,NCAPD2,RPL22L1,TRIP13,SPC24,MAD2L1,SPC25"
"DEG_DLD1","7","ZNF878","23.500","ARCHS4 Coexpression,18;GTEx Coexpression,29","ERCC6L,POP1,CSE1L,DSCC1,KIF14,HMGB2,BUB1B,MCM10,KIF11,HMGB1,MKI67,BRCA2,LMNB1,PCLAF,ZNF724,NUSAP1,BLNK,MYBL2,DLGAP5,TMPO,WDHD1,HELLS,ELOVL6,VRK1,ESCO2,HASPIN,PIMREG,WDR76,CDC25A,HAUS1,SGO1,CCNA2,DEPDC1B,MSH2,MCM5,DNA2,KIF20B,PRR11,DTL,MCM2,BLM,PCNA,PARPBP,PRIM1,NCAPG,HMMR,TYMS,SKA3,AURKB,RAD51AP1,CCNB1,ORC1,RAD54L,IGF2BP3,ECT2,BUB1,E2F7,GINS1,GINS2,WNT10A,RRM2,DDIAS,XRCC2,GINS4,MND1,GCSAM,CDC6,PAICS,FAM111B,CENPH,FABP5,POLE2,CENPK,ZSCAN4,CENPM,NCAPD2,MAD2L1,SPC25"
"DEG_DLD1","8","MYBL2","24.330","Literature ChIP-seq,7;ARCHS4 Coexpression,9;ENCODE ChIP-seq,70;Enrichr Queries,9;ReMap ChIP-seq,37;GTEx Coexpression,14","UBE2L6,MKI67,SMC4,CLDN1,CDC20,SCAMP5,EVA1B,MYB,STMN1,PCLAF,ZNF724,SKP2,GTSE1,TMPO,WDHD1,SRRM3,ENTPD3,ARRDC3,ESCO2,KNL1,HASPIN,PIMREG,WDR76,PPP1R3F,DEPDC1B,SNORC,IL23A,DDIT3,TMEM79,DNA2,KIF20A,KIF20B,PRR11,CES3,ASF1B,PARPBP,ABCB6,CDCA7,NCAPG,SKA3,IQGAP3,BRIP1,NEU1,APOE,PCK1,PLK4,ABCA1,NFE2,GADD45B,DDIAS,XRCC2,OSGIN1,CDC7,CDC6,SMARCA1,PAICS,FAM111B,DHFR,CITED2,PHF1,NCAPG2,ATF7IP2,KIF14,BRCA1,KIF11,BRCA2,AKAP12,CHAF1B,TUBA1B,IMPA2,NUF2,PBK,TK1,ZNF367,CEP55,DLGAP5,HELLS,BATF2,RMI2,GPR37,SPHK1,ELOVL6,CIT,B3GNT9,PXDN,DEPDC1,COL21A1,ANGPTL4,DDR2,HBEGF,PCNA,PRIM1,TYMS,HOXD11,HOXD10,FAM184A,GPC3,RAD54L,GINS1,GINS2,CENPW,HSPA1L,PNPLA7,GDF15,GINS4,MOK,DHRS3,CENPF,CENPH,CENPI,AXL,KRT15,CENPK,CENPM,NCAPD2,RPL22L1,TRIP13,CD68,SPC24,HSPA1B,MAD2L1,SPC25,CDKN3,HSPA1A,ZNF573,ERCC6L,COL16A1,NRROS,DSCC1,CSE1L,BUB1B,CCDC28B,PTTG1,SESN3,NUSAP1,SEMA6A,IGFBP3,VRK1,MAT1A,CDC25C,CDC25A,SGO1,MELK,MSH2,SNRPA,BLM,TROAP,GLIS3,HMMR,SEZ6L2,DNAJC28,RAD51AP1,CCNB2,CCNB1,ORC1,ZNF425,CLSPN,IGFBP6,ECT2,GGT7,BDNF,B3GALT4,TSGA10,KIF18A,KIF18B,DIAPH3,MAFB,KIF4A,BHLHE40,LCN2,CPE,ARHGAP11A,CNTNAP2,MCM7,HMGB2,MCM10,FOXM1,LMNB1,RND1,ENOSF1,BLNK,MYBL2,UPP1,LBR,ARMH1,GPX1,STPG4,GPX3,CTPS1,HAUS1,CCNA2,ASPM,RASA4,DNAJC4,BIRC5,MCM4,MCM5,MCM6,DTL,MCM2,LRP1,UHRF1,SRSF1,SEMA3G,HSD17B14,TTK,THSD1,AURKB,DEPP1,SELENBP1,RAB26,TP53INP2,NT5DC2,PHKG2,IGF2BP3,BUB1,RILP,E2F7,TRDMT1,NTRK2,RRM1,RRM2,POLN,MND1,SHCBP1,PIK3IP1,POLE2"
"DEG_DLD1","9","ZNF93","27.670","ARCHS4 Coexpression,50;Enrichr Queries,13;GTEx Coexpression,20","ERCC6L,DSCC1,CSE1L,BUB1B,MKI67,IFIT1,SMC4,CDC20,MYB,STMN1,PCLAF,ZNF724,NUSAP1,SKP2,GTSE1,TMPO,WDHD1,SEMA6A,ATP11C,VRK1,ESCO2,KNL1,HASPIN,CDC25C,WDR76,CDC25A,SGO1,DEPDC1B,MELK,MSH2,DNA2,KIF20B,PRR11,ATF3,ASF1B,BLM,PARPBP,CDCA7,NCAPG,HMMR,SKA3,RAD51AP1,CCNB2,CCNB1,ORC1,CLSPN,ECT2,ABCA1,PLK4,DDIAS,XRCC2,IFI44,CDC7,CDC6,PAICS,FAM111B,KIF18A,KIF18B,DIAPH3,KIF4A,BHLHE40,ARHGAP11A,PIGU,MCM7,NCAPG2,KIF14,HMGB2,MCM10,SLC2A3,BRCA1,KIF11,HMGB1,BRCA2,FOXM1,LMNB1,CHAF1B,NUF2,PBK,MYBL2,ZNF367,DLGAP5,CEP55,HELLS,ELOVL6,HAUS1,CCNA2,ASPM,VCAN,PXDN,DEPDC1,BIRC5,MCM4,MCM5,MCM6,DTL,MCM2,PCNA,UHRF1,PRIM1,TTK,TYMS,THBS1,AURKB,DNAJB2,RAD54L,BUB1,E2F7,GINS1,GINS2,RRM2,CENPW,GDF15,GINS4,MND1,SHCBP1,CENPF,CENPH,CENPI,POLE2,CENPK,CENPM,NCAPD2,RPL22L1,TRIP13,SPC24,MAD2L1,SPC25"
"DEG_DLD1","10","DNMT1","28.000","ARCHS4 Coexpression,48;GTEx Coexpression,8","ERCC6L,POP1,CSE1L,BUB1B,MKI67,SMC4,CDC20,PTTG1,PCLAF,ZNF724,NUSAP1,SKP2,GTSE1,TMPO,WDHD1,VRK1,ESCO2,KNL1,CDC25C,HASPIN,WDR76,CDC25A,SGO1,DEPDC1B,MELK,MSH2,KIF20A,KIF20B,PRR11,ASF1B,TROAP,NCAPG,HMMR,SKA3,IQGAP3,RAD51AP1,CCNB2,BRIP1,CCNB1,ORC1,CLSPN,ECT2,PLK4,DDIAS,XRCC2,CDC7,CDC6,FAM111B,KIF18A,DIAPH3,KIF18B,KIF4A,ARHGAP11A,MCM7,NCAPG2,KIF14,MCM10,BRCA1,KIF11,FOXM1,BRCA2,LMNB1,NUF2,PBK,MYBL2,CEP55,DLGAP5,HELLS,RMI2,GPR37,CCNA2,ASPM,DEPDC7,DEPDC1,BIRC5,MCM4,MCM5,MCM6,DTL,MCM2,PCNA,UHRF1,PRIM1,TTK,TYMS,AURKB,RAD54L,IGF2BP3,BUB1,E2F7,GINS1,GINS2,CENPW,RRM2,GINS4,MND1,SHCBP1,CENPF,CENPH,CENPI,POLE2,CENPK,CENPM,NCAPD2,TRIP13,SPC24,MAD2L1,SPC25"
