"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"E2F4","E2F4 HeLa-S3 hg19","118/1173","0.00000000000000000000003684927012922292","0.0000000000000000000300690044254459","0","0","3.2095534259273104","165.790144732138969629887","ERCC6L;CSE1L;DSCC1;RTKN2;BUB1B;MKI67;SMC4;CEP128;CDC20;NUSAP1;SKP2;GTSE1;TMPO;WDHD1;FAM24B;VRK1;ESCO2;CDC25C;WDR76;CDC25A;DEPDC1B;MELK;MSH2;TMEM79;DNA2;KIF20A;KIF20B;PRR11;SNRPA;ASF1B;BLM;TROAP;CDCA7;NCAPG;SKA3;IQGAP3;RAD51AP1;BRIP1;ORC1;NEU1;CLSPN;PLK4;XRCC2;CDC7;CDC6;GPR137C;FAM111B;KIF18A;DIAPH3;DLG2;KIF18B;KIF4A;ARHGAP11A;MCM7;PHF1;NCAPG2;KIF14;HMGB2;MCM10;BRCA1;KIF11;HMGB1;FOXM1;BRCA2;LMNB1;CHAF1B;TUBA1B;NUF2;PBK;MYBL2;TK1;ZNF367;CEP55;DLGAP5;LRRCC1;HELLS;RMI2;HMGCS1;CIT;CCNA2;ASPM;DEPDC1;BIRC5;MCM4;DTL;MCM2;UHRF1;PRIM1;SRSF1;LAMA3;TTK;SLC3A2;TYMS;AURKB;RAD54L;BUB1;E2F7;GINS1;GINS2;RRM1;CENPW;RRM2;GINS3;MND1;C9ORF40;SHCBP1;CENPF;CENPH;CENPI;POLE2;CENPK;CENPM;NCAPD2;TRIP13;SPC24;CDKN3;MAD2L1;SPC25"
"E2F4","E2F4 MEL cell line mm9","63/549","0.00000000000000269944981943697433925367","0.0000000000011013755263302856944986","0","0","3.5299145299145298","118.413554142474353625403","MCM7;DSCC1;NCAPG2;HMGB2;YBX2;KIF11;BRCA1;BRCA2;LMNB1;TUBA1B;CHAF1B;PBK;NUSAP1;MYBL2;TK1;TMPO;WDHD1;HELLS;RMI2;ESCO2;WDR76;CDC25A;CCNA2;MSH2;DNAJC4;BIRC5;MCM4;MCM5;MCM6;DNA2;DTL;MCM2;PCNA;UHRF1;PRIM1;SRSF1;CDCA7;TTK;TYMS;IQGAP3;AURKB;RAD51AP1;BRIP1;ORC1;RAD54L;CLSPN;E2F7;GINS1;GINS2;RRM1;RRM2;XRCC2;GINS3;CDC7;CDC6;PAICS;SHCBP1;DHFR;CENPH;CENPI;POLE2;CENPK;NCAPD2"
"FOXM1","FOXM1 ECC-1 hg19","60/578","0.00000000000106143126309663206099028072","0.0000000002887093035622839270517049","0","0","3.1351128171937419","86.439458526895407430857","PRSS1;C15ORF62;KIF14;HMGB2;KIF11;MKI67;HAPLN3;SMC4;LMNB1;CDC20;PTTG1;NUF2;PBK;NUSAP1;TK1;GTSE1;LBR;CEP55;DLGAP5;TMPO;GAS2L3;CDC25C;CIT;CCNA2;ASPM;SLPI;ELF3;DEPDC1;BIRC5;KIF20A;KIF20B;PRR11;ASF1B;UHRF1;TROAP;NCAPG;TTK;HMMR;LTBP3;SKA3;AURKB;CCNB2;CCNB1;HES2;BUB1;BEND6;RRM2;LAMB3;CENPF;KIF18A;MAFB;KIF18B;DIAPH3;KIF4A;NMU;BHLHE40;FAS;NCAPD2;CDKN3;MAD2L1"
"FOXM1","FOXM1 MCF-7 hg19","23/168","0.00000008587566606245990535891359071372","0.0000175186358767418191579711556072","0","0","4.1565583463412326","67.628722811463873654247","GAS2L3;TROAP;GREB1;ITGB2;HMGB2;KIF11;MKI67;LMNB1;CDC20;CCNA2;CCNB2;ASPM;CCNB1;CENPF;KIF18B;PTTG1;ELF3;NUF2;KIF20A;KRTAP3-1;GTSE1;PRR11;CDKN3"
"E2F4","E2F4 CH12.LX mm9","117/2000","0.00000077309633533998430836856529876910","0.0001261693219274854333659258154299","0","0","1.6991691094375283","23.912172682073407514736","ERCC6L;DSCC1;BUB1B;MKI67;SMC4;CEP128;CDC20;MYB;SKP2;GTSE1;WDHD1;VRK1;ESCO2;CDC25C;CDC25A;DEPDC1B;MELK;MSH2;DNA2;KIF20A;KIF20B;PRR11;ASF1B;FKBP5;BLM;PARPBP;ABCB6;TROAP;CDCA7;NCAPG;HMMR;IQGAP3;FBXO44;RAD51AP1;CCNB2;BRIP1;ORC1;NEU1;CLSPN;ECT2;PLK4;TMEM86A;XRCC2;CDC7;CDC6;PAICS;GPR137C;DHFR;KIF18A;KIF18B;ARHGAP11A;PIGU;MCM7;ZFAND2A;NCAPG2;HMGB2;MCM10;BRCA1;KIF11;HMGB1;FOXM1;BRCA2;NRGN;LMNB1;CHAF1B;TUBA1B;PBK;MYBL2;TK1;LBR;CEP55;DLGAP5;LRRCC1;HELLS;RMI2;METRN;SYN3;CCNA2;ASPM;IRF1;BIRC5;MCM4;MCM5;MCM6;DTL;PCNA;SELPLG;UHRF1;PRIM1;SRSF1;SEMA3G;TTK;AURKB;DNAJB9;RAD54L;BUB1;E2F7;GINS1;GINS2;RRM1;CENPW;POLN;GINS3;MND1;SHCBP1;DHRS3;CENPF;CENPH;FABP5;POLE2;CENPM;NCAPD2;TRIP13;SPC24;CDKN3;MAD2L1;SPC25"
"E2F4","E2F4 GM12878 hg19","103/2000","0.00058682992302147183802385477235930011","0.0798088695309201734406912009944790","0","0","1.4516091826117470","10.801098069764224263167","ERCC6L;CSE1L;DSCC1;RTKN2;BUB1B;CIB2;CCDC28B;CDC20;PTTG1;STMN1;NUSAP1;CHAC2;SKP2;GTSE1;TMPO;WDHD1;CADPS2;GAS2L3;FAM24B;VRK1;ESCO2;WDR76;DEPDC1B;MELK;MSH2;IFT81;TMEM79;KIF20B;SNRPA;BLM;ABCB6;TROAP;NCAPG;HMMR;SKA3;IQGAP3;RAD51AP1;CCNB2;ZNF425;PLK4;XRCC2;CDC7;CDC6;KIF18A;DIAPH3;KIF18B;KIF4A;ECHDC2;ESAM;SFXN2;ARHGAP11A;NCAPG2;KIF14;TMEM52;BRCA1;HMGB1;NRGN;RND1;CHAF1B;NUF2;PBK;MYBL2;TK1;CEP55;DLGAP5;LRRCC1;DUSP5;HELLS;CIT;CCNA2;ASPM;IRF1;DEPDC1;MCM5;MCM6;MCM2;PCNA;PRIM1;TTK;SLC3A2;AURKB;DNAJB9;ZNF503;RAD54L;E2F7;GINS1;GINS2;RRM1;CENPW;GINS4;MND1;SHCBP1;ADAT2;CENPF;NEURL3;CENPK;NCAPD2;RPL22L1;TRIP13;SPC24;CDKN3;MAD2L1;SPC25"
"RXRA","RXRA SK-N-SH hg19","14/139","0.00076370427432512265428915521070507566","0.0856669656083023367543205495167058","0","0","2.9021355013550134","20.829583963510184929646","ABCA1;NRP1;ZBTB20;LTBP3;DHRS3;FAM184A;BHLHE40;BDKRB1;IGFBP6;ANGPTL4;FLNC;VIM;ZNF367;CTHRC1"
"SIN3A","SIN3A HCT116 hg19","43/689","0.00083987221184610128758146752048219241","0.0856669656083023367543205495167058","0","0","1.7464225984358557","12.368620320408352242225","MCM7;NCAPG;ADM;HMMR;KIF11;BRCA1;HMGB1;TYMS;IQGAP3;RAD51AP1;CCNB2;TUBA1B;CCNB1;NUF2;PBK;IGF2BP3;ZNF367;BUB1;CEP55;DLGAP5;E2F7;PLK4;WDHD1;CENPW;RRM2;ANK2;ESCO2;FBXO32;SHCBP1;WDR76;CCNA2;TSGA10;CENPF;KIF18A;KIF18B;KRT15;BHLHE40;MCM4;VIM;KIF20B;CD68;ATF3;MAD2L1"
"E2F4","E2F4 myocyte mm9","101/2000","0.00127379506694399644538273630445246454","0.1154907527362556834971130115263804","0","0","1.4173916419750390","9.447984847210575409804","ERCC6L;BUB1B;MKI67;SMC4;CEP128;GCSH;RUSC2;STMN1;SKP2;GTSE1;WDHD1;GAS2L3;UNC5B;IFRD1;VRK1;ESCO2;WDR76;DEPDC1B;MELK;MSH2;DNA2;NUPR1;KIF20B;ASF1B;FKBP5;BLM;PARPBP;TROAP;NCAPG;IQGAP3;RAD51AP1;CCNB2;BRIP1;STRIP2;ORC1;NEU1;ECT2;MFAP3L;PLK4;GADD45B;XRCC2;OSGIN1;CDC6;PAICS;GPR137C;KIF18A;KIF18B;SFXN2;ARHGAP11A;MCM7;CITED2;ZFAND2A;ATF7IP2;NCAPG2;MCM10;BRCA1;KIF11;FOXM1;BRCA2;CHAF1B;NUF2;PBK;MYBL2;LRRCC1;HELLS;RMI2;METRN;HAUS1;CCNA2;IRF1;MCM5;MCM6;PCNA;UHRF1;PRIM1;TTK;SLC3A2;PRICKLE1;TYMS;RAD54L;BUB1;GINS1;GINS2;RRM1;CENPW;RRM2;POLN;GINS3;GINS4;MND1;SHCBP1;DHRS3;CENPI;AXL;POLE2;TRIP13;VIM;SPC24;CDKN3;MAD2L1;SPC25"
"EZH2","EZH2 B cell hg19","100/2000","0.00184586477847585605539804110009072247","0.1506225659236298530796460681813187","0","0","1.4003874717468521","8.815169415371448380370","CHPF;TBC1D3F;ATP12A;MKI67;SCAMP5;RUSC2;SLC16A8;UNC13A;UNC5B;ADAM11;VWA5B2;PRLR;CDC25A;PHOSPHO1;MAF;CD8A;HECW1;RRAGD;EEF1A2;PRR11;MT1E;SPTBN4;BRSK2;SHC2;CALCA;CDCA7;CHRD;GLIS3;SLC1A3;SLC6A20;RAD51AP1;SCUBE2;CHAD;APOE;MFAP3L;RTBDN;TNFRSF10C;OSGIN1;GNG13;REEP1;KIF18B;SLC6A9;BAMBI;NMU;CPE;DCHS1;ESAM;RCOR2;TMEM151A;NRP1;FLT1;ADM;YBX2;HAPLN3;NAT16;AKAP12;SPRED3;MDK;MMP28;PBK;SCARF2;SLC2A14;CCDC39;IL11;METRN;SPHK1;SYNGR3;MMP14;B3GNT9;DEPDC7;COL6A1;ANGPTL4;DBN1;CHST3;LAMA3;PRICKLE1;HOXD11;TYMS;PPM1E;THSD1;PAPSS2;DLL4;WNT11;MAN1C1;ZNF503;FLNC;HES2;CTHRC1;HES4;RRM2;DKKL1;PNMA2;PRSS33;DHRS3;ETNK2;CENPM;NOTUM;MDGA1;HCN2;MAD2L1"
