"Query Name","Rank","TF","Score","Library","Overlapping_Genes"
"DEG_DLD1_HCT15","1","ATF3","0.000614300000000000","ARCHS4 Coexpression,6.143E-4","CD274,DUSP5,CXCL8,IFRD1,HSPA6,NPL,RND1,RELB,PER1,NR4A3,GPNMB,DDIT3,CLCF1,NEU1,BHLHE40,ABL2,APOE,UPP1,CD68,OTUD1,HBEGF"
"DEG_DLD1_HCT15","2","CSRNP1","0.001229000000000000","ARCHS4 Coexpression,0.001229","TSPYL2,CD274,DUSP5,PHF1,TNFAIP3,NFATC1,PPP1R18,RELB,PER1,SOCS1,NR4A3,BHLHE40,GBP2,OTUD1,ATF3,HBEGF"
"DEG_DLD1_HCT15","3","NR4A1","0.001245000000000000","GTEx Coexpression,0.001245","PER1,NR4A3,TNXB,GREB1,KLHDC1,BHLHE40,MCC,RIMKLB,ATF3,HBEGF"
"DEG_DLD1_HCT15","4","MAFF","0.001425000000000000","Enrichr Queries,0.001425","CD274,CXCL8,TNFAIP3,PRDM1,IFIT1,CLU,ETS1,RND3,HERPUD1,RELB,GPNMB,NOCT,UPP1,GBP2,TGM2,DUSP5,EDN1,GDF15,IGFBP3,IFRD1,NR4A3,GPRC5A,DDIT3,BHLHE40,LCN2,NUPR1,MXD1,ATF3,DDR2,HBEGF"
"DEG_DLD1_HCT15","5","BATF","0.001843000000000000","ARCHS4 Coexpression,0.001843","CD274,DUSP5,FCMR,TNFRSF9,NFATC1,PRDM1,HAPLN3,CORO1A,PPP1R18,RELB,SOCS1,GBP2,CD68,APOL3"
"DEG_DLD1_HCT15","6","FOS","0.001867000000000000","GTEx Coexpression,0.001867","PER1,GPNMB,ADGRF4,BHLHE40,TNFAIP3,NR1D1,LY6G6C,RND3,ATF3,HBEGF"
"DEG_DLD1_HCT15","7","NFIL3","0.002137000000000000","Enrichr Queries,0.002137","OSER1,CXCL8,GOLT1A,TNFAIP3,PRDM1,CLU,ETS1,RND3,HERPUD1,GPNMB,NOCT,SESN2,UPP1,GBP2,TGM2,DUSP5,GDF15,IGFBP3,IFRD1,DHRS3,NR4A3,SLPI,DDIT3,BHLHE40,LCN2,NUPR1,MXD1,ATF3,DDR2,HBEGF"
"DEG_DLD1_HCT15","8","ZBED2","0.002457000000000000","ARCHS4 Coexpression,0.002457","FGFBP1,LAMB3,TNFRSF9,NFATC1,PRDM1,HAPLN3,ETS1,CORO1A,RELB,SOCS1,BHLHE40,GBP2,MPZL3"
"DEG_DLD1_HCT15","9","DDIT3","0.002849000000000000","Enrichr Queries,0.002849","CXCL8,ZFAND2A,TNFAIP3,IFIT1,CLU,RND3,HERPUD1,RELB,GPNMB,SESN2,APOE,UPP1,GBP2,TGM2,DUSP5,EDN1,GDF15,IGFBP3,IFRD1,NR1D1,FBXO32,DHRS3,NR4A3,BHLHE40,NUPR1,MXD1,CD68,ATF3,DDR2,HBEGF"
"DEG_DLD1_HCT15","10","NR4A3","0.003071000000000000","ARCHS4 Coexpression,0.003071","CD274,DUSP5,TNFAIP3,NFATC1,RELB,PER1,ABL2,APOE,GBP2,CD68,OTUD1,ATF3,HBEGF"
"DEG_DLD1_HCT15","11","SNAI1","0.003111000000000000","GTEx Coexpression,0.003111","AOC3,STEAP4,NOCT,CLCF1,FAM241A,HAPLN3,ETS1,APOL3,HBEGF"
