"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SMAD4","SMAD4 CHEA","12/584","0.00004238102233620543","0.003560005876241256","0","0","4.5048951048951045","45.358932351042767550098","DNAH12;SHE;EDN1;BHLHE40;KRT13;ID3;MCC;SIPA1L2;PLCXD2;DHRS3;CPEB4;DDR2"
"FOSL2","FOSL2 ENCODE","6/196","0.00050650110032332888","0.021273046213579817","0","0","6.4828947368421055","49.192101937955058588159","NEU1;TNFAIP3;NR1D1;UPP1;PTPRH;GBP2"
"ESR1","ESR1 CHEA","4/154","0.00801615883978192868","0.224452447513894010","0","0","5.3736054421768706","25.934610018548404752892","EDN1;GDF15;GREB1;ID3"
"TP63","TP63 CHEA","13/1399","0.02547565862958199243","0.458361193353810314","0","0","1.9509379509379510","7.160004409998985686059","EDN1;SPNS2;PCDH12;ETS1;PLCXD2;GPNMB;TNNT2;UPP1;MXD1;ABCG1;PADI1;WNT4;HBEGF"
"TCF3","TCF3 CHEA","10/1006","0.03250768550243950117","0.458361193353810314","0","0","2.0628164833246028","7.067784262583797882940","SHE;SLPI;BHLHE40;ID3;SLCO5A1;UPP1;MCC;KBTBD8;GADD45G;HBEGF"
"SALL4","SALL4 CHEA","5/355","0.03533628770155524540","0.458361193353810314","0","0","2.8789396170839470","9.623848509391864425311","EDN1;PARD6B;ID3;DHRS3;WNT4"
"SMC3","SMC3 ENCODE","11/1181","0.03819676611281752621","0.458361193353810314","0","0","1.9348924579693811","6.317432434626158332946","UNC5CL;EDN1;AOC2;UPK2;GDF15;NEU1;BHLHE40;MXD1;CLU;DHRS3;GADD45G"
"GATA2","GATA2 CHEA","8/772","0.04365703411354866087","0.458398858192260950","0","0","2.1314470313022169","6.674393755810107187187","SHE;DUSP5;EDN1;SPNS2;ABCG1;DHRS3;GADD45G;CPEB4"
"RAD21","RAD21 ENCODE","11/1265","0.05745022296889324559","0.536202081043003709","0","0","1.7971852708694811","5.134264287862089659598","DUSP5;UNC5CL;EDN1;AOC2;UPK2;NEU1;BHLHE40;TNFAIP3;PCDH12;CLU;GADD45G"
"RUNX1","RUNX1 CHEA","11/1294","0.06538736484540022542","0.549253864701361949","0","0","1.7538307366834256","4.783443966955165826960","ARHGAP30;NLRP6;BHLHE40;RORC;CASS4;ID3;TNFAIP3;UPP1;PADI1;DHRS3;CPEB4"
"NFE2L2","NFE2L2 CHEA","9/1022","0.07692667939162532720","0.587440097172411635","0","0","1.8041269942362197","4.627409885583786852692","ECM1;SLPI;MAFF;OSGIN1;SIPA1L2;ETS1;GADD45G;OASL;DDR2"
"BHLHE40","BHLHE40 ENCODE","4/348","0.10248502814340433587","0.717395197003830365","0","0","2.3201233981964879","5.285330560330931071178","SPNS2;BHLHE40;TNFAIP3;NR1D1"
"EZH2","EZH2 CHEA","3/237","0.12092089226823475590","0.781334996194747777","0","0","2.5464905464905465","5.379763624543062228156","TNXB;SLC6A20;DHRS3"
"ZC3H11A","ZC3H11A ENCODE","2/129","0.14062533213605818427","0.834311423005787201","0","0","3.1135433070866143","6.107701358485302378654","UPK2;CLU"
"SUZ12","SUZ12 CHEA","12/1684","0.14898418267960489292","0.834311423005787201","0","0","1.4534290271132375","2.767205522637228742866","SHE;EDN1;NR4A3;TNXB;NLRP6;ID3;SLC6A20;ATF3;ESR2;DHRS3;WNT4;GADD45G"
"CEBPB","CEBPB ENCODE","2/144","0.16725764070603338363","0.836349291710936971","0","0","2.7825352112676058","4.975784827991097003519","SLPI;BHLHE40"
"ZNF384","ZNF384 ENCODE","6/730","0.16926116617959441335","0.836349291710936971","0","0","1.6552140883977902","2.940177301422083999682","NEU1;CASS4;ID3;SFXN2;DHRS3;GADD45G"
"NANOG","NANOG CHEA","5/595","0.18762084613237556274","0.875563948617752663","0","0","1.6868775117945134","2.822706337287358202559","EDN1;FGFBP1;UPP1;DHRS3;GADD45G"
"RELA","RELA ENCODE","4/484","0.23398099481298020863","0.999956746215403203","0","0","1.6511904761904761","2.398379571339769089633","BHLHE40;TNFAIP3;RND1;DDR2"
"SPI1","SPI1 CHEA","7/1056","0.29315375324595660533","0.999956746215403203","0","0","1.3239977923837238","1.624622152630353921765","DUSP5;ARHGAP30;BHLHE40;OSGIN1;ID3;TNFAIP3;ABCG1"
"CTCF","CTCF ENCODE","11/1790","0.30399093238700980457","0.999956746215403203","0","0","1.2311460321578365","1.465996255284055527213","UNC5CL;EDN1;AOC2;UPK2;GDF15;NEU1;BHLHE40;TNFAIP3;CLU;GADD45G;HBEGF"
"AR","AR CHEA","7/1095","0.32516976430696253875","0.999956746215403203","0","0","1.2738970588235294","1.431105995868689362283","CEACAM6;NEB;UPP1;CLU;KBTBD8;DHRS3;MYLK"
"HNF4A","HNF4A ENCODE","8/1276","0.32566684282745850254","0.999956746215403203","0","0","1.2504194912410229","1.402821087345645034716","UNC5CL;GDF15;TNFAIP3;SLC51A;NR1D1;SDCBP2;DHRS3;RND1"
"SOX2","SOX2 CHEA","5/775","0.36162764217481990769","0.999956746215403203","0","0","1.2804927031731157","1.302440616136034901018","SLCO5A1;UPP1;ETS1;ABCG1;GADD45G"
"USF2","USF2 ENCODE","6/965","0.36982719514511686043","0.999956746215403203","0","0","1.2342935349322210","1.227775752373632567327","NEU1;BHLHE40;TNFAIP3;NR1D1;SFXN2;CPEB4"
"POU5F1","POU5F1 CHEA","2/261","0.38520495896025785942","0.999956746215403203","0","0","1.5165250965250965","1.446734195164069536332","UPP1;GADD45G"
"SPI1","SPI1 ENCODE","9/1540","0.38608972280726688853","0.999956746215403203","0","0","1.1609742736141253","1.104882375131299498960","DUSP5;SYNJ1;GPNMB;KRT13;ID3;PCDH12;MPZL3;KBTBD8;ABCG1"
"BCL3","BCL3 ENCODE","2/273","0.40677406593680459634","0.999956746215403203","0","0","1.4484870848708489","1.302910320748348338427","BHLHE40;PYGM"
"NFIC","NFIC ENCODE","2/279","0.41742504041516143021","0.999956746215403203","0","0","1.4166787003610108","1.237681764103784498587","BHLHE40;UPP1"
"ZEB1","ZEB1 ENCODE","1/106","0.41923761079296101295","0.999956746215403203","0","0","1.8663837812352664","1.622479951344753423825","MPZL3"
"PPARD","PPARD CHEA","2/285","0.42798105221856197478","0.999956746215403203","0","0","1.3862190812720847","1.176451356983613694140","OSGIN1;SDCBP2"
"SRF","SRF ENCODE","2/299","0.45222055867284449704","0.999956746215403203","0","0","1.3199326599326600","1.047479098493934612790","DUSP5;NR4A3"
"IRF8","IRF8 CHEA","1/121","0.46234924133329824425","0.999956746215403203","0","0","1.6318481848184818","1.258864379934143684636","GBP2"
"EGR1","EGR1 CHEA","2/315","0.47920752148628270595","0.999956746215403203","0","0","1.2514376996805112","0.920584523324228021224","RORC;GBP2"
"FOXA2","FOXA2 ENCODE","2/316","0.48086768906335930485","0.999956746215403203","0","0","1.2473885350318472","0.913291883443308805113","PTPRH;DHRS3"
"RCOR1","RCOR1 ENCODE","4/702","0.48307908948939498606","0.999956746215403203","0","0","1.1227413601543770","0.816878424284536830413","PARD6B;SYNJ1;OSGIN1;UPP1"
"TP53","TP53 CHEA","2/319","0.48582900554189900610","0.999956746215403203","0","0","1.2353943217665615","0.891829378753815960046","GDF15;ATF3"
"PPARG","PPARG CHEA","3/535","0.51617454218758229700","0.999956746215403203","0","0","1.1030986557302347","0.729490514692110347816","TNFAIP3;DHRS3;RND1"
"SIN3A","SIN3A ENCODE","6/1131","0.52042569884034728389","0.999956746215403203","0","0","1.0429444444444445","0.681155517397155851889","SYNJ1;NEU1;NR1D1;SFXN2;MXD1;CPEB4"
"RFX5","RFX5 ENCODE","3/559","0.54592540092097985305","0.999956746215403203","0","0","1.0541748419446262","0.638063506829375182150","MXD1;PLCXD2;GADD45G"
"HDAC2","HDAC2 ENCODE","1/175","0.59290426062019452313","0.999956746215403203","0","0","1.1223398201889154","0.586672099582466466394","DHRS3"
"USF1","USF1 ENCODE","7/1423","0.59500318123971429607","0.999956746215403203","0","0","0.9617454653583112","0.499327211344267885007","NEU1;BHLHE40;MAFF;TNFAIP3;NR1D1;SFXN2;CPEB4"
"CREB1","CREB1 CHEA","7/1444","0.61075103302239774905","0.999956746215403203","0","0","0.9466139252096840","0.466743025636083719299","PARD6B;NR4A3;SYNJ1;NEU1;MAFF;MXD1;MPZL3"
"FOS","FOS ENCODE","3/637","0.63495501281113131409","0.999956746215403203","0","0","0.9207532740655768","0.418207176211297271262","MXD1;KBTBD8;RND1"
"FLI1","FLI1 ENCODE","3/650","0.64857815735225388121","0.999956746215403203","0","0","0.9016439511029928","0.390387272105431060165","ECM1;GLYCTK;CPEB4"
"FOXA1","FOXA1 ENCODE","1/205","0.65130893447835203069","0.999956746215403203","0","0","0.9558338186759852","0.409834009236636320761","DHRS3"
"NELFE","NELFE ENCODE","1/234","0.69985591902463784031","0.999956746215403203","0","0","0.8356350656524880","0.298222106634667805114","GDF15"
"EGR1","EGR1 ENCODE","2/537","0.76323198975689998669","0.999956746215403203","0","0","0.7238504672897196","0.195579506236691291754","GLYCTK;SFXN2"
"GATA1","GATA1 CHEA","3/807","0.78509572082182144115","0.999956746215403203","0","0","0.7196592793607719","0.174121297289177051626","PARD6B;GDF15;CASS4"
"TCF7L2","TCF7L2 ENCODE","2/583","0.80200198007974510261","0.999956746215403203","0","0","0.6649569707401033","0.146718900300498611422","EDN1;NR1D1"
"YY1","YY1 CHEA","1/332","0.81945351032630875387","0.999956746215403203","0","0","0.5852950853997787","0.116542559557709257678","CPEB4"
"E2F1","E2F1 CHEA","3/859","0.81952875291453119999","0.999956746215403203","0","0","0.6741008212970829","0.134163452199098920392","PARD6B;ID3;NR1D1"
"EZH2","EZH2 ENCODE","1/338","0.82499980036796927152","0.999956746215403203","0","0","0.5746981226312542","0.110555904615959196824","SLCO5A1"
"UBTF","UBTF ENCODE","6/1631","0.84815114126467250344","0.999956746215403203","0","0","0.7028076923076924","0.115749915403485920118","DUSP5;BHLHE40;MAFF;ID3;KBTBD8;CPEB4"
"REST","REST ENCODE","1/383","0.86155489926974870851","0.999956746215403203","0","0","0.5058317350059613","0.075377274655026596517","SYNJ1"
"SP1","SP1 ENCODE","2/707","0.88005318873198634666","0.999956746215403203","0","0","0.5444822695035461","0.069570095776249937791","NEU1;MXD1"
"STAT3","STAT3 ENCODE","2/725","0.88869825450714778903","0.999956746215403203","0","0","0.5304287690179806","0.062589280520103166006","BHLHE40;MAFF"
"CEBPD","CEBPD ENCODE","2/734","0.89280322140312362578","0.999956746215403203","0","0","0.5236612021857924","0.059377461507234441385","BHLHE40;CASS4"
"REST","REST CHEA","4/1280","0.89840510828449693381","0.999956746215403203","0","0","0.5956752606998913","0.063817186316275420488","UNC5CL;EDN1;NR1D1;TBX19"
"TCF3","TCF3 ENCODE","2/840","0.93170606772820563357","0.999956746215403203","0","0","0.4548926014319809","0.032178143717456149375","DUSP5;ATF3"
"NFYA","NFYA ENCODE","7/2250","0.94949765791218321276","0.999956746215403203","0","0","0.5799798202595209","0.030055839165413524017","PARD6B;NEU1;NR1D1;SFXN2;MXD1;ESR2;RND1"
"CHD1","CHD1 ENCODE","1/655","0.96679712258529937330","0.999956746215403203","0","0","0.2913373906197959","0.009837474993598672654","DHRS3"
"IRF3","IRF3 ENCODE","1/663","0.96817224292959835896","0.999956746215403203","0","0","0.2876970476503844","0.009305638863894724611","MXD1"
"ZBTB7A","ZBTB7A ENCODE","6/2184","0.97257713281314961407","0.999956746215403203","0","0","0.5084940312213040","0.014139130464646942203","GDF15;BHLHE40;OSGIN1;TNFAIP3;CLU;DHRS3"
"ZBTB33","ZBTB33 ENCODE","1/702","0.97410919788039118661","0.999956746215403203","0","0","0.2711402381322298","0.007112515155859259336","MAFF"
"E2F4","E2F4 ENCODE","1/710","0.97518402370653878286","0.999956746215403203","0","0","0.2679691100280691","0.006733818149556915385","NEU1"
"SIX5","SIX5 ENCODE","2/1094","0.97798905527189483600","0.999956746215403203","0","0","0.3444322344322344","0.007665959334118999796","KBTBD8;CPEB4"
"MAX","MAX ENCODE","5/2073","0.98445274768744839289","0.999956746215403203","0","0","0.4444256116772019","0.006963873039716717527","BHLHE40;TNFAIP3;NR1D1;SFXN2;MXD1"
"BCLAF1","BCLAF1 ENCODE","1/851","0.98827974334435242376","0.999956746215403203","0","0","0.2218753640069889","0.002615795227321046721","BHLHE40"
"PBX3","PBX3 ENCODE","2/1269","0.99025188774200645359","0.999956746215403203","0","0","0.2940962904498816","0.002880948484144941080","ESR2;RND1"
"ELF1","ELF1 ENCODE","6/2483","0.99061336337714356315","0.999956746215403203","0","0","0.4395690351231328","0.004145561826729167627","SYNJ1;GLYCTK;ID3;PCDH12;MPZL3;CPEB4"
"CREB1","CREB1 ENCODE","5/2238","0.99175718667256917982","0.999956746215403203","0","0","0.4077774340838685","0.003375162876400482695","DUSP5;NR4A3;SYNJ1;NEU1;ESR2"
"KLF4","KLF4 CHEA","1/987","0.99434456405198279327","0.999956746215403203","0","0","0.1899062117165064","0.001077050891500475624","ATF3"
"SP2","SP2 ENCODE","1/994","0.99455349010092275464","0.999956746215403203","0","0","0.1884977017339196","0.001029460634035409515","MXD1"
"GABPA","GABPA ENCODE","4/2082","0.99532163788098260149","0.999956746215403203","0","0","0.3500225884386479","0.001641374892376193904","SYNJ1;GLYCTK;MPZL3;CPEB4"
"BRCA1","BRCA1 ENCODE","8/3218","0.99547006110158298142","0.999956746215403203","0","0","0.4424471399217870","0.002008811850023676984","PARD6B;NR4A3;SYNJ1;GLYCTK;BHLHE40;MAFF;ID3;SFXN2"
"E2F6","E2F6 ENCODE","8/3245","0.99589954432470118029","0.999956746215403203","0","0","0.4380467861626539","0.001799884129997019518","PARD6B;NEU1;BHLHE40;NR1D1;SFXN2;UPP1;MXD1;ESR2"
"MYC","MYC ENCODE","2/1515","0.99701367287357356428","0.999956746215403203","0","0","0.2430270984798414","0.000726844254988300476","BHLHE40;NR1D1"
