"Query Name","Rank","Scaled Rank","Set_name","TF","Intersect","Set length","FET p-value","FDR","Odds Ratio","Library","Overlapping_Genes"
"DEG_HCT15","1","0.00847500000000000","TCF12_SKNSH_HG19","TCF12","53","744","0.00000000009524999999999999","0.0000000526000000","2.9790000000000001","ENCODE--ChIP-seq","CDKN1A,TINAGL1,MRC2,DUSP5,DUSP2,GPNMB,DHRS3,CLCF1,PLCD4,CCL26,CLU,FGGY,CPA4,LVRN,MDK,UPP1,TNFRSF19,CEBPB,NOCT,PRRX1,DMGDH,LGALS1,ARSJ,ID1,GNRH1,ID3,CSRNP1,PTPRH,CTSS,GABRR2,ANKRD1,TNFRSF12A,DDR2,POPDC2,CA12,PRDM1,LOXL1,PCOLCE,RASGRP3,CAV1,ARHGAP23,BHLHE40,AMOTL2,CXCL8,CKS1B,OASL,BDKRB1,DACT1,GPCPD1,TENT5B,CORT,ASAP1,LAMB3"
"DEG_HCT15","2","0.01695000000000000","JUND_HELAS3_HG19","JUND","65","1356","0.00000278000000000000006478","0.0007320000000000","1.9560000000000000","ENCODE--ChIP-seq","ATF3,OTULINL,NR1D1,FOSL1,HOXC10,LETM2,ARG2,AEN,WNT9A,GPRC5A,SLC7A8,SGMS2,GLYCTK,GPR3,PRSS36,DHRS3,CLCF1,CCL26,CEP120,CLU,NEK2,CPA4,MAFF,DYSF,DUSP10,UPP1,PPP1R15A,CEBPB,SEMA3A,ZBTB43,NOCT,CHAC1,ARRDC3,IFRD1,SLPI,SLC22A4,GREB1,OSGIN1,GADD45G,RAET1L,RGL1,APOBEC3B,CSRNP1,ECM1,PTPRH,ANKRD1,TNFRSF12A,TMPRSS3,TM4SF19,KLHL5,MAP7D1,ABCG1,MANSC4,AMOTL2,MXD1,CXCL8,CKS1B,TBC1D9,AXIN2,TENT5B,ADGRF4,ZMYND10,ASAP1,LAMB3,NOS3"
"DEG_HCT15","3","0.02542000000000000","FOSL2_SKNSH_HG19","FOSL2","28","412","0.00000397700000000000020861","0.0007320000000000","2.8319999999999999","ENCODE--ChIP-seq","SYTL2,DDIT3,ATF3,NR1D1,FOSL1,PEA15,AEN,DHRS3,CLCF1,S100A3,FGGY,CPA4,UPP1,NOCT,LGALS1,IFRD1,SLC22A4,PTPRH,ANKRD1,TNFRSF12A,DDR2,LOXL1,IL6R,MAP7D1,RASGRP3,CAV1,TENT5B,ASAP1"
"DEG_HCT15","4","0.03390000000000000","NFIC_SKNSH_HG19","NFIC","35","587","0.00000544100000000000008307","0.0007510000000000","2.4630000000000001","ENCODE--ChIP-seq","ABCA12,CDKN1A,DUSP4,DUSP2,CLCF1,CLU,CPA4,BCAR3,UPP1,ZNF850,LGALS1,SLC22A4,ARSJ,HIVEP2,OSGIN1,GADD45G,ANKRD1,TNFRSF12A,DDR2,SELPLG,NFIL3,PER1,CIB2,LOXL1,RASGRP3,CAV1,EPHX2,GULP1,BHLHE40,AMOTL2,CXCL8,BDKRB1,GPCPD1,ASAP1,LAMB3"
"DEG_HCT15","5","0.04237000000000000","FOSL1_K562_HG19","FOSL1","42","773","0.00000716900000000000030981","0.0007910000000000","2.2320000000000002","ENCODE--ChIP-seq","BACH2,DDIT3,ATF3,NR1D1,FOSL1,HOXC10,SPHK1,HBEGF,CARD6,GPR3,DHRS3,YPEL4,CLU,NEK2,SLC49A3,DYSF,MDK,UPP1,PPP1R15A,ZBTB43,FNIP1,AQP3,LGALS1,HASPIN,ARC,SLC22A4,OSGIN1,APOBEC3B,CSRNP1,FKBP10,ECM1,TNFRSF12A,TM4SF19,LOXL1,MAP7D1,TRPV3,BHLHE40,TNFAIP3,TENT5B,ZMYND10,LAMB3,FAM167A"
"DEG_HCT15","6","0.05085000000000000","FOS_ENDOTHELIALCELLOFUMBILICALVEIN_HG19","FOS","77","1814","0.00002669999999999999847414","0.0021100000000000","1.7220000000000000","ENCODE--ChIP-seq","DPYSL3,NAMPT,DKK1,DDIT3,PRR15,MAML3,CHST11,NGFR,NR1D1,THAP10,FOSL1,BTG1,HOXC10,DUSP5,GPRC5A,SGMS2,ZNF460,GLYCTK,CARD6,GPR3,CLCF1,YPEL4,CEP120,CLU,SESN2,S100A3,SEMA7A,CPA4,SYNJ1,MAFF,BCAR3,UPP1,SLC25A10,ZBTB43,IFI16,FNIP1,SLC25A25,PCDH7,IFRD1,ARC,EPHA2,ARSJ,HIVEP2,N4BP3,OSGIN1,RAET1L,ID3,RGL1,APOBEC3B,CSRNP1,ECM1,ZFAND2A,HERPUD1,MAP1LC3B,ANKRD1,IL11,EDN1,INPP1,CD68,KBTBD8,CCRL2,IL6R,MAP7D1,ABCG1,ABCG2,CAV1,HSPA6,MXD1,ULBP2,NFKBIB,CXCL8,RND1,MMP1,PLA2G4C,TENT5B,ASAP1,TAF13"
"DEG_HCT15","7","0.05932000000000000","RELA_GM12878_HG19","RELA","38","724","0.00003740000000000000106044","0.0025800000000000","2.1520000000000001","ENCODE--ChIP-seq","MYB,IER5,ATF3,PLA2G6,PRRT3,CYLD,PEA15,DUSP2,TICAM1,TNFRSF9,NFKB2,ANKRD33B,DUSP10,BIRC3,IL2RG,WHAMM,MARCKSL1,MAP1LC3B2,IL1RN,IL23A,EBI3,HIVEP2,CTSS,DDR2,SELPLG,NEDD9,STX11,RELB,KLHL5,SGO1,EPHX2,TRPV3,BHLHE40,NFKBIB,TNFAIP3,RND1,ASAP1,SLC3A2"
"DEG_HCT15","8","0.06780000000000000","CEBPB_A549_HG19","CEBPB","102","2605","0.00004596000000000000041897","0.0028200000000000","1.5830000000000000","ENCODE--ChIP-seq","NAMPT,RBP4,DDIT3,PRR15,HMOX1,EIF1,FOSL1,CDKN1A,BTG1,TINAGL1,LETM2,MRC2,SHE,ARG2,IFT140,GPRC5A,ZEB1,LIN37,SGMS2,ZNF460,RIOK3,DHRS3,CLCF1,RPL22L1,IRS2,CLU,SESN2,CD274,DLX1,CPA4,MAFF,LCN2,CPM,DUSP10,UPP1,PPP1R15A,CEBPB,SEMA3A,CEBPG,ZBTB43,PARD6B,NOCT,WHAMM,TBX3,FRAS1,SYT11,CHAC1,ARRDC3,JMJD6,SLPI,HIVEP2,GREB1,OSGIN1,ID1,ID3,RGL1,DIRAS3,CTSS,HERPUD1,MAP1LC3B,ANKRD1,SLC22A11,SCNM1,NFIL3,RIBC1,CA12,TM4SF19,KBTBD3,PER1,KLHL5,AXL,CD68,STEAP4,GOLT1A,PRDM1,C1RL,IL6R,NUPR1,ABCG1,DNAJC25,CSF2RA,RHPN1,CAV1,INHBB,GULP1,NFKBIB,CXCL8,OPLAH,RND3,CKS1B,RND1,BDKRB1,MMP1,PLA2G4C,TRAPPC6A,ADGRF4,PFDN2,ASAP1,SLC3A2,STOM,FAM167A,TAF5"
"DEG_HCT15","9","0.07627000000000000","JUN_HELAS3_HG19","JUN","27","452","0.00005400999999999999957824","0.0029800000000000","2.4680000000000000","ENCODE--ChIP-seq","ATF3,NR1D1,ARG2,AEN,SGMS2,GLYCTK,CLCF1,CCL26,CEP120,CLU,CPA4,PPP1R15A,ZBTB43,NOCT,IFRD1,SLPI,GREB1,OSGIN1,RAET1L,CSRNP1,PTPRH,ANKRD1,TNFRSF12A,TM4SF19,ABCG1,ADGRF4,LAMB3"
"DEG_HCT15","10","0.08475000000000001","TEAD4_SKNSH_HG19","TEAD4","26","432","0.00006441000000000000164872","0.0032300000000000","2.4870000000000001","ENCODE--ChIP-seq","SHF,DUSP4,DUSP2,CLCF1,CLU,CPA4,UPP1,NOCT,LGALS1,ARSJ,ID1,ID3,ANKRD1,TNFRSF12A,DDR2,POPDC2,GSTA4,LOXL1,PCOLCE,RASGRP3,CAV1,BHLHE40,AMOTL2,GPCPD1,TENT5B,ASAP1"
