"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SUZ12","SUZ12 CHEA","82/1684","0.00000002483820910432059","0.000002508659119536379","0","0","2.0795482919078423","36.414726166430810394559","ANKRD33B;DYSF;BACH2;GLDN;HOXC10;LOXL1;MRC2;SHE;DACH1;PPP3CC;MCIDAS;BOC;CYP1B1;SCN5A;PITX2;IER5;IL6R;DUSP4;EOMES;ARG2;DUSP2;EDN1;SPHK1;SKIDA1;ATG9B;TNFRSF19;VASH2;DIO3;TBC1D9;SYPL2;EBF4;PROX1;DKK1;C1QL1;RBP4;CACNB4;SLC7A8;PRR15;ATF3;SAMD5;SLC22A4;DLX1;SEMA7A;DLX3;TNXB;HPGD;CTTNBP2;SHOX2;NPR3;LEF1;WNK4;CHST11;NFIL3;NLRP6;FGF20;KCNMB4;HIVEP2;ACE;KCNJ8;PRRX1;CDX2;IL10RA;PCDH7;CAV1;NFATC1;INHBB;TM6SF1;KAZALD1;DHRS3;ESR2;GADD45G;FOSL1;PCDHGA10;BMP2;FRAS1;CLCF1;SP5;ID3;ESAM;NOTUM;RGL1;TP73"
"SOX2","SOX2 CHEA","41/775","0.00001569152226703443868","0.000792421874485239180","0","0","2.1767321712825800","24.079860148647803441690","BTG1;SEMA3A;CEP120;LEF1;SLCO5A1;SLC3A2;NREP;AQP3;ETS1;LETM2;TM7SF2;SHF;SESN2;HESX1;KCNMB4;NEK2;UPP1;SCN5A;PITX2;EPHX2;IGFBP2;TNFRSF19;ARRDC3;TBC1D9;SYPL2;PROX1;DKK1;ELL2;TBX3;GADD45G;TMEFF1;ARC;BMP2;GSTA4;KLHL5;ID1;ESAM;TRIB3;NOTUM;ABCG1;ABCG2"
"GATA2","GATA2 CHEA","38/772","0.00014557984912012283019","0.004901188253710801399","0","0","2.0049541738915035","17.713340726659289714462","BCAR3;PPP1R15A;COL18A1;CDKN1A;CEBPB;CTTNBP2;DYSF;SUPT4H1;WNK4;SHE;AMN1;DUSP10;CHST11;NT5DC4;CCRL2;KCNN4;IER5;BAHCC1;IL6R;TGM2;DUSP5;ARSA;DUSP2;EDN1;NOS3;EPHX2;NFATC1;SORBS2;TM6SF1;ELL2;DHRS3;GADD45G;ARHGAP23;CYLD;MGLL;ABCG1;CPEB4;EPHA2"
"SMC3","SMC3 ENCODE","50/1181","0.00052412598675204353279","0.013234181165489099230","0","0","1.7184245230709287","12.980598164366083935306","BCAR3;BTG1;GOLT1A;CEP120;CIB2;SPATA20;CLU;RND3;TMEM92;HOXC10;LETM2;TM7SF2;DEPTOR;C1RL;MFSD3;SCN5A;IL6R;TGM2;EDN1;SPHK1;ARRDC3;WNT9A;ZMYND10;SAMD5;CEMIP;CEBPB;DLX3;INPP1;NPR3;CHST11;ABLIM3;NFIL3;ATG101;D2HGDH;NGFR;MARCKSL1;AOC2;ELL2;KAZALD1;DHRS3;NFKB2;GADD45G;VEGFA;FAM167A;BHLHE40;TCEA2;MAGIX;ESAM;NOTUM;MXD1"
"TP63","TP63 CHEA","56/1399","0.00093425488016368881620","0.016884524154157549286","0","0","1.6227202566798438","11.319709112094100689205","CDKN1A;IL1RN;TINAGL1;ANKRD33B;ITPRIP;LRRC10B;SPATA20;ETS1;BACH2;LOXL1;HERPUD1;NYNRIN;SHF;AKAP12;DUSP10;TRIM29;MYB;BOC;CYP1B1;BDKRB1;UPP1;IL6R;SLC22A11;TGM2;DUSP4;EOMES;EDN1;UNC13A;TMEM40;EPN3;ZEB1;SLC7A8;MAP7D1;ABCG1;HBEGF;DLX1;CEBPG;LEF1;NEDD9;CHST11;GPNMB;ABLIM3;STOM;D2HGDH;LHPP;CA12;NGFR;C17ORF67;LAMB3;RIOK3;FOXJ1;FOSL1;ACER2;FRAS1;FASN;MXD1"
"RELA","RELA ENCODE","25/484","0.00100304103886084431882","0.016884524154157549286","0","0","2.0842922458498268","14.391451968680318174165","SEMA7A;BTG1;ANKRD33B;EBI3;NEDD9;TNFAIP3;SLC3A2;IL2RG;STX11;HERPUD1;RELB;RND1;MYB;PEA15;IER5;DUSP2;MAP1LC3B2;TICAM1;NFKB2;CYLD;KLHL5;BHLHE40;BIRC3;DDR2;NFKBIB"
"NFE2L2","NFE2L2 CHEA","43/1022","0.00144653074150332392779","0.020871372127405102975","0","0","1.6962837542462701","11.091299211596858498297","OSER1;SAMD5;BCAR3;CDKN1A;CEBPB;ECM1;BTG1;MAOA;HFE;IRS2;ABCA12;PLA2G6;ETS1;RND3;RASGRP3;OASL;MRC2;CHST11;CA2;CYP1B1;HMOX1;DUSP4;PRRT3;PRRX1;IL15;PCDH7;OSGIN1;RMDN2;SORBS2;INHBB;AXIN2;GPCPD1;GRIP2;GADD45G;VEGFA;ARHGAP23;TMEFF1;SLPI;GSTA4;MAFG;MAFF;ALDH8A1;DDR2"
"TCF3","TCF3 CHEA","41/1006","0.00327474459237446632529","0.041343650478727636544","0","0","1.6352654767162540","9.356196608115975976716","BCAR3;CSRNP1;WDR47;NPR3;LEF1;SLCO5A1;SLC3A2;SHF;SHE;LURAP1L;ANKRD1;UPP1;HIVEP2;PITX2;BAHCC1;DACT1;EOMES;C17ORF67;CDX2;EPHX2;TNFRSF19;TBC1D9;SYPL2;AXIN2;DKK1;TBX3;EIF1;GADD45G;KLF8;TMEFF1;GPRC5A;SLPI;KLHL5;MAP7D1;ID1;BHLHE40;ID3;AQP11;AMOTL2;KBTBD8;HBEGF"
"NANOG","NANOG CHEA","27/595","0.00402767035442180062338","0.042072615131845389480","0","0","1.8159411011523687","10.014129135485283939033","COL18A1;LEF1;SLC2A3;IL2RG;CKS1B;SHF;AKAP12;MAP1LC3B;LURAP1L;HESX1;ANKRD1;UPP1;FGFBP1;EDN1;EPHX2;IGFBP2;TNFRSF19;TBC1D9;SYPL2;DKK1;DHRS3;TBX3;GADD45G;TMEFF1;GSTA4;KLHL5;ID1"
"TP53","TP53 CHEA","17/319","0.00450597679514771771309","0.042072615131845389480","0","0","2.1375122942757852","11.547590797172171406260","PRRT3;CDKN1A;BTG1;SKIDA1;PCDH7;NPR3;GCC2;AEN;PRDM1;FOSL1;AXL;SESN2;KCNN4;IER5;CLRN3;ATF3;EPHA2"
"CEBPB","CEBPB ENCODE","10/144","0.00458216600445840883254","0.042072615131845389480","0","0","2.8194962686567164","15.184632486681019614139","CEBPB;SLPI;NFIL3;DDIT3;BHLHE40;ANKRD1;CHAC1;IL6R;EIF1;HERPUD1"
"SALL4","SALL4 CHEA","17/355","0.01241379534022546068939","0.097132095353740635635","0","0","1.9062628156306756","8.366486270164747551803","BCAR3;EDN1;CEBPB;NREP;AXIN2;BACH2;DHRS3;CORT;PARD6B;LURAP1L;GSTA4;FASN;SESN2;HMOX1;ID3;WHAMM;PITX2"
"FOSL2","FOSL2 ENCODE","11/196","0.01417354432393234421605","0.097132095353740635635","0","0","2.2449145819008831","9.555205325268948612916","SLC22A4;TNFRSF12A;DDIT3;MAP7D1;IFRD1;ANKRD1;TNFAIP3;NR1D1;SGMS2;UPP1;PTPRH"
"VDR","VDR CHEA","6/76","0.01440875692469384232453","0.097132095353740635635","0","0","3.2239202657807309","13.669161232527804017423","CD274;VASH2;GCC2;ARHGEF2;HIVEP2;NFKB2"
"RAD21","RAD21 ENCODE","46/1265","0.01442555871590207525190","0.097132095353740635635","0","0","1.4475186300935468","6.135674999597873657819","SAMD5;CEMIP;CEBPB;DLX3;DNAH7;GOLT1A;CIB2;TNFAIP3;SPATA20;PRDM1;CLDN1;CLU;RND3;TMEM92;HOXC10;LETM2;TM7SF2;DEPTOR;MCIDAS;CA2;C1RL;APOE;SCN5A;IL6R;DECR1;SLC22A11;TGM2;DUSP5;LINGO1;ARG2;EDN1;AOC2;MYEOV;ARRDC3;FLT3LG;WNT9A;KAZALD1;NFKB2;GADD45G;VEGFA;PCDHGA10;BHLHE40;TCEA2;ESAM;NOTUM;ZMYND10"
"ESR1","ESR1 CHEA","9/154","0.01992985243100676984174","0.125363612042908828537","0","0","2.3391409558378702","9.158991906196343180113","CA12;EDN1;DEPTOR;NFIL3;GREB1;CYP1B1;ID3;PITX2;PLA2G6"
