"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SUZ12","SUZ12 CHEA","56/1684","0.000009743676942127758","0.000925649309502137","0","0","1.99143604288298848","22.9789654278960639999241","CDKN1C;SEMA5A;VIPR1;IRS1;DYSF;ADM;PTH1R;VLDLR;PRSS23;CX3CL1;COMP;RGS2;LBH;ENPP1;IER5;WLS;SEMA6A;IGFBP4;PRSS12;SLC9A3;IRF8;JDP2;SLC22A4;TNXB;PKDCC;HPGD;PPM1L;DLX5;LEF1;NRXN2;SLC6A20;NDRG1;PDLIM2;NFIL3;STC2;FLNC;SLC38A3;CACNG4;HOXC6;GABRA2;KL;NTRK2;TFAP2C;PPP1R14C;EVX1;GRIN2C;FBXO32;DHRS3;BICC1;NELL2;GATM;ARHGAP31;BMP2;CYP24A1;ESAM;CNIH3"
"CEBPB","CEBPB ENCODE","11/144","0.000072563431420090465","0.003320933843960146","0","0","4.53028639013263490","43.1783836635563460504272","PLEKHH3;BCL6;NFIL3;DDIT3;TNNC1;DDIT4;BHLHE40;MAP3K8;CHAC1;FBXO32;SH2B2"
"SOX2","SOX2 CHEA","30/775","0.000104871595072425641","0.003320933843960146","0","0","2.25694541254256853","20.6798804300251610754913","IFITM1;CITED2;LEF1;SLCO5A1;TFPI;TTL;HEY1;SESN2;SIRPA;CKB;BCAS1;CBX7;TFAP2C;TLE1;GADD45B;DUSP1;RNASE4;MMEL1;SORBS1;PTGR1;BMP2;MYCN;PDE12;KIT;APOC1;ZNF217;ESAM;KCNK1;ABCG1;FGFR2"
"SMAD4","SMAD4 CHEA","23/584","0.000529356485353196576","0.012572216527138420","0","0","2.27301745222401852","17.1472992240359651816561","GABRA2;SEMA5A;KL;PKDCC;KSR1;NPY4R;SH2D2A;SLC1A1;C1ORF21;SIPA1L2;NDRG1;DHRS3;BICC1;RGS2;ARHGAP31;BMP2;CYP24A1;RASGEF1B;BHLHE40;TLR5;FGFR2;BCAS1;CREB5"
"NFE2L2","NFE2L2 CHEA","32/1022","0.002342295209353169663","0.038412081938394321","0","0","1.79881200060304569","10.8947278833299954214908","OSER1;CDKN1A;PKDCC;LAMA2;CITED2;IRS1;GCNT1;SLC40A1;SIPA1L2;TFPI;IFIT3;OASL;PCLO;APOL6;LBH;STC2;HMOX1;CDKN2B;DUSP1;STYK1;PLAUR;PTGR1;KLF4;VEGFA;BTC;BCL6;P4HA1;RASA4;QPCT;MAFF;SGK1;MUC20"
"TP53","TP53 CHEA","14/319","0.002426026227688062378","0.038412081938394321","0","0","2.51327729531416910","15.1337008860518018593666","NTRK2;CDKN1A;TLE1;SEMA6A;THRB;LAMA2;PRDM1;PRSS12;COL1A1;NELL2;AXL;DDIT4;SESN2;IER5"
"IRF8","IRF8 CHEA","7/121","0.007009894243420169459","0.095134279017845158","0","0","3.32926413255360609","16.5145905521338001165077","BTC;PDLIM2;MX2;SECTM1;RNASE4;GBP2;TMEM229B"
"PPARG","PPARG CHEA","18/535","0.010343302606378520711","0.122826718450744915","0","0","1.90701257530496093","8.7177479131722908078928","CDKN1A;PKDCC;HPGD;CITED2;HILPDA;MGST1;G0S2;TNFAIP3;RNASE4;DHRS3;VEGFA;DDIT3;DDIT4;MXI1;SLC29A4;MAP3K8;AMOTL2;EMILIN1"
"EZH2","EZH2 CHEA","10/237","0.012489828092025152817","0.131837074304709950","0","0","2.39464948975184821","10.4953672904310408853235","COMP;TNXB;CYP24A1;DLX5;SIRPA;NRXN2;FLNC;SLC6A20;CNIH3;DHRS3"
"NANOG","NANOG CHEA","18/595","0.027027494569881262837","0.231517652715669847","0","0","1.70334652609833492","6.1506150164462844998070","CBX7;IFITM1;TFAP2C;CITED2;LEF1;EVX1;SLC2A3;VLDLR;SORBS1;DHRS3;AKAP12;MYCN;KIT;MGAT3;SIRPA;SGK1;C16ORF74;FGFR2"
"FOSL2","FOSL2 ENCODE","8/196","0.028630043492452687121","0.231517652715669847","0","0","2.30486576186807346","8.1898763787607791186929","SLC22A4;EFNA1;DDIT3;TNFAIP3;RNASE4;ANG;NR1D1;GBP2"
"AR","AR CHEA","29/1095","0.030701169091775733222","0.231517652715669847","0","0","1.49439646080575517","5.2056621418546953350415","PTPRR;THRB;PPM1L;HHLA2;SLC1A1;NLRC5;PRDM1;NDRG1;AKAP12;RASGEF1B;LRIG1;WLS;TLE1;GADD45B;DNAJC12;ACSL4;C1ORF21;SORBS1;DHRS3;BTC;EFNA1;ARL4C;SLC5A9;P4HA1;PPP1R3B;CYP1A1;KCNK1;CNIH3;SLC26A3"
"SALL4","SALL4 CHEA","12/355","0.031681363003196925943","0.231517652715669847","0","0","1.90103888637950158","6.5624369723629012440824","BTC;NELL2;MYCN;HEY1;CITED2;SESN2;HMOX1;NRXN2;PRSS23;PRSS12;DHRS3;HK2"
"RAD21","RAD21 ENCODE","32/1265","0.041182436556531663852","0.279452248062179165","0","0","1.42547602619505875","4.5469027616503856492614","SLC26A2;CITED2;LSMEM1;ADCY4;TNFAIP3;LRP4;NRXN2;PRDM1;C12ORF57;DEPTOR;OLFML3;AOC2;SEMA6A;ATP8B3;ZNF185;GADD45B;DUSP1;LGI4;ARHGEF17;STYK1;PTGR1;F5;VEGFA;COL1A1;MYCN;ELF3;PPP1R3B;DDIT4;BHLHE40;NHLRC1;ESAM;CEACAM8"
"STAT3","STAT3 CHEA","7/177","0.045222138924024171680","0.286406879852153073","0","0","2.22616013071895447","6.8925669012993058260008","MYCN;BCL6;PPM1L;STYK1;ZNF217;KLF4;HK2"
"POU5F1","POU5F1 CHEA","9/261","0.052325077194665649272","0.310680145843327316","0","0","1.93345969672785323","5.7042465756974829460546","AKAP12;IFITM1;TFAP2C;MYCN;SLC19A3;EVX1;SGK1;FGFR2;HK2"
"ESR1","ESR1 CHEA","6/154","0.064855379113303496252","0.358758818318328732","0","0","2.18817848319233343","5.9859710469475952976381","EFNA1;DEPTOR;MLPH;BCL6;NFIL3;TRERF1"
"SMC3","SMC3 ENCODE","29/1181","0.067975355049788604989","0.358758818318328732","0","0","1.37643049391847461","3.7006848800476777050505","SLC26A2;THRB;ZFAND4;LSMEM1;ADCY4;LRP4;NRXN2;PGBD1;DEPTOR;NFIL3;OLFML3;AOC2;SEMA6A;GADD45B;DUSP1;IGFBP4;LGI4;ARHGEF17;PTGR1;DHRS3;VEGFA;COL1A1;ELF3;PDE12;PPP1R3B;DDIT4;BHLHE40;NHLRC1;ESAM"
"TCF3","TCF3 CHEA","25/1006","0.077238326772197898884","0.386191633860989481","0","0","1.38985758654195801","3.5592299824161255372701","CDKN1C;CSRNP1;IFITM1;ZFAND4;LEF1;NRXN2;SLCO5A1;C12ORF57;COMP;MXI1;SLC19A3;MGAT3;SIRPA;CBX7;TFAP2C;TLE1;DUSP1;EVX1;MYCN;DDIT4;KIT;BHLHE40;AMOTL2;SGK1;FGFR2"
"CTCF","CTCF ENCODE","41/1790","0.082016078296631267364","0.389576371908998520","0","0","1.28600041390873687","3.2160812418767212861326","SEMA5A;SLC26A2;THRB;CITED2;IRS1;LSMEM1;ADCY4;TNFAIP3;LRP4;NRXN2;PRDM1;DEPTOR;OLFML3;RNF39;FGFBP3;NTRK2;CDKN2B;AOC2;SEMA6A;ATP8B3;GADD45B;DUSP1;IGFBP4;LGI4;ARHGEF17;PTGR1;MERTK;VEGFA;BTC;COL1A1;SLC6A8;MYCN;RGCC;P4HA1;ELF3;PPP1R3B;DDIT4;BHLHE40;NHLRC1;ESAM;RHOV"
"KLF4","KLF4 CHEA","24/987","0.098456260955165658677","0.445397370987654140","0","0","1.35654795963779362","3.1446719948819152889996","SLC22A4;CDKN1C;CBX7;IFITM1;CDKN1A;TFAP2C;PLEKHH3;CITED2;LGI4;SLC1A1;ADM;EVX1;SLC2A3;KLF4;NDRG1;C12ORF57;AKAP12;PDE12;CYP2S1;APOC1;AMOTL2;SGK1;CNIH3;HOXC6"
"RELA","RELA ENCODE","13/484","0.111069256601701846221","0.479617244416439825","0","0","1.49403241090599392","3.2832876265470214427467","IL32;GADD45B;KSR1;CITED2;NEDD9;TNFAIP3;NRXN2;ARHGAP31;P4HA1;BHLHE40;NFKBIZ;MAP3K8;IER5"
