"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"NFKB1","NFKB1","2/254","0.02383083463774182","0.2159571574819529","0","0","9.210550887021476","34.417755957620138","CLU;ATF3"
"IRF4","IRF4","1/29","0.02720531671137532","0.2159571574819529","0","0","39.589285714285715","142.693359195890849","PRDM1"
"JUND","JUND","1/44","0.04100045992096377","0.2159571574819529","0","0","25.759689922480622","82.280880143992761","ATF3"
"JUNB","JUNB","1/48","0.04464774457519721","0.2159571574819529","0","0","23.562647754137117","73.255128758011608","ATF3"
"HDAC2","HDAC2","2/387","0.05141837082903641","0.2159571574819529","0","0","5.988082505729564","17.771190307556594","PRDM1;ATF3"
"HSF1","HSF1","1/109","0.09866630616038638","0.2747762642116781","0","0","10.222736625514404","23.675978316785635","ATF3"
"NR4A1","NR4A1","1/115","0.10382037915026995","0.2747762642116781","0","0","9.681773879142300","21.930118208245041","CLU"
"PPARG","PPARG","1/116","0.10467667208063929","0.2747762642116781","0","0","9.597101449275362","21.659496656321434","CLU"
"CEBPB","CEBPB","1/142","0.12667013841507460","0.2748040580323887","0","0","7.817178881008668","16.151611942562941","ATF3"
"STAT1","STAT1","1/196","0.17072427253266101","0.2748040580323887","0","0","5.637037037037037","9.964621177857772","ATF3"
"FOS","FOS","1/199","0.17310892699691380","0.2748040580323887","0","0","5.550785634118967","9.735157941771709","CLU"
"SMARCA4","SMARCA4","1/219","0.18884138492818628","0.2748040580323887","0","0","5.036442405708461","8.394983192884370","ATF3"
"RAD21","RAD21","1/237","0.20275776084297892","0.2748040580323887","0","0","4.648069679849341","7.417126090573529","CLU"
"ATF2","ATF2","1/237","0.20275776084297892","0.2748040580323887","0","0","4.648069679849341","7.417126090573529","ATF3"
"NR3C1","NR3C1","1/239","0.20428998599525847","0.2748040580323887","0","0","4.608543417366946","7.319356836722841","CLU"
"JUN","JUN","1/248","0.21115054106013764","0.2748040580323887","0","0","4.438596491228070","6.902833957820122","ATF3"
"SP1","SP1","1/263","0.22246042793098136","0.2748040580323887","0","0","4.181297709923665","6.284515734750078","NEB"
"SMAD3","SMAD3","1/375","0.30218059219162413","0.3334416119441858","0","0","2.912507427213310","3.485486332563000","ATF3"
"SMAD2","SMAD2","1/384","0.30823868207068345","0.3334416119441858","0","0","2.842761821874094","3.345591961592363","ATF3"
"CTNNB1","CTNNB1","1/398","0.31756343994684361","0.3334416119441858","0","0","2.740554156171285","3.143628475292091","AKAP12"
"TP53","TP53","1/628","0.45471332984343771","0.4547133298434377","0","0","1.714867978025873","1.351467051513747","ATF3"
