"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CEBPB","CEBPB myocyte mm9","8/640","0.0001488869952355214","0.1088363935171661","0","0","5.9644952145723993","52.56105813017371275464","PER1;DDIT3;BHLHE40;MAFF;HMOX1;CHAC1;GBP2;NDRG1"
"JUN","JUN endothelial cell of umbilical vein hg19","9/988","0.0005825826042858910","0.2129339418664931","0","0","4.3602655771195096","32.47543056563067409570","RGS2;BHLHE40;MAFF;NLRC5;PLOD2;NR1D1;GBP2;NDRG1;ABCG1"
"ETS1","ETS1 MEL cell line mm9","12/1902","0.0017333384954895772","0.4223568134009603","0","0","3.0992706992706993","19.70425180849457902355","CSRNP1;PER1;DDIT3;MX2;SESN2;BHLHE40;MAFF;HMOX1;SLC2A3;NR1D1;NDRG1;REM2"
"EP300","EP300 HeLa-S3 hg19","11/1770","0.0031495383414285312","0.4699369813718771","0","0","2.9938062894587234","17.24581931965906633764","CSRNP1;SPINK1;SESN2;BHLHE40;PLOD2;CHAC1;RHOV;NR1D1;GBP2;NDRG1;ABCG1"
"CEBPB","CEBPB C2C12 mm9","10/1513","0.0032143432378377371","0.4699369813718771","0","0","3.1472098537966802","18.06540069360081446348","PER1;DDIT3;BHLHE40;MAFF;TNFAIP3;HMOX1;CHAC1;NR1D1;GBP2;NDRG1"
"FOSL2","FOSL2 HepG2 hg19","5/459","0.0051785254786343602","0.6309170208136196","0","0","4.8801061273528230","25.68514498214237917750","CSRNP1;DDIT3;TP53INP2;MAFF;GBP2"
"JUN","JUN HeLa-S3 hg19","5/506","0.0077555919460798439","0.8099053875120523","0","0","4.4116312828887683","21.43762145086115467052","CSRNP1;TP53INP2;NR1D1;GBP2;ABCG1"
"CEBPB","CEBPB ECC-1 hg19","8/1273","0.0115305740909576876","0.9998488441915652","0","0","2.8822520003856167","12.86277920787315842688","PER1;DDIT3;SESN2;BHLHE40;HMOX1;CHAC1;NDRG1;ABCG1"
"FOSL1","FOSL1 K562 hg19","6/849","0.0169890671304275022","0.9998488441915652","0","0","3.1627906976744184","12.88895800564462845728","CSRNP1;DDIT3;TP53INP2;BHLHE40;TNFAIP3;NR1D1"
"CEBPB","CEBPB A549 hg19","13/2860","0.0177353969884155270","0.9998488441915652","0","0","2.1694571283612381","8.74766942708833816766","PLOD2;NDRG1;PER1;RGS2;DDIT3;SESN2;MAFF;SLC19A3;HMOX1;CHAC1;SGK1;GBP2;ABCG1"
"SIN3A","SIN3A H1-hESC hg19","13/2874","0.0184180978517294452","0.9998488441915652","0","0","2.1570740611285877","8.61626304755891858633","CSRNP1;NTRK2;PTPRR;CDKN2B;NDRG1;PER1;RGS2;PCLO;DDIT3;TP53INP2;SLC19A3;HMOX1;CHAC1"
"FOS","FOS endothelial cell of umbilical vein hg19","10/2000","0.0213593580929442722","0.9998488441915652","0","0","2.3142636258214142","8.90127191878536727643","CSRNP1;DDIT3;SESN2;MAFF;NLRC5;PLOD2;NR1D1;GBP2;NDRG1;ABCG1"
"JUN","JUN HepG2 hg19","10/2000","0.0213593580929442722","0.9998488441915652","0","0","2.3142636258214142","8.90127191878536727643","NELL2;CSRNP1;DDIT3;TP53INP2;MAFF;TNFAIP3;NR1D1;GBP2;NDRG1;ABCG1"
"BHLHE40","BHLHE40 MEL cell line mm9","10/2000","0.0213593580929442722","0.9998488441915652","0","0","2.3142636258214142","8.90127191878536727643","PER1;MX2;BHLHE40;MAFF;TNFAIP3;SLC2A3;CHAC1;NR1D1;NDRG1;REM2"
"CEBPB","CEBPB MCF-7 hg19","7/1173","0.0233210545054147907","0.9998488441915652","0","0","2.6851057747284162","10.09169805201053549126","DDIT3;BHLHE40;HMOX1;CHAC1;GBP2;NDRG1;ABCG1"
"JUND","JUND HeLa-S3 hg19","8/1492","0.0274051683211707052","0.9998488441915652","0","0","2.4281112352902503","8.73397355884584136732","CSRNP1;TP53INP2;MAFF;CHAC1;NR1D1;GBP2;NDRG1;ABCG1"
"SREBF1","SREBF1 HepG2 hg19","4/502","0.0341918964481140245","0.9998488441915652","0","0","3.4721999107541275","11.72133651832741563226","NPC1L1;TP53INP2;BHLHE40;NR1D1"
"FOSL1","FOSL1 C2C12 mm9","3/293","0.0349612136584687774","0.9998488441915652","0","0","4.4215142428785610","14.82761881593532038437","TNFAIP3;NR1D1;NDRG1"
"CEBPB","CEBPB HCT116 hg19","3/303","0.0380318672335813318","0.9998488441915652","0","0","4.2719565217391304","13.96643928604041562380","SESN2;CHAC1;ABCG1"
"JUN","JUN CH12.LX mm9","8/1659","0.0470213503264972632","0.9998488441915652","0","0","2.1627690534930788","6.61191702083673771284","RGS2;GPX3;SESN2;BHLHE40;MAFF;TNFAIP3;NR1D1;GBP2"
"STAT3","STAT3 HeLa-S3 hg19","9/1974","0.0481835065772631133","0.9998488441915652","0","0","2.0594656488549616","6.24582077028606086344","SPINK1;BHLHE40;MAFF;PLOD2;SLC2A3;NR1D1;GBP2;NDRG1;ABCG1"
"MXI1","MXI1 CH12.LX mm9","9/2000","0.0516487244015843144","0.9998488441915652","0","0","2.0296333500753390","6.01439176482550141856","AKAP12;PER1;RGS2;MX2;SESN2;SLC19A3;RHOV;GBP2;NDRG1"
"eGFP-FOS","eGFP-FOS K562 hg19","9/2000","0.0516487244015843144","0.9998488441915652","0","0","2.0296333500753390","6.01439176482550141856","CSRNP1;DDIT3;SESN2;BHLHE40;MAFF;TNFAIP3;NR1D1;GBP2;NDRG1"
"JUN","JUN H1-hESC hg19","9/2000","0.0516487244015843144","0.9998488441915652","0","0","2.0296333500753390","6.01439176482550141856","RGS2;CDKN2B;PCLO;P4HA1;MAFF;TNFAIP3;NR1D1;NDRG1;REM2"
"REST","REST GM12878 hg19","6/1149","0.0604901424905041687","0.9998488441915652","0","0","2.2960385765732778","6.44101929934831307634","PTPRR;CDKN2B;PCLO;MX2;BHLHE40;TNFAIP3"
"CEBPB","CEBPB K562 hg19","11/2716","0.0609842368179942668","0.9998488441915652","0","0","1.8455686350812337","5.16231359543941437096","PER1;RGS2;P4HA1;DDIT3;SESN2;MAFF;CHAC1;NR1D1;GBP2;NDRG1;ABCG1"
"REST","REST HeLa-S3 hg19","6/1183","0.0677407214912289085","0.9998488441915652","0","0","2.2256821639564524","5.99168724379961226134","PTPRR;CDKN2B;PCLO;BHLHE40;NDRG1;ABCG1"
"REST","REST HCT116 hg19","3/410","0.0789811192736971784","0.9998488441915652","0","0","3.1317166969340882","7.95000830846490735837","PTPRR;CDKN2B;PCLO"
"SIN3A","SIN3A K562 hg19","4/698","0.0909743513414955629","0.9998488441915652","0","0","2.4664745437079731","5.91257768890719948018","PER1;CHAC1;NR1D1;NDRG1"
"CEBPB","CEBPB HepG2 hg19","13/3621","0.0928349020363841565","0.9998488441915652","0","0","1.6357092264104460","3.88797060133428074025","GPX3;TNFAIP3;NR1D1;NDRG1;PER1;P4HA1;DDIT3;SESN2;MAFF;HMOX1;CHAC1;GBP2;ABCG1"
"TEAD4","TEAD4 A549 hg19","3/447","0.0963087169573422358","0.9998488441915652","0","0","2.8653055229142184","6.70537780001486094505","CSRNP1;PER1;PLOD2"
"PRDM1","PRDM1 HeLa-S3 hg19","7/1625","0.0995281315573813136","0.9998488441915652","0","0","1.8884425216316441","4.35723165398802603221","RGS2;CDKN2B;PLOD2;SLC2A3;CHAC1;RHOV;NR1D1"
"FOSL2","FOSL2 SK-N-SH hg19","3/469","0.1072947348066673606","0.9998488441915652","0","0","2.7269546557193505","6.08704191854791698546","DDIT3;NR1D1;GBP2"
"TFAP2A","TFAP2A HeLa-S3 hg19","8/1995","0.1103996288320601149","0.9998488441915652","0","0","1.7640517019161133","3.88734989950384735025","CSRNP1;CDKN2B;P4HA1;TP53INP2;BHLHE40;PLOD2;RHOV;NR1D1"
"USF1","USF1 myocyte mm9","8/2000","0.1115956245435009986","0.9998488441915652","0","0","1.7591340973650700","3.85755843318259294961","PER1;DDIT3;BHLHE40;MAFF;TNFAIP3;HMOX1;CHAC1;NR1D1"
"CEBPB","CEBPB IMR-90 hg19","8/2000","0.1115956245435009986","0.9998488441915652","0","0","1.7591340973650700","3.85755843318259294961","PER1;RGS2;DDIT3;SESN2;HMOX1;SGK1;GBP2;ABCG1"
"USF1","USF1 C2C12 mm9","8/2000","0.1115956245435009986","0.9998488441915652","0","0","1.7591340973650700","3.85755843318259294961","PER1;DDIT3;BHLHE40;MAFF;TNFAIP3;HMOX1;CHAC1;NR1D1"
"RXRA","RXRA HepG2 hg19","4/761","0.1153032838631062179","0.9998488441915652","0","0","2.2538088947600174","4.86865401890545168584","TP53INP2;BHLHE40;PLOD2;NR1D1"
"JUND","JUND GM12878 hg19","4/809","0.1355980453890267834","0.9998488441915652","0","0","2.1141200828157349","4.22413944520397599547","MX2;BHLHE40;MAFF;RHOV"
"JUND","JUND CH12.LX mm9","6/1454","0.1429522820274911898","0.9998488441915652","0","0","1.7830206861107545","3.46841099854560219740","RGS2;GPX3;SESN2;BHLHE40;NR1D1;GBP2"
"TCF7L2","TCF7L2 HepG2 hg19","3/548","0.1504239320465573515","0.9998488441915652","0","0","2.3222177901874752","4.39897195232087323546","DDIT3;TNFAIP3;NR1D1"
"EP300","EP300 T47D hg19","5/1155","0.1511398475816761733","0.9998488441915652","0","0","1.8578063241106719","3.51041743411752182880","CSRNP1;DDIT3;BHLHE40;PLOD2;NDRG1"
"MAX","MAX myocyte mm9","5/1160","0.1530816067689530491","0.9998488441915652","0","0","1.8492719401810311","3.47068421498043111484","PER1;DDIT3;MAFF;NR1D1;NDRG1"
"USF1","USF1 GM12878 hg19","8/2162","0.1542371245744021402","0.9998488441915652","0","0","1.6121566229589872","3.01354648409930625519","PER1;CDKN2B;DDIT3;BHLHE40;MAFF;TNFAIP3;HMOX1;NR1D1"
"USF1","USF1 H1-hESC hg19","9/2563","0.1688880864724046638","0.9998488441915652","0","0","1.5326252936570086","2.72580319490139277860","AKAP12;PER1;CDKN2B;PCLO;DDIT3;BHLHE40;MAFF;HMOX1;NR1D1"
"CTCF","CTCF fibroblast of gingiva hg19","8/2237","0.1764157308987488459","0.9998488441915652","0","0","1.5513464421319854","2.69144949959106138948","NTRK2;RGS2;CDKN2B;P4HA1;HMOX1;CHAC1;SGK1;NDRG1"
"TCF12","TCF12 myocyte mm9","5/1223","0.1784478027214256857","0.9998488441915652","0","0","1.7477422003284071","3.01216227346037701551","PER1;DDIT3;BHLHE40;NR1D1;NDRG1"
"HNF4A","HNF4A HepG2 hg19","9/2620","0.1851578641695596772","0.9998488441915652","0","0","1.4942550746840291","2.52013066323554157933","CSRNP1;PCLO;DDIT3;TP53INP2;BHLHE40;TNFAIP3;PLOD2;NR1D1;NDRG1"
"FOSL2","FOSL2 MCF-7 hg19","2/329","0.1926981524310419081","0.9998488441915652","0","0","2.5537120176979635","4.20501956387219610889","TNFAIP3;NR1D1"
"NELFE","NELFE K562 hg19","2/334","0.1971460926319583973","0.9998488441915652","0","0","2.5146116380415280","4.08325212274662074918","DDIT3;SESN2"
"RAD21","RAD21 A549 hg19","10/3040","0.2021856488415883502","0.9998488441915652","0","0","1.4319201150884320","2.28902303483350699764","AKAP12;NTRK2;P4HA1;TP53INP2;BHLHE40;TNFAIP3;PLOD2;ESAM;RHOV;SGK1"
"ESR1","ESR1 ECC-1 hg19","3/637","0.2045126953771435885","0.9998488441915652","0","0","1.9870731038266356","3.15373384768254716448","TP53INP2;BHLHE40;ABCG1"
"STAT1","STAT1 K562 hg19","2/345","0.2069777042829243907","0.9998488441915652","0","0","2.4326034365113829","3.83170119464082414851","MX2;MAFF"
"NFIC","NFIC ECC-1 hg19","3/643","0.2083201565560274526","0.9998488441915652","0","0","1.9678328804347829","3.08689844651953038124","CSRNP1;SLC19A3;CHAC1"
"TCF3","TCF3 myocyte mm9","7/1987","0.2098252559072775469","0.9998488441915652","0","0","1.5127104377104377","2.36206741102488315676","CSRNP1;PER1;RGS2;P4HA1;HMOX1;CHAC1;NR1D1"
"TAF1","TAF1 GM12878 hg19","5/1304","0.2132830023730817315","0.9998488441915652","0","0","1.6316747148155923","2.52115827423279137420","CSRNP1;PER1;RGS2;SESN2;RHOV"
"CEBPB","CEBPB HeLa-S3 hg19","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","CSRNP1;PER1;P4HA1;MAFF;HMOX1;SLC2A3;RHOV"
"POLR2A","POLR2A small intestine mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","PER1;THEMIS2;DDIT3;SESN2;RHOV;NR1D1;NDRG1"
"CTCF","CTCF cortical plate mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","NELL2;PTPRR;CDKN2B;P4HA1;TNFAIP3;RHOV;ABCG1"
"POLR2A","POLR2A ES-Bruce4 mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","CSRNP1;RGS2;CDKN2B;DDIT3;SESN2;HMOX1;NDRG1"
"NFE2","NFE2 GM12878 hg19","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","DDIT3;BHLHE40;MAFF;TNFAIP3;HMOX1;SLC2A3;NR1D1"
"TBP","TBP CH12.LX mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","THEMIS2;MX2;BHLHE40;SLC19A3;RHOV;GBP2;NDRG1"
"POLR2A","POLR2A bone marrow macrophage mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","RGS2;THEMIS2;SESN2;BHLHE40;HMOX1;NR1D1;NDRG1"
"EZH2","EZH2 fibroblast of dermis hg19","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","PCLO;GPX3;SLC19A3;CHAC1;SGK1;NDRG1;REM2"
"CTCF","CTCF skeletal muscle myoblast hg19","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","NTRK2;RGS2;P4HA1;HMOX1;PLOD2;SGK1;NDRG1"
"POLR2A","POLR2A testis mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","THEMIS2;MX2;SESN2;HMOX1;RHOV;NR1D1;NDRG1"
"CTCF","CTCF IMR-90 hg19","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","NTRK2;RGS2;P4HA1;HMOX1;CHAC1;SGK1;NDRG1"
"EP300","EP300 MEL cell line mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","PER1;DDIT3;SESN2;BHLHE40;TNFAIP3;SLC2A3;REM2"
"GATA2","GATA2 endothelial cell of umbilical vein hg19","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","RGS2;CDKN2B;BHLHE40;TNFAIP3;ESAM;GBP2;NDRG1"
"CTCF","CTCF ES-Bruce4 mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","NELL2;PTPRR;CDKN2B;P4HA1;TNFAIP3;RHOV;ABCG1"
"TBP","TBP MEL cell line mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","THEMIS2;DDIT3;MAFF;SLC2A3;CHAC1;RHOV;NDRG1"
"EP300","EP300 CH12.LX mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","MX2;SESN2;BHLHE40;TNFAIP3;HMOX1;NR1D1;GBP2"
"MAX","MAX MEL cell line mm9","7/2000","0.2144879181240191002","0.9998488441915652","0","0","1.5017561465127949","2.31195639278071762845","RGS2;BHLHE40;MAFF;TNFAIP3;HMOX1;NDRG1;ABCG1"
"JUND","JUND A549 hg19","3/657","0.2172687217056854525","0.9998488441915652","0","0","1.9243119266055049","2.93769373283521684215","P4HA1;MAFF;HMOX1"
"NFIC","NFIC SK-N-SH hg19","3/663","0.2211300036804370039","0.9998488441915652","0","0","1.9062252964426880","2.87650254742753208603","PER1;BHLHE40;SLC19A3"
"CTCF","CTCF bronchial epithelial cell hg19","7/2023","0.2228363392189151027","0.9998488441915652","0","0","1.4827215608465609","2.22603609649976386109","NTRK2;CDKN2B;PCLO;P4HA1;HMOX1;CHAC1;NDRG1"
"REST","REST HepG2 hg19","4/1002","0.2296099935029225492","0.9998488441915652","0","0","1.6880872856824760","2.48380620534341867156","PTPRR;CDKN2B;PCLO;NPC1L1"
"REST","REST MCF-7 hg19","3/681","0.2328005431565929040","0.9998488441915652","0","0","1.8538861100423241","2.70217476543074441864","PTPRR;CDKN2B;PCLO"
