"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","FOS","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333333","3","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=41)","4","rank=4; score=0.001245","rank=9; score=252.21; p=3.5259e-05; adjP=0.0010578","rank=3; score=4.4527; p=3.5261e-05"
"2","JUN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.333333333333333","2","6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=3); Literature--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); ARCHS4--Coexpression(rank=8); Enrichr--Queries(rank=15)","13","rank=13; score=0.003734","rank=7; score=163.71; p=8.8875e-06; adjP=0.00039994","rank=2; score=5.0512; p=8.8881e-06"
"3","ATF3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.666666666666666","1","6","ARCHS4--Coexpression(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=13); ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=45)","1","rank=1; score=0.0006143","rank=24; score=303.36; p=5.7567e-05; adjP=0.0048212","rank=10; score=2.9165; p=0.0012119"
"4","NFKB1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.333333333333332","8","4","ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=52); Enrichr--Queries(rank=220); ReMap--ChIP-seq(rank=224)","36","rank=36; score=0.009828","rank=17; score=51.836; p=0.00044883; adjP=0.0067324","rank=8; score=3.3479; p=0.00044884"
"5","FOSL1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.333333333333336","6","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=102); ARCHS4--Coexpression(rank=135); Enrichr--Queries(rank=143)","66","rank=66; score=0.01684","rank=6; score=714.41; p=7.6125e-06; adjP=0.0025019","rank=7; score=3.433; p=0.00036895"
"6","STAT3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.000000000000000","14","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=227); Enrichr--Queries(rank=490); GTEx--Coexpression(rank=944)","47","rank=47; score=0.0122","rank=14; score=57.837; p=1.4936e-05; adjP=0.0025019","rank=20; score=1.9545; p=0.011105"
"7","EGR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.333333333333332","8","6","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=59); ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=237)","8","rank=8; score=0.002457","rank=56; score=65.821; p=0.0029528; adjP=0.015633","rank=18; score=2.5298; p=0.0029529"
"8","JUNB","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.333333333333332","9","4","Enrichr--Queries(rank=21); ReMap--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=54)","57","rank=57; score=0.01496","rank=22; score=333.1; p=0.0010626; adjP=0.011881","rank=9; score=2.9736; p=0.0010627"
"9","REL","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.333333333333332","16","3","GTEx--Coexpression(rank=11); ARCHS4--Coexpression(rank=20); Enrichr--Queries(rank=71)","25","rank=25; score=0.006845","rank=47; score=191.98; p=0.0023038; adjP=0.013823","rank=16; score=2.6376; p=0.0023038"
"10","JUND","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.000000000000000","4","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=110); ARCHS4--Coexpression(rank=133); Enrichr--Queries(rank=367)","30","rank=30; score=0.008475","rank=4; score=76.205; p=3.1787e-05; adjP=0.0035496","rank=56; score=0.9794; p=0.10486"
