"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=6); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=1305); ARCHS4--Coexpression(rank=1318)","17","rank=1; score=17.982; p=1.0416e-18","rank=4; score=5.9422; p=1.1424e-06","rank=1; score=10.914; p=9.8658e-28; direction=Repressed"
"2","TFDP1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.666666666666667","6","4","GTEx--Coexpression(rank=1); ARCHS4--Coexpression(rank=28); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=59)","2","rank=9; score=4.3268; p=4.712e-05","rank=6; score=4.7968; p=1.5967e-05","rank=8; score=3.9171; p=8.9622e-05; direction=Repressed"
"3","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.000000000000000","1","6","GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=33); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=194)","13","rank=2; score=12.203; p=6.2715e-13","rank=1; score=11.327; p=4.7138e-12","rank=21; score=3.2171; p=0.0012949; direction=Repressed"
"4","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.333333333333334","6","6","Literature--ChIP-seq(rank=64); ENCODE--ChIP-seq(rank=65); Enrichr--Queries(rank=173); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=220); GTEx--Coexpression(rank=1000)","480","rank=10; score=3.8207; p=0.00015111","rank=9; score=3.4307; p=0.00037095","rank=6; score=4.2912; p=1.7771e-05; direction=Repressed"
"5","FOXM1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.333333333333332","5","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=8)","7","rank=5; score=5.4916; p=3.2241e-06","rank=7; score=4.6194; p=2.4021e-05","rank=46; score=2.4596; p=0.01391; direction=Repressed"
"6","E2F3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.666666666666668","13","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1432)","61","rank=13; score=2.9664; p=0.0010804","rank=32; score=1.9424; p=0.011418","rank=23; score=3.0679; p=0.0021558; direction=Repressed"
"7","SMAD4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.666666666666668","10","5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=1296); ARCHS4--Coexpression(rank=1422); GTEx--Coexpression(rank=1449)","536","rank=34; score=1.7574; p=0.017483","rank=36; score=1.8142; p=0.015339","rank=10; score=3.8356; p=0.00012524; direction=Activated"
"8","FOXO3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.000000000000000","2","4","Literature--ChIP-seq(rank=122); Enrichr--Queries(rank=827); ARCHS4--Coexpression(rank=1217); GTEx--Coexpression(rank=1277)","1392","rank=29; score=1.8753; p=0.013325","rank=50; score=1.5475; p=0.028348","rank=2; score=5.9678; p=2.4047e-09; direction=Activated"
"9","ATF4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.666666666666664","11","4","ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=868); Enrichr--Queries(rank=1115); ARCHS4--Coexpression(rank=1209)","1172","rank=11; score=3.6398; p=0.00022922","rank=15; score=2.7522; p=0.0017691","rank=87; score=2.0844; p=0.037121; direction=Activated"
"10","EGR1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.666666666666664","22","6","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=98); Enrichr--Queries(rank=153); ARCHS4--Coexpression(rank=413); GTEx--Coexpression(rank=467)","276","rank=22; score=2.1478; p=0.0071153","rank=40; score=1.7535; p=0.017639","rank=57; score=2.3418; p=0.019192; direction=Activated"
