"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=6); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=1305); ARCHS4--Coexpression(rank=1318)","17","rank=1; score=17.982; p=1.0416e-18","rank=1; score=12.036; direction=Repressed","rank=1; score=10.914; p=9.8658e-28; direction=Repressed"
"2","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333333","3","6","Literature--ChIP-seq(rank=64); ENCODE--ChIP-seq(rank=65); Enrichr--Queries(rank=173); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=220); GTEx--Coexpression(rank=1000)","480","rank=10; score=3.8207; p=0.00015111","rank=3; score=6.9616; direction=Repressed","rank=6; score=4.2912; p=1.7771e-05; direction=Repressed"
"3","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.000000000000000","2","6","GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=33); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=194)","13","rank=2; score=12.203; p=6.2715e-13","rank=4; score=6.9445; direction=Repressed","rank=21; score=3.2171; p=0.0012949; direction=Repressed"
"4","TFDP1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.000000000000000","8","4","GTEx--Coexpression(rank=1); ARCHS4--Coexpression(rank=28); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=59)","2","rank=9; score=4.3268; p=4.712e-05","rank=10; score=5.1445; direction=Repressed","rank=8; score=3.9171; p=8.9622e-05; direction=Repressed"
"5","E2F2","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","10.333333333333334","4","3","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=285)","9","rank=4; score=8.0241; p=9.4596e-09","rank=7; score=5.9147; direction=Repressed","rank=20; score=3.2601; p=0.0011137; direction=Repressed"
"6","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.333333333333334","2","4","Literature--ChIP-seq(rank=122); Enrichr--Queries(rank=827); ARCHS4--Coexpression(rank=1217); GTEx--Coexpression(rank=1277)","1392","rank=29; score=1.8753; p=0.013325","rank=9; score=5.2076; direction=Activated","rank=2; score=5.9678; p=2.4047e-09; direction=Activated"
"7","E2F3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.000000000000000","13","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1432)","61","rank=13; score=2.9664; p=0.0010804","rank=24; score=3.639; direction=Repressed","rank=23; score=3.0679; p=0.0021558; direction=Repressed"
"8","FOXM1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.666666666666668","5","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=8)","7","rank=5; score=5.4916; p=3.2241e-06","rank=14; score=4.3992; direction=Repressed","rank=46; score=2.4596; p=0.01391; direction=Repressed"
"9","SMAD4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.000000000000000","10","5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=1296); ARCHS4--Coexpression(rank=1422); GTEx--Coexpression(rank=1449)","536","rank=34; score=1.7574; p=0.017483","rank=40; score=3.0385; direction=Activated","rank=10; score=3.8356; p=0.00012524; direction=Activated"
"10","RUNX2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.666666666666664","12","5","ReMap--ChIP-seq(rank=24); Literature--ChIP-seq(rank=63); Enrichr--Queries(rank=201); GTEx--Coexpression(rank=401); ARCHS4--Coexpression(rank=523)","337","rank=59; score=1.0121; p=0.097255","rank=33; score=3.3225; direction=Activated","rank=12; score=3.6859; p=0.0002279; direction=Activated"
