"Query Name","Rank","TF","Score","Library","Overlapping_Genes","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"DEG_DLD1_HCT15","1","ATF3","0.000614300000000000","ARCHS4 Coexpression,6.143E-4","CD274,DUSP5,CXCL8,IFRD1,HSPA6,NPL,RND1,RELB,PER1,NR4A3,GPNMB,DDIT3,CLCF1,NEU1,BHLHE40,ABL2,APOE,UPP1,CD68,OTUD1,HBEGF","chea3","1","0.000614300000000000",NA,NA,"","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","0.000614300000000000","ARCHS4 Coexpression,6.143E-4"
"DEG_DLD1_HCT15","2","CSRNP1","0.001229000000000000","ARCHS4 Coexpression,0.001229","TSPYL2,CD274,DUSP5,PHF1,TNFAIP3,NFATC1,PPP1R18,RELB,PER1,SOCS1,NR4A3,BHLHE40,GBP2,OTUD1,ATF3,HBEGF","chea3","2","0.001229000000000000",NA,NA,"","2","ARCHS4--Coexpression(rank=2); GTEx--Coexpression(rank=9)","2","0.001229000000000000","ARCHS4 Coexpression,0.001229"
"DEG_DLD1_HCT15","3","NR4A1","0.001245000000000000","GTEx Coexpression,0.001245","PER1,NR4A3,TNXB,GREB1,KLHDC1,BHLHE40,MCC,RIMKLB,ATF3,HBEGF","chea3","3","0.001245000000000000",NA,NA,"","4","GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=10); Enrichr--Queries(rank=24); ReMap--ChIP-seq(rank=67)","3","0.001245000000000000","GTEx Coexpression,0.001245"
"DEG_DLD1_HCT15","4","MAFF","0.001425000000000000","Enrichr Queries,0.001425","CD274,CXCL8,TNFAIP3,PRDM1,IFIT1,CLU,ETS1,RND3,HERPUD1,RELB,GPNMB,NOCT,UPP1,GBP2,TGM2,DUSP5,EDN1,GDF15,IGFBP3,IFRD1,NR4A3,GPRC5A,DDIT3,BHLHE40,LCN2,NUPR1,MXD1,ATF3,DDR2,HBEGF","chea3","4","0.001425000000000000",NA,NA,"","5","Enrichr--Queries(rank=2); GTEx--Coexpression(rank=4); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=1624)","4","0.001425000000000000","Enrichr Queries,0.001425"
"DEG_DLD1_HCT15","5","BATF","0.001843000000000000","ARCHS4 Coexpression,0.001843","CD274,DUSP5,FCMR,TNFRSF9,NFATC1,PRDM1,HAPLN3,CORO1A,PPP1R18,RELB,SOCS1,GBP2,CD68,APOL3","chea3","5","0.001843000000000000",NA,NA,"","5","ARCHS4--Coexpression(rank=3); ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=163); GTEx--Coexpression(rank=592)","5","0.001843000000000000","ARCHS4 Coexpression,0.001843"
"DEG_DLD1_HCT15","6","FOS","0.001867000000000000","GTEx Coexpression,0.001867","PER1,GPNMB,ADGRF4,BHLHE40,TNFAIP3,NR1D1,LY6G6C,RND3,ATF3,HBEGF","chea3","6","0.001867000000000000",NA,NA,"","5","GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=20); ARCHS4--Coexpression(rank=220)","6","0.001867000000000000","GTEx Coexpression,0.001867"
"DEG_DLD1_HCT15","7","NFIL3","0.002137000000000000","Enrichr Queries,0.002137","OSER1,CXCL8,GOLT1A,TNFAIP3,PRDM1,CLU,ETS1,RND3,HERPUD1,GPNMB,NOCT,SESN2,UPP1,GBP2,TGM2,DUSP5,GDF15,IGFBP3,IFRD1,DHRS3,NR4A3,SLPI,DDIT3,BHLHE40,LCN2,NUPR1,MXD1,ATF3,DDR2,HBEGF","chea3","7","0.002137000000000000",NA,NA,"","3","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=58); ARCHS4--Coexpression(rank=82)","7","0.002137000000000000","Enrichr Queries,0.002137"
"DEG_DLD1_HCT15","8","ZBED2","0.002457000000000000","ARCHS4 Coexpression,0.002457","FGFBP1,LAMB3,TNFRSF9,NFATC1,PRDM1,HAPLN3,ETS1,CORO1A,RELB,SOCS1,BHLHE40,GBP2,MPZL3","chea3","8","0.002457000000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=14); GTEx--Coexpression(rank=918)","8","0.002457000000000000","ARCHS4 Coexpression,0.002457"
"DEG_DLD1_HCT15","9","DDIT3","0.002849000000000000","Enrichr Queries,0.002849","CXCL8,ZFAND2A,TNFAIP3,IFIT1,CLU,RND3,HERPUD1,RELB,GPNMB,SESN2,APOE,UPP1,GBP2,TGM2,DUSP5,EDN1,GDF15,IGFBP3,IFRD1,NR1D1,FBXO32,DHRS3,NR4A3,BHLHE40,NUPR1,MXD1,CD68,ATF3,DDR2,HBEGF","chea3","9","0.002849000000000000",NA,NA,"","3","Enrichr--Queries(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=50)","9","0.002849000000000000","Enrichr Queries,0.002849"
"DEG_DLD1_HCT15","10","NR4A3","0.003071000000000000","ARCHS4 Coexpression,0.003071","CD274,DUSP5,TNFAIP3,NFATC1,RELB,PER1,ABL2,APOE,GBP2,CD68,OTUD1,ATF3,HBEGF","chea3","10","0.003071000000000000",NA,NA,"","3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=17); GTEx--Coexpression(rank=71)","10","0.003071000000000000","ARCHS4 Coexpression,0.003071"
"DEG_DLD1_HCT15","11","SNAI1","0.003111000000000000","GTEx Coexpression,0.003111","AOC3,STEAP4,NOCT,CLCF1,FAM241A,HAPLN3,ETS1,APOL3,HBEGF","chea3","11","0.003111000000000000",NA,NA,"","3","GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=28); Enrichr--Queries(rank=137)","11","0.003111000000000000","GTEx Coexpression,0.003111"
"DEG_DLD1_HCT15","12","JUN","0.003367000000000000","ReMap ChIP-seq,0.003367","CXCL8,SELPLG,GUCA1B,TNFAIP3,CLU,IGSF9,NAT16,TP53INP2,UPP1,LY6G6C,TGM2,DUSP5,LAMB3,GDF15,NOS3,ATG9B,GLYCTK,MAP1LC3B2,KRT7,NR1D1,FBXO32,DHRS3,IQCN,PER1,GPRC5A,DDIT3,CLCF1,BHLHE40,ATF3","chea3","12","0.003367000000000000",NA,NA,"","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); GTEx--Coexpression(rank=10); ARCHS4--Coexpression(rank=44); Enrichr--Queries(rank=66)","12","0.003367000000000000","ReMap ChIP-seq,0.003367"
"DEG_DLD1_HCT15","13","RELB","0.003561000000000000","Enrichr Queries,0.003561","CD274,CXCL8,TNFAIP3,PRDM1,IFIT1,CLU,ETS1,CORO1A,RND3,SOCS1,APOE,UPP1,GBP2,TGM2,DUSP5,EDN1,GDF15,IGFBP3,TNFRSF9,NR4A3,DDIT3,BHLHE40,NUPR1,MXD1,CD68,ATF3,DDR2,HBEGF","chea3","13","0.003561000000000000",NA,NA,"","4","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=94); GTEx--Coexpression(rank=181)","13","0.003561000000000000","Enrichr Queries,0.003561"
"DEG_DLD1_HCT15","14","NFE2L2","0.003686000000000000","ARCHS4 Coexpression,0.003686","CD274,DUSP5,CDKN2B,CXCL8,OSGIN1,TNFAIP3,NPL,RELB,NR4A3,GPNMB,BHLHE40,CD68,ATF3","chea3","14","0.003686000000000000",NA,NA,"","5","ARCHS4--Coexpression(rank=6); Literature--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=151); Enrichr--Queries(rank=209); GTEx--Coexpression(rank=848)","14","0.003686000000000000","ARCHS4 Coexpression,0.003686"
"DEG_DLD1_HCT15","15","TBX4","0.003734000000000000","GTEx Coexpression,0.003734","AOC3,CD274,EDN1,GPRC5A,CEACAM6,LAMP3,VEPH1,CASS4,PCDH12","chea3","15","0.003734000000000000",NA,NA,"","3","GTEx--Coexpression(rank=6); ARCHS4--Coexpression(rank=202); Enrichr--Queries(rank=551)","15","0.003734000000000000","GTEx Coexpression,0.003734"
