"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","ATF3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.33333333333334","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=77)","1","rank=22; score=1.57; p=0.026918","rank=1; score=0.0006143","rank=89; score=2.0264; direction=Repressed","rank=12; score=90.501; p=5.8292e-07; adjP=0.00013563","rank=41; score=1.1047; p=0.07858","rank=5; score=4.3443; p=1.3971e-05; direction=Activated"
"2","FOSL1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.83333333333333","3","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=10); Enrichr--Queries(rank=84); ARCHS4--Coexpression(rank=137); GTEx--Coexpression(rank=168)","130","rank=3; score=2.8618; p=0.0013747","rank=130; score=0.03367","rank=53; score=2.5984; direction=Activated","rank=16; score=398.2; p=1.4036e-05; adjP=0.0016328","rank=4; score=3.043; p=0.00090583","rank=39; score=2.534; p=0.011277; direction=Activated"
"3","JUNB","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.16666666666666","19","4","GTEx--Coexpression(rank=10); Enrichr--Queries(rank=16); ARCHS4--Coexpression(rank=63); ReMap--ChIP-seq(rank=82)","22","rank=24; score=1.5384; p=0.028947","rank=22; score=0.006223","rank=44; score=2.7484; direction=Activated","rank=19; score=36.642; p=0.024949; adjP=0.12341","rank=39; score=1.1316; p=0.073853","rank=99; score=1.8843; p=0.059518; direction=Activated"
"4","FOSL2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.33333333333334","7","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=14); Enrichr--Queries(rank=19); ARCHS4--Coexpression(rank=352); GTEx--Coexpression(rank=374)","52","rank=28; score=1.3023; p=0.049856","rank=52; score=0.01353","rank=83; score=2.1099; direction=Activated","rank=7; score=49.192; p=0.00028249; adjP=0.021273","rank=38; score=1.1316; p=0.073853","rank=58; score=2.2622; p=0.023682; direction=Activated"
"5","SMAD3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.66666666666666","19","5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=8); Enrichr--Queries(rank=219); GTEx--Coexpression(rank=715); ARCHS4--Coexpression(rank=1201)","66","rank=56; score=0.80861; p=0.15538","rank=66; score=0.01684","rank=61; score=2.4726; direction=Activated","rank=32; score=29.987; p=0.00013592; adjP=0.0078506","rank=58; score=0.83362; p=0.14668","rank=19; score=3.2287; p=0.0012435; direction=Activated"
"6","JUN","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.83333333333333","1","6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=11); GTEx--Coexpression(rank=29); ARCHS4--Coexpression(rank=58); Enrichr--Queries(rank=79)","20","rank=11; score=2.4644; p=0.0034327","rank=20; score=0.006098","rank=16; score=3.5153; direction=Activated","rank=1; score=119.18; p=3.3989e-08; adjP=2.3724e-05","rank=5; score=2.9997; p=0.0010006","rank=252; score=1.2914; p=0.19657; direction=Activated"
"7","RELA","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.33333333333333","2","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=90); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=672); ARCHS4--Coexpression(rank=1196)","117","rank=13; score=2.1971; p=0.0063515","rank=117; score=0.03049","rank=40; score=2.7622; direction=Activated","rank=6; score=49.969; p=0.00014275; adjP=0.0078506","rank=2; score=3.8108; p=0.00015459","rank=136; score=1.707; p=0.087831; direction=Activated"
"8","ATF4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.16666666666667","8","4","GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=860); Enrichr--Queries(rank=916)","195","rank=9; score=2.5302; p=0.0029499","rank=195; score=0.04978","rank=8; score=4.3475; direction=Activated","rank=82; score=51.622; p=0.013735; adjP=0.062299","rank=17; score=1.8622; p=0.013735","rank=14; score=3.5742; p=0.00035129; direction=Activated"
"9","NFKB1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.33333333333333","1","4","ARCHS4--Coexpression(rank=98); Enrichr--Queries(rank=246); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=838)","226","rank=4; score=2.8148; p=0.0015318","rank=226; score=0.0602","rank=23; score=3.0813; direction=Activated","rank=4; score=68.399; p=2.4924e-05; adjP=0.0031653","rank=1; score=4.6034; p=2.4925e-05","rank=74; score=2.1081; p=0.035019; direction=Activated"
"10","CEBPB","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.00000000000000","8","6","ENCODE--ChIP-seq(rank=12); Enrichr--Queries(rank=39); Literature--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=784); GTEx--Coexpression(rank=857)","105","rank=67; score=0.71347; p=0.19343","rank=105; score=0.02778","rank=74; score=2.2541; direction=Activated","rank=43; score=59.441; p=0.0035697; adjP=0.032828","rank=8; score=2.4474; p=0.0035698","rank=45; score=2.4825; p=0.013047; direction=Activated"
