"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","NFKB1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","1","4","ARCHS4--Coexpression(rank=98); Enrichr--Queries(rank=246); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=838)","226","rank=4; score=2.8148; p=0.0015318","rank=1; score=4.6034; p=2.4925e-05"
"2","FOSL1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","3","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=10); Enrichr--Queries(rank=84); ARCHS4--Coexpression(rank=137); GTEx--Coexpression(rank=168)","130","rank=3; score=2.8618; p=0.0013747","rank=4; score=3.043; p=0.00090583"
"3","NR1H3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","3","5","Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=32); Enrichr--Queries(rank=58); ARCHS4--Coexpression(rank=187); ReMap--ChIP-seq(rank=261)","76","rank=5; score=2.784; p=0.0016442","rank=3; score=3.5935; p=0.000255"
"4","RELA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.5","2","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=90); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=672); ARCHS4--Coexpression(rank=1196)","117","rank=13; score=2.1971; p=0.0063515","rank=2; score=3.8108; p=0.00015459"
"5","JUN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.0","5","6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=11); GTEx--Coexpression(rank=29); ARCHS4--Coexpression(rank=58); Enrichr--Queries(rank=79)","20","rank=11; score=2.4644; p=0.0034327","rank=5; score=2.9997; p=0.0010006"
"6","FOS","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.0","6","5","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=18); ARCHS4--Coexpression(rank=106)","2","rank=16; score=1.9594; p=0.01098","rank=6; score=2.5106; p=0.0030862"
"7","ARNTL","DoRothEA;TRRUST","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","12.5","2","4","ARCHS4--Coexpression(rank=32); Enrichr--Queries(rank=38); ReMap--ChIP-seq(rank=202); GTEx--Coexpression(rank=634)","75","rank=2; score=2.9475; p=0.0011285","rank=23; score=1.5198; p=0.030216"
"8","ATF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.0","9","4","GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=860); Enrichr--Queries(rank=916)","195","rank=9; score=2.5302; p=0.0029499","rank=17; score=1.8622; p=0.013735"
"9","PPARG","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","10","5","ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=24); Enrichr--Queries(rank=52); GTEx--Coexpression(rank=68); ARCHS4--Coexpression(rank=118)","144","rank=18; score=1.7314; p=0.018559","rank=10; score=2.3307; p=0.0046696"
"10","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","14","5","Literature--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=57); ARCHS4--Coexpression(rank=1011); Enrichr--Queries(rank=1014); GTEx--Coexpression(rank=1320)","662","rank=14; score=2.0529; p=0.0088534","rank=14; score=2.0024; p=0.0099451"
