"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","STAT1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.666666666666666","2","6","ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=219); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=1079)","470","rank=17; score=1.7827; p=0.016492","rank=4; score=4.669; direction=Activated","rank=2; score=4.9303; p=8.2104e-07; direction=Activated"
"2","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.333333333333334","8","4","GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=860); Enrichr--Queries(rank=916)","195","rank=9; score=2.5302; p=0.0029499","rank=8; score=4.3475; direction=Activated","rank=14; score=3.5742; p=0.00035129; direction=Activated"
"3","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.333333333333336","4","4","Literature--ChIP-seq(rank=57); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=520); GTEx--Coexpression(rank=1130)","781","rank=63; score=0.75268; p=0.17673","rank=9; score=4.3342; direction=Activated","rank=4; score=4.5366; p=5.7157e-06; direction=Activated"
"4","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.666666666666664","1","6","ENCODE--ChIP-seq(rank=89); Literature--ChIP-seq(rank=141); ReMap--ChIP-seq(rank=238); ARCHS4--Coexpression(rank=815); Enrichr--Queries(rank=1075); GTEx--Coexpression(rank=1498)","1324","rank=93; score=0.46706; p=0.34114","rank=1; score=8.4458; direction=Repressed","rank=1; score=7.3311; p=2.2825e-13; direction=Repressed"
"5","FOSL1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.666666666666668","3","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=10); Enrichr--Queries(rank=84); ARCHS4--Coexpression(rank=137); GTEx--Coexpression(rank=168)","130","rank=3; score=2.8618; p=0.0013747","rank=53; score=2.5984; direction=Activated","rank=39; score=2.534; p=0.011277; direction=Activated"
"6","ETV4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.000000000000000","12","4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=232); ARCHS4--Coexpression(rank=814); GTEx--Coexpression(rank=1422)","575","rank=38; score=1.1316; p=0.073853","rank=49; score=2.6231; direction=Activated","rank=12; score=3.5843; p=0.00033803; direction=Activated"
"7","NFKB1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.666666666666664","4","4","ARCHS4--Coexpression(rank=98); Enrichr--Queries(rank=246); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=838)","226","rank=4; score=2.8148; p=0.0015318","rank=23; score=3.0813; direction=Activated","rank=74; score=2.1081; p=0.035019; direction=Activated"
"8","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.666666666666664","2","6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=68); Enrichr--Queries(rank=143); GTEx--Coexpression(rank=190); ReMap--ChIP-seq(rank=219); ARCHS4--Coexpression(rank=788)","365","rank=99; score=0.23011; p=0.5887","rank=2; score=5.408; direction=Repressed","rank=15; score=3.555; p=0.00037792; direction=Repressed"
"9","ATF3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.666666666666664","5","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=77)","1","rank=22; score=1.57; p=0.026918","rank=89; score=2.0264; direction=Repressed","rank=5; score=4.3443; p=1.3971e-05; direction=Activated"
"10","CLOCK","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.000000000000000","20","5","Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=519); Enrichr--Queries(rank=1232); GTEx--Coexpression(rank=1526)","730","rank=72; score=0.63129; p=0.23373","rank=34; score=2.8787; direction=Activated","rank=20; score=3.2029; p=0.0013605; direction=Activated"
