"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.00000000000000","1","4","ReMap--ChIP-seq(rank=95); GTEx--Coexpression(rank=713); Enrichr--Queries(rank=774); ARCHS4--Coexpression(rank=1404)","895","rank=1; score=365.15; p=8.1593e-10; adjP=3.1005e-07","rank=1; score=9.0883; p=8.161e-10","rank=1; score=5.3843; p=7.2727e-08; direction=Activated"
"2","NFKB1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.00000000000000","4","4","ARCHS4--Coexpression(rank=6); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=416); GTEx--Coexpression(rank=458)","13","rank=11; score=63.987; p=3.1196e-07; adjP=3.3704e-05","rank=4; score=6.3531; p=4.4352e-07","rank=15; score=3.2326; p=0.0012265; direction=Activated"
"3","RELA","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.00000000000000","3","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=531); Enrichr--Queries(rank=588); GTEx--Coexpression(rank=656)","68","rank=14; score=76.197; p=1.6891e-12; adjP=3.1416e-10","rank=3; score=6.407; p=3.9176e-07","rank=31; score=2.8349; p=0.0045847; direction=Activated"
"4","DDIT3","ENRICHR;TRRUST;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","16.66666666666667","7","3","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=11); ARCHS4--Coexpression(rank=66)","10","rank=31; score=137.19; p=7.6807e-05; adjP=0.003243","rank=7; score=4.1146; p=7.681e-05","rank=12; score=3.3832; p=0.00071644; direction=Activated"
"5","STAT3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.66666666666667","5","6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=62); ReMap--ChIP-seq(rank=64); GTEx--Coexpression(rank=543); Enrichr--Queries(rank=763)","143","rank=21; score=44.756; p=2.1601e-05; adjP=0.0013681","rank=5; score=4.6655; p=2.1603e-05","rank=36; score=2.7048; p=0.0068338; direction=Activated"
"6","PAX5","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.66666666666667","4","5","ENCODE--ChIP-seq(rank=35); ARCHS4--Coexpression(rank=98); ReMap--ChIP-seq(rank=163); GTEx--Coexpression(rank=650); Enrichr--Queries(rank=780)","216","rank=4; score=55.258; p=0.0019284; adjP=0.028185","rank=15; score=2.7148; p=0.0019285","rank=46; score=2.6328; p=0.0084695; direction=Activated"
"7","TP53","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.66666666666667","6","5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=194); GTEx--Coexpression(rank=862); Enrichr--Queries(rank=1078); ARCHS4--Coexpression(rank=1528)","239","rank=25; score=40.36; p=3.0366e-06; adjP=6.3278e-05","rank=6; score=4.567; p=2.7101e-05","rank=37; score=2.7033; p=0.0068658; direction=Activated"
"8","JUN","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.00000000000000","2","6","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=8); ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=24); Enrichr--Queries(rank=31); ARCHS4--Coexpression(rank=40)","11","rank=7; score=86.872; p=7.0332e-08; adjP=1.3363e-05","rank=2; score=7.1528; p=7.0341e-08","rank=78; score=2.2565; p=0.024037; direction=Activated"
"9","ATF3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.33333333333334","2","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=71)","1","rank=5; score=125.53; p=6.0719e-19; adjP=4.5175e-16","rank=90; score=1.1931; p=0.0641","rank=2; score=5.041; p=4.6316e-07; direction=Activated"
"10","FOSL1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.00000000000000","13","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=17); ARCHS4--Coexpression(rank=34); GTEx--Coexpression(rank=109)","45","rank=24; score=40.992; p=2.8326e-07; adjP=1.2397e-05","rank=62; score=1.664; p=0.021675","rank=13; score=3.3459; p=0.0008201; direction=Activated"
