"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","SOX2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","13.5","3","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=402); GTEx--Coexpression(rank=488); ARCHS4--Coexpression(rank=515)","24","rank=24; score=0.006098","rank=3; score=174.39; p=7.9439e-22; adjP=5.8467e-19"
"2","CEBPB","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.5","4","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=40); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=100); ARCHS4--Coexpression(rank=175)","33","rank=33; score=0.008475","rank=4; score=43.178; p=7.2563e-05; adjP=0.0033209"
"3","ESR1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.5","26","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=617); GTEx--Coexpression(rank=709)","26","rank=26; score=0.006734","rank=29; score=54.417; p=8.739e-05; adjP=0.0015688"
"4","RELB","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","31.0","8","4","Enrichr--Queries(rank=19); ReMap--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=131); GTEx--Coexpression(rank=342)","54","rank=54; score=0.01353","rank=8; score=113.86; p=4.2088e-08; adjP=8.7421e-06"
"5","PPARG","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.5","28","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","rank=41; score=0.0101","rank=28; score=23.666; p=1.1819e-05; adjP=0.00041421"
"6","KLF4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.0","9","5","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=32); Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=82)","9","rank=9; score=0.002457","rank=77; score=30.633; p=0.0014007; adjP=0.012129"
"7","BACH1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","43.5","14","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=265); Enrichr--Queries(rank=283); GTEx--Coexpression(rank=885)","73","rank=73; score=0.01829","rank=14; score=43.63; p=4.7511e-08; adjP=8.7421e-06"
"8","HIF1A","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.5","42","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=117); GTEx--Coexpression(rank=624); Enrichr--Queries(rank=834)","47","rank=47; score=0.0122","rank=42; score=96.114; p=8.2911e-07; adjP=5.0852e-05"
"9","NFE2L2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.0","18","5","Literature--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=144); GTEx--Coexpression(rank=405); Enrichr--Queries(rank=564)","84","rank=84; score=0.02088","rank=18; score=14.378; p=0.00073248; adjP=0.0075689"
"10","ATF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.5","4","6","ARCHS4--Coexpression(rank=2); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=106)","4","rank=4; score=0.001229","rank=99; score=25.963; p=0.0001689; adjP=0.0024862"
