"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","SP3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.4","1","3","GTEx--Coexpression(rank=638); Enrichr--Queries(rank=1173); ARCHS4--Coexpression(rank=1230)","1099","rank=2; score=4.9395; p=1.1495e-05","rank=42; score=2.5353; direction=Activated","rank=9; score=69.837; p=7.4766e-06; adjP=0.0008299","rank=1; score=5.1263; p=7.4771e-06","rank=38; score=3.197; p=0.0013885; direction=Activated"
"2","VDR","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.2","9","5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","rank=9; score=3.0524; p=0.00088626","rank=25; score=3.0209; direction=Activated","rank=70; score=50.636; p=0.00098585; adjP=0.011583","rank=10; score=3.0062; p=0.00098587","rank=12; score=3.8337; p=0.00012625; direction=Activated"
"3","SMAD4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.6","13","5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=43); Enrichr--Queries(rank=1227); ARCHS4--Coexpression(rank=1407); GTEx--Coexpression(rank=1446)","449","rank=27; score=1.8882; p=0.012935","rank=53; score=2.2483; direction=Activated","rank=13; score=55.289; p=4.4362e-05; adjP=0.0010203","rank=42; score=1.9335; p=0.011654","rank=18; score=3.7021; p=0.00021381; direction=Activated"
"4","SP1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.8","5","5","ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=819); Enrichr--Queries(rank=1180); ARCHS4--Coexpression(rank=1334)","1171","rank=30; score=1.7968; p=0.015967","rank=6; score=4.2299; direction=Activated","rank=5; score=70.339; p=1.4589e-07; adjP=4.8581e-05","rank=33; score=2.1777; p=0.006642","rank=90; score=2.6545; p=0.0079433; direction=Activated"
"5","PPARG","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.4","2","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","rank=51; score=1.4078; p=0.039102","rank=57; score=2.1365; direction=Activated","rank=28; score=23.666; p=1.1819e-05; adjP=0.00041421","rank=34; score=2.1399; p=0.0072466","rank=2; score=5.3405; p=9.2686e-08; direction=Activated"
"6","STAT2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.2","17","5","ENCODE--ChIP-seq(rank=4); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=40); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=1575)","86","rank=49; score=1.4631; p=0.034425","rank=34; score=2.6897; direction=Activated","rank=17; score=48.999; p=0.0015804; adjP=0.071591","rank=45; score=1.7811; p=0.016554","rank=36; score=3.2344; p=0.0012191; direction=Activated"
"7","ESR1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.0","5","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=617); GTEx--Coexpression(rank=709)","26","rank=16; score=2.6195; p=0.0024015","rank=5; score=4.2814; direction=Activated","rank=29; score=54.417; p=8.739e-05; adjP=0.0015688","rank=63; score=1.2915; p=0.051109","rank=72; score=2.845; p=0.0044417; direction=Activated"
"8","STAT3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.6","7","6","ENCODE--ChIP-seq(rank=17); Literature--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=397); Enrichr--Queries(rank=662); GTEx--Coexpression(rank=1017)","491","rank=25; score=1.9117; p=0.012254","rank=7; score=3.8931; direction=Activated","rank=57; score=24.618; p=0.0012569; adjP=0.019025","rank=12; score=2.9007; p=0.001257","rank=87; score=2.6612; p=0.0077854; direction=Activated"
"9","CEBPB","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.6","4","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=40); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=100); ARCHS4--Coexpression(rank=175)","33","rank=95; score=0.74509; p=0.17985","rank=18; score=3.2526; direction=Activated","rank=4; score=43.178; p=7.2563e-05; adjP=0.0033209","rank=52; score=1.6141; p=0.024315","rank=24; score=3.518; p=0.00043481; direction=Activated"
"10","TFAP2A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.2","2","6","ENCODE--ChIP-seq(rank=47); GTEx--Coexpression(rank=78); Literature--ChIP-seq(rank=127); ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=278); Enrichr--Queries(rank=321)","193","rank=10; score=3.0231; p=0.0009481","rank=35; score=2.6561; direction=Activated","rank=15; score=69.091; p=4.6271e-05; adjP=0.003852","rank=2; score=4.3347; p=4.6273e-05","rank=134; score=2.2853; p=0.022295; direction=Activated"
