"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","9.160968449789489654","-9.160968449789489654","0.00000000000000000005143363275813435","RKO=-9.161","Repressed","1","collectri","1","9.160968449789489654",NA,"6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=830); ARCHS4--Coexpression(rank=1173)","18","0.00609800000000000","Literature ChIP-seq,0.006098"
"FOXO3","5.804466592221563914","5.804466592221563914","0.00000000645712329929080837637472127","RKO=5.804","Activated","2","collectri","2","5.804466592221563914",NA,"4","ARCHS4--Coexpression(rank=43); Literature--ChIP-seq(rank=125); Enrichr--Queries(rank=447); GTEx--Coexpression(rank=876)","100","0.02641000000000000","ARCHS4 Coexpression,0.02641"
"REST","4.955416823975381746","4.955416823975381746","0.00000072175393349305532494068369728","RKO=4.955","Activated","3","collectri","3","4.955416823975381746",NA,"6","ENCODE--ChIP-seq(rank=63); Literature--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=244); ARCHS4--Coexpression(rank=367); Enrichr--Queries(rank=720)","606","0.15179999999999999","GTEx Coexpression,0.1518"
"MYC","4.675343576111477439","-4.675343576111477439","0.00000293461890772971539841432186968","RKO=-4.675","Repressed","4","collectri","4","4.675343576111477439",NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=200); ARCHS4--Coexpression(rank=248); GTEx--Coexpression(rank=723)","324","0.07926999999999999","Literature ChIP-seq,0.07927"
"SRSF2","4.237522232262591615","-4.237522232262591615","0.00002260000469285175611860831679234","RKO=-4.238","Repressed","5","collectri","5","4.237522232262591615",NA,"0","",NA,NA,NA
"EGR4","4.218788271626099373","4.218788271626099373","0.00002456187890938533549566903657624","RKO=4.219","Activated","6","collectri","6","4.218788271626099373",NA,"3","GTEx--Coexpression(rank=199); ARCHS4--Coexpression(rank=201); Enrichr--Queries(rank=559)","503","0.12350000000000001","ARCHS4 Coexpression,0.1235"
"IRF9","4.066078873561022711","4.066078873561022711","0.00004781076045925821159160093443141","RKO=4.066","Activated","7","collectri","7","4.066078873561022711",NA,"4","ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=429); GTEx--Coexpression(rank=457); Enrichr--Queries(rank=608)","926","0.26350000000000001","ARCHS4 Coexpression,0.2635"
"ABL1","4.041862199640979370","4.041862199640979370","0.00005302839362507117830546413128623","RKO=4.042","Activated","8","collectri","8","4.041862199640979370",NA,"0","",NA,NA,NA
"NFYA","3.995845893157071060","-3.995845893157071060","0.00006446365974194366197606159696321","RKO=-3.996","Repressed","9","collectri","9","3.995845893157071060",NA,"5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=17); GTEx--Coexpression(rank=548); Enrichr--Queries(rank=634); ARCHS4--Coexpression(rank=1495)","232","0.05724000000000000","ReMap ChIP-seq,0.05724"
"PAX6","3.913964193918652246","3.913964193918652246","0.00009079310495046457490150165758891","RKO=3.914","Activated","10","collectri","10","3.913964193918652246",NA,"5","Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=192); GTEx--Coexpression(rank=362); ARCHS4--Coexpression(rank=391); Enrichr--Queries(rank=1037)","826","0.22530000000000000","GTEx Coexpression,0.2253"
"RARG","3.890907830182576799","3.890907830182576799","0.00009986986647895899254015472656931","RKO=3.891","Activated","11","collectri","11","3.890907830182576799",NA,"4","Literature--ChIP-seq(rank=77); Enrichr--Queries(rank=187); GTEx--Coexpression(rank=275); ARCHS4--Coexpression(rank=486)","534","0.13320000000000001","Enrichr Queries,0.1332"
"KLF6","3.637814740616399867","3.637814740616399867","0.00027496108274314393256354538408459","RKO=3.638","Activated","12","collectri","12","3.637814740616399867",NA,"4","ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=151); Enrichr--Queries(rank=483); GTEx--Coexpression(rank=1090)","385","0.09275000000000001","ARCHS4 Coexpression,0.09275"
"HCFC1","3.635236347067722029","-3.635236347067722029","0.00027772590084391757031187508708570","RKO=-3.635","Repressed","13","collectri","13","3.635236347067722029",NA,"0","",NA,NA,NA
"STAT1","3.529839414812413256","3.529839414812413256","0.00041581196773786909502701458762886","RKO=3.53","Activated","14","collectri","14","3.529839414812413256",NA,"6","GTEx--Coexpression(rank=21); ENCODE--ChIP-seq(rank=69); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=437)","47","0.01307000000000000","GTEx Coexpression,0.01307"
"BCL3","3.480453176883817168","3.480453176883817168","0.00050056631040100202541254237331714","RKO=3.48","Activated","15","collectri","15","3.480453176883817168",NA,"0","",NA,NA,NA
"BCL11B","3.479884557587790805","3.479884557587790805","0.00050162988155559855730364349213346","RKO=3.48","Activated","16","collectri","16","3.479884557587790805",NA,"4","Literature--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=425); Enrichr--Queries(rank=587); GTEx--Coexpression(rank=859)","918","0.26110000000000000","ARCHS4 Coexpression,0.2611"
"SREBF2","3.449449608101099685","-3.449449608101099685","0.00056173056261060445686073006044126","RKO=-3.449","Repressed","17","collectri","17","3.449449608101099685",NA,"6","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=96); Literature--ChIP-seq(rank=127); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=567); ARCHS4--Coexpression(rank=1403)","676","0.17240000000000000","GTEx Coexpression,0.1724"
"NUPR1","3.432453583098318717","3.432453583098318717","0.00059814626059897612990468029892099","RKO=3.432","Activated","18","collectri","18","3.432453583098318717",NA,"0","",NA,NA,NA
"PML","3.392480056475578820","3.392480056475578820","0.00069262973943575096343744368354578","RKO=3.392","Activated","19","collectri","19","3.392480056475578820",NA,"0","",NA,NA,NA
"RUNX1","3.367640601445534898","3.367640601445534898","0.00075814357242466948183512442938081","RKO=3.368","Activated","20","collectri","20","3.367640601445534898",NA,"5","Literature--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=750); GTEx--Coexpression(rank=1024)","733","0.19159999999999999","Enrichr Queries,0.1916"
"SSRP1","3.333123449363045943","3.333123449363045943","0.00085876829218435775121359698758283","RKO=3.333","Activated","21","collectri","21","3.333123449363045943",NA,"0","",NA,NA,NA
"TFAP2C","3.329948843096935729","3.329948843096935729","0.00086861941297281084102543946556807","RKO=3.33","Activated","22","collectri","22","3.329948843096935729",NA,"6","ReMap--ChIP-seq(rank=31); ENCODE--ChIP-seq(rank=52); Literature--ChIP-seq(rank=54); Enrichr--Queries(rank=291); ARCHS4--Coexpression(rank=805); GTEx--Coexpression(rank=1016)","431","0.10440000000000001","ReMap ChIP-seq,0.1044"
"PAX2","3.320829340561796794","3.320829340561796794","0.00089750398838469105673026904312906","RKO=3.321","Activated","23","collectri","23","3.320829340561796794",NA,"3","Enrichr--Queries(rank=1032); GTEx--Coexpression(rank=1236); ARCHS4--Coexpression(rank=1545)","1541","0.73499999999999999","Enrichr Queries,0.735"
"MSC","3.302196603692990173","-3.302196603692990173","0.00095930805007025954107141574311868","RKO=-3.302","Repressed","24","collectri","24","3.302196603692990173",NA,"3","GTEx--Coexpression(rank=64); ARCHS4--Coexpression(rank=277); Enrichr--Queries(rank=300)","157","0.03983000000000000","GTEx Coexpression,0.03983"
"HEY2","3.213631336429130236","3.213631336429130236","0.00131067840343795623606060196664203","RKO=3.214","Activated","25","collectri","25","3.213631336429130236",NA,"3","GTEx--Coexpression(rank=220); ARCHS4--Coexpression(rank=533); Enrichr--Queries(rank=726)","550","0.13689999999999999","GTEx Coexpression,0.1369"
"GLI3","3.160155921942399804","3.160155921942399804","0.00157684728696373525382024016749938","RKO=3.16","Activated","26","collectri","26","3.160155921942399804",NA,"3","GTEx--Coexpression(rank=175); ARCHS4--Coexpression(rank=539); Enrichr--Queries(rank=702)","446","0.10890000000000000","GTEx Coexpression,0.1089"
"BACH2","3.124052669052840514","3.124052669052840514","0.00178378523874695555338776298270886","RKO=3.124","Activated","27","collectri","27","3.124052669052840514",NA,"4","ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=270); GTEx--Coexpression(rank=646); ARCHS4--Coexpression(rank=924)","736","0.19230000000000000","Enrichr Queries,0.1923"
"TWIST2","3.091969000781454202","3.091969000781454202","0.00198833611826658689797353574135741","RKO=3.092","Activated","28","collectri","28","3.091969000781454202",NA,"2","GTEx--Coexpression(rank=112); ARCHS4--Coexpression(rank=207)","284","0.06970000000000000","GTEx Coexpression,0.0697"
"ETV4","3.064340703278653599","3.064340703278653599","0.00218150316144530937931267366991506","RKO=3.064","Activated","29","collectri","29","3.064340703278653599",NA,"4","Enrichr--Queries(rank=30); GTEx--Coexpression(rank=31); ReMap--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=120)","70","0.01929000000000000","GTEx Coexpression,0.01929"
"HEY1","3.011040802995244903","3.011040802995244903","0.00260353864350042554787201254384854","RKO=3.011","Activated","30","collectri","30","3.011040802995244903",NA,"3","Enrichr--Queries(rank=327); ARCHS4--Coexpression(rank=410); GTEx--Coexpression(rank=574)","851","0.23290000000000000","Enrichr Queries,0.2329"
"WWTR1","2.983364340525944680","2.983364340525944680","0.00285098390451515512622471248960210","RKO=2.983","Activated","31","collectri","31","2.983364340525944680",NA,"0","",NA,NA,NA
"EGR1","2.978848704289176474","2.978848704289176474","0.00289333603267311317147614246891862","RKO=2.979","Activated","32","collectri","32","2.978848704289176474",NA,"6","Literature--ChIP-seq(rank=26); ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=81); GTEx--Coexpression(rank=150); ARCHS4--Coexpression(rank=189); Enrichr--Queries(rank=408)","387","0.09334000000000001","GTEx Coexpression,0.09334"
"POU3F2","2.977854334075066944","2.977854334075066944","0.00290273904099033622575043445124265","RKO=2.978","Activated","33","collectri","33","2.977854334075066944",NA,"4","Literature--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=444); GTEx--Coexpression(rank=673); Enrichr--Queries(rank=1278)","951","0.27270000000000000","ARCHS4 Coexpression,0.2727"
"ZNF148","2.972982532268167333","2.972982532268167333","0.00294921234850645513220213089766730","RKO=2.973","Activated","34","collectri","34","2.972982532268167333",NA,"3","ARCHS4--Coexpression(rank=288); Enrichr--Queries(rank=1052); GTEx--Coexpression(rank=1553)","689","0.17690000000000000","ARCHS4 Coexpression,0.1769"
