"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","SMAD4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.00000000000000","6","5","Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=1271); ARCHS4--Coexpression(rank=1468); GTEx--Coexpression(rank=1505)","370","rank=6; score=47.705; p=9.5276e-06; adjP=0.00037699","rank=22; score=2.5965; p=0.0025323","rank=8; score=4.1219; p=3.7584e-05; direction=Activated"
"2","SMAD2","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","13.00000000000000","4","0","",NA,"rank=7; score=131.68; p=2.2567e-18; adjP=5.6041e-16","rank=28; score=2.318; p=0.004808","rank=4; score=5.0545; p=4.3144e-07; direction=Activated"
"3","SMAD3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.66666666666667","6","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=271); ARCHS4--Coexpression(rank=853)","45","rank=12; score=131.68; p=2.2567e-18; adjP=5.6041e-16","rank=29; score=2.3116; p=0.0048798","rank=6; score=4.6666; p=3.0624e-06; direction=Activated"
"4","TP53","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.00000000000000","2","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=492); ARCHS4--Coexpression(rank=614); Enrichr--Queries(rank=1020)","65","rank=3; score=74.519; p=1.3654e-10; adjP=2.543e-08","rank=2; score=5.3392; p=4.5797e-06","rank=82; score=2.1209; p=0.033932; direction=Activated"
"5","ETS1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.00000000000000","12","6","ENCODE--ChIP-seq(rank=69); Enrichr--Queries(rank=153); Literature--ChIP-seq(rank=160); ARCHS4--Coexpression(rank=174); ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=312)","376","rank=52; score=39.036; p=0.00039247; adjP=0.0082961","rank=12; score=3.4062; p=0.00039248","rank=44; score=2.6369; p=0.0083676; direction=Activated"
"6","PAX5","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.00000000000000","14","5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=92); GTEx--Coexpression(rank=175); Enrichr--Queries(rank=685)","214","rank=85; score=70.292; p=0.0011076; adjP=0.014532","rank=18; score=2.9556; p=0.0011076","rank=14; score=3.4341; p=0.00059444; direction=Activated"
"7","SMAD7","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","40.33333333333334","17","0","",NA,"rank=73; score=154.83; p=0.00085357; adjP=0.012726","rank=17; score=3.0687; p=0.00085359","rank=31; score=2.9083; p=0.0036334; direction=Activated"
"8","SRF","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.33333333333334","18","6","ENCODE--ChIP-seq(rank=46); Literature--ChIP-seq(rank=132); ReMap--ChIP-seq(rank=176); GTEx--Coexpression(rank=757); Enrichr--Queries(rank=785); ARCHS4--Coexpression(rank=1512)","1089","rank=103; score=51.227; p=0.0021809; adjP=0.023075","rank=21; score=2.6614; p=0.0021809","rank=18; score=3.3026; p=0.00095808; direction=Activated"
"9","GATA3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.33333333333334","26","6","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=50); GTEx--Coexpression(rank=70); ARCHS4--Coexpression(rank=88)","116","rank=26; score=12.92; p=0.00045085; adjP=0.0038939","rank=71; score=1.2744; p=0.053156","rank=45; score=2.6188; p=0.0088231; direction=Activated"
"10","ESR1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.33333333333333","5","6","ENCODE--ChIP-seq(rank=14); Literature--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=18); ARCHS4--Coexpression(rank=163); Enrichr--Queries(rank=430); GTEx--Coexpression(rank=735)","229","rank=15; score=79.382; p=1.0837e-06; adjP=3.8444e-05","rank=5; score=5.1264; p=7.4752e-06","rank=134; score=1.8188; p=0.06894; direction=Activated"
