"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=492); ARCHS4--Coexpression(rank=614); Enrichr--Queries(rank=1020)","65","rank=1; score=8.6716; p=2.1303e-09","rank=2; score=5.3392; p=4.5797e-06"
"2","ESR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","3","6","ENCODE--ChIP-seq(rank=14); Literature--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=18); ARCHS4--Coexpression(rank=163); Enrichr--Queries(rank=430); GTEx--Coexpression(rank=735)","229","rank=3; score=4.2797; p=5.2523e-05","rank=5; score=5.1264; p=7.4752e-06"
"3","ETS1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.0","2","6","ENCODE--ChIP-seq(rank=69); Enrichr--Queries(rank=153); Literature--ChIP-seq(rank=160); ARCHS4--Coexpression(rank=174); ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=312)","376","rank=2; score=4.6133; p=2.4363e-05","rank=12; score=3.4062; p=0.00039248"
"4","NFKB1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.5","4","4","ARCHS4--Coexpression(rank=93); GTEx--Coexpression(rank=150); ReMap--ChIP-seq(rank=202); Enrichr--Queries(rank=594)","217","rank=11; score=3.4656; p=0.00034226","rank=4; score=5.261; p=5.4823e-06"
"5","RELA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.0","3","6","Literature--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=709); Enrichr--Queries(rank=891); ARCHS4--Coexpression(rank=1565)","577","rank=19; score=2.8074; p=0.001558","rank=3; score=5.3056; p=4.9472e-06"
"6","SP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","1","5","ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=101); GTEx--Coexpression(rank=869); ARCHS4--Coexpression(rank=958); Enrichr--Queries(rank=1299)","995","rank=23; score=2.5868; p=0.0025897","rank=1; score=5.4797; p=3.3137e-06"
"7","KLF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","6","5","ARCHS4--Coexpression(rank=23); GTEx--Coexpression(rank=24); ReMap--ChIP-seq(rank=44); Literature--ChIP-seq(rank=48); Enrichr--Queries(rank=57)","50","rank=21; score=2.6724; p=0.0021261","rank=6; score=4.5696; p=2.694e-05"
"8","RARA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","9","5","Literature--ChIP-seq(rank=136); ReMap--ChIP-seq(rank=230); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=520); GTEx--Coexpression(rank=1312)","745","rank=18; score=2.8182; p=0.0015199","rank=9; score=3.6048; p=0.00024844"
"9","SMAD4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.5","9","5","Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=1271); ARCHS4--Coexpression(rank=1468); GTEx--Coexpression(rank=1505)","370","rank=9; score=3.5239; p=0.00029932","rank=22; score=2.5965; p=0.0025323"
"10","SMAD3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","4","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=271); ARCHS4--Coexpression(rank=853)","45","rank=4; score=4.0863; p=8.1977e-05","rank=29; score=2.3116; p=0.0048798"
