"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.6","1","4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","rank=1; score=3.9923; p=0.00010179","rank=15; score=3.2007; direction=Activated","rank=6; score=540.64; p=0.00049931; adjP=0.010555","rank=2; score=3.3016; p=0.00049933","rank=4; score=2.8976; p=1.7206e-07; direction=Activated"
"2","TP53","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.0","5","5","Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=590); Enrichr--Queries(rank=920); GTEx--Coexpression(rank=1085)","385","rank=11; score=1.6422; p=0.022793","rank=5; score=3.9932; direction=Activated","rank=18; score=25.532; p=0.01694; adjP=0.15076","rank=28; score=0.83899; p=0.14488","rank=73; score=1.7861; p=0.0048035; direction=Activated"
"3","FOSL1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.6","4","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=11); Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=1082); GTEx--Coexpression(rank=1124)","14","rank=4; score=1.9828; p=0.010403","rank=102; score=1.6943; direction=Activated","rank=19; score=927.7; p=0.006632; adjP=0.041425","rank=7; score=2.0696; p=0.0085193","rank=41; score=1.8339; p=0.0010321; direction=Activated"
"4","NFKB1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.0","5","4","ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=245); GTEx--Coexpression(rank=725); Enrichr--Queries(rank=765)","532","rank=33; score=0.83899; p=0.14488","rank=59; score=2.1372; direction=Activated","rank=5; score=34.418; p=0.023831; adjP=0.21596","rank=29; score=0.59882; p=0.25187","rank=49; score=1.6274; p=0.0018546; direction=Activated"
"5","E2F1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.8","12","6","ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=649); Enrichr--Queries(rank=1144)","1181","rank=15; score=1.4281; p=0.037315","rank=12; score=3.6156; direction=Repressed","rank=74; score=18.138; p=0.013475; adjP=0.27762","rank=69; score=0; p=1","rank=19; score=2.8861; p=8.1645e-05; direction=Repressed"
"6","JUN","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.6","1","6","ENCODE--ChIP-seq(rank=1); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=76); Enrichr--Queries(rank=338)","19","rank=30; score=0.96279; p=0.10895","rank=29; score=2.5611; direction=Activated","rank=1; score=69.942; p=0.0011599; adjP=0.12917","rank=27; score=0.87777; p=0.1325","rank=166; score=1.8467; p=0.027287; direction=Activated"
"7","MYC","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.6","3","6","ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=71); GTEx--Coexpression(rank=169); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=624); ARCHS4--Coexpression(rank=825)","408","rank=145; score=0; p=1","rank=3; score=4.6352; direction=Repressed","rank=75; score=26.757; p=0.090883; adjP=0.10253","rank=26; score=1.0415; p=0.090883","rank=14; score=2.6211; p=1.9334e-05; direction=Repressed"
"8","IRF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.2","4","5","ReMap--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=221); GTEx--Coexpression(rank=276); Enrichr--Queries(rank=828)","252","rank=25; score=1.2028; p=0.062688","rank=51; score=2.2135; direction=Activated","rank=10; score=506.56; p=0.010403; adjP=0.041425","rank=4; score=2.3241; p=0.0047415","rank=201; score=1.8558; p=0.0373; direction=Activated"
"9","ATF2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.2","10","5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=475); ARCHS4--Coexpression(rank=1085); Enrichr--Queries(rank=1128)","968","rank=10; score=1.6466; p=0.022565","rank=157; score=1.297; direction=Activated","rank=45; score=125.39; p=0.029979; adjP=0.052764","rank=15; score=1.5232; p=0.029979","rank=74; score=1.875; p=0.0048858; direction=Activated"
"10","ATF3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.4","6","6","Enrichr--Queries(rank=55); ReMap--ChIP-seq(rank=59); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=85); GTEx--Coexpression(rank=1012)","177","rank=43; score=0; p=1","rank=189; score=1.0135; direction=Repressed","rank=24; score=774.04; p=0.007576; adjP=0.041425","rank=40; score=0; p=1","rank=6; score=3.4731; p=4.3798e-07; direction=Activated"
