"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","HIF1A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.0","1","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=686)","23","rank=1; score=5.6492; direction=Activated","rank=5; score=4.3482; p=5.6836e-07; direction=Activated"
"2","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.0","1","4","Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=522); GTEx--Coexpression(rank=658); ARCHS4--Coexpression(rank=749)","1111","rank=5; score=3.9192; direction=Activated","rank=1; score=4.4262; p=1.7394e-10; direction=Activated"
"3","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.0","3","4","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=438); ARCHS4--Coexpression(rank=553)","222","rank=3; score=4.7541; direction=Activated","rank=19; score=2.673; p=0.00015291; direction=Activated"
"4","PPARG","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.0","4","5","Literature--ChIP-seq(rank=32); GTEx--Coexpression(rank=79); ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=131)","177","rank=30; score=2.7062; direction=Activated","rank=4; score=3.5864; p=6.9941e-08; direction=Activated"
"5","ZBTB7A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.5","6","5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=676); Enrichr--Queries(rank=1151); ARCHS4--Coexpression(rank=1430)","1130","rank=6; score=3.8927; direction=Activated","rank=39; score=2.3464; p=0.00089457; direction=Activated"
"6","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","7","6","ENCODE--ChIP-seq(rank=30); Literature--ChIP-seq(rank=41); GTEx--Coexpression(rank=148); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=346); ARCHS4--Coexpression(rank=959)","341","rank=7; score=3.6632; direction=Repressed","rank=41; score=2.2363; p=0.0011194; direction=Repressed"
"7","CEBPB","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.5","18","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=51); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=188)","33","rank=18; score=2.9738; direction=Activated","rank=33; score=2.2084; p=0.00051592; direction=Activated"
"8","SMAD3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.5","13","5","ReMap--ChIP-seq(rank=54); Literature--ChIP-seq(rank=62); GTEx--Coexpression(rank=513); Enrichr--Queries(rank=650); ARCHS4--Coexpression(rank=1023)","648","rank=50; score=2.3152; direction=Activated","rank=13; score=3.1656; p=6.6539e-05; direction=Activated"
"9","ATF6","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.5","24","3","ARCHS4--Coexpression(rank=369); Enrichr--Queries(rank=734); GTEx--Coexpression(rank=792)","775","rank=45; score=2.4218; direction=Activated","rank=24; score=3.5595; p=0.00019077; direction=Activated"
"10","KLF5","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.5","27","5","Literature--ChIP-seq(rank=25); Enrichr--Queries(rank=123); ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=139); GTEx--Coexpression(rank=202)","317","rank=27; score=2.7482; direction=Activated","rank=42; score=2.5227; p=0.0011896; direction=Activated"
