"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","ATF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.66666666666667","3","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=50)","5","rank=5; score=0.001245","rank=33; score=90.184; p=0.00050031; adjP=0.025593","rank=3; score=4.1843; p=1.9183e-08; direction=Activated"
"2","HIF1A","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.33333333333333","5","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=686)","23","rank=23; score=0.006098","rank=30; score=73.498; p=0.00034403; adjP=0.022452","rank=5; score=4.3482; p=5.6836e-07; direction=Activated"
"3","CEBPB","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.66666666666667","5","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=51); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=188)","33","rank=33; score=0.008475","rank=5; score=52.561; p=0.00014889; adjP=0.043672","rank=33; score=2.2084; p=0.00051592; direction=Activated"
"4","STAT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.33333333333334","9","6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=84); Literature--ChIP-seq(rank=149); Enrichr--Queries(rank=235); GTEx--Coexpression(rank=914)","27","rank=27; score=0.006734","rank=9; score=31.747; p=8.0533e-05; adjP=0.018233","rank=100; score=2.7618; p=0.0047985; direction=Activated"
"5","FOS","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.00000000000000","8","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=3); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=40); ARCHS4--Coexpression(rank=44)","8","rank=8; score=0.001867","rank=47; score=15.063; p=0.021359; adjP=0.15151","rank=83; score=1.9728; p=0.0030669; direction=Activated"
"6","KLF4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.66666666666666","18","5","ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=13); Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=133)","18","rank=18; score=0.0043","rank=93; score=71.26; p=0.038396; adjP=0.085588","rank=29; score=2.4122; p=0.00039035; direction=Activated"
"7","RELB","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","51.66666666666666","37","4","ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=75); ReMap--ChIP-seq(rank=165)","37","rank=37; score=0.009828","rank=37; score=103.05; p=0.00037139; adjP=0.022452","rank=81; score=1.7848; p=0.0029871; direction=Activated"
"8","EGR1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.66666666666666","29","6","Enrichr--Queries(rank=10); GTEx--Coexpression(rank=12); ARCHS4--Coexpression(rank=56); ENCODE--ChIP-seq(rank=71); Literature--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=109)","29","rank=29; score=0.007123","rank=78; score=10.84; p=0.1601; adjP=0.17451","rank=75; score=2.4724; p=0.0027676; direction=Activated"
"9","CEBPA","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","75.00000000000000","26","5","ReMap--ChIP-seq(rank=21); Literature--ChIP-seq(rank=29); GTEx--Coexpression(rank=62); Enrichr--Queries(rank=284); ARCHS4--Coexpression(rank=296)","141","rank=141; score=0.03858","rank=58; score=14.231; p=0.024863; adjP=0.23287","rank=26; score=2.2876; p=0.00023896; direction=Activated"
"10","PPARG","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","81.33333333333333","4","5","Literature--ChIP-seq(rank=32); GTEx--Coexpression(rank=79); ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=131)","177","rank=177; score=0.04916","rank=63; score=18.26; p=0.013962; adjP=0.13996","rank=4; score=3.5864; p=6.9941e-08; direction=Activated"
