"TF","HT55","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"HIF1A","5.081676425364662464","6.21664522934120711","5.6491608273529347883","5.6491608273529348","Activated","1","viper","1","5.6491608273529348",NA,NA,"5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=686)","23","0.00609800000000000","Literature ChIP-seq,0.006098"
"ARNTL","5.099345923831749339","4.59259453582997956","4.8459702298308648949","4.8459702298308649","Activated","2","viper","2","4.8459702298308649",NA,NA,"4","ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=101); ReMap--ChIP-seq(rank=119); GTEx--Coexpression(rank=1202)","30","0.00737100000000000","ARCHS4 Coexpression,0.007371"
"ATF4","4.521880762150463973","4.98626365406856209","4.7540722081095125873","4.7540722081095126","Activated","3","viper","3","4.7540722081095126",NA,NA,"4","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=438); ARCHS4--Coexpression(rank=553)","222","0.06061000000000000","ReMap ChIP-seq,0.06061"
"ZNF263","-1.688551401460487211","6.27985664048405212","2.2956526195117823441","3.9842040209722698","Activated","4","viper","4","3.9842040209722698",NA,NA,"6","ENCODE--ChIP-seq(rank=72); Literature--ChIP-seq(rank=158); ReMap--ChIP-seq(rank=256); GTEx--Coexpression(rank=433); ARCHS4--Coexpression(rank=508); Enrichr--Queries(rank=550)","874","0.26939999999999997","GTEx Coexpression,0.2694"
"FOXO3","3.094735735452715630","4.74357462569047872","3.9191551805715971746","3.9191551805715972","Activated","5","viper","5","3.9191551805715972",NA,NA,"4","Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=522); GTEx--Coexpression(rank=658); ARCHS4--Coexpression(rank=749)","1111","0.37180000000000002","Enrichr Queries,0.3718"
"ZBTB7A","-2.979217488844461581","4.80619611190260354","0.9134893115290709797","3.8927068003735323","Activated","6","viper","6","3.8927068003735323",NA,NA,"5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=676); Enrichr--Queries(rank=1151); ARCHS4--Coexpression(rank=1430)","1130","0.38140000000000002","ENCODE ChIP-seq,0.3814"
"MYC","-3.524213288529460808","-3.80222394739343050","-3.6632186179614456556","3.6632186179614457","Repressed","7","viper","7","3.6632186179614457",NA,NA,"6","ENCODE--ChIP-seq(rank=30); Literature--ChIP-seq(rank=41); GTEx--Coexpression(rank=148); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=346); ARCHS4--Coexpression(rank=959)","341","0.09210000000000000","GTEx Coexpression,0.0921"
"MAZ","0.112996161744955206","-7.20290505549308691","-3.5449544468740659120","3.6579506086190210","Repressed","8","viper","8","3.6579506086190210",NA,NA,"5","ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=192); ARCHS4--Coexpression(rank=807); Enrichr--Queries(rank=1344); GTEx--Coexpression(rank=1374)","1247","0.44919999999999999","ENCODE ChIP-seq,0.4492"
"SP1","4.229902790606772101","2.61983094494230073","3.4248668677745364164","3.4248668677745364","Activated","9","viper","9","3.4248668677745364",NA,NA,"5","ReMap--ChIP-seq(rank=57); ENCODE--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=736); GTEx--Coexpression(rank=867); Enrichr--Queries(rank=1160)","677","0.19189999999999999","ReMap ChIP-seq,0.1919"
"STAT1","2.471180009349033480","4.23787650195043231","3.3545282556497326709","3.3545282556497327","Activated","10","viper","10","3.3545282556497327",NA,NA,"6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=84); Literature--ChIP-seq(rank=149); Enrichr--Queries(rank=235); GTEx--Coexpression(rank=914)","27","0.00673400000000000","ReMap ChIP-seq,0.006734"
