"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","200","-0.7310069889063615","-3.293028894097935","0.00000000010000000000000","0.0000000006250000000000","0.000000000348567905301902","2452","tags=72%, list=19%, signal=59%","PPM1G/PRPS2/CNBP/HDAC2/CCT4/CLNS1A/VDAC1/DDX18/SNRPG/SNRPA1/HSPD1/GNL3/RRM1/LSM2/IARS1/NOP16/TUFM/PRDX4/EIF3J/PHB2/STARD7/XRCC6/MRPL9/PCBP1/TYMS/RAD23B/RFC4/COX5A/EIF3B/FAM120A/USP1/SNRPD2/DEK/RRP9/SF3B3/BUB3/COPS5/NCBP1/VDAC3/CDK4/UBE2E1/SRPK1/APEX1/NPM1/EIF4A1/MYC/ACP1/PCNA/EIF1AX/MAD2L1/SYNCRIP/TXNL4A/MRPL23/TCP1/PSMD14/XPO1/PSMD3/H2AZ1/PSMA6/PTGES3/HSPE1/GOT2/RNPS1/EIF4H/ORC2/ABCE1/TRIM28/EXOSC7/MCM4/CCNA2/FBL/PWP1/MCM7/YWHAQ/C1QBP/MCM5/U2AF1/SET/SRM/PSMB3/CCT7/SERBP1/PSMD1/YWHAE/PSMA2/HDDC2/G3BP1/CCT5/VBP1/NHP2/PA2G4/LSM7/MCM6/PSMA7/CAD/PRPF31/MCM2/TFDP1/AIMP2/CYC1/KARS1/SNRPD3/UBE2L3/PRDX3/SNRPD1/CTPS1/ERH/RANBP1/NME1/PSMA1/CCT2/DHX15/SSBP1/CBX3/SSB/CDC45/NOLC1/PHB1/HNRNPA1/HNRNPR/PPIA/POLD2/SMARCC1/PSMA4/SLC25A3/PSMB2/SNRPA/CSTF2/NDUFAB1/HNRNPU/TRA2B/DUT/CDC20/RUVBL2/HNRNPD/TARDBP/SRSF7/SRSF3/RAN/HNRNPA3/HNRNPA2B1/SRSF2/SRSF1",NA
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","200","-0.7107596626008067","-3.201819054022162","0.00000000010000000000000","0.0000000006250000000000","0.000000000348567905301902","2649","tags=70%, list=20%, signal=57%","POP7/ATAD2/HMMR/ZW10/CKS1B/RAD21/GSPT1/SUV39H1/PSIP1/CDC25B/RFC3/CTCF/BARD1/AURKA/PRKDC/JPT1/TFRC/POLA2/GINS1/TCF19/MELK/NBN/WDR90/PRDX4/RAD51AP1/ANP32E/CDCA8/XRCC6/DIAPH3/UBE2S/LUC7L3/DCLRE1B/USP1/DEK/HELLS/PRPS1/TIPIN/EZH2/RPA3/GINS4/CDK4/DCK/LBR/BRCA1/RFC2/MYC/PCNA/STMN1/UBE2T/MAD2L1/PNN/SPC25/CHEK1/SYNCRIP/RNASEH2A/LYAR/CDCA3/MXD3/CENPM/PTTG1/XPO1/DEPDC1/POLE/MSH2/H2AZ1/PHF5A/SPAG5/NUP107/AK2/DDX39A/CSE1L/MYBL2/SNRPB/RRM2/ASF1B/KIF2C/TACC3/EXOSC8/ORC2/GINS3/SHMT1/CIT/MCM4/SPC24/KIF18B/TRIP13/CENPE/H2AX/AURKB/CDKN3/NCAPD2/MCM7/UNG/KIF22/MCM5/PAICS/DSCC1/ESPL1/TBRG4/KIF4A/TK1/SMC4/PA2G4/DLGAP5/CNOT9/MCM6/CDC25A/HMGB2/MCM2/PLK1/TMPO/CCNB2/SMC1A/MKI67/TIMELESS/CTPS1/SSRP1/HMGB3/RANBP1/NME1/LMNB1/LIG1/BUB1B/NUDT21/NOLC1/RBBP7/POLD2/BIRC5/POLD1/MCM3/TRA2B/DUT/CDC20/NASP/HNRNPD/DCTPP1/DNMT1/RAN/SRSF2/ILF3/SRSF1",NA
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","197","-0.6438154006917760","-2.874944178063932","0.00000000010000000000000","0.0000000006250000000000","0.000000000348567905301902","2618","tags=59%, list=20%, signal=48%","HMMR/CKS1B/RAD21/ODF2/ORC5/GSPT1/SUV39H1/TRAIP/CDC25B/CTCF/KMT5A/MNAT1/POLQ/WRN/BARD1/AURKA/SS18/JPT1/FBXO5/POLA2/PRP4K/NDC80/UBE2S/RAD23B/TPX2/BUB3/EZH2/CDK4/LBR/RBL1/MYC/BUB1/STMN1/MAD2L1/CHEK1/SYNCRIP/PTTG1/XPO1/KIF23/POLE/EXO1/H2AZ1/AMD1/DDX39A/MYBL2/KIF2C/TACC3/PRMT5/CCNA2/CENPF/KIF20B/CDC7/CENPE/H2AX/E2F2/AURKB/CDKN3/PBK/KIF22/RAD54L/KIF11/PRC1/MCM5/CHMP1A/HIRA/ESPL1/KIF4A/SMC4/G3BP1/NUSAP1/SQLE/MCM6/KNL1/CDC25A/MCM2/TFDP1/PLK1/TMPO/CCNB2/KIF15/CHAF1A/NSD2/SMC1A/CDC6/E2F4/MKI67/SNRPD1/HMGB3/SRSF10/UCK2/HMGN2/LMNB1/CDC45/DTYMK/E2F1/H2AZ2/NOLC1/DKC1/BIRC5/SMARCC1/NCL/TROAP/MCM3/LIG3/HNRNPU/TRA2B/RBM14/CDC20/NASP/HNRNPD/GINS2/SRSF2/EWSR1/SFPQ/ILF3/SRSF1",NA
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","58","-0.7602255532079880","-2.802601646102520","0.00000000010000000000000","0.0000000006250000000000","0.000000000348567905301902","2385","tags=81%, list=18%, signal=66%","NDUFAF4/NOP2/DDX18/HSPD1/GNL3/NOP16/TFB2M/PES1/WDR43/DUSP2/GRWD1/RRP9/CDK4/NPM1/MYC/RCL1/SORD/TMEM97/HSPE1/IPO4/IMP4/EXOSC5/MCM4/UTP20/BYSL/UNG/PRMT3/TCOF1/MCM5/SRM/MRTO4/MYBBP1A/TBRG4/LAS1L/PA2G4/FARSA/AIMP2/PLK1/CBX3/PPAN/NOLC1/PHB1/NOC4L/PUS1/SLC29A2/SLC19A1/DCTPP1",NA
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","200","-0.5934840129945480","-2.673517534900867","0.00000000010000000000000","0.0000000006250000000000","0.000000000348567905301902","2635","tags=57%, list=20%, signal=46%","CS/DLST/COX7A2/COXFA4/SDHD/LDHB/IDH3G/NDUFA1/COX8A/ATP5MG/IDH3B/VDAC1/NDUFA8/CPT1A/LRPPRC/ETFDH/NDUFA6/NDUFA7/MDH2/COX4I1/UQCRH/NDUFV1/PHB2/UQCRC2/ATP5F1B/IDH2/COX5A/MRPS12/ATP5PO/NDUFS1/CYB5R3/CYCS/ECI1/SDHB/VDAC3/GLUD1/NDUFB2/HADHA/TIMM10/UQCR11/IDH3A/NDUFV2/NDUFS3/TOMM22/NDUFA5/MRPL15/DECR1/NDUFB6/COX11/SLC25A6/ATP5PD/POLR2F/ETFB/MDH1/TIMM50/OPA1/UQCR10/TIMM8B/ECH1/GOT2/UQCRQ/NDUFS8/NDUFC1/NDUFB7/ETFA/DLAT/MRPS22/SLC25A12/ACAT1/NDUFA3/SLC25A11/BCKDHA/ATP5ME/FXN/DLD/HSD17B10/ECHS1/NDUFS6/ATP5MC1/IMMT/MRPS11/ATP5PF/TIMM17A/NDUFA9/IDH1/CYC1/ATP5F1A/SLC25A5/MTX2/PRDX3/ATP5MC3/ATP5F1D/NDUFS2/PDHB/NDUFS7/RHOT2/ATP5MF/NDUFB1/COX7B/AIFM1/UQCRC1/MRPL11/MRPS15/MRPL35/UQCRFS1/SLC25A3/NDUFB8/SDHC/NDUFAB1/ATP5F1C/PDHA1/ATP5PB/FH/TIMM13",NA
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","170","0.5963210117919495","2.570072921664565","0.00000000010000000000000","0.0000000006250000000000","0.000000000348567905301902","3170","tags=56%, list=24%, signal=43%","ATF3/PER1/MAFF/TNFAIP3/NR4A3/BCL6/RELB/PNRC1/HBEGF/BIRC3/MXD1/DNAJB4/PPP1R15A/GADD45B/RNF19B/SGK1/EIF1/CDKN1A/SQSTM1/PTGER4/NFIL3/KLF10/IRF1/RELA/IER5/DUSP5/KDM6B/CCNL1/BIRC2/BTG1/SIK1/SLC2A3/NR4A2/B4GALT1/BTG2/DUSP1/IL1A/CFLAR/NFKB2/FOSB/SDC4/STAT5A/NFAT5/CXCL3/PLK2/LAMB3/HES1/IFIT2/NR4A1/IL6ST/YRDC/IL23A/BHLHE40/SMAD3/VEGFA/TNIP1/GADD45A/IRS2/EDN1/PMEPA1/SERPINB8/FOSL2/CCRL2/TUBB2A/ABCA1/KLF4/TNC/TAP1/BMP2/PLAUR/CLCF1/TNFSF9/KLF9/SAT1/CEBPB/NFKBIA/EGR2/BTG3/NFKBIE/BCL3/PLPP3/ZFP36/EFNA1/EHD1/NAMPT/LITAF/SERPINE1/TRAF1/PANX1/CCN1/SLC16A6/NINJ1/PFKFB3/JUNB/ICAM1",NA
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","184","0.5536524499058753","2.444456190708470","0.00000000010000000000000","0.0000000006250000000000","0.000000000348567905301902","2678","tags=41%, list=21%, signal=33%","OSGIN1/ATF3/TSPYL2/DDIT3/PPM1D/PTPN14/HBEGF/CD82/CSRNP2/POLH/H1-2/MXD1/PPP1R15A/RNF19B/CDKN1A/CDKN2B/FBXW7/SESN1/CDKN2AIP/XPC/ISCU/NDRG1/GM2A/HMOX1/IP6K2/IER5/MDM2/DDB2/UPP1/ZMAT3/BTG1/FOXO3/SERTAD3/PLK3/NUPR1/SLC3A2/DDIT4/BLCAP/BTG2/SEC61A1/IL1A/TOB1/PDGFA/ERCC5/PLK2/TRAFD1/ABHD4/TCHH/DGKA/TGFA/RPS27L/AEN/CGRRF1/TRAF4/GADD45A/CCNK/H2AC25/TRIAP1/PHLDA3/PLXNB2/FUCA1/MKNK2/KLF4/TAP1/BMP2/EPHA2/KIF13B/TNFSF9/ABAT/SAT1/TXNIP/APP/ACVR1B/ANKRA2/FAS",NA
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","167","0.5152888150114522","2.258873950654245","0.00000000010000000000000","0.0000000006250000000000","0.000000000348567905301902","3180","tags=47%, list=25%, signal=36%","P4HA1/ATF3/ADM/KLHL24/MAFF/DDIT3/CCNG2/CCN2/TNFAIP3/TGM2/MXI1/KDM3A/PNRC1/PPP1R15A/CDKN1A/IDS/PYGM/NFIL3/NDRG1/ZNF292/HMOX1/JMJD6/CDKN1C/BTG1/FOXO3/P4HA2/SLC2A3/PGAM2/CITED2/BNIP3L/DDIT4/ETS1/DUSP1/NOCT/SDC4/MAP3K1/HSPA5/PDGFB/BHLHE40/PGF/IGFBP3/ERO1A/VEGFA/CP/GBE1/PIM1/HK2/IRS2/HK1/NEDD4L/ENO2/ANGPTL4/ALDOA/FOSL2/ATP7A/ISG20/GAA/PLAUR/CAV1/STBD1/SIAH2/ZFP36/EFNA1/AMPD3/GPC1/SERPINE1/PRKCA/RORA/CCN1/KLF7/PAM/LARGE1/SULT2B1/VLDLR/TES/PFKFB3/AK4/SLC2A1",NA
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","143","0.4825519352562654","2.059419507236357","0.00000003764990732841059","0.0000002091661518245033","0.000000116653771842442753","3181","tags=44%, list=25%, signal=34%","MAFF/TNFAIP3/CLU/CD59/CPM/BRPF3/AKAP10/PDP1/IRF1/JAK2/DUSP5/VCPIP1/CTSB/C2/FYN/LRP1/NOTCH4/PRSS36/HSPA5/CASP7/PDGFB/RBSN/PCLO/HSPA1A/CP/LAMP2/USP15/SERPINA1/TIMP2/PIM1/GRB2/PPP2CB/MMP14/DUSP6/LGMN/FN1/IRF7/CTSV/DGKH/CD55/STX4/TMPRSS6/PSEN1/PIK3CA/USP8/PLAUR/CEBPB/F8/ANG/DOCK4/C4BPB/IRF2/CTSO/EHD1/SERPINE1/GP1BA/CTSS/RHOG/CTSD/FDX1/RCE1/CFB/PSMB9","0.7195128263389107"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","119","0.4920373370981006","2.054174735106420","0.00000027091073443740532","0.0000012241663148094713","0.000000682728140950857854","3738","tags=50%, list=29%, signal=36%","CCN2/TNFAIP3/MMP1/TGM2/LAMC1/CXCL8/CD59/MYLK/GADD45B/LRP1/BDNF/FSTL3/SDC4/IL15/QSOX1/OXTR/CALU/COL7A1/IGFBP3/ACTA2/VEGFA/ITGA5/ITGAV/EFEMP2/GADD45A/BMP1/MMP14/PMEPA1/ENO2/ECM1/FN1/MYL9/COPA/FUCA1/NOTCH2/TNC/PLAUR/CADM1/SAT1/FBN1/FAS/COL1A1/GPC1/PLOD1/SERPINE1/COL16A1/CCN1/NT5E/APLP1/LAMC2/DST/SERPINE2/COL5A2/TIMP1/LAMA3/CD44/ITGB1/TGFBR3/SLC6A8","0.6749628600110250"
