"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","30","-0.8323933163474219","-2.747231500524575","0.000000000100000000000000","0.0000000655000000000000","0.00000004814360466832483","1514","tags=87%, list=12%, signal=77%","RFC1/POLE/CDC45/RFC4/POLA2/RPA3/RPA1/MCM10/RFC3/RFC5/GINS4/GINS1/RFC2/GINS3/POLE2/PRIM1/POLA1/MCM2/MCM5/MCM7/PCNA/MCM3/GINS2/MCM6/WDHD1/MCM4",NA
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","23","-0.7923685671271535","-2.515526967049092","0.000000016923480636517919","0.0000036949599389730794","0.00000271585787125522995","2614","tags=91%, list=20%, signal=73%","DBF4/ORC6/ORC3/MTBP/CDT1/ORC5/CDC45/CDK2/CCNE2/CDC6/ORC1/TICRR/ORC2/CCNA2/MCM2/MCM5/MCM7/MCM3/MCM6/CDC7/MCM4","0.7337619883564803"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","27","-0.7919968716787117","-2.507491323267959","0.000000001524706585185422","0.0000004993414066482256","0.00000036702435536179242","2686","tags=96%, list=21%, signal=76%","POLE3/ORC6/ORC3/MTBP/CDT1/POLE4/ORC5/POLE/CDC45/RECQL4/TOPBP1/CDC6/GINS4/ORC1/GINS1/TICRR/GINS3/POLE2/ORC2/MCM2/MCM5/MCM7/MCM3/GINS2/MCM6/MCM4","0.7881868108002371"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","32","-0.7288571509066911","-2.488920834566089","0.000000031268641923400672","0.0000051202401149568602","0.00000376346283818902570","2686","tags=81%, list=21%, signal=64%","POLE3/RAD51D/RAD51B/XRCC3/SEM1/POLE4/BARD1/RFC1/POLE/RAD54B/RFC4/POLD3/RPA3/RPA1/RFC3/RFC5/RAD51/BRCA2/XRCC2/RFC2/POLE2/POLD2/BRCA1/RAD54L/POLD1/PCNA","0.7195128263389107"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","34","-0.6834419055358856","-2.394026906975184","0.000000661515066744322002","0.0000481435965241700967","0.00003538635539497683767","3352","tags=79%, list=26%, signal=59%","PSMB6/PSMB5/PSMD6/PSMB3/PSMC1/PSMC2/PSMA5/PSMC3/PSMD3/PSMD2/SEM1/PSMD8/PSMA6/PSMD12/PSMD13/PSMD7/PSMA1/PSMB7/PSMC6/PSMB2/PSMA2/PSMD14/PSMA7/PSMA4/PSMD11/PSMA3/PSMD1","0.6594443980379349"
"KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA","KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA","30","-0.7215397950398665","-2.381370458996125","0.000000138564773445598431","0.0000151266544344778300","0.00001111834612286814370","2309","tags=73%, list=18%, signal=60%","NXT1/ALYREF/NUP62/NCBP1/NUP85/NUP88/NUP188/NUP93/NXT2/NUP35/NUP43/NUP54/SRSF7/NUP37/NDC1/NUP160/NUP155/NUP205/SEH1L/NUP107/NUP210/SRSF3","0.6901324587967956"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","16","-0.8435654586940939","-2.375992243297446","0.000000063315412953262241","0.0000082943190968773535","0.00000609646442126718171","723","tags=69%, list=6%, signal=65%","GINS4/GINS1/GINS3/VCP/MCM2/MCM5/MCM7/MCM3/GINS2/MCM6/MCM4","0.7049757151672383"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","21","-0.7586872888084810","-2.327382529099443","0.000002976533446972462637","0.0001524294298513391346","0.00011203820168825989777","1563","tags=67%, list=12%, signal=59%","LRR1/RBX1/CDC45/GINS4/GINS1/GINS3/VCP/MCM2/MCM5/MCM7/MCM3/GINS2/MCM6/MCM4","0.6272567397185284"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","33","-0.6862843892236293","-2.324151971686742","0.000000367114215917650296","0.0000300574764282576177","0.00002209275209907675096","3352","tags=82%, list=26%, signal=61%","PSMB6/PSMB5/PSMD6/PSMB3/PSMC1/PSMC2/PSMA5/PSMC3/PSMD3/PSMD2/SEM1/PSMD8/PSMA6/PSMD12/PSMD13/PSMD7/PSMA1/PSMB7/PSMC6/PSMB2/PSMA2/PSMD14/PSMA7/PSMA4/PSMD11/PSMA3/PSMD1","0.6749628600110250"
"KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","34","-0.6596065416503409","-2.310534071640781","0.000003695145064661224398","0.0001613546678235401209","0.00011859840212344107757","3352","tags=79%, list=26%, signal=59%","PSMB6/PSMB5/PSMD6/PSMB3/PSMC1/PSMC2/PSMA5/PSMC3/PSMD3/PSMD2/SEM1/PSMD8/PSMA6/PSMD12/PSMD13/PSMD7/PSMA1/PSMB7/PSMC6/PSMB2/PSMA2/PSMD14/PSMA7/PSMA4/PSMD11/PSMA3/PSMD1","0.6272567397185284"
"KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR","KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR","26","-0.7150837028743484","-2.294315057579019","0.000000835178651794418353","0.0000547042016925344018","0.00004020851083941499757","1868","tags=69%, list=14%, signal=59%","POLE4/RFC1/POLE/RFC4/MLH1/POLD3/RPA3/RPA1/RFC3/RFC5/EXO1/LIG1/RFC2/POLE2/POLD2/POLD1/PCNA/MSH2","0.6594443980379349"
"KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE","KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE","18","-0.7698938861219587","-2.270111596267588","0.000003126020184364396712","0.0001524294298513391346","0.00011203820168825989777","1894","tags=67%, list=15%, signal=57%","TCP1/CCT7/NAF1/CCT8/CCT4/CCT6A/DKC1/RUVBL1/GAR1/CCT2/RUVBL2/CCT5","0.6272567397185284"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","79","0.5350975668483130","2.224717992077909","0.000000263734363326416737","0.0000246780011398289944","0.00001813874703634193664","5030","tags=73%, list=39%, signal=45%","FAU/RPL36/RPL18/RPL38/RPL28/RPL37/RPS15/RPL24/RPL29/RPL13/RPL27/RPL35A/RPS18/UBA52/RPS20/RPL31/RPS28/RPL39/RPS10/RPLP1/RPS27/RPS19/RPL32/RPS5/RPL26/RPLP2/RPL36A/RPL11/RPS17/RPL23/RPS13/RPL30/RPL34/RPL18A/RPL37A/RPL35/RPS15A/RPS12/RPS29/RPS16/RPL41/RPL27A/RPS4X/RPS26/RPS11/RPS14/RPS21/RPLP0/RPL8/RPS25/RPL9/RPS8/RPL17/RPL15/RPS9/RPS6/RPL21/RPL13A","0.6749628600110250"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","38","-0.6308354834280950","-2.213543272810263","0.000002270241509539300795","0.0001351825626134765530","0.00009936146339716464787","3352","tags=74%, list=26%, signal=55%","PSMB6/PSMB5/PSMD6/PSMB3/PSMC1/PSMC2/PSMA5/PSMC3/PSMD3/PSMD2/SEM1/PSMD8/PSMA6/PSMD12/PSMD13/PSMD7/PSMA1/PSMB7/PSMC6/PSMB2/PSMA2/PSMD14/VCP/PSMA7/PSMA4/PSMD11/PSMA3/PSMD1","0.6272567397185284"
"KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING","KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING","17","-0.7659632962914950","-2.200137058066300","0.000015561061524424259905","0.0005662497388054382741","0.00041620310791742323384","2573","tags=82%, list=20%, signal=66%","WRN/BABAM2/BABAM1/BARD1/BRCC3/ABRAXAS1/RPA3/RPA1/RBBP8/DNA2/BRCA1/NBN/RAD50/BLM","0.5756102610711286"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","39","-0.6211203538140156","-2.188208574906206","0.000003258033615143126594","0.0001524294298513391346","0.00011203820168825989777","3352","tags=69%, list=26%, signal=51%","PSMB6/PSMB5/PSMD6/PSMB3/PSMC1/PSMC2/PSMA5/PSMC3/PSMD3/PSMD2/SEM1/PSMD8/PSMA6/PSMD12/PSMD13/PSMD7/PSMA1/PSMB7/PSMC6/PSMB2/PSMA2/PSMD14/PSMA7/PSMA4/PSMD11/PSMA3/PSMD1","0.6272567397185284"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","34","-0.6246576230270742","-2.188111593773869","0.000032783326965559086953","0.0010225275791638666761","0.00075157501578205230044","3352","tags=79%, list=26%, signal=59%","PSMB6/PSMB5/PSMD6/PSMB3/PSMC1/PSMC2/PSMA5/PSMC3/PSMD3/PSMD2/SEM1/PSMD8/PSMA6/PSMD12/PSMD13/PSMD7/PSMA1/PSMB7/PSMC6/PSMB2/PSMA2/PSMD14/PSMA7/PSMA4/PSMD11/PSMA3/PSMD1","0.5573322387586460"
