"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER","86","-0.7479069804945727","-3.079518428643290","0.0000000001000000000000000","0.00000001314285714285714","0.000000009558532733364725","2019","tags=70%, list=16%, signal=59%","CDT1/SMC3/CDK1/WEE1/ANLN/FAF1/BARD1/POLE/CDC45/SUV39H1/RFC4/E2F2/CDK2/TOP2A/POLD3/CCNE2/CCDC6/RPA3/RPA1/RB1/CDK4/RFC3/RFC5/FANCG/ORC1/H2AZ1/TTK/MYC/CDK6/POLE2/RBBP7/SMC2/CCNB2/CHEK1/RRM2/PLK4/PRIM1/CCNA2/POLA1/KIF4A/HMGB2/MCM7/PCNA/CDC25A/MCM3/PRKDC/RBBP4/MCM6/SMC1A/CDC7/RRM1/TFDP1/DNMT1/MCM4/DHFR/CCNB1/TYMS/STMN1/SKP2/HMGB1",NA
"WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","119","-0.6377456822465619","-2.808737089198882","0.0000000001000000000000000","0.00000001314285714285714","0.000000009558532733364725","2485","tags=55%, list=19%, signal=45%","SMUG1/XPA/PARP1/NHEJ1/DDB1/DDB2/APEX1/MNAT1/GTF2H4/POLE4/XRCC6/FANCL/FANCC/CCNH/NTHL1/RAD23B/REV3L/RFC1/RBX1/FAAP100/POLE/FANCE/RAD54B/RFC4/MLH1/FANCF/CETN2/POLD3/FANCM/NEIL3/RPA3/GTF2H3/RPA1/CUL4A/RFC3/RFC5/USP1/FANCD2/EXO1/FANCG/UNG/GTF2H2/BRIP1/FANCB/RAD51/FANCA/BRCA2/GTF2H5/LIG1/RFC2/POLE2/POLD2/FANCI/XRCC5/BRCA1/CHEK1/NBN/RAD50/POLD1/FEN1/LIG3/PCNA/PRKDC/MSH2/ATR/HMGB1",NA
"WP_DNA_REPLICATION","WP_DNA_REPLICATION","41","-0.7637376108446625","-2.688485652317717","0.0000000001000000000000000","0.00000001314285714285714","0.000000009558532733364725","1551","tags=76%, list=12%, signal=67%","ORC5/RFC1/POLE/CDC45/RFC4/CDK2/POLD3/POLA2/RPA3/RPA1/CDC6/MCM10/RFC3/RFC5/ORC1/GMNN/RFC2/POLE2/POLD2/ORC2/POLD1/PRIM1/POLA1/MCM2/MCM5/MCM7/PCNA/MCM3/MCM6/CDC7/MCM4",NA
"WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER","WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER","40","-0.7420798027677606","-2.638687300128710","0.0000000001000000000000000","0.00000001314285714285714","0.000000009558532733364725","1432","tags=55%, list=11%, signal=49%","PYCR1/MDH2/TKT/SHMT2/LDHA/DLST/IDH3A/GPI/PGD/ACLY/GLUD1/PDHB/PPAT/PDHA1/FH/ENO1/RPIA/GART/SUCLG2/GOT2/IDH2/PAICS",NA
"WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR","WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR","82","-0.6414499701171544","-2.610016367326743","0.0000000001000000000000000","0.00000001314285714285714","0.000000009558532733364725","2573","tags=62%, list=20%, signal=50%","WRN/TP53/XPA/TDP1/PARP1/DCLRE1A/SMARCAL1/E2F1/RECQL/CDK1/SEM1/TRIM28/BARD1/RMI1/CDC45/RECQL4/MLH1/TOPBP1/RFWD3/BRCC3/CDK2/MDC1/ABRAXAS1/RPA1/TOP3A/RBBP8/CDC25C/USP1/FANCD2/EXO1/BRIP1/RAD51/FANCA/BRCA2/CLSPN/FANCI/PLK1/EEF1E1/XRCC5/BRCA1/CHEK1/NBN/RAD50/FEN1/FOXM1/MCM2/PCNA/PRKDC/SMC1A/MSH2/ATR",NA
"WP_CELL_CYCLE","WP_CELL_CYCLE","114","-0.5865624498075885","-2.533183999148648","0.0000000001000000000000000","0.00000001314285714285714","0.000000009558532733364725","2112","tags=54%, list=16%, signal=45%","E2F1/YWHAZ/CDC23/SMC3/CDK1/WEE1/ANAPC5/CCNH/PKMYT1/ORC5/RBX1/E2F5/CDC45/E2F2/CDK2/RBL1/YWHAG/CCNE2/YWHAQ/STAG1/RB1/CDC25C/CDC6/CDK4/BUB3/HDAC2/ANAPC4/RAD21/PTTG1/YWHAE/ORC1/ANAPC1/TTK/ESPL1/MYC/CDK6/PLK1/ORC2/CCNB2/YWHAH/CHEK1/YWHAB/CCNA2/BUB1/MCM2/MCM5/MCM7/PCNA/CDC25A/MCM3/PRKDC/MCM6/SMC1A/CDC7/TFDP1/ANAPC7/MCM4/CDC20/CCNB1/ATR/SKP2",NA
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","42","-0.6899569139826336","-2.522336747506106","0.0000000090278712630391583","0.00000075505832381782057","0.000000549138564420488845","1180","tags=45%, list=9%, signal=41%","SLC16A1/MDH1/LDHA/GPI/CARM1/CS/HMGCR/ACLY/GLUD1/PDHB/BCAT2/PDHA1/KRAS/RPE/DLAT/DLD/RPIA/GOT2/GNPNAT1","0.7477396631498854"
"WP_GASTRIC_CANCER_NETWORK_1","WP_GASTRIC_CANCER_NETWORK_1","23","-0.7870806604022926","-2.498739486427724","0.0000000263965499109353990","0.00000202373549317171401","0.000001471821670500834994","1621","tags=70%, list=13%, signal=61%","UBE2C/E2F7/TOP2A/AURKA/CEP192/KIF15/MYBL2/KIF20B/H3-3A/RUVBL1/TPX2/ECT2/CENPF/ACTL6A/MCM4/NUP107","0.7337619883564803"
"WP_AMINO_ACID_METABOLISM","WP_AMINO_ACID_METABOLISM","71","-0.6221419904799105","-2.471490665887909","0.0000000003228458486770906","0.00000003712727259786541","0.000000027001910358595240","2187","tags=52%, list=17%, signal=44%","MARS2/EPRS1/PDK4/ALDH18A1/ACADM/IDH1/GSR/LARS2/PYCR1/SRM/MDH2/PC/EHHADH/PCK1/MDH1/LDHA/DLST/FAH/ADH5/ODC1/RARS1/CS/ACLY/GLUD1/HIBCH/PDHA1/CAD/HIBADH/FH/HADH/IARS1/DLD/FARSB/VARS1/GOT2/ALDH7A1/SMS","0.8140358378479079"
"WP_FANCONI_ANEMIA","WP_FANCONI_ANEMIA","47","-0.6781895281376983","-2.461464886023034","0.0000000018687301686908417","0.00000019102575057728604","0.000000138929143789781278","1798","tags=55%, list=14%, signal=48%","FANCL/FANCC/FAAP100/SLX4/FANCE/RFWD3/FANCF/UBE2T/FANCM/USP1/FANCD2/FANCG/BRIP1/FANCB/RAD51/FANCA/BRCA2/XRCC2/FANCI/BRCA1/NBN/RAD50/MCM2/SMARCA4/UHRF1/ATR","0.7749390301364363"
