"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","190","-0.7394755657265903","-3.425059084536881","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","1832","tags=73%, list=14%, signal=64%","ZGRF1/CENPE/MXD3/ESD/PIH1D2/UBE2C/KPNA2/LRR1/KIF2C/FAS/UQCRFS1/KIF22/CENPA/PIMREG/STIL/LSM12/CDC45/RAD54B/CKS2/VDAC3/E2F7/FBXO5/DYNLT1/CDCA8/TOP2A/CENPN/OIP5/LZIC/PRC1/NEIL3/RPA3/KIF23/SGO2/SGO1/PASK/IDH3A/AURKA/SHCBP1/RACGAP1/PRDX4/DEPDC1/RBBP8/CDC25C/CDC6/MCM10/PMCH/CTNNAL1/PAFAH1B2/DSCC1/NCAPH/AURKB/NEK2/KNTC1/CKAP2L/IQGAP3/ASPM/KNSTRN/CIP2A/RAD51/SKA2/HASPIN/FIRRM/CDKN3/NUF2/MELK/SPAG5/ASF1B/DIAPH3/SKA3/MYBL2/RAD51AP1/CENPM/CEP55/TTK/TIPIN/KIF18B/TCF19/GINS1/ESPL1/CASP3/GMNN/LIG1/SPDL1/DNA2/BUB1B/POLQ/KNL1/CENPW/SMC2/PLK1/HMMR/SPC25/NUSAP1/KIF11/POGLUT3/CENPH/PBK/CCNB2/TXN/YWHAH/BRCA1/NCAPG/HNRNPAB/RAD54L/SACK1D/PCLAF/RRM2/TPX2/MAD2L1/FEN1/ESCO2/BUB1/POLA1/PPIL1/ARHGAP11A/MCM2/MCM5/BIRC5/MCM7/SPC24/PRR11/GTSE1/PSMD1/TK1/TUBA1B/GINS2/UHRF1/CENPI/RRM1/ANP32B/ALDH7A1/KIF20A/NSD2/DHFR/CDC20/CKAP2/STMN1/PARPBP/HELLS",NA
"GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN","183","-0.7400376214672908","-3.415510106780831","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","1621","tags=62%, list=13%, signal=55%","UBE2C/AIMP2/PXMP2/KIF2C/HMBS/CENPA/CENPU/CDC45/MRPL35/CKS2/RFC4/VDAC3/CDCA8/TOP2A/POLA2/CCNE2/HPRT1/RPA3/KIF23/FAH/RACGAP1/PRDX4/AFG2B/RBBP8/CDC25C/VDR/MCM10/NCAPH/AURKB/FANCG/ASPM/FIBP/RAD51/TIMM13/CDKN3/ACY1/SPAG5/NQO1/FANCA/BYSL/JPT2/BRCA2/CENPM/CEP55/CHAF1A/KIF18B/ESPL1/DTYMK/LIG1/CDCA3/PFAS/GINS3/POLE2/TUBA1C/WDR77/HMMR/NUSAP1/IMMT/KIF11/DUT/CCNB2/TXN/YWHAH/BRCA1/ZWILCH/NCAPG/RAD54L/PCLAF/RRM2/BLM/TPX2/PUS7/FEN1/SLC25A5/LIG3/FH/DHCR24/POLA1/LMNB2/UCK2/KIF4A/NCAPG2/MCM2/MCM5/DTL/BIRC5/MCM7/PCNA/TUBB/TK1/TUBA1B/GINS2/IPO5/MKI67/ACTG1/NME1/SMC1A/DCTPP1/TRIP13/SHMT1/KIF20A/MCM4/DHFR/CDC20/CCNB1/TYMS/STMN1/FABP5/SORD/SRPK1/CTPS1/PAICS/SRSF1",NA
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","193","-0.7392708010123916","-3.412578182487843","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","1621","tags=69%, list=13%, signal=61%","UBE2C/CCNF/PXMP2/LRR1/HPF1/POLE/SEPTIN2/KIF22/CENPA/MAPK1/PIMREG/STIL/CDC45/INCENP/CENPK/E2F7/TOP2A/PSRC1/CENPN/EME1/MND1/NUP93/CCAR1/KIF23/KIF2A/CDCA2/PASK/AURKA/SHCBP1/RACGAP1/CDCA5/DEPDC1/CDC25C/CDC6/ARHGAP19/MCM10/PMCH/RFC5/NCAPH/AURKB/NEK2/CKAP2L/FANCD2/EXO1/TACC3/ASPM/KNSTRN/BRIP1/CIP2A/RAD51/CDKN3/NUF2/ORC1/MELK/SPAG5/SLC25A6/SKA3/MYBL2/RAD51AP1/CENPM/CEP55/GEN1/TTK/KIF20B/SEPTIN11/KIF18B/TCF19/CLSPN/TICRR/LIG1/SPDL1/DNA2/CDCA3/BUB1B/KNL1/SMC2/PLK1/HMMR/SPC25/DUT/SQLE/MIS18BP1/CENPH/PBK/CCNB2/CCT2/ZWILCH/NCAPG/CHEK1/RRM2/TPX2/ECT2/MAD2L1/FEN1/PRIM1/ESCO2/CCNA2/FOXM1/BUB1/POLA1/ARHGAP11A/KIF4A/NCAPG2/CENPF/MT1E/HMGB2/DTL/NUP205/BIRC5/CBX5/PCNA/SPC24/PRR11/MCM3/GTSE1/TK1/TUBA1B/UHRF1/MKI67/MCM6/CENPI/RRM1/TFDP1/RASSF3/RBMX/KIF20A/DHFR/CKAP2/STMN1/HMGB3/PARPBP/UBE2N/FKBP5",NA
"GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_DN","GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_DN","191","-0.7217096632699407","-3.387107395268059","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","1863","tags=61%, list=14%, signal=53%","EMC9/SNUPN/PGAM1/IDH1/CYC1/JPT1/AIMP2/PPM1G/KPNA2/KIF2C/MRPL15/RMI1/RBX1/CENPA/CENPU/MRPL35/CKS2/RFC4/PHB1/TOP2A/NIT2/RPA3/RNASEH2A/FAH/AURKA/RACGAP1/ADSL/CDC6/VDR/CDK4/MCM10/RFC3/RFC5/NCAPH/AURKB/MRPL11/ME2/FANCG/UNG/ASPM/RAD51/MRPL12/SFT2D2/PSMG1/MELK/SPAG5/KIF15/JPT2/RAD51AP1/CENPM/CEP55/ESPL1/SPDL1/WDR76/ZWINT/EBNA1BP2/BUB1B/GINS3/POLE2/NUP37/TUBA1C/SMC2/FANCI/HMMR/RANBP1/TRAP1/KIF11/DLGAP5/CCNB2/GSTO1/NCAPG/CHEK1/PCLAF/RRM2/BLM/TPX2/FEN1/PRIM1/FH/HADH/POLA1/LMNB2/CSTF2/UCK2/DPP3/KIF4A/NCAPG2/MCM2/CENPF/DTL/IARS1/MCM7/CDC25A/TUBB/TK1/TUBA1B/GINS2/ACTG1/NME1/GART/TMPO/DCTPP1/GOT2/TRIP13/SHMT1/KIF20A/MCM4/DHFR/CCNB1/TYMS/STMN1/HMGB3/MTHFD1/SRPK1/CTPS1/PAICS",NA
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","168","-0.7278436368020904","-3.369813667667746","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","1473","tags=64%, list=11%, signal=57%","CSPP1/POLE/CDC45/INCENP/TOPBP1/PRKAG1/FBXO5/CDCA8/TOP2A/CENPN/EME1/PRC1/NEIL3/KIF23/SGO2/SGO1/NDE1/AURKA/HIP1/SHCBP1/RACGAP1/PRDX4/DEPDC1/CDC25C/CDC6/ARHGAP19/ANP32E/RFC3/NCAPH/AURKB/TACC3/ASPM/BRIP1/RAD51/CHAF1B/CDKN3/NUF2/SPAG5/KIF15/ASF1B/RAD51AP1/BRCA2/CEP55/TTK/TIPIN/TADA2A/TCF19/GINS1/CLSPN/LIG1/DNA2/WDR76/CDCA3/BUB1B/KNL1/SMC2/VCP/PLK1/HMMR/SPC25/KIF11/DUT/MIS18BP1/CENPH/DLGAP5/PBK/CCNB2/BRCA1/NCAPG/CHEK1/RAD54L/RRM2/TPX2/ECT2/MAD2L1/PRIM1/ESCO2/CCNA2/BUB1/ARHGAP11A/KIF4A/CENPF/HMGB2/MCM5/BIRC5/MCM7/CBX5/PPP2R1B/SPC24/PRR11/MCM3/TK1/UHRF1/MKI67/WDHD1/RRM1/TFDP1/CPT1A/MCM4/CKAP2/STMN1/HMGB3/NCAPD2/HELLS/LMNB1/FKBP5/HNRNPA3",NA
"GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","193","-0.7190695324160745","-3.319326280240438","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","1811","tags=64%, list=14%, signal=56%","CENPE/FANCL/PGAM1/MLEC/EXTL2/UBE2C/AIMP2/PXMP2/KIF2C/CENPA/STIL/CDC45/MRPL35/GGH/CKS2/RFC4/SRM/FBXO5/CDCA8/TOP2A/OIP5/POLA2/KIFC1/CORO1C/ACO1/MIS18A/NEIL3/RPA3/FAH/AURKA/SHCBP1/AFG2B/RBBP8/RB1/CDC6/ELOVL6/VDR/SMCO4/MCM10/PAFAH1B2/PSMB2/NCAPH/ERCC6L/MYB/ASPM/FIBP/PTTG1/RAD51/SFT2D2/CDKN3/SPAG5/NQO1/KIF15/JPT2/RAD51AP1/MYCBP/CENPM/CEP55/TTK/ESPL1/GMNN/DTYMK/ZWINT/CDCA3/PFAS/BUB1B/POLQ/POLE2/TPGS2/TUBA1C/FANCI/HMMR/NUSAP1/IMMT/KIF11/DUT/DLGAP5/PBK/CCNB2/GSTO1/TXN/NCAPG/CHEK1/RAD54L/MRPL19/PCLAF/RRM2/FEN1/SLC25A5/FOXM1/FH/BUB1/POLA1/LMNB2/DPP3/MCM2/BMAL2/MCM5/DTL/BIRC5/TTF2/MCM7/PCNA/CDC25A/TK1/TUBA1B/GINS2/MKI67/ACTG1/NME1/SMC1A/DCTPP1/KIF20A/DHFR/CDC20/CCNB1/TYMS/STMN1/FABP5/HMGB3/CTPS1/PAICS/SRSF1",NA
"GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN","GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN","196","-0.7205070255278094","-3.312067631372319","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","2203","tags=65%, list=17%, signal=55%","SLCO4A1/DCLRE1A/SNRPB/TPM4/EPRS1/FASN/CDT1/TUBB4B/ALDH18A1/DIMT1/TCP1/TRIM28/CCT7/MLEC/HNRNPC/IPO7/MRPL39/KPNA2/DDX39A/DHCR7/CDCA4/MAT2A/IFRD2/CDC45/MRPL35/SUV39H1/DNAJC9/CKS2/RFC4/MLH1/STOML2/PDSS1/SLC16A1/NUP188/PRC1/SHMT2/NUP93/RPA3/PRPF4/ARHGDIA/SMARCB1/EIF2S1/SHCBP1/CDC6/CDK4/MCM10/CYP51A1/CCT8/ERCC6L/PPRC1/EXO1/COPS3/USP14/ECHDC1/BYSL/DONSON/JPT2/PSMD14/BRCA2/TIPIN/ESPL1/CCT6A/CDK6/GMNN/EBNA1BP2/GINS3/IPO4/POLD2/TUBA1C/DKC1/TSEN2/PAK1IP1/HMMR/RANBP1/EEF1E1/PA2G4/RRS1/SQLE/RBM14/CCT2/XRCC5/CHEK1/HNRNPAB/EXOSC2/BLM/FEN1/BCCIP/LMNB2/UCK2/GGCT/MCM2/POP1/ENO1/IARS1/NAA15/MCM7/HSPD1/PCNA/PRDX3/CDC25A/TUBB/PSMD1/TUBA1B/GINS2/WDR12/ACACA/TMEM97/MCM6/NME1/MRPL3/TFDP1/DCTPP1/NASP/TRIP13/RAN/SYNCRIP/MCM4/NUP107/CDC20/PRMT3/FABP5/MTHFD1/CSE1L/UBE2N/CLN6/CTPS1/PAICS",NA
"GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_DN","192","-0.7042908762458472","-3.299413098674216","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","2320","tags=66%, list=18%, signal=55%","PSMD2/TPI1/CKS1B/CLTC/SLCO4A1/SMARCAL1/NDUFS2/MRPS14/TMEM106C/METTL5/HJURP/CCDC51/NCBP1/GTF2H4/EMC9/MACROH2A1/SNUPN/PGAM1/CYC1/JPT1/UBE2C/NAP1L4/MRPL15/FANCE/CENPA/CENPU/RFC4/TOP2A/POLD3/OIP5/CORO1C/MIS18A/NIT2/NUP93/KIF23/RNASEH2A/FAH/AURKA/RACGAP1/RBBP8/CDC6/VDR/CDK4/SMCO4/MCM10/PSMB2/NCAPH/AURKB/MYB/MRPL11/CCT4/FANCG/UNG/ASPM/HAUS4/RAD51/PCCB/PSMG1/MELK/SPAG5/JPT2/CENPM/CEP55/TIMELESS/ESPL1/MTCH2/ZWINT/CDCA3/EBNA1BP2/BUB1B/POLE2/TUBA1C/SMC2/FANCI/HMMR/NUSAP1/KIF11/DLGAP5/CCNB2/GSTO1/ZWILCH/NCAPG/HNRNPAB/PCLAF/RRM2/BLM/TPX2/PLK4/FEN1/CCNA2/FOXM1/FH/CSTF2/UCK2/DPP3/HMGN2/KIF4A/NCAPG2/MCM2/CENPF/MCM5/DTL/IARS1/MCM7/TUBB/TK1/TUBA1B/GINS2/MKI67/ACTG1/NME1/GART/TMPO/GOT2/TRIP13/SHMT1/KIF20A/MCM4/CDC20/CCNB1/TYMS/STMN1/HMGB3/MTHFD1/CTPS1/PAICS/SRSF1",NA
"GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP","GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP","198","-0.6993869769779807","-3.287473855155163","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","2338","tags=64%, list=18%, signal=53%","RNF26/TPI1/CKS1B/COQ9/NDUFB3/EIF3I/E2F1/PRIM2/FIGNL1/SKA1/FASN/CDT1/CDC23/FSAF1/CHTF18/DARS2/METAP2/CYC1/JPT1/CCNF/MRPL39/HMBS/HPF1/PPA2/HSPA14/TROAP/ILF2/CENPU/MRPL35/PKP4/SUV39H1/CKS2/RFC4/PSMD13/MRPL4/SFXN4/ARMC10/E2F7/FBXO5/BOLA3/CDK2/PSRC1/CENPN/POLA2/ATP5PO/CCNE2/NIT2/HAUS7/RNASEH2A/SGO1/SAPCD2/RACGAP1/CDCA5/ATP5MC3/CDC6/CIT/DYNC2I2/CTNNAL1/BUB3/ERCC6L/DCUN1D5/ETFA/KNTC1/BRIP1/NUP35/PTTG1/MRPL12/CHAF1B/H2AZ1/KIF15/MYBL2/RAD51AP1/ERI1/DDIAS/TCF19/GINS1/TICRR/PRDX2/GMNN/TTLL12/RFC2/CDCA3/GINS3/KNL1/TPGS2/VRK1/SLC37A4/CAD/TFRC/RANBP1/TRAP1/DUT/BRCA1/ZWILCH/COQ3/POLD1/DEPDC1B/LSM4/ESCO2/DHCR24/POLA1/DLAT/MCM2/NUP155/MCM7/PCNA/SPC24/CDC25A/TUBB/PRKDC/TUBA1B/IPO5/AK2/UHRF1/TMEM97/ACTL6A/TMPO/NUDT21/RRM1/GOT2/MSH2/FAM98B/MCM4/HMGB3/HELLS/CDCA7",NA
"GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP","GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP","167","-0.7148812039671982","-3.285371517882048","0.0000000001000000000000000","0.000000001727659574468085","0.0000000004837551778036723","2326","tags=70%, list=18%, signal=58%","COPS5/TPI1/USP3/RPF2/LTV1/KLHDC4/AP1S1/MRPS14/YBX1/LY6E/FIGNL1/SLC35A3/EPRS1/MTMR1/ATAD5/WEE1/TCP1/E2F8/PGAM1/DDX52/BZW1/CAPZA2/RRP15/ADSS2/RBM3/AKAP1/DDX1/SDHD/SEPTIN2/SRP72/C1QBP/BANF1/GGH/PSMD12/BLMH/PRKAG1/CEP83/SAE1/TOMM5/EXOSC9/UBA2/RPA3/KIF23/ATP8B4/PALS2/UCHL5/CLNS1A/HMGCS1/RACGAP1/DEPDC1/CDC25C/CDC6/MCM10/PSMB2/UBE2V1/EXO1/RARS1/DPY19L1/TACC3/BRIP1/RAD51/NAA50/PRMT5/AHCY/MEMO1/POLR2D/CNOT9/WDR76/CDCA3/PPAT/NOC3L/KNL1/DKC1/LRPPRC/TAGLN2/PA2G4/IMMT/XPO1/KCTD20/CENPH/CCNB2/MRPS28/CPSF6/MRPS9/NRM/DDX21/RRM2/PLK4/MAD2L1/EIF1AX/DBI/HAT1/HMGN2/CHML/DTL/BIRC5/SPC24/MCM3/SNRPD1/DLD/IPO5/WDR12/IGF2BP3/BRI3BP/GMPS/TMPO/CDC7/RRM1/UTP20/TRIP13/MCM4/ATR/STMN1/HMGB3/HMGB1/FKBP5/SNRPA",NA
