"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"WP_DNA_REPLICATION","WP_DNA_REPLICATION","41","-0.7033760743955371","-2.433730990400617","0.0000000163954242777569911","0.00000376684872781466858","0.00000234498721642079474","2234","tags=68%, list=17%, signal=57%","RFC2/CDC6/POLA2/RPA3/PCNA/MCM10/RFC4/POLE/RFC5/POLE2/POLD3/ORC5/PRIM1/RPA1/CDC45/ORC1/POLA1/ORC2/MCM6/POLD2/MCM7/GMNN/MCM5/CDC7/POLD1/MCM3/MCM4/MCM2","0.7337619883564803"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER","86","-0.6106942679849262","-2.430425715561877","0.0000000001511831859170269","0.00000004631244928591592","0.00000002883102279491179","2211","tags=52%, list=17%, signal=44%","RRM1/TYMS/SUV39H1/RPA3/CCNA2/PRKDC/PCNA/STMN1/RRM2/CHEK1/E2F1/KIF4A/CDC25A/DHFR/E2F2/RBBP4/FANCG/RFC4/POLE/RFC5/CCNB2/POLE2/CCNB1/HMGB2/POLD3/PRIM1/RPA1/PLK4/CDC45/ORC1/POLA1/H2AZ1/HMGB1/MCM6/RBBP7/MCM7/TFDP1/CDC7/SMC1A/MCM3/MCM4/CDK4/TP53/DNMT1/SKP2","0.8266573011783021"
"WP_MRNA_PROCESSING","WP_MRNA_PROCESSING","123","-0.5702289619844809","-2.412498092345656","0.0000000001000000000000000","0.00000004595000000000000","0.00000002860538619427061","1596","tags=41%, list=12%, signal=37%","CSTF2T/PHF5A/METTL3/HNRNPK/DNAJC8/EFTUD2/U2AF1/PSKH1/CPSF1/SRPK1/DHX9/U2AF2/SNRPB/SNRPD2/LSM2/SNRNP40/TRA2B/SF3B5/SF3B3/HNRNPA1/HNRNPR/CSTF2/DHX15/SNRNP70/PRMT1/NUDT21/SMC1A/SNRPF/LSM7/SNRPD1/HNRNPU/NONO/SNRPD3/SRSF3/HNRNPA2B1/HNRNPH1/HNRNPL/SRSF2/PABPN1/SRSF10/HNRNPAB/SRSF7/PTBP1/FUS/HNRNPD/SFPQ/SRSF6/SRSF1/SNRPA/HNRNPM/RBMX",NA
"WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK","119","-0.5576652946043449","-2.348144204824659","0.0000000001000000000000000","0.00000004595000000000000","0.00000002860538619427061","2234","tags=50%, list=17%, signal=42%","RFC2/FANCC/BRCA1/ATR/RAD51/RPA3/USP1/FANCB/GTF2H5/FEN1/FANCI/PRKDC/POLI/RAD23B/PCNA/FAAP100/EXO1/FANCA/NTHL1/CHEK1/RAD23A/FANCD2/H2AX/WRN/FANCG/FAAP24/RFC4/POLE/RFC5/UNG/MSH2/CENPS/POLE2/PARP1/MNAT1/CETN2/ERCC2/POLD3/RPA1/NEIL3/MUTYH/XPA/XRCC1/RBX1/XRCC5/GTF2H3/BRIP1/HMGB1/POLD2/NBN/OGG1/POLD1/LIG3/PNKP/LIG1/APEX1/CENPX/FANCF/RAD54B/GTF2H2",NA
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","WP_CHOLESTEROL_SYNTHESIS_DISORDERS","17","-0.8210074263203228","-2.288109930546407","0.0000011198238081301083115","0.00017151967994526157559","0.00010677664167033512090","1430","tags=76%, list=11%, signal=68%","MSMO1/CYP51A1/FDFT1/HMGCR/EBP/LBR/HMGCS1/DHCR7/FDPS/DHCR24/MVK/SQLE/LSS","0.6435518361507222"
"WP_FATTY_ACID_BIOSYNTHESIS","WP_FATTY_ACID_BIOSYNTHESIS","21","-0.7599377890545160","-2.256280482952308","0.0000069051172461680050178","0.00052881689576903304593","0.00032920590923892352172","2206","tags=57%, list=17%, signal=47%","PECR/ECHDC1/ECHS1/SCD/ACLY/ACACA/ECH1/FASN/ACSS2/MECR/HADH/DECR1","0.6105268783859310"
"WP_FANCONI_ANEMIA","WP_FANCONI_ANEMIA","47","-0.6320876886223595","-2.228157795032969","0.0000007095677335904110834","0.00013041854943391756284","0.00008118983620138811911","2471","tags=57%, list=19%, signal=47%","XRCC2/HSP90B1/FANCL/FANCM/FANCC/BRCA1/ATR/RAD51/USP1/FANCB/UBE2T/FANCI/FAAP100/FANCA/CEBPD/FANCD2/FANCG/FAAP24/CENPS/MEN1/BRIP1/NBN/CENPX/FANCF/UHRF1/MCM2/SMARCA4","0.6594443980379349"
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","26","-0.7116292459403478","-2.193936189906043","0.0000049463552460471495094","0.00045457004711173308684","0.00028298480413447023351","1634","tags=62%, list=13%, signal=54%","NSDHL/HSD17B7/MSMO1/CYP51A1/FDFT1/HMGCR/EBP/LBR/HMGCS1/DHCR7/FDPS/ACAT2/DHCR24/MVK/SQLE/LSS","0.6105268783859310"
"WP_BASE_EXCISION_REPAIR","WP_BASE_EXCISION_REPAIR","31","-0.6829268937798796","-2.191623062759640","0.0000084502176006577298735","0.00059736538269265033931","0.00037187959675759552297","2009","tags=61%, list=16%, signal=52%","FEN1/PCNA/NTHL1/POLE/UNG/POLE2/PARP1/POLD3/NEIL3/MUTYH/XRCC1/HMGB1/POLD2/OGG1/POLD1/LIG3/PNKP/LIG1/APEX1","0.5933254763964051"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","15","-0.7968356404309171","-2.144180122961615","0.0000228763971169413502416","0.00123667111473347657649","0.00076986844031012456515","2453","tags=87%, list=19%, signal=70%","MVD/IDI1/NSDHL/MSMO1/CYP51A1/FDFT1/HMGCR/HMGCS1/DHCR7/FDPS/MVK/SQLE/LSS","0.5756102610711286"
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","38","-0.6417746554769808","-2.143810316645690","0.0000059925403477633771602","0.00050064950723586760378","0.00031167078351367288967","1634","tags=50%, list=13%, signal=44%","NSDHL/HSD17B7/SCD/MSMO1/CYP51A1/FDFT1/HMGCR/EBP/LBR/HMGCS1/DHCR7/FDPS/FASN/ACAT2/SREBF2/DHCR24/MVK/SQLE/LSS","0.6105268783859310"
"WP_DNA_MISMATCH_REPAIR","WP_DNA_MISMATCH_REPAIR","23","-0.7037502359265854","-2.143303260960458","0.0000796808396747098721157","0.00288791305343676692891","0.00179782085286254544702","2234","tags=61%, list=17%, signal=50%","RFC2/RPA3/PCNA/EXO1/RFC4/POLE/RFC5/MSH2/POLE2/POLD3/RPA1/POLD2/POLD1/LIG1","0.5384340963099162"
"WP_PROXIMAL_TUBULE_TRANSPORT","WP_PROXIMAL_TUBULE_TRANSPORT","38","0.6396346187995028","2.091735223871261","0.0000154695378595024845940","0.00094776701952551886416","0.00059001613962394506598","2658","tags=55%, list=21%, signal=44%","SLC6A20/ATP6V0B/ATP6V1D/ATP6V0C/SLC5A1/ABCC2/SLC3A2/CA4/ATP6V1G1/ATP6V1E1/SLC12A4/SLC4A4/SLC20A2/ATP6V0E1/ATP6V1F/SLC2A1/ATP6V1H/CA2/ABCG2/SLC3A1/ABCB1","0.5756102610711286"
"WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER","WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER","40","-0.6132485819247265","-2.078026901768256","0.0000261509033988392856007","0.00131362335490128553407","0.00081777374060423651224","2488","tags=60%, list=19%, signal=49%","TALDO1/PSPH/SHMT2/PPAT/PYCR1/G6PD/PFKL/GOT2/ACLY/TKT/PKM/PDHA1/PYCR2/IDH2/PGD/GAPDH/GART/FASN/RPIA/ENO1/PDHB/PAICS/FH/SUCLG2","0.5756102610711286"
"WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","13","-0.7879308768635527","-2.075910057950609","0.0002173565554268989019789","0.00587501983639176789814","0.00365739306461342755794","2453","tags=77%, list=19%, signal=62%","MVD/IDI1/IDI2/FDFT1/HMGCR/HMGCS1/ACAT1/FDPS/ACAT2/MVK","0.5188480777437918"
"WP_FATTY_ACID_BETAOXIDATION","WP_FATTY_ACID_BETAOXIDATION","29","-0.6539986515318212","-2.070950757862459","0.0000502454484675783513725","0.00209888941553202290277","0.00130662768901763709159","2308","tags=45%, list=18%, signal=37%","DLD/CPT2/ECI1/ACADS/GCDH/ECHS1/HADHA/TPI1/CPT1A/ACAT1/ACSS2/HADH/DECR1","0.5573322387586460"
"WP_LEUCINE_ISOLEUCINE_AND_VALINE_METABOLISM","WP_LEUCINE_ISOLEUCINE_AND_VALINE_METABOLISM","22","-0.6903796439057509","-2.065742035652324","0.0001749062655553452463528","0.00518512445307620258028","0.00322791049936019432132","3473","tags=82%, list=27%, signal=60%","HSD17B10/MLYCD/ACAD8/MCCC1/BCKDHB/ALDH6A1/HIBCH/IVD/ACSF3/DLD/ECHS1/HIBADH/PCCB/MCCC2/ACAT1/DBT/BCAT2/BCKDHA","0.5188480777437918"
"WP_TUMOR_SUPPRESSOR_ACTIVITY_OF_SMARCB1","WP_TUMOR_SUPPRESSOR_ACTIVITY_OF_SMARCB1","25","-0.6793840025110830","-2.043817450432814","0.0000444849465189789950695","0.00197276728450893707942","0.00122811251457672818664","1876","tags=44%, list=15%, signal=38%","SMARCD2/EZH2/RBBP4/H3-3A/ACTL6A/SMARCD1/SMARCE1/CDK4/SMARCC1/SMARCA4/SMARCB1","0.5573322387586460"
"WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","52","0.5806959502617286","2.004578330759842","0.0000174415090138758635985","0.00100179667398449484365","0.00062365137644096360191","2801","tags=52%, list=22%, signal=41%","TNFAIP3/CPEB4/BHLHE40/GADD45B/ABHD2/AKAP13/IL11/BIRC2/BIRC3/FGD4/SEC14L1/RGS2/PPP1R14C/CDKN1C/NFKB2/SERTAD2/LRRC8A/NAV3/PRRG4/PLK2/TSC22D3/ADGRF4/HSP90AA1/ETNK2/MFGE8/ENC1/EPB41L4B","0.5756102610711286"
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","41","-0.5776751139301697","-1.998796772215006","0.0001840974298757061674518","0.00528704806424293641265","0.00329136129935451602832","1483","tags=34%, list=12%, signal=30%","PFKL/GOT2/ACLY/PKM/HMGCR/PDHA1/FASN/CARM1/RPIA/TP53/RPE/PDHB/BCAT2/BCKDHA","0.5188480777437918"
"WP_HOMOLOGOUS_RECOMBINATION","WP_HOMOLOGOUS_RECOMBINATION","13","-0.7584028149620390","-1.998114400370667","0.0008559127131773055282421","0.01747963963133208203926","0.01088165053734346104930","920","tags=46%, list=7%, signal=43%","POLD3/RPA1/POLD2/NBN/POLD1/RAD54B","0.4772708153628621"
"WP_UTERINE_NATURAL_KILLER_CELLS_AND_PROGESTERONE_ESTROGEN_AND_CHORIONIC_GONADOTROPIN","WP_UTERINE_NATURAL_KILLER_CELLS_AND_PROGESTERONE_ESTROGEN_AND_CHORIONIC_GONADOTROPIN","19","0.6883470548317856","1.964363726014229","0.0009053023038697174474168","0.01770154930332490036959","0.01101979660627922831539","1778","tags=37%, list=14%, signal=32%","ESR2/STAT5A/IL15/CXCL8/JAK1/MCL1/MAPK11","0.4772708153628621"
"WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR","WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR","100","-0.4882443088061012","-1.959525668385584","0.0000044206953718851385471","0.00045140211630693803787","0.00028101266302222016038","2397","tags=39%, list=19%, signal=32%","CC2D2A/IFT70B/DYNC2H1/TMEM67/TTC8/DYNLT2B/CLUAP1/CEP162/BBS2/TTC21B/BBS1/CPLANE2/TRAF3IP1/IFT43/IQCE/ARL6/IFT172/DYNC2I2/WDR19/IFT140/TCTN3/TCTN2/IFT56/RPGRIP1L/KATNB1/FBF1/BBS7/CEP83/TMEM231/CBY1/IFT81/IFT52/IFT74/B9D1/IFT122/BBS9/MKS1/IFT57/TEDC1","0.6105268783859310"
"WP_SENESCENCE_AND_AUTOPHAGY_IN_CANCER","WP_SENESCENCE_AND_AUTOPHAGY_IN_CANCER","82","0.5074076561958882","1.942601439777408","0.0000132427589081922985958","0.00086929253118776578148","0.00054116318978065429488","3359","tags=54%, list=26%, signal=40%","IRF7/RNASEL/ATG13/MAP2K1/IRF1/IL6R/MAP1LC3B/SQSTM1/MDM2/ULK1/TNFSF15/PTEN/GSK3B/CDKN1A/SMAD3/SERPINE1/CXCL8/IRF5/RB1CC1/UVRAG/GABARAPL2/KMT2A/ATG16L1/ATG14/SH3GLB1/ING2/AMBRA1/PLAU/ING1/IGFBP3/LAMP2/CEBPB/GABARAP/MMP14/GABARAPL1/BMI1/BECN1/IGF1R/ATG5/COL1A1/CREG1/HRAS/IL6ST/BRAF","0.5933254763964051"
"WP_G1_TO_S_CELL_CYCLE_CONTROL","WP_G1_TO_S_CELL_CYCLE_CONTROL","59","-0.5156714780097903","-1.938152688850287","0.0001385111999749128928149","0.00438937216472224008001","0.00273252852932015727686","2151","tags=46%, list=17%, signal=38%","POLA2/RPA3/PCNA/E2F1/CDC25A/E2F2/POLE/CREB3L4/POLE2/CCNB1/MNAT1/ORC5/PRIM1/RPA1/CDC45/ORC1/ORC2/MCM6/MCM7/TFDP1/MCM5/MCM3/MCM4/CDK4/TP53/MCM2/ATF6B","0.5188480777437918"
"WP_CELL_CYCLE","WP_CELL_CYCLE","115","-0.4730341282460423","-1.937676257887731","0.0000040874075102115917530","0.00045140211630693803787","0.00028101266302222016038","2201","tags=40%, list=17%, signal=33%","RAD21/CDC6/ATR/CDC16/E2F4/CDC23/BUB1/CCNA2/PRKDC/PCNA/ANAPC2/CHEK1/PTTG1/E2F1/CDC25A/E2F2/YWHAQ/YWHAB/CDC27/CCNB2/CCNB1/PLK1/ORC5/YWHAE/CDC45/ORC1/ESPL1/PKMYT1/RBX1/BUB3/ORC2/MCM6/MCM7/TFDP1/MCM5/CDC7/CDC20/SMC1A/ANAPC7/MCM3/MCM4/CDK4/E2F5/TP53/MCM2/SKP2","0.6105268783859310"
"WP_EXERCISE_AND_HYPERTROPHY_IN_SKELETAL_MUSCLE","WP_EXERCISE_AND_HYPERTROPHY_IN_SKELETAL_MUSCLE","15","0.7277351647262367","1.931886052897029","0.0009334649406971737544553","0.01787196417709797230389","0.01112588546977273488980","1749","tags=47%, list=14%, signal=40%","ATF3/NR4A3/HBEGF/DUSP14/IFRD1/ZEB1/CCN1","0.4772708153628621"
"WP_PDGFRBETA_PATHWAY","WP_PDGFRBETA_PATHWAY","28","0.6212447546999262","1.918538560098928","0.0006111467911398675047219","0.01404109752643845597520","0.00874104499097257299500","1491","tags=29%, list=12%, signal=25%","MAP2K1/STAT5A/PIK3CA/JAK2/MAP3K1/JAK1/STAT3/GRB2","0.4772708153628621"
"WP_TELOMERE_END_PACKAGING_AND_NEURODEVELOPMENTAL_DISORDERS","WP_TELOMERE_END_PACKAGING_AND_NEURODEVELOPMENTAL_DISORDERS","24","0.6500473661235000","1.915636854124384","0.0005848940640083533874100","0.01378250371342761015914","0.00858006183779250197752","1019","tags=54%, list=8%, signal=50%","H2AC18/H4C8/H2AC20/H2BC15/H2BC11/H2BC12/H2BC17/H2BC12L/H2BC4/H2BC5/H2BC21/H2AC6/TERF2IP","0.4772708153628621"
"WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES","WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES","16","0.7013144485315449","1.906615744467026","0.0013942580724184353967859","0.02335043439583869145926","0.01453641335575507273492","1729","tags=44%, list=13%, signal=38%","PSAP/NEU1/NPC2/GBA1/GM2A/NPC1/HEXB","0.4550598673872295"
"WP_AMINO_ACID_METABOLISM","WP_AMINO_ACID_METABOLISM","69","-0.4917502779299540","-1.900935338185407","0.0001674956761759845971435","0.00513095088019099431625","0.00319418566858968664551","1619","tags=33%, list=13%, signal=29%","SRM/FARSB/SUCLG1/FAH/GSS/GOT2/CAD/ACLY/PKM/LARS2/SMS/HIBADH/CTH/PDHA1/ACSS1/ALDH7A1/GSR/ADH5/ALDH18A1/VARS1/HADH/FH/IDH1","0.5188480777437918"
"WP_B_CELL_RECEPTOR_SIGNALING","WP_B_CELL_RECEPTOR_SIGNALING","81","0.4913271409657640","1.884473045188973","0.0000450795570997689651425","0.00197276728450893707942","0.00122811251457672818664","2185","tags=33%, list=17%, signal=28%","MEF2D/BCL6/ETS1/TEC/MAP2K1/BCL10/BLNK/RASGRP3/CRKL/RELA/GAB2/CD22/GSK3B/CBL/PIP5K1A/FYN/GRB2/CHUK/PTPN11/PDPK1/GSK3A/MALT1/CRK/SH3BP2/KLF11/NFATC2/NFATC3","0.5573322387586460"
"WP_SENESCENCEASSOCIATED_SECRETORY_PHENOTYPE_SASP","WP_SENESCENCEASSOCIATED_SECRETORY_PHENOTYPE_SASP","71","0.5055997960613321","1.880562896545430","0.0001000701785654149457384","0.00340609237413393856064","0.00212040452177282567892","1455","tags=35%, list=11%, signal=31%","H3C4/H2AC19/H2AC18/H4C8/H2AC20/H2BC15/H2BC6/H2BC11/H2BC12/H2BC17/H2BC12L/H2BC4/H2BC5/CDKN2B/RELA/H2BC21/H3C10/H2AC6/CDKN1A/H3C6/CXCL8/UBA52/STAT3/UBC/CDKN2D","0.5384340963099162"
"WP_PROTEASOME_DEGRADATION","WP_PROTEASOME_DEGRADATION","58","-0.5087020374721292","-1.872187577236393","0.0001239856008614362487853","0.00406938454255928276637","0.00253332571083576731791","3249","tags=53%, list=25%, signal=40%","PSMD6/PSMB3/PSMD11/RPN1/UBA1/PSMD8/PSMD7/UBE2D3/PSMB8/PSMD3/PSMB4/PSMB10/PSMD1/H2AX/PSMB5/PSME2/PSMB7/PSMB6/PSMD9/PSMC3/PSMA6/RPN2/PSMA2/PSMA3/H2AZ1/PSMA4/PSMA1/PSMB2/PSME3/PSME1/PSMA7","0.5188480777437918"
"WP_TRANSCRIPTION_ACTIVATION_RNAPOLYMERASE_I_AND_KAT2AB_AND_INHIBITION_NURD_COMPLEX","WP_TRANSCRIPTION_ACTIVATION_RNAPOLYMERASE_I_AND_KAT2AB_AND_INHIBITION_NURD_COMPLEX","56","0.5173526069060004","1.859170620156991","0.0003090410161595105492834","0.00811453411001686157611","0.00505156435263578399569","993","tags=29%, list=8%, signal=26%","H2AC18/H4C8/H2AC20/H2BC15/H2BC11/H2BC12/H2BC17/H2BC12L/H2BC4/SIRT7/H2BC5/H2BC21/H2AC6/TAF12/GATAD2B/CREBBP","0.4984931087665903"
"WP_KIT_RECEPTOR_SIGNALING","WP_KIT_RECEPTOR_SIGNALING","53","0.5220145221784875","1.858620107834351","0.0003982319766671531605096","0.00989122125830037279837","0.00615761053376847299068","1821","tags=28%, list=14%, signal=24%","TEC/GRB7/MAP2K1/STAT5A/CRKL/GAB2/CBL/JAK2/FYN/GRB10/STAT3/FOXO3/GRB2/PTPN11/CRK","0.4984931087665903"
"WP_MITOCHONDRIAL_FATTY_ACID_SYNTHESIS_PATHWAY","WP_MITOCHONDRIAL_FATTY_ACID_SYNTHESIS_PATHWAY","6","-0.8973501232089620","-1.857998041170514","0.0004620615731468181931925","0.01117459436110331515157","0.00695655249757734170379","1101","tags=67%, list=9%, signal=61%","MCAT/OXSM/ACACA/MECR","0.4984931087665903"
"WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR","WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR","82","-0.4711195635385600","-1.838649498377636","0.0000817037425346636930843","0.00288791305343676692891","0.00179782085286254544702","2216","tags=43%, list=17%, signal=36%","BRCA1/ATR/RAD51/USP1/SEM1/FEN1/FANCI/PRKDC/PCNA/EXO1/FANCA/CLSPN/SMARCAL1/CHEK1/E2F1/FANCD2/FOXM1/H2AX/RECQL4/WRN/ATRIP/MSH2/TRIM28/PARP1/PLK1/RPA1/CDC45/XPA/XRCC5/BRIP1/NBN/EEF1E1/SMC1A/TP53/MCM2","0.5384340963099162"
"WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS","WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS","7","-0.8533852247018058","-1.831300325442166","0.0006348850096500929709314","0.01423071521630330307784","0.00885908823902152760266","1634","tags=86%, list=13%, signal=75%","NSDHL/CYP51A1/EBP/LBR/DHCR7/DHCR24","0.4772708153628621"
"WP_TCA_CYCLE_AND_DEFICIENCY_OF_PYRUVATE_DEHYDROGENASE_COMPLEX_PDHC","WP_TCA_CYCLE_AND_DEFICIENCY_OF_PYRUVATE_DEHYDROGENASE_COMPLEX_PDHC","15","-0.6797257986731897","-1.829052909570023","0.0026844629953916279360704","0.03575393467775225819771","0.02225800020504521692377","2628","tags=60%, list=20%, signal=48%","MDH1/DLAT/DLD/ACO1/ACLY/PDHA1/FH/SUCLG2/IDH1","0.4317076958033464"
"WP_NUCLEOTIDE_EXCISION_REPAIR","WP_NUCLEOTIDE_EXCISION_REPAIR","43","-0.5254376906992408","-1.819344650950709","0.0007695491982526989939439","0.01644687705102861399742","0.01023872186581849773324","2234","tags=51%, list=17%, signal=42%","RFC2/RPA3/GTF2H5/RAD23B/PCNA/RAD23A/RFC4/POLE/RFC5/POLE2/MNAT1/CETN2/ERCC2/POLD3/RPA1/XPA/RBX1/GTF2H3/POLD2/POLD1/LIG1/GTF2H2","0.4772708153628621"
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","102","-0.4454006749970744","-1.816791009754667","0.0000793508310875648336736","0.00288791305343676692891","0.00179782085286254544702","3717","tags=57%, list=29%, signal=41%","NDUFB9/SDHA/NDUFA5/NDUFA10/COX5A/NDUFA12/NDUFC1/COX8A/ATP5MC2/UQCRH/NDUFB6/NDUFV1/ATP5IF1/NDUFA8/UCP2/NDUFA9/COX7C/NDUFS5/COX5B/SLC25A5/NDUFA7/ATP5PF/NDUFS3/DMAC2L/UQCR10/UQCRQ/NDUFS7/UQCRC2/NDUFB8/NDUFS2/ATP5PD/NDUFB7/SCO1/SLC25A14/NDUFAB1/SLC25A6/NDUFS6/NDUFA11/COX15/NDUFS1/SDHD/NDUFB1/ATP5PO/ATP5MF/ATP5F1D/NDUFB10/SDHC/ATP5F1C/NDUFV2/NDUFS8/COX7B/UQCRC1/ATP5MC1/COX11/ATP5PB/ATP5MC3/UQCRFS1/ATP5F1A","0.5384340963099162"
"WP_DISORDERS_OF_FOLATE_METABOLISM_AND_TRANSPORT","WP_DISORDERS_OF_FOLATE_METABOLISM_AND_TRANSPORT","18","-0.6460828229036116","-1.812353046439701","0.0033986814998028199753810","0.04102561994810512147058","0.02553979765995471537532","2482","tags=50%, list=19%, signal=40%","MTHFD1/SHMT2/TYMS/DHFR/ATIC/GART/SHMT1/SLC19A1/QDPR","0.4317076958033464"
"WP_BARDETBIEDL_SYNDROME","WP_BARDETBIEDL_SYNDROME","79","-0.4665293574559347","-1.804781409031936","0.0003403168498349645114225","0.00868753291662034514420","0.00540827495441486422179","2292","tags=37%, list=18%, signal=30%","DYNC2H1/TMEM67/TTC8/DYNLT2B/CLUAP1/CFAP410/BBS2/TTC21B/NEK8/BBS1/TRAF3IP1/INVS/IFT43/ARL6/IFT172/DYNC2I2/CFAP418/WDR19/IFT140/BBS7/IFT81/GPR161/PKD2/IFT52/IFT74/IFT122/BBS9/MKS1/IFT57","0.4984931087665903"
"WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING","WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING","37","0.5560528657791922","1.799306306409047","0.0018874380123364991896501","0.02797670215060069076607","0.01741641718084904408292","1589","tags=35%, list=12%, signal=31%","RELB/TEC/MAP2K1/STAT5A/RELA/GAB2/CXCL8/JAK2/JAK1/FYN/NFKB2/STAT3/PTPN11","0.4550598673872295"
"WP_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING","WP_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING","32","0.5659709351657856","1.792125540713835","0.0013565742410412550290194","0.02335043439583869145926","0.01453641335575507273492","2884","tags=44%, list=22%, signal=34%","MET/MAP2K1/CRKL/PIK3CA/PTEN/STAT3/GRB2/PTPN11/CRK/ITGB1/PXN/PTK2B/RAP1A/ITGA1","0.4550598673872295"
"WP_HSPB3_IN_CHARCOTMARIETOOTH_DISEASE","WP_HSPB3_IN_CHARCOTMARIETOOTH_DISEASE","10","-0.7502584915406763","-1.790461522187905","0.0038056449875323236642366","0.04427073093091399291765","0.02755998597130436891800","1291","tags=50%, list=10%, signal=45%","HP1BP3/ACTA1/LBR/H2AZ1/LMNB1","0.4317076958033464"
"WP_MITOCHONDRIAL_COMPLEX_III_ASSEMBLY","WP_MITOCHONDRIAL_COMPLEX_III_ASSEMBLY","16","-0.6592848686571445","-1.788723300989034","0.0033698131153149370013711","0.04102561994810512147058","0.02553979765995471537532","2475","tags=69%, list=19%, signal=56%","UQCC3/UQCR10/UQCRQ/UQCRC2/BCS1L/CYC1/UQCRC1/UQCC1/TTC19/UQCC2/UQCRFS1","0.4317076958033464"
"WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM","WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM","63","-0.4760887689076880","-1.787204643019952","0.0008422610705614583335304","0.01747963963133208203926","0.01088165053734346104930","2234","tags=46%, list=17%, signal=38%","RFC2/BRCA1/RPA3/GTF2H5/RAD23B/PCNA/HMGN1/RAD23A/H3-3A/RFC4/POLE/RFC5/POLE2/PARP1/MNAT1/CETN2/ERCC2/POLD3/RPA1/XPA/XRCC1/RBX1/GTF2H3/POLD2/CHD1L/POLD1/LIG3/LIG1/GTF2H2","0.4772708153628621"
"WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88","WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88","26","0.5996184283511830","1.787175911534684","0.0031493582317332915153363","0.04016415754833818629876","0.02500350898449929526457","2033","tags=38%, list=16%, signal=32%","TICAM2/IRF7/RELB/TOLLIP/RELA/TICAM1/NFKB2/CHUK/TBK1/TRAF6","0.4317076958033464"
