"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY","KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY","17","-0.7020884727918923","-2.128877429298655","0.00007460584418588685","0.03818938626535327","0.02412233556234725","1878","tags=65%, list=14%, signal=56%","CYP1A1/MGST3/GSTM4/GSTO2/GSTA4/GSTT2/GSTT2B/MGST1/CYP1B1/MGST2/GSTP1","0.5384340963099162"
"KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS","13","-0.7216112177693963","-2.068671237566288","0.00034982643907193833","0.03818938626535327","0.02412233556234725","1812","tags=69%, list=14%, signal=60%","MGST3/GSTM4/GSTO2/GSTA4/GSTT2/GSTT2B/MGST1/MGST2/GSTP1","0.4984931087665903"
"KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION","KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION","15","0.7127646097047815","2.033434933698781","0.00044157631794775764","0.04131892689368304","0.02609911069740771","1108","tags=53%, list=8%, signal=49%","OPTN/MAP1LC3B2/MAP1LC3B/CALCOCO2/SQSTM1/TAX1BP1/HK1/NBR1","0.4984931087665903"
"KEGG_MEDICUS_REFERENCE_TBK1_MEDIATED_AUTOPHAGOSOME_FORMATION","KEGG_MEDICUS_REFERENCE_TBK1_MEDIATED_AUTOPHAGOSOME_FORMATION","9","0.8278479258542244","2.003567590365799","0.00025801640586557928","0.03818938626535327","0.02412233556234725","1108","tags=78%, list=8%, signal=71%","OPTN/MAP1LC3B2/MAP1LC3B/CALCOCO2/SQSTM1/TAX1BP1/NBR1","0.4984931087665903"
"KEGG_MEDICUS_REFERENCE_CHOLESTEROL_BIOSYNTHESIS","KEGG_MEDICUS_REFERENCE_CHOLESTEROL_BIOSYNTHESIS","13","-0.6858427092423096","-1.966132248456123","0.00115707714592359098","0.07569957162823847","0.04781565370164028","4001","tags=85%, list=30%, signal=59%","HSD17B7/EBP/CYP51A1/MSMO1/DHCR7/NSDHL/FDFT1/SQLE/DHCR24/TM7SF2/LSS","0.4550598673872295"
"KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_SEQUESTOSOME_1_LIKE_RECEPTOR","KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_SEQUESTOSOME_1_LIKE_RECEPTOR","13","0.7417883152620428","1.957819306714079","0.00027078823344316866","0.03818938626535327","0.02412233556234725","2202","tags=69%, list=17%, signal=58%","OPTN/MAP1LC3B2/MAP1LC3B/CALCOCO2/SQSTM1/TAX1BP1/NBR1/UBC/WDFY3","0.4984931087665903"
"KEGG_MEDICUS_REFERENCE_BETA_OXIDATION","KEGG_MEDICUS_REFERENCE_BETA_OXIDATION","10","-0.7630898021308981","-1.957759533215311","0.00097214590454560302","0.07075061860859666","0.04468964626615559","3124","tags=100%, list=24%, signal=76%","HADHB/HADHA/ACADM/ACADS/ACAA2/ACADSB/ECHS1/ACAT1/HADH/ACADVL","0.4772708153628621"
"KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION","KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION","10","-0.7630898021308981","-1.957759533215311","0.00097214590454560302","0.07075061860859666","0.04468964626615559","3124","tags=100%, list=24%, signal=76%","HADHB/HADHA/ACAA1/ACADM/ACADS/HSD17B10/ACAA2/ACADSB/ECHS1/HADH","0.4772708153628621"
"KEGG_MEDICUS_REFERENCE_VALINE_DEGRADATION","KEGG_MEDICUS_REFERENCE_VALINE_DEGRADATION","8","-0.7893775681022676","-1.907493871699380","0.00150243424605664140","0.07569957162823847","0.04781565370164028","2777","tags=100%, list=21%, signal=79%","HADHA/ALDH6A1/ACADM/ACADS/HIBCH/ECHS1/HIBADH/ACAD8","0.4550598673872295"
"KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY","13","-0.6525407611875268","-1.870664245188647","0.00379577872142282564","0.13085447697536584","0.08265426371355218","1403","tags=46%, list=11%, signal=41%","CR2/PIK3R3/AKT1/IFITM1/SYK/AKT2","0.4317076958033464"
"KEGG_MEDICUS_VARIANT_FUS_DDIT3_FUSION_TO_NFKB_MEDIATED_TRANSCRIPTION","KEGG_MEDICUS_VARIANT_FUS_DDIT3_FUSION_TO_NFKB_MEDIATED_TRANSCRIPTION","5","0.9104619499724911","1.861832981831360","0.00024472529456056442","0.03818938626535327","0.02412233556234725","637","tags=60%, list=5%, signal=57%","CXCL8/DDIT3/RELA","0.4984931087665903"
"KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY","5","0.9044685960759712","1.849576979307954","0.00031504181258979234","0.03818938626535327","0.02412233556234725","637","tags=60%, list=5%, signal=57%","MMP1/CXCL8/RELA","0.4984931087665903"
"KEGG_MEDICUS_REFERENCE_TLR3_NFKB_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_TLR3_NFKB_SIGNALING_PATHWAY","10","0.7444723097350063","1.835542469390606","0.00244031769183093283","0.10279035162816982","0.06492755178932809","637","tags=30%, list=5%, signal=29%","TICAM1/CHUK/RELA","0.4317076958033464"
"KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION","KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION","10","0.7438651757777803","1.834045543113396","0.00244031769183093283","0.10279035162816982","0.06492755178932809","2931","tags=80%, list=22%, signal=62%","CDKN1A/GADD45A/BAK1/MDM2/GADD45G/POLK/BAX/DDB2","0.4317076958033464"
"KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_PERK_ATF4_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_PERK_ATF4_SIGNALING_PATHWAY","6","0.8454808277541084","1.811688683188319","0.00133973401372050756","0.07569957162823847","0.04781565370164028","2037","tags=100%, list=15%, signal=85%","EIF2AK3/DDIT3/PRNP/EIF2S1/HSPA5/ATF4","0.4550598673872295"
