"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","39","-0.7887965405687639","-2.939976882925763","0.0000000001000000000000000","0.000000007233333333333333","0.000000003557321340547515","1891","tags=82%, list=16%, signal=69%","PSMC2/PSMB4/ADRM1/PSMD8/PSMD4/PSMD7/SOD1/PSMA5/PSMC1/SEM1/PSMD11/PSMC6/PSMC5/PSMD1/PSMD12/PSMB6/UBB/PSMC4/PSMA6/PSMA2/PSMB7/PSMD13/PSMD3/PSMD6/PSMD2/PSMB2/PSMB3/PSMD14/PSMA7/PSMA1/PSMA4/PSMA3",NA
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","38","-0.7870893251524107","-2.873367123237643","0.0000000001000000000000000","0.000000007233333333333333","0.000000003557321340547515","1891","tags=82%, list=16%, signal=69%","PSMC2/PSMB4/ADRM1/PSMD8/PSMD4/PSMD7/PSMA5/PSMC1/SEM1/PSMD11/PSMC6/PSMC5/PSMD1/PSMD12/PSMB6/UBB/PSMC4/PSMA6/PSMA2/PSMB7/PSMD13/PSMD3/PSMD6/PSMD2/PSMB2/PSMB3/PSMD14/PSMA7/PSMA1/PSMA4/PSMA3",NA
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","30","-0.8206235751320874","-2.862072424156072","0.0000000001000000000000000","0.000000007233333333333333","0.000000003557321340547515","1344","tags=80%, list=11%, signal=71%","PRIM2/RPA3/POLE3/GINS1/POLA2/POLE4/GINS3/RFC5/RFC2/PRIM1/RPA2/GINS4/MCM3/RFC3/MCM4/MCM10/MCM2/MCM6/PCNA/MCM5/MCM7/CDC45/POLE2/GINS2",NA
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","33","-0.8021869503073480","-2.857076941690311","0.0000000001000000000000000","0.000000007233333333333333","0.000000003557321340547515","1891","tags=91%, list=16%, signal=77%","PSMC2/PSMB4/ADRM1/PSMD8/PSMD4/PSMD7/PSMA5/PSMC1/SEM1/PSMD11/PSMC6/PSMC5/PSMD1/PSMD12/PSMB6/PSMC4/PSMA6/PSMA2/PSMB7/PSMD13/PSMD3/PSMD6/PSMD2/PSMB2/PSMB3/PSMD14/PSMA7/PSMA1/PSMA4/PSMA3",NA
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","37","-0.7879511754987849","-2.850411130167157","0.0000000001000000000000000","0.000000007233333333333333","0.000000003557321340547515","1891","tags=84%, list=16%, signal=71%","PSMC2/PSMB4/ADRM1/PSMD8/PSMD4/PSMD7/PSMA5/PSMC1/SEM1/PSMD11/PSMC6/PSMC5/PSMD1/PSMD12/PSMB6/UBB/PSMC4/PSMA6/PSMA2/PSMB7/PSMD13/PSMD3/PSMD6/PSMD2/PSMB2/PSMB3/PSMD14/PSMA7/PSMA1/PSMA4/PSMA3",NA
"KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","34","-0.7916268102534758","-2.849234998079166","0.0000000001000000000000000","0.000000007233333333333333","0.000000003557321340547515","1891","tags=88%, list=16%, signal=75%","PSMC2/PSMB4/ADRM1/PSMD8/PSMD4/PSMD7/PSMA5/PSMC1/SEM1/PSMD11/PSMC6/PSMC5/PSMD1/PSMD12/PSMB6/PSMC4/PSMA6/PSMA2/PSMB7/PSMD13/PSMD3/PSMD6/PSMD2/PSMB2/PSMB3/PSMD14/PSMA7/PSMA1/PSMA4/PSMA3",NA
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","34","-0.7876868855481891","-2.835054362437852","0.0000000001000000000000000","0.000000007233333333333333","0.000000003557321340547515","1891","tags=88%, list=16%, signal=75%","PSMC2/PSMB4/ADRM1/PSMD8/PSMD4/PSMD7/PSMA5/PSMC1/SEM1/PSMD11/PSMC6/PSMC5/PSMD1/PSMD12/PSMB6/PSMC4/PSMA6/PSMA2/PSMB7/PSMD13/PSMD3/PSMD6/PSMD2/PSMB2/PSMB3/PSMD14/PSMA7/PSMA1/PSMA4/PSMA3",NA
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","38","-0.7764725745378579","-2.834609359415141","0.0000000001000000000000000","0.000000007233333333333333","0.000000003557321340547515","1891","tags=82%, list=16%, signal=69%","PSMC2/PSMB4/ADRM1/PSMD8/PSMD4/PSMD7/PSMA5/PSMC1/SEM1/PSMD11/PSMC6/PSMC5/PSMD1/PSMD12/PSMB6/UBB/PSMC4/PSMA6/PSMA2/PSMB7/PSMD13/PSMD3/PSMD6/PSMD2/PSMB2/PSMB3/PSMD14/PSMA7/PSMA1/PSMA4/PSMA3",NA
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","34","-0.7858474556677016","-2.828433859033831","0.0000000001000000000000000","0.000000007233333333333333","0.000000003557321340547515","1891","tags=88%, list=16%, signal=75%","PSMC2/PSMB4/ADRM1/PSMD8/PSMD4/PSMD7/PSMA5/PSMC1/SEM1/PSMD11/PSMC6/PSMC5/PSMD1/PSMD12/PSMB6/PSMC4/PSMA6/PSMA2/PSMB7/PSMD13/PSMD3/PSMD6/PSMD2/PSMB2/PSMB3/PSMD14/PSMA7/PSMA1/PSMA4/PSMA3",NA
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","21","-0.8417645435724407","-2.662549540791029","0.0000000002051351602835668","0.000000013354298934460200","0.000000006567585150360306","1232","tags=81%, list=10%, signal=73%","ELOB/GINS1/GINS3/UBB/UFD1/LRR1/ELOC/GINS4/MCM3/MCM4/RBX1/MCM2/MCM6/MCM5/MCM7/CDC45/GINS2","0.8266573011783021"
