"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","58","-0.6622978075060522","-2.839994703998113","0.0000000001000000000000000","0.000000001250000000000000","0.0000000003472067867573945","2724","tags=72%, list=21%, signal=57%","NOP56/UNG/BYSL/HSPE1/PES1/GRWD1/AIMP2/NOLC1/GNL3/PRMT3/RABEPK/LAS1L/EXOSC5/RRP9/NPM1/PPRC1/HSPD1/NOP2/TCOF1/FARSA/MCM4/CDK4/NOC4L/MCM5/PPAN/MRTO4/PHB1/MAP3K6/SLC19A1/RCL1/DUSP2/DCTPP1/NOP16/MYBBP1A/PA2G4/SLC29A2/IMP4/IPO4/SORD/PUS1/MYC/SRM",NA
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","199","-0.4863341789533309","-2.580505722279660","0.0000000001000000000000000","0.000000001250000000000000","0.0000000003472067867573945","2527","tags=48%, list=20%, signal=39%","NDUFAB1/NDUFB7/NDUFV2/ACADSB/ACO2/AFG3L2/ATP5PB/FXN/ATP5PD/TOMM22/FH/ATP5PF/NDUFA3/ATP5F1B/DLD/GLUD1/NDUFS1/UQCR11/UQCRFS1/HSD17B10/TIMM8B/MRPS15/SDHB/COX7B/SDHC/DECR1/ATP5MG/COX6B1/SLC25A12/BCKDHA/CYCS/COX5A/IMMT/ATP5ME/ATP5F1A/COX5B/UQCRC1/HADHA/ECHS1/ACAA1/VDAC3/NDUFB2/ATP5MC3/ETFA/DLAT/OXA1L/COX11/POLR2F/COX15/GOT2/COX4I1/UQCRQ/NDUFB8/CPT1A/ATP5F1C/NDUFS8/ECI1/PRDX3/PHB2/ACADVL/PMPCA/MDH2/PDHB/MRPL11/ACAT1/MRPL35/NDUFB1/ECH1/ATP5PO/ETFDH/IDH2/RHOT2/NDUFA9/SUCLG1/SLC25A5/ETFB/LDHB/IDH3G/SLC25A6/TIMM50/MRPL15/CYC1/SLC25A11/SDHA/CS/BAX/NDUFS6/AIFM1/TIMM13/ATP5MC1/ATP5MF/NDUFS2/ATP5F1D/NDUFV1/PDHA1/NDUFS7",NA
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","164","0.5101034432200087","2.475318244881131","0.0000000001000000000000000","0.000000001250000000000000","0.0000000003472067867573945","2508","tags=49%, list=20%, signal=40%","ABCA1/TNFAIP3/IL6ST/EDN1/CCN1/SERPINE1/DNAJB4/SQSTM1/PPP1R15A/LAMB3/ATF3/BIRC3/KLF10/PLK2/MXD1/EIF1/SLC2A3/PLAUR/TIPARP/PTGER4/SGK1/IRF1/YRDC/MAFF/B4GALT1/DUSP4/KLF4/SDC4/MCL1/SAT1/PER1/CCL20/PHLDA1/NFIL3/BTG3/ICAM1/SERPINB8/IRS2/CDKN1A/BCL6/FOSL1/DUSP5/BTG1/KLF9/JAG1/NR4A1/BHLHE40/IFIH1/TSC22D1/TRIB1/LDLR/VEGFA/GADD45B/RELB/GEM/IL1A/F2RL1/PLAU/NR4A2/SIK1/FOSB/HBEGF/RNF19B/IER5/PMEPA1/BIRC2/NFKBIA/GADD45A/EGR1/SPHK1/FOSL2/PNRC1/EFNA1/RCAN1/TUBB2A/NAMPT/NFE2L2/B4GALT5/TANK/ZBTB10/CCNL1",NA
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","110","0.5228005784242929","2.379629964323227","0.0000000002166841183924565","0.000000002166841183924565","0.0000000006018735719072293","2731","tags=49%, list=21%, signal=39%","TNFAIP3/CCN1/APLP1/SERPINE1/CALU/ENO2/SLIT2/IGFBP3/LAMA3/ECM1/MYL9/COL16A1/FN1/ITGAV/PLOD2/PLAUR/CD59/ANPEP/LAMC2/CXCL8/SDC4/SAT1/LAMC1/SNTB1/QSOX1/THBS1/GLIPR1/ITGA2/ITGB1/ITGA5/SERPINE2/PMP22/CCN2/VEGFA/GADD45B/GEM/PFN2/TGFBR3/SLC6A8/LRP1/PMEPA1/FMOD/MYLK/GADD45A/FUCA1/CADM1/COPA/P3H1/OXTR/SERPINH1/NOTCH2/EMP3/NT5E/COL7A1","0.8266573011783021"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","200","-0.4451643123967555","-2.364880952354285","0.0000000001000000000000000","0.000000001250000000000000","0.0000000003472067867573945","2895","tags=43%, list=23%, signal=34%","VDAC1/CCT5/SRPK1/KPNB1/SNRPD2/RACK1/NOP56/RPS3/SNRPD3/RPL22/NDUFAB1/RPS10/HSPE1/MRPL9/PPIA/RSL1D1/AIMP2/NOLC1/SMARCC1/SNRPA/RPS6/TXNL4A/GNL3/RPL14/RAN/TUFM/CDC20/CLNS1A/SERBP1/SF3B3/RRP9/HNRNPU/NPM1/HNRNPR/PABPC4/HSPD1/EEF1B2/COX5A/PRPS2/SSBP1/HDGF/FAM120A/SSB/SNRPD1/EIF4A1/TYMS/PABPC1/MCM4/CDK4/VDAC3/CSTF2/TFDP1/RANBP1/CTPS1/MCM5/RPS2/GOT2/HNRNPA3/EIF3B/PRPF31/PHB1/PRDX3/LSM2/PHB2/POLD2/LSM7/HNRNPA2B1/NHP2/RUVBL2/EXOSC7/MRPL23/FBL/SRSF2/HNRNPD/NOP16/SRSF1/CYC1/CAD/NME1/PA2G4/C1QBP/APEX1/HNRNPA1/IMPDH2/MYC/SRM",NA
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","93","0.5134318427852518","2.274087652106869","0.0000000312421644090262500","0.000000208695572218390148","0.0000000579684152323544087","4036","tags=61%, list=31%, signal=42%","ABCA1/RAB5A/LMAN1/SEC24D/LAMP2/RAB22A/ARFGAP3/RAB14/AP1G1/ARCN1/COPB1/VPS4B/GBF1/ADAM10/ATP6V1H/ZW10/RAB9A/CLN5/YKT6/SGMS1/PAM/ARFGEF2/ATP1A1/M6PR/SNX2/VAMP3/RAB2A/TSG101/CLTC/COPB2/AP3S1/NAPG/SEC31A/MAPK1/STX12/CLTA/IGF2R/ARFIP1/ARF1/STAM/SEC22B/KRT18/USO1/CAV2/SSPN/VAMP4/DOP1A/SCAMP1/KIF1B/YIPF6/TMED2/GOSR2/NAPA/SCRN1/OCRL/BET1/EGFR","0.7195128263389107"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","133","0.4600048713718368","2.165221538145656","0.0000000333912915549424245","0.000000208695572218390148","0.0000000579684152323544087","1618","tags=35%, list=13%, signal=31%","CYLD/BCL2L11/BMF/CAV1/CLU/SQSTM1/DNAJC3/ENO2/ANXA1/DDIT3/EMP1/ATF3/BIRC3/H1-0/IFNGR1/HMOX1/DNAJA1/DIABLO/IRF1/TOP2A/CASP3/GPX3/GSN/MCL1/TIMP2/SAT1/BTG3/BCL10/IGFBP6/BCL2L1/SC5D/CDKN1A/CTH/BNIP3L/WEE1/RNASEL/PPP3R1/NEDD9/CASP7/MADD/GADD45B/TXNIP/IL1A/TGFBR3/SLC20A1/PMAIP1","0.7195128263389107"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","165","0.4475719444310101","2.156144060376152","0.0000000009968826029650938","0.000000008307355024709116","0.0000000023074960356657178","2076","tags=39%, list=16%, signal=33%","ZNF292/TNFAIP3/ERRFI1/CCN1/CAV1/SERPINE1/ETS1/ENO2/PPP1R15A/DDIT3/IDS/IGFBP3/ATF3/ERO1A/KDM3A/KLHL24/P4HA1/SLC2A3/PLAUR/TIPARP/HMOX1/MAFF/CSRP2/TES/SDC4/HSPA5/NFIL3/PCK1/IRS2/CDKN1C/CCNG2/MAP3K1/AKAP12/AK4/GBE1/CDKN1A/PIM1/NDRG1/BNIP3L/CXCR4/TPBG/RRAGD/BTG1/SLC2A1/BHLHE40/STC1/P4HA2/STC2/CCN2/STBD1/MXI1/VEGFA/RBPJ/PAM/S100A4/NEDD4L/ALDOC/ADM/JMJD6/FOSL2/PNRC1/ANXA2/EFNA1/ANGPTL4/HK2","0.7881868108002371"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","130","0.4490039537971331","2.113398253236578","0.0000001859250590307587784","0.000001032916994615326570","0.0000002869086325499939843","2073","tags=40%, list=16%, signal=34%","TNFAIP3/CLEC4A/ABCB1/ETS1/PPP1R15A/EMP1/IGFBP3/NRP1/BIRC3/ERO1A/USP12/TOR1AIP2/PLAUR/CPE/HDAC9/CCSER2/YRDC/CAB39L/LCP1/KLF4/DCBLD2/CCL20/ADAM8/CDADC1/MAP3K1/ITGA2/AKAP12/CA2/PTPRR/SLPI/SCG5/CXCR4/BPGM/PRKG2/PRDM1/TFPI/IL10RA/FBXO4/TRIB1/GALNT3/NR1H4/F2RL1/ADAM17/RBP4/PLAU/MMD/HBEGF/GADD45G/CTSS/FUCA1/TNNT2/ANGPTL4","0.6901324587967956"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","141","0.4219070841469350","2.008457310027518","0.0000010395020868152134207","0.000005197510434076067103","0.0000014436887175628655533","3291","tags=43%, list=26%, signal=32%","TNFAIP3/CLU/SERPINE1/LAMP2/PDP1/FN1/DOCK4/CD55/PLAUR/AKAP10/CTSV/IRF1/CD59/MAFF/C4BPB/CASP3/PPP2CB/TIMP2/HSPA5/CTSL/CA2/PIM1/DUSP5/BRPF3/VCPIP1/SH2B3/FYN/USP15/CASP7/CD46/IRF2/ANXA5/LRP1/RNF4/ADAM9/CTSS/JAK2/F10/C2/GRB2/CPM/CP/CASP9/RAF1/F5/USP8/IRF7/PRCP/KIF2A/DPP4/CFB/FDX1/MMP14/MMP15/CTSD/GNB4/CTSB/PIK3CA/TIMP1/LGMN","0.6435518361507222"
