"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HP_COLON_PERFORATION","HP_COLON_PERFORATION","13","-0.7784686127970321","-2.146713408380347","0.0000918029284611464254122","0.016928949621711712054","0.010749013091619553928","123","tags=38%, list=1%, signal=38%","SEMA3D/ATP7A/SEMA3C/SREBF1/ERBB3","0.5384340963099162"
"HP_CLONIC_SEIZURE","HP_CLONIC_SEIZURE","64","-0.5283786628657439","-2.073691686458647","0.0000150742686779516978611","0.005983407931669827706","0.003799156570678966904","2158","tags=36%, list=15%, signal=31%","CACNA2D1/PEX3/PSAP/SMARCAL1/TRIM8/PLCB1/ATP6V1A/KIF5A/TBC1D24/CDKL5/KIF5C/SATB1/ASNS/DNM1/CACNA1E/KCNT1/DMXL2/ADAM22/CASK/GRIK2/PCDH19/GNAO1/SCN3A","0.5933254763964051"
"HP_GENERALIZED_TONIC_SEIZURE","HP_GENERALIZED_TONIC_SEIZURE","54","-0.5460054102106542","-2.072395874131246","0.0000119174104877672713013","0.005094234621578670914","0.003234577210206976590","1398","tags=33%, list=10%, signal=30%","HCN2/CACNB4/EEF1A2/CDKL5/ADGRV1/SLC6A19/DOCK7/SATB1/CHD2/STXBP1/DNM1/CACNA1E/TUBA1A/KCNT1/DMXL2/CASK/PCDH19/GNAO1","0.5933254763964051"
"HP_RIDGED_FINGERNAIL","HP_RIDGED_FINGERNAIL","9","0.8992782684203899","2.071215710427042","0.0000092393085455384831663","0.004849173240662413634","0.003078975826152951026","48","tags=33%, list=0%, signal=33%","WNT5A/MSX1/EFNB1","0.5933254763964051"
"HP_ABNORMAL_SECOND_TOE_MORPHOLOGY","HP_ABNORMAL_SECOND_TOE_MORPHOLOGY","14","-0.7506623734830191","-2.066702576163685","0.0001396261823039949331177","0.022649604632599535520","0.014381335059534698650","1677","tags=50%, list=12%, signal=44%","IPO8/KCNN3/TBC1D24/CEP295/BMP2/BCOR/MAP3K20","0.5188480777437918"
"HP_TONIC_SEIZURE","HP_TONIC_SEIZURE","126","-0.4587657222476704","-2.050635922855848","0.0000003264726981179252281","0.000302368130573551716","0.000191988225297524972","3027","tags=38%, list=21%, signal=30%","COG3/PCDH12/GNB1/CLCN4/KCNQ2/PURA/SCN9A/LNPK/ADNP/PHACTR1/TBL1XR1/CENPE/PPP3CA/PAFAH1B1/PIK3CA/PSAP/RUSC2/SLC38A3/TRIM8/CNTNAP2/PLCB1/ATP6V1A/ARFGEF1/HCN2/CACNB4/EEF1A2/CDKL5/ADGRV1/SLC6A19/PPFIBP1/DOCK7/SATB1/CHD2/STXBP1/DNM1/SLC25A12/CACNA1E/CLCN3/HID1/TUBA1A/KCNT1/SV2A/DMXL2/CASK/GRIK2/AKT3/PCDH19/GNAO1","0.6749628600110250"
"HP_LIPOATROPHY","HP_LIPOATROPHY","65","0.5602494076321684","2.042334784014283","0.0000203713952364699783240","0.007406509502322067111","0.004702752939943758391","1151","tags=23%, list=8%, signal=21%","ANKRD1/TNNC1/ACTB/TPM1/PDGFRB/LMNA/FHL2/FLNA/JPH2/BANF1/TXNRD2/VCL/PIK3R1/PPARG/FUCA1","0.5756102610711286"
"HP_SELF_INJURIOUS_BEHAVIOR","HP_SELF_INJURIOUS_BEHAVIOR","192","-0.4281853159971181","-2.034814308551980","0.0000000339150116932166972","0.000094232859989602590","0.000059833023803787176","3079","tags=38%, list=22%, signal=30%","RPS6KA3/MAOA/NDST1/VAMP2/CLCN4/NAT8L/H4C5/SATB2/KCNAB2/SOX5/MADD/OPHN1/CDC42BPB/DNM1L/SPOP/POGZ/ASXL3/MAPK1/AP1G1/RBL2/OCRL/FMR1/NMNAT1/IFT140/TRIM8/CNTNAP2/PRDM16/CHD7/TCF4/CEP152/GATAD2B/GUCY2D/CHD8/HNRNPH2/WASF1/PPFIA3/EEF1A2/NIPA1/CDKL5/RLIM/KIF5C/WAC/CASZ1/NFIX/GJA5/KMT2C/GRIA1/CTNNB1/SMARCC2/VPS13A/ATP1A1/WASHC4/AP1S2/DNM1/NIPBL/CACNA1E/FBXW11/CLCN3/CAMK2G/ATRX/BCL11A/THOC2/BCOR/MBD5/DMXL2/TBC1D23/CASK/TAOK1/RFX7/RERE/GNAO1/KMT2E","0.7195128263389107"
"HP_ST_SEGMENT_DEPRESSION","HP_ST_SEGMENT_DEPRESSION","9","0.8697656601512174","2.003242336612327","0.0000658031282189561975843","0.013543258648619984838","0.008599273302255032794","35","tags=22%, list=0%, signal=22%","CITED2/TNNC1","0.5384340963099162"
"HP_SHORT_FOOT","HP_SHORT_FOOT","130","-0.4495936972413557","-1.994465302269162","0.0000006095424095752429917","0.000423403396251203167","0.000268839399433465191","2292","tags=34%, list=16%, signal=29%","WDR26/BPNT2/TBL1XR1/CENPE/FBXL4/ADAMTSL2/MAP3K7/FMR1/IFT140/SMC3/INPPL1/PRDM16/FBN1/IFT80/RAD21/CERT1/ARL6/USP9X/DYNC2LI1/CEP120/CCBE1/GPC3/CDKL5/GJA1/WDR19/CCDC28B/KIF5C/CASZ1/BMP2/FBXO11/SATB1/GALNT2/SIN3A/DYNC2H1/NIPBL/SLC26A2/CAMK2G/LMBR1/MBD5/ZMYM2/CHD6/RERE/GPC4/KCNJ5","0.6594443980379349"
