"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"LXR_Q3","LXR_Q3","69","-0.5170436561987377","-1.984402974359810","0.0000479206514673103363","0.00137053063196507577","0.00076420828392605427","3598","tags=52%, list=25%, signal=39%","LYRM1/SPTBN4/SPATA32/NKAIN3/CIC/SPRY2/CCNI/PCSK1N/GLI1/DCUN1D3/RARG/CHMP2B/PRMT3/PPARD/HPCAL4/MAPKAPK3/ADAM17/POLA1/ASIC1/JARID2/LPCAT3/SLC2A4/MITF/JADE2/ACSL3/BLVRB/STAG2/RB1CC1/SND1/ABCA1/RNF213/MID1IP1/BRWD3/ABCG1/ACACA/RNF145","0.5573322387586460"
"FREAC2_01","FREAC2_01","209","-0.4411326603026406","-1.933984776326132","0.0000001695641332815400","0.00004103550912440633","0.00002288141197036274","1957","tags=33%, list=14%, signal=28%","CALD1/ZBTB18/MAP4K5/CREBL2/ZNF521/DHX8/BCAS3/CREBRF/NYAP1/MBNL2/PITPNC1/CHD2/DENND5A/SMAD5/PELI2/FRY/HIBADH/PAK1/DSTN/DOCK3/BRIP1/HIPK1/RABGAP1L/GPRC5C/ARID4A/NIPBL/NNT/CDKN1C/CD109/LIN54/RAD21/ZFHX3/BCL9/PLAG1/RMND5A/PRDM1/SLC2A4/SNX13/PTCH1/FAM53C/MITF/PIK3C2A/JADE2/FGF20/PHLPP1/LRP5/CD2AP/PROX1/TET2/KLF12/HBP1/ROR1/PLEKHA5/DHRS3/MARCKS/SCAMP1/KLF3/SIN3A/UBE2H/TIAM1/RORA/KLHL24/CADM1/KCNJ5/CLIP2/THRA/KMT2E/ETV5","0.6901324587967956"
"FOXO3_01","FOXO3_01","197","-0.4397619996240563","-1.928040270514663","0.0000002135707323632306","0.00004103550912440633","0.00002288141197036274","2313","tags=34%, list=16%, signal=29%","SHOX2/CDK14/PKN2/VPS26A/BIN1/RARB/PPP1CB/ZBTB18/CREBL2/TENM1/ZNF521/BCL7A/CREBRF/MBNL2/CHD2/SMAD5/PELI2/FRY/HIBADH/RFX3/KIF20A/PHTF2/CILK1/ARID4A/LIX1L/NSD3/CDKN1C/WBP1L/PLAG1/PDCD4/PRDM1/ULK1/PTCH1/FAM53C/NXPH3/NR1D1/PRKCI/JADE2/EFNA1/ATF2/PHLPP1/LRP5/CSRNP3/JUNB/ELOVL6/UBR5/KLF12/HBP1/TBL1X/PLEKHA5/RSF1/SEMA3A/GRB7/CHD6/UBE2H/ZNF277/DIXDC1/JMJD1C/DOCK4/PHF21A/CADM1/KCNJ5/CLIP2/ACACA/STC2/ETV5/DDIT4","0.6901324587967956"
"CHOP_01","CHOP_01","195","-0.4371887009525721","-1.917057969696466","0.0000002152212017014318","0.00004103550912440633","0.00002288141197036274","1396","tags=25%, list=10%, signal=23%","FBXO11/TMEM164/SERPINF1/FGF21/CASK/ZHX2/TYRO3/AHCYL2/CAST/NSD3/PRR11/NPAT/MAP2K6/HOXA13/CARS1/PRDM1/UVRAG/PTCH1/RAI1/MAP4/SHKBP1/MAML3/INPP4A/GLUD1/TNFSF10/CEBPB/KLF12/PER1/TBL1X/USP9X/TRERF1/KLF3/HERPUD1/VDR/IARS1/JMJD1C/SARS1/ATF3/SRPK2/PHF6/PHF21A/GARS1/VEGFA/SESN3/ABLIM1/LRATD2/SESN2/SLC38A2","0.6901324587967956"
"FOXO4_02","FOXO4_02","213","-0.4224823072469638","-1.887719723457399","0.0000017044945329137031","0.00012566724646516229","0.00007007209363074010","1861","tags=31%, list=13%, signal=28%","ARID1B/CREBL2/ZNF521/BCL7A/SLMAP/ARFGEF1/USP3/CREBRF/PITPNC1/INSR/CHD2/SMAD5/SASH1/FRY/PIK3IP1/RFX3/KIF20A/ARID4A/LIX1L/NSD3/CDKN1C/XPO7/PRUNE1/LEMD1/WBP1L/PLAG1/NFATC3/PDCD4/RAB6A/PRDM1/PTCH1/FAM53C/KDM3A/NXPH3/FLNC/NR1D1/JADE2/ACVR1B/EFNA1/PHLPP1/LRP5/CSRNP3/ELOVL6/KLF12/HBP1/GNAO1/STAG2/PLEKHA5/RSF1/GRB7/KMT2A/TRERF1/UBE2H/ZNF277/DIXDC1/TIAM1/DOCK4/KLHL24/MINDY1/KREMEN1/KLF5/PHF21A/CADM1/KCNJ5/THRA/ETV5/PALM","0.6435518361507222"
"NF1_Q6_01","NF1_Q6_01","225","-0.4204109459230993","-1.886230846643416","0.0000004189881883753361","0.00005991531093767307","0.00003340879502045443","2891","tags=34%, list=20%, signal=28%","NRXN2/RRAS/EXOC6/MORN4/STON2/BAHD1/RUNX1/CHMP2B/KLF13/ANP32A/SP7/ANKRD28/KIRREL2/ALDOC/SPRY1/SOBP/NFIA/RBFOX2/ATP8B3/ZNF148/RARB/C4orf33/XPR1/NAA50/MAP4K5/MPP2/FBXL20/RHOQ/SV2A/MBNL2/JUP/KLHDC8B/H1-10/PCDHGC3/ZNF687/MRTFA/RNF41/STAT5B/HIPK1/DLX3/ALK/LPCAT3/SMTNL2/BCAR3/SAMD12/BCL9/PATL1/NFATC3/EXTL3/ZNF710/RALGPS2/SLC2A4/VWA1/AFF4/ATP6V1A/SLC2A12/JDP2/STAT3/MGST1/HBP1/CBFA2T2/ARL4D/RAPGEF5/MGAT4A/AAK1/TRERF1/SETD7/PAG1/NAV2/ATF4/HIP1/YARS1/RAB30/SMARCA1/KMT2E/SESN3/H1-0","0.6749628600110250"
"FOXO1_02","FOXO1_02","209","-0.4301645468341819","-1.885899095119794","0.0000006683872743706001","0.00007646350418799665","0.00004263607244932459","1644","tags=29%, list=11%, signal=26%","CREBRF/PITPNC1/CSNK1G3/CHD2/SMAD5/PELI2/FRY/PIK3IP1/PAK1/KIF20A/ZNF711/ARID4A/LIX1L/POU2F1/CDKN1C/XPO7/CD109/HOXA1/RAD21/CLSTN1/LEMD1/PLAG1/PRDM1/ULK1/PTCH1/FAM53C/TSC22D3/MITF/NR1D1/PIK3C2A/CAMK2G/JADE2/TCF7/CSRNP3/PROX1/TET2/KLF12/HBP1/TBL1X/ROR1/GNAO1/PLEKHA5/DHRS3/RSF1/GRB7/TRERF1/SIN3A/DIXDC1/RORA/INSIG1/PHF21A/CADM1/KCNJ5/CLIP2/THRA/FOXN3/KMT2E/ETV5/ETV1/DDIT4","0.6594443980379349"
"E4BP4_01","E4BP4_01","185","-0.4294454297471312","-1.873342598592767","0.0000021527118768252113","0.00012566724646516229","0.00007007209363074010","2033","tags=30%, list=14%, signal=26%","DMD/TMEM154/SAT1/ARID1B/MPP2/FOXO3/KCNJ1/AP1S2/LGALSL/HOXC6/AK3/CLCN5/PELI2/ARNT/LARGE1/ZNF687/ERF/ZHX2/ZNF711/NIPBL/XPO7/OSBPL6/CLSTN1/MAP2K6/RASL10B/ZBTB21/PRKAA2/EEF2/RPS6KA3/DENND4A/MED12L/PGK1/TSC22D3/RGL1/MAP4/NR1D1/ESRRG/INPP4A/PDZD8/NFIL3/CDYL/ELOVL6/SH2B3/UBR5/SREBF2/ERGIC1/FNBP1/HERPUD1/JMJD1C/EPB41/ACSL4/ATF3/PCK2/RNF145/VEGFA/ETV5","0.6272567397185284"
"SOX9_B1","SOX9_B1","212","-0.4160213378686363","-1.842349332294673","0.0000023957300323103909","0.00012566724646516229","0.00007007209363074010","2787","tags=36%, list=19%, signal=29%","MTF2/DAAM1/CHL1/APBA1/SEPHS1/ZSCAN2/DLC1/PARP8/RTN4/RERE/RBFOX2/SEC24C/ZIC2/FANK1/FLRT3/OTUD7B/TNPO1/BASP1/G2E3/GRK5/RAB5A/DMD/DLX1/SSBP3/PUM1/MLLT11/EDA/HSPG2/PDS5B/ZFYVE1/G3BP2/RREB1/HOXC6/CDKN1B/KAT6A/PELI2/SASH1/PHC1/CASK/PAK1/ZNF711/USP25/SLC39A14/STK38L/HDAC9/NOL4L/C1orf21/CDON/SPTBN1/SPATS2/FAM53C/TSC22D3/KIF20B/NEO1/RGS3/DPYSL5/EFNA1/PNRC1/RLIM/PTPN12/PER1/CBFA2T2/GNAO1/MAST1/MARCKS/MBP/KLF3/TOP2A/CHD6/ZNF277/NAV1/DOCK4/CADM1/ETV1/SCD/FN1","0.6272567397185284"
"CDC5_01","CDC5_01","202","-0.4188476012791882","-1.831662414073430","0.0000024166778166377363","0.00012566724646516229","0.00007007209363074010","1960","tags=28%, list=14%, signal=24%","PBX2/CALD1/PTBP3/SAT1/PAX2/TENM1/EDA/PPARGC1A/INPP4B/SEC63/AP1S2/RREB1/HOXC6/CSNK1G3/CHD2/SDC1/FRMD4A/PCDHGC3/BCL6/PRKACB/HIPK1/BCOR/NRXN3/MN1/SMTNL2/C1orf21/GOLPH3L/WBP1L/PLAG1/ATRX/SMARCA2/ITPKB/PLCB3/FAM53C/LYN/ESRRG/CTTNBP2NL/STAT3/TNFSF10/KLF12/MXI1/STAG2/BMPR2/PLEKHH3/FNBP1/CUX1/VDR/RORA/ACSL4/PHF21A/CADM1/FOXN3/VEGFA/SESN3/ABLIM1/GLI3","0.6272567397185284"
