"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"MYC_UP.V1_UP","MYC_UP.V1_UP","150","0.4932028440190687","2.181518944024503","0.000000004447810042837587","0.000000420318049048152","0.0000002973009870738808","3534","tags=48%, list=24%, signal=37%","PRR7/AHSA1/FOS/CCDC124/GLRX5/KLF16/PCOLCE2/MTFP1/MNT/UTP14A/DGAT2/P2RX5/DENND2D/MON1A/DLL3/SAC3D1/REPIN1/NOC4L/FAM216A/PRELID3A/CGREF1/IL17D/DDX10/ESF1/SLC25A22/PLA2G4A/HS3ST3A1/LYPD6/ALG3/UBE3D/AGPAT3/POLR1E/DIS3L/KLRG2/DPP7/HSPA6/SPATC1L/SCFD2/GEMIN5/LAS1L/TWNK/TAF5/PLD6/SLC27A2/NOP14/ABCC4/NDUFAF4/P3H4/TSSC4/CDCA7L/TAF4B/EEF1AKMT1/CCDC78/DPYSL5/CAMKMT/PIM2/NLE1/RRP12/RRP9/MPHOSPH10/JPH1/GPD1L/DCAF4/TOP1MT/IPO4/PUS1/ZNF215/QTRT1/WDR83/SHISA9/ICAM5/SLC19A1","0.7614608014455848"
"KRAS.600_UP.V1_DN","KRAS.600_UP.V1_DN","178","-0.4769155725609245","-2.130166822843913","0.000000002896786663065447","0.000000420318049048152","0.0000002973009870738808","2616","tags=38%, list=18%, signal=32%","HTR1B/CBL/P2RX1/GBP1/KRT16/PSORS1C1/ZBP1/SLC30A4/LY6D/MATN2/NAALADL1/TGM1/HAAO/NINJ1/TUBAL3/TNFSF10/MAPRE3/COLEC10/ANKRD1/LRRC31/HTR1D/CKM/KLK7/MX2/KRT31/LGALS9/PTPRU/VILL/CSPG4/TAGLN/DENND1C/FGFR3/ADRA2B/LGALS7/SYNPO/PIK3C2B/SIT1/COL2A1/TREM2/MAST3/LFNG/GPR173/SLC6A3/NTF3/NPC1L1/CD36/VGLL3/SERPING1/CSDC2/KRT13/NYNRIN/OLFML2A/BST2/MX1/KRT17/KRT38/MYL9/KRT4/SMPDL3B/CST4/MUC5AC/ATP2A3/EPHB3/CAMK1D/TGFB2/CADM4/CXCL14/ACKR3","0.7749390301364363"
"RPS14_DN.V1_UP","RPS14_DN.V1_UP","130","-0.4667783202236392","-2.020585514290234","0.000000484044409291315586","0.000030494797785352882","0.0000215696982385954685","2817","tags=38%, list=19%, signal=31%","IL1RAP/LY96/PROM1/SFXN3/SPINT1/RASAL2/CD14/SEPTIN10/PTPRE/RASGRP3/BST1/MARCKS/PTPN22/CDKN1A/CALB1/ITGB2/ANKRD1/ARL4C/MX2/CDC42EP3/GNAZ/SIRPA/ZMAT3/NCF2/ANXA6/PLA2G7/PTPRO/VWF/TNFRSF9/SPTLC3/GPNMB/CD9/DNAJC22/CTSS/MYO1F/F13A1/FLVCR2/RBM47/JAG1/PADI2/NYNRIN/CAPG/MX1/CRIM1/PLAU/ANPEP/SMAD3/TNFAIP2/FRY/RAB31","0.6594443980379349"
"CAHOY_ASTROGLIAL","CAHOY_ASTROGLIAL","77","-0.5083099864524965","-2.003179104155376","0.000012663835332917470130","0.000452889093471635210","0.0003203392641097057821","2217","tags=34%, list=15%, signal=29%","LCN2/C1QTNF1/CLCN4/SLC66A3/CD109/RASSF4/PKP2/MYOF/TAGLN/TDG/GPNMB/GLIPR2/NUAK2/ANXA4/ANXA1/EMP3/TIMP1/SERPING1/FBLN5/LTBP2/BST2/CTTN/LOXL2/COL5A1/VLDLR/PRSS23","0.5933254763964051"
"KRAS.300_UP.V1_DN","KRAS.300_UP.V1_DN","88","-0.4745021902251607","-1.921681153898782","0.000039541158990990545562","0.000934159881162151652","0.0006607535778757631182","2787","tags=44%, list=19%, signal=36%","CA5B/TMEM8B/HTR1B/CBL/P2RX1/GBP1/KRT16/PSORS1C1/SLC30A4/LY6D/TGM1/HAAO/TUBAL3/TNFSF10/COLEC10/HTR1D/MX2/VILL/TAGLN/DENND1C/FGFR3/LGALS7/SYNPO/TREM2/LFNG/SLC6A3/NTF3/NPC1L1/CSDC2/KRT13/OLFML2A/BST2/MX1/KRT38/MYL9/KRT4/MUC5AC/CAMK1D/ACKR3","0.5573322387586460"
"BMI1_DN.V1_UP","BMI1_DN.V1_UP","130","-0.4357059680993691","-1.886079814524347","0.000013650228413059753755","0.000452889093471635210","0.0003203392641097057821","1385","tags=28%, list=10%, signal=25%","SIRPA/HAS2/SEMA3G/PMEPA1/CSPG4/TCIM/TAGLN/BDKRB2/TNFRSF9/MFGE8/LCP1/ITGA5/F3/NT5E/GREM1/CTSS/SLCO2A1/ITGA3/NRP2/PODXL/CPA4/MMP7/JAG1/LSAMP/LAMB3/FGFR1/COL13A1/DKK1/KRT17/ANPEP/PSG5/TGFB2/PLAT/TIMP3/VLDLR/ACKR3","0.5933254763964051"
"ESC_J1_UP_LATE.V1_UP","ESC_J1_UP_LATE.V1_UP","140","-0.4329648190386760","-1.885569517822513","0.000014377431538782069366","0.000452889093471635210","0.0003203392641097057821","2374","tags=38%, list=16%, signal=32%","ENPP5/MYO7A/CYP26A1/AMOT/TFF3/IGF2/TDRD7/CLDN7/SESN3/P2RX4/RAMP2/ANKRD1/NEU1/FRZB/GPX3/CDC42EP1/MYL3/SELENOP/PRXL2A/VIL1/CCN1/ADAM10/PRICKLE1/DENND2B/RAB11FIP5/F3/C1orf210/COL2A1/NAGA/ID2/HMGA2/GPC3/SLCO2A1/SLC40A1/HKDC1/PODXL/CRYAB/TMPRSS2/FLVCR2/ARHGEF28/LY6S/DAB2/COL4A1/UNC5B/LOXL2/CRIM1/TGFBR3/GSN/BGN/WLS/CAPN6/TCN2/HNF4A","0.5933254763964051"
"BMI1_DN_MEL18_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","126","-0.4238556357810426","-1.793349365602850","0.000060446429854951191311","0.001186779947410613505","0.0008394377795664046543","1724","tags=27%, list=12%, signal=24%","MT1F/ARL4C/MGLL/HTR1D/HAS2/PMEPA1/CSPG4/TCIM/TAGLN/TNFRSF9/LCP1/ITGA5/F3/PLAUR/NT5E/GREM1/MICALL1/ITGA3/NRP2/PODXL/CPA4/MMP7/JAG1/LSAMP/LAMB3/GAB2/COL13A1/OGFRL1/ADM/TGFB2/PLAT/TIMP3/VLDLR/KCNN4","0.5573322387586460"
"LEF1_UP.V1_DN","LEF1_UP.V1_DN","161","-0.4057070209002940","-1.785532839592087","0.000026322392409970148824","0.000710704595069194052","0.0005026983212129637699","1886","tags=31%, list=13%, signal=27%","HAUS4/CDH17/DISC1/GALC/CDX2/RHOBTB2/GALNT12/TCEAL1/CRYBG1/ACSF2/AP1M2/TMEM135/RAC2/SH3BGRL/XK/PLLP/BDH2/GDE1/SELENOP/TSPAN1/TPM1/GDPD3/SEMA3F/VILL/BDKRB2/MFGE8/EFHD1/AKR1C3/RAB27B/ARB2A/MARCHF2/PAPSS2/TSPAN8/LIMCH1/SELENBP1/SACK1E/S100A14/MVP/PCP4/RBM47/ENC1/TNNC1/EHF/KRT20/SLC6A20/PIAS3/CNN3/TMPRSS3/TNS3/OLR1","0.5756102610711286"
"E2F3_UP.V1_UP","E2F3_UP.V1_UP","171","0.3805207478328838","1.704508406182695","0.000062792589810085379311","0.001186779947410613505","0.0008394377795664046543","3000","tags=36%, list=21%, signal=29%","HOXA9/MNX1/FBXL16/LRRC45/ZNF367/PDXP/FAM222A/TSPAN5/KHDRBS3/TMEM106C/RTN4R/TP53I13/EGLN1/SIX5/KLF16/PCOLCE2/EGR2/TMEM121/KISS1R/INHBB/UGT8/PIN1/MAP6D1/SAC3D1/ZNF703/C11orf96/ZDHHC23/MANEAL/SYN1/LEF1/ATAD2/HEY2/E2F7/EPHX4/ARRDC2/PGAP4/KCNA6/SLC27A3/FGF9/RASD1/DTL/EPB41L3/TAF5/SLC27A2/SYNM/SAMD1/REEP1/CHST7/MFHAS1/IL17RB/HRK/TPPP/HEY1/FEN1/CABLES2/TMOD2/CD83/RECQL4/PCNA/JPH1/ANKRD18A","0.5384340963099162"
