"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GOCC_PROTEIN_FOLDING_CHAPERONE_COMPLEX","GOCC_PROTEIN_FOLDING_CHAPERONE_COMPLEX","47","0.6699373487463999","2.434681066218665","0.000000021915835007384089","0.000011188033771269578","0.000008383469944498817","2308","tags=49%, list=16%, signal=41%","HSP90AA1/STIP1/DNAJB11/HSPA8/STUB1/DNAJC9/RUVBL1/DNAJC2/CCT4/TCP1/HSP90AB1/SDF2L1/BAG2/HSF1/BAG3/PFDN2/CCT6A/PFDN6/DNAAF2/CCDC47/PSMG1/CCT3/CCT5","0.7337619883564803"
"GOCC_AZUROPHIL_GRANULE_MEMBRANE","GOCC_AZUROPHIL_GRANULE_MEMBRANE","50","-0.6290578366751539","-2.306788956387686","0.000000490415240912043796","0.000062589245121399584","0.000046899666737829287","3005","tags=54%, list=21%, signal=43%","VAMP8/SYNGR1/CMTM6/NCSTN/LAMTOR1/STOM/CPNE1/ATP11B/CPNE3/MAGT1/RAB3D/NDUFC2/TMEM179B/TOM1/DNAJC5/BRI3/MGST1/CD63/ARL8A/RAB5C/CKAP4/PSAP/PRCP/CDC50A/LAMP2/B4GALT1/BST2","0.6594443980379349"
"GOCC_KERATIN_FILAMENT","GOCC_KERATIN_FILAMENT","51","-0.6167169276989940","-2.281115759658279","0.000001024860882856935507","0.000104638296139693114","0.000078408058883713822","2454","tags=57%, list=17%, signal=47%","KRT16/KRT37/KRTAP1-5/KRTAP1-1/GPER1/KRT35/KRT19/KRT40/KRT36/KRT6B/KRT31/KRTAP3-2/KRT83/KRTAP3-3/KRT39/KRT86/KRT80/KRTAP3-1/KRT6A/KRT3/KRT13/KRT17/KRT20/KRT38/KRT7/KRT4/KRT5/KRT81/KRT71","0.6435518361507222"
"GOCC_BASEMENT_MEMBRANE","GOCC_BASEMENT_MEMBRANE","86","-0.5236463033230077","-2.117283462407016","0.000000473007105571284394","0.000062589245121399584","0.000046899666737829287","2307","tags=41%, list=16%, signal=34%","EGFLAM/MATN2/PXDN/APLP1/ANG/COL17A1/SMOC2/LAMB1/LAMB2/NTN4/ERBIN/SMOC1/FN1/DAG1/LAMA3/SPN/COL2A1/ANXA2/SPARC/LAMC1/TIMP1/NTN1/LAMC2/LAMB3/COL13A1/COL4A1/LOXL2/COL5A1/DLG1/CCDC80/HMCN1/COL8A2/FBLN1/TIMP3/EFEMP2","0.6749628600110250"
"GOCC_PLATELET_DENSE_GRANULE","GOCC_PLATELET_DENSE_GRANULE","14","-0.7612821435584205","-2.063489198367126","0.000198057548993943422725","0.004814684702924195911","0.003607762125535921970","1209","tags=50%, list=8%, signal=46%","SELENOP/CD63/RAB27B/ITIH3/LAMP2/ECM1/TIMP3","0.5188480777437918"
"GOCC_NUCLEAR_REPLICATION_FORK","GOCC_NUCLEAR_REPLICATION_FORK","43","0.5780853983737970","2.045984396547377","0.000025569772212198413190","0.001044269497146183175","0.000782496917891272901","3165","tags=53%, list=22%, signal=42%","TONSL/POLA1/RAD51C/SMARCAL1/WDHD1/POLD3/ZRANB3/BAZ1B/MCM10/XRCC3/PRIM2/CDC5L/RPA2/MCM3/EME1/POLD1/PLRG1/HELB/POLD2/PCNA/TIPIN/CAMSAP3/MUS81","0.5756102610711286"
"GOCC_ORGANELLAR_RIBOSOME","GOCC_ORGANELLAR_RIBOSOME","83","0.5057829160861823","2.039700071120282","0.000006504094422878082213","0.000442712027050568111","0.000331735052711180846","4150","tags=51%, list=29%, signal=36%","MRPL57/GADD45GIP1/MRPL12/MRPL41/MRPS22/MRPL52/MRPS26/MRPL18/MRPL34/MRPS31/MRPL58/MRPS5/MRPS2/MRPL11/MRPL3/MRPL46/MRPL45/MRPL2/MRPS34/MRPL9/MRPL1/AURKAIP1/MRPL39/MRPS33/MRPL40/MRPL17/MRPL15/PTCD3/MRPS9/MRPS11/MRPS15/MRPL16/MRPL48/MRPL22/MRPL24/MRPL37/MRPS18A/MRPS25/MRPL50/MRPS24/MRPL55/MRPL23","0.6105268783859310"
"GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX","GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX","108","0.4859891078379361","2.038978298594529","0.000001518760395764811862","0.000140968578552352073","0.000105631236513353612","4043","tags=47%, list=28%, signal=34%","SNW1/CWC22/LSM7/BUD31/CWC27/AQR/PRPF38A/CACTIN/SART1/WBP4/BUD13/SNRNP70/PPWD1/CRNKL1/IK/PRPF3/FRG1/YJU2/YJU2B/NKAP/SF3A3/PHF5A/HTATSF1/RBMX2/SYF2/RBM22/CDC5L/CCDC12/PPIE/SF3A2/PLRG1/PPIL4/WDR70/LUC7L3/SF3B2/SNRNP40/SRRM2/CIRSR/PSME3IP1/PPIL2/PPIL1/PRPF4/CWC25/PRPF6/SF3A1/PRPF40A/PRKRIP1/MAGOHB/LSM6/PRPF18/LUC7L","0.6435518361507222"
"GOCC_REPLICATION_FORK","GOCC_REPLICATION_FORK","75","0.5146714888992918","2.036827404908656","0.000009079814789115020347","0.000579405681230402234","0.000434162982841598561","3550","tags=55%, list=25%, signal=41%","H2AX/RFC4/TONSL/POLA1/RAD51C/SMARCAL1/WDHD1/DHFR/POLD3/ZRANB3/BAZ1B/CHEK1/MCM10/RAD51B/XRCC3/PRIM2/CDC5L/RPA2/MCM3/EME1/POLD1/PLRG1/RFC5/XRCC2/RECQL5/DNMT1/HELB/POLD2/DONSON/PCNA/TIPIN/RAD51D/CAMSAP3/TYMS/MUS81/MRE11/RFC2/RAD18/PRIM1/UHRF1/BLM","0.5933254763964051"
"GOCC_PRERIBOSOME","GOCC_PRERIBOSOME","104","0.4787013288604732","2.003319194889278","0.000003634166758071193737","0.000285421866153129909","0.000213873651556380603","4112","tags=47%, list=28%, signal=34%","AATF/NOL7/WDR3/SLX9/NAT10/UTP14A/SRFBP1/NOC4L/RPF1/NSA2/RRS1/UTP20/BOP1/RIOK1/RPS19BP1/UTP25/EBNA1BP2/RCL1/RPS17/BMS1/NOP14/WDR74/DHX37/KRI1/NOP58/DCAF13/UTP18/FTSJ3/RRP9/DNTTIP2/MPHOSPH10/RIOK2/NOB1/UTP11/NGDN/UTP6/LTV1/TSR1/FBLL1/BYSL/PIN4/PPAN/WDR12/WDR75/PNO1/PDCD11/FCF1/FSAF1/NOL10","0.6272567397185284"
"GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT","GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT","51","0.5361155074546105","1.959226718453160","0.000141381718740319018085","0.003901371211726100026","0.002923393776288826015","4150","tags=55%, list=29%, signal=39%","MRPL57/GADD45GIP1/MRPL12/MRPL41/MRPL52/MRPL18/MRPL34/MRPL58/MRPL11/MRPL3/MRPL46/MRPL45/MRPL2/MRPL9/MRPL1/MRPL39/MRPL40/MRPL17/MRPL15/MRPL16/MRPL48/MRPL22/MRPL24/MRPL37/MRPS18A/MRPL50/MRPL55/MRPL23","0.5188480777437918"
"GOCC_PLASMA_MEMBRANE_RAFT","GOCC_PLASMA_MEMBRANE_RAFT","87","-0.4864009346001813","-1.956369533021815","0.000015007953885587936192","0.000748706526489111989","0.000561024286339753585","2853","tags=43%, list=20%, signal=34%","INSR/LRP6/CAVIN2/CTNNB1/BMPR1A/CBL/PRKACA/ADRA1B/SORBS1/SPRED1/PRKAR1A/FLOT2/MAPK3/ITGB2/CAVIN1/MYO1A/STIM1/DAG1/HAS2/MYOF/F2R/SRC/BMPR2/TREM2/CORO1C/SELPLG/SLC6A3/CD36/CAV1/EMP2/ATP2B4/TGFBR2/CAV2/IRS1/EHD2/SMO/CDH1","0.5933254763964051"
