"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"BIOCARTA_PROTEASOME_PATHWAY","BIOCARTA_PROTEASOME_PATHWAY","19","0.5527068064022649","2.318605448471390","0.0001710325936901291","0.0499415173575177","0.03876860071731972","5608","tags=89%, list=33%, signal=60%","RPN2/RPN1/PSMB7/PSMB3/PSMB2/PSMA5/UBE3A/UBE2A/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","0.5188480777437918"
"BIOCARTA_PDGF_PATHWAY","BIOCARTA_PDGF_PATHWAY","27","0.4053916343391590","1.938877205374610","0.0034657719772429652","0.3838087654601696","0.29794306555431244","2046","tags=37%, list=12%, signal=33%","STAT1/SHC1/MAP2K4/MAPK8/PRKCA/PLCG1/PIK3R1/PDGFRA/MAP3K1/GRB2","0.4317076958033464"
"BIOCARTA_LEPTIN_PATHWAY","BIOCARTA_LEPTIN_PATHWAY","11","0.5373252664763202","1.883833698855390","0.0084597278352170208","0.3838087654601696","0.29794306555431244","5792","tags=82%, list=34%, signal=54%","PRKAB2/PRKAG3/PRKAG2/ACACA/CPT1A/LEP/PRKAG1/PRKAA2/PRKAA1","0.3807304007227924"
"BIOCARTA_INTRINSIC_PATHWAY","BIOCARTA_INTRINSIC_PATHWAY","21","-0.4098527636912295","-1.879643311759503","0.0059168817771257359","0.3838087654601696","0.29794306555431244","3820","tags=52%, list=23%, signal=41%","FGG/FGA/COL4A5/COL4A2/COL4A1/PROC/F12/F10/F5/COL4A6/COL4A4","0.4070179189239539"
"BIOCARTA_CHREBP_PATHWAY","BIOCARTA_CHREBP_PATHWAY","19","0.4473395537315937","1.876589748098646","0.0067161537056832470","0.3838087654601696","0.29794306555431244","6394","tags=74%, list=38%, signal=46%","PRKAR2A/PRKAB2/PRKAG3/PRKAG2/GNAS/PRKAR2B/PRKAR1A/PRKAG1/PRKACG/PRKACB/PRKAA2/PRKAA1/PPP2CA/MLXIPL","0.4070179189239539"
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_ACE2_PATHWAY","11","-0.5260524676228846","-1.850740677649759","0.0100728105523942794","0.3838087654601696","0.29794306555431244","3648","tags=73%, list=22%, signal=57%","AGT/ACE/COL4A5/COL4A2/COL4A1/ACE2/COL4A6/COL4A4","0.3807304007227924"
"BIOCARTA_BLYMPHOCYTE_PATHWAY","BIOCARTA_BLYMPHOCYTE_PATHWAY","12","-0.5033898604003306","-1.847869340787245","0.0127987711894124532","0.3866911997097711","0.30018064159183550","4622","tags=58%, list=27%, signal=42%","ITGB2/HLA-DRA/CR2/HLA-DRB5/CR1/PTPRC/ITGAL","0.3807304007227924"
"BIOCARTA_IL17_PATHWAY","BIOCARTA_IL17_PATHWAY","11","0.5214660100081093","1.828231992333140","0.0105153086427443726","0.3838087654601696","0.29794306555431244","204","tags=36%, list=1%, signal=36%","CD8A/CD4/CD3G/CD3E","0.3807304007227924"
"BIOCARTA_RECK_PATHWAY","BIOCARTA_RECK_PATHWAY","9","0.5691075462656596","1.810387226970930","0.0161350271111396215","0.3926189930377308","0.30478226895171928","784","tags=44%, list=5%, signal=42%","RECK/TIMP4/TIMP3/TIMP2","0.3524878575836192"
"BIOCARTA_RELA_PATHWAY","BIOCARTA_RELA_PATHWAY","15","-0.4351000059350703","-1.760722196406365","0.0145671342356420604","0.3866911997097711","0.30018064159183550","2304","tags=40%, list=14%, signal=35%","FADD/IKBKG/TNFRSF1B/TNF/RELA/IKBKB","0.3807304007227924"
"BIOCARTA_EGF_PATHWAY","BIOCARTA_EGF_PATHWAY","27","0.3655029383484572","1.748100492543418","0.0136157837491218126","0.3866911997097711","0.30018064159183550","2046","tags=33%, list=12%, signal=29%","STAT1/SHC1/MAP2K4/MAPK8/PRKCA/PLCG1/PIK3R1/MAP3K1/GRB2","0.3807304007227924"
"BIOCARTA_TRKA_PATHWAY","BIOCARTA_TRKA_PATHWAY","13","0.4789389353747552","1.746773104234622","0.0217584645401329817","0.4887285881322177","0.37939022470620243","2046","tags=46%, list=12%, signal=41%","SHC1/PRKCA/PLCG1/PIK3R1/KLK2/GRB2","0.3524878575836192"
"BIOCARTA_BCR_PATHWAY","BIOCARTA_BCR_PATHWAY","33","0.3471772577702997","1.732665536890151","0.0092244923386657872","0.3838087654601696","0.29794306555431244","2046","tags=33%, list=12%, signal=29%","CD79B/CD79A/SHC1/MAPK8/PRKCA/PPP3CB/PLCG1/NFATC2/MAP3K1/LYN/GRB2","0.3807304007227924"
"BIOCARTA_TCR_PATHWAY","BIOCARTA_TCR_PATHWAY","43","0.2928728252246269","1.637524838894237","0.0353819768770183563","0.5851131420751674","0.45421162551349481","2046","tags=28%, list=12%, signal=25%","CD3G/CD3E/SHC1/MAP2K4/MAPK8/PRKCA/PPP3CB/PLCG1/PIK3R1/NFATC2/MAP3K1/GRB2","0.3217759180753611"
"BIOCARTA_MCALPAIN_PATHWAY","BIOCARTA_MCALPAIN_PATHWAY","19","0.3876743840902345","1.626294318746288","0.0448028673835125443","0.5851131420751674","0.45421162551349481","8225","tags=84%, list=49%, signal=43%","CAPNS1/EZR/TLN1/PRKAR2A/CXCR3/CAPNS2/CAPN2/ACTA1/PRKAR2B/PRKAR1A/PRKACG/PRKACB/ITGB1/HRAS/EGFR/EGF","0.2878571172551493"
"BIOCARTA_PYK2_PATHWAY","BIOCARTA_PYK2_PATHWAY","27","0.3375258702217186","1.614293834809666","0.0307764561489174693","0.5851131420751674","0.45421162551349481","2097","tags=33%, list=12%, signal=29%","SHC1/MAP2K4/MAPK8/PRKCA/PLCG1/PAK1/MAP3K1/GRB2/GNAQ","0.3524878575836192"
"BIOCARTA_VDR_PATHWAY","BIOCARTA_VDR_PATHWAY","24","0.3419455841071043","1.551445995933532","0.0463821892393320931","0.5851131420751674","0.45421162551349481","4972","tags=58%, list=29%, signal=41%","BAZ1B/KAT2B/NCOA1/SMARCD1/SMARCC1/MED1/HDAC1/NCOR1/COPS2/ACTL6A/ARID1A/VDR/SMARCE1/SMARCC2","0.2878571172551493"
