"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","1","AR_Q6","AR_Q6","1.907582249285635","0.00009541103474128506","0.05457511187201505","0.03808709934592316","66","260","0.2538461538461538","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.00000000000000000000","Keep","itself","",TRUE,"NRG2/FOXP2/SLC25A12/MAPKAPK5/FRMD5/PCGF1/GARIN1B/ZNF541/KMT2D/QTRT2/DHX40/FA2H/GDAP1L1/ZNF217/DNAJC7/TFDP2/TMBIM6/MLX/DST/SOS2/SNX2/PLA2G2F/TSPYL2/FAM217B/RINT1/RHEB/RBBP6/PURA/MAP2K5/DCAF6/SCN3B/H2AJ/ZNF654/PRPF38B/THG1L/SDHAF2/CNTLN/EPB41L4B/LUC7L3/UFC1/UBR5/SLC22A17/NEO1/MAP4/CAPRIN1/LIF/DCDC1/HOXA2/KLHL10/HECTD4/NBEA/KLHL3/ATRNL1/GAP43/ARHGAP26/WDFY3/IKZF2/RBM24/AP2B1/USP54/TOM1L2/SESN3/ANKRD54/SLC25A25/CSMD3/SYNRG","NRG2/FOXP2/SLC25A12/MAPKAPK5/FRMD5/PCGF1/GARIN1B/ZNF541/KMT2D/QTRT2/DHX40/FA2H/GDAP1L1/ZNF217/DNAJC7/TFDP2/TMBIM6/MLX/DST/SOS2/SNX2/PLA2G2F/TSPYL2/FAM217B/RINT1/RHEB/RBBP6/PURA/MAP2K5/DCAF6/SCN3B/H2AJ/ZNF654/PRPF38B/THG1L/SDHAF2/CNTLN/EPB41L4B/LUC7L3/UFC1/UBR5/SLC22A17/NEO1/MAP4/CAPRIN1/LIF/DCDC1/HOXA2/KLHL10/HECTD4/NBEA/KLHL3/ATRNL1/GAP43/ARHGAP26/WDFY3/IKZF2/RBM24/AP2B1/USP54/TOM1L2/SESN3/ANKRD54/SLC25A25/CSMD3/SYNRG"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","2","WCAANNNYCAG_UNKNOWN","WCAANNNYCAG_UNKNOWN","1.731968243517178","0.00119383211897913094","0.14614340547989443","0.10199114967125678","67","254","0.2637795275590551","0.000000000000000000","15","5","0.07462686567164178","0.059055118110236220","0.030060120240480961","0.357573547985960971","0.32326149353179334245","Keep","AR_Q6","AR_Q6",FALSE,"SV2A/C2CD2L/FOXP2/CIAO1/ARHGEF2/SCAF11/STARD13/KLF7/DPF3/KMT2D/CBLL1/QTRT2/CEP97/CACNB3/CA11/WNT9A/TNNC1/THPO/CDKL5/BMP4/SCN8A/BCL6/PURA/RDH14/RELCH/ZC4H2/TMEM127/RBM41/CCDC25/BCOR/PGPEP1/POU4F3/ATP5PO/PLCG1/SYT17/SUFU/POLK/ANGPT4/DYNC1LI1/SMARCAL1/LRP1/ARF6/KLK1/GTPBP8/RAB30/INVS/EHBP1/DCUN1D4/AAK1/EPB41L2/SLC38A9/NFXL1/HSCB/HECTD2/SMCR8/DOCK11/CREB1/TMEM150A/IFTAP/PABIR1/MSL3/RALBP1/NPRL2/RNASEH2A/CERT1/SRGN/PPP2R2B","SV2A/C2CD2L/FOXP2/CIAO1/ARHGEF2/SCAF11/STARD13/KLF7/DPF3/KMT2D/CBLL1/QTRT2/CEP97/CACNB3/CA11/WNT9A/TNNC1/THPO/CDKL5/BMP4/SCN8A/BCL6/PURA/RDH14/RELCH/ZC4H2/TMEM127/RBM41/CCDC25/BCOR/PGPEP1/POU4F3/ATP5PO/PLCG1/SYT17/SUFU/POLK/ANGPT4/DYNC1LI1/SMARCAL1/LRP1/ARF6/KLK1/GTPBP8/RAB30/INVS/EHBP1/DCUN1D4/AAK1/EPB41L2/SLC38A9/NFXL1/HSCB/HECTD2/SMCR8/DOCK11/CREB1/TMEM150A/IFTAP/PABIR1/MSL3/RALBP1/NPRL2/RNASEH2A/CERT1/SRGN/PPP2R2B"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","3","SOX9_B1","SOX9_B1","1.725601197997001","0.00119945456223962917","0.14614340547989443","0.10199114967125678","66","239","0.2761506276150628","0.000000000000000000","13","4","0.06060606060606061","0.054393305439330547","0.026748971193415638","0.505095931308702562","0.42893409647316727007","Keep","AR_Q6","AR_Q6",FALSE,"RHOBTB1/MAML1/SEC24C/KIF20B/RBM39/MAP4K4/SLIT2/FANK1/ZNF502/CBFA2T2/NAV1/SKAP1/PYM1/CHD6/KAT6A/DHX40/ZNF711/TOP1/TAL1/SPTBN1/BCL11B/SCD/RBBP4/RAB5A/PTPN12/RELCH/RTN4/G2E3/ZSCAN2/SYTL2/ZFYVE1/PFN2/KLF3/RLIM/ZDHHC9/CDON/PAK1/NFIB/NEO1/MBP/MAOB/ILF2/KLK3/ZBTB8OS/HOXA2/CADM1/SLC39A14/FN1/SASH1/EHBP1/MTF2/FEN1/BPTF/ETV1/EFNA1/DDX6/DENND2C/DGKA/AMER1/PABIR1/SEMA6C/CDKN1B/PPP2R2B/NEUROD2/SLC13A5/PPP1R16B","RHOBTB1/MAML1/SEC24C/KIF20B/RBM39/MAP4K4/SLIT2/FANK1/ZNF502/CBFA2T2/NAV1/SKAP1/PYM1/CHD6/KAT6A/DHX40/ZNF711/TOP1/TAL1/SPTBN1/BCL11B/SCD/RBBP4/RAB5A/PTPN12/RELCH/RTN4/G2E3/ZSCAN2/SYTL2/ZFYVE1/PFN2/KLF3/RLIM/ZDHHC9/CDON/PAK1/NFIB/NEO1/MBP/MAOB/ILF2/KLK3/ZBTB8OS/HOXA2/CADM1/SLC39A14/FN1/SASH1/EHBP1/MTF2/FEN1/BPTF/ETV1/EFNA1/DDX6/DENND2C/DGKA/AMER1/PABIR1/SEMA6C/CDKN1B/PPP2R2B/NEUROD2/SLC13A5/PPP1R16B"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","4","NCX_01","NCX_01","1.821348823854125","0.00137671575574675287","0.14614340547989443","0.10199114967125678","50","176","0.2840909090909091","0.000000000000000000","17","7","0.14000000000000001","0.096590909090909088","0.040572792362768499","0.171143767074849601","0.10690954551399174666","Keep","AR_Q6","AR_Q6",FALSE,"DHX38/SPTLC2/MAP4K4/KLF4/CACNA2D2/DYNLL1/PTCH2/SH3BGRL2/CCDC6/ATP8B4/CHCHD7/AHNAK/DNAJC7/SAV1/RBM4/KMT2E/PRKACA/TRIM62/TXNL4B/RNF43/BCOR/PLAGL1/PLAG1/UBR5/WDPCP/PAX3/NOS1/MOV10/MAP4/DCDC1/HOXC4/HOXA4/SETD2/ANK2/GNAS/FOXD3/GAP43/MSRB3/CADM1/TNPO3/ETV6/ETV1/A2M/SESN3/SLC24A4/SYNRG/DUSP14/NXF1/BMX/SLC1A7","DHX38/SPTLC2/MAP4K4/KLF4/CACNA2D2/DYNLL1/PTCH2/SH3BGRL2/CCDC6/ATP8B4/CHCHD7/AHNAK/DNAJC7/SAV1/RBM4/KMT2E/PRKACA/TRIM62/TXNL4B/RNF43/BCOR/PLAGL1/PLAG1/UBR5/WDPCP/PAX3/NOS1/MOV10/MAP4/DCDC1/HOXC4/HOXA4/SETD2/ANK2/GNAS/FOXD3/GAP43/MSRB3/CADM1/TNPO3/ETV6/ETV1/A2M/SESN3/SLC24A4/SYNRG/DUSP14/NXF1/BMX/SLC1A7"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","5","SNACANNNYSYAGA_UNKNOWN","SNACANNNYSYAGA_UNKNOWN","1.861979565059498","0.00140605029951542055","0.14614340547989443","0.10199114967125678","30","95","0.3157894736842105","0.000000000000000000","40","15","0.50000000000000000","0.421052631578947345","0.129449838187702254","0.201520435148943328","0.06417521125608278976","Keep","WCAANNNYCAG_UNKNOWN","WCAANNNYCAG_UNKNOWN",FALSE,"RNF10/ZC3H11A/TTLL4/CIAO1/NUDCD1/CBLL1/WNT9A/CALCOCO1/ZC4H2/PEX26/TMEM127/RBM41/CCDC25/UTP11/RDH11/MDH1/ZNF546/TMEM208/ZNF875/INVS/DCUN1D4/AAK1/RBM24/SLC38A9/NFXL1/ZNF569/SMCR8/IFTAP/MSL3/TNFAIP8L2","RNF10/ZC3H11A/TTLL4/CIAO1/NUDCD1/CBLL1/WNT9A/CALCOCO1/ZC4H2/PEX26/TMEM127/RBM41/CCDC25/UTP11/RDH11/MDH1/ZNF546/TMEM208/ZNF875/INVS/DCUN1D4/AAK1/RBM24/SLC38A9/NFXL1/ZNF569/SMCR8/IFTAP/MSL3/TNFAIP8L2"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","6","PR_01","PR_01","1.816333909997451","0.00153297278475413761","0.14614340547989443","0.10199114967125678","40","149","0.2684563758389262","0.000000000000000000","9","5","0.12500000000000000","0.060402684563758392","0.022842639593908629","0.058802684684266478","0.05708898230588963646","Keep","WCAANNNYCAG_UNKNOWN","WCAANNNYCAG_UNKNOWN",FALSE,"C2CD2L/ARHGAP32/GREB1/ADAMTSL1/SLC12A8/NCOA3/MIA/CHCHD7/NSD1/BCL6/RELCH/ZNF654/LARP1B/MTMR10/CNGB3/WNT4/PLAG1/MBP/ITGA6/HOXC4/HOXA5/HOXA2/HIVEP1/GRB2/RAB30/FBXO9/SENP3/NIPBL/OTP/SLC7A8/IKZF2/RBM24/JMJD1C/DLG3/USP54/ADCY6/RANBP9/TRIM63/FSTL5/SRGN","C2CD2L/ARHGAP32/GREB1/ADAMTSL1/SLC12A8/NCOA3/MIA/CHCHD7/NSD1/BCL6/RELCH/ZNF654/LARP1B/MTMR10/CNGB3/WNT4/PLAG1/MBP/ITGA6/HOXC4/HOXA5/HOXA2/HIVEP1/GRB2/RAB30/FBXO9/SENP3/NIPBL/OTP/SLC7A8/IKZF2/RBM24/JMJD1C/DLG3/USP54/ADCY6/RANBP9/TRIM63/FSTL5/SRGN"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","7","PR_02","PR_02","1.719698419869596","0.00319047112662759281","0.18280363422110169","0.12757573807091172","37","135","0.2740740740740741","0.000000000000000000","7","4","0.10810810810810811","0.051851851851851850","0.018324607329842930","0.089250182896102065","0.08108028689088944696","Keep","WCAANNNYCAG_UNKNOWN","WCAANNNYCAG_UNKNOWN",FALSE,"CD101/ADAMTSL1/ZFHX4/VCPKMT/UBE2B/SPTBN1/DST/NSD1/BCL6/RELCH/ZNF654/HAUS4/WNT4/LUC7L3/NLK/MBP/ITGA6/GRB2/RAB30/FBXO9/NIPBL/SMPX/OTP/SLC7A8/IKZF2/DLG3/USP54/CA5B/DUSP10/ADCY6/AKAP3/CALCRL/RANBP9/TRIM63/FSTL5/SRGN/SH2D1A","CD101/ADAMTSL1/ZFHX4/VCPKMT/UBE2B/SPTBN1/DST/NSD1/BCL6/RELCH/ZNF654/HAUS4/WNT4/LUC7L3/NLK/MBP/ITGA6/GRB2/RAB30/FBXO9/NIPBL/SMPX/OTP/SLC7A8/IKZF2/DLG3/USP54/CA5B/DUSP10/ADCY6/AKAP3/CALCRL/RANBP9/TRIM63/FSTL5/SRGN/SH2D1A"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","8","E12_Q6","E12_Q6","-1.526709279231030","0.00363428944305065537","0.18280363422110169","0.12757573807091172","55","265","0.2075471698113208","0.000000000000000000","7","2","0.03636363636363636","0.026415094339622643","0.013513513513513514","0.445227177510081229","0.56710497680701676959","Keep","AR_Q6","AR_Q6",FALSE,"ADAMTSL2/RIN1/AP5B1/USP2/ACTN3/TNFSF13/NOL4/MYLK2/SCG2/ZNF205/WNT6/WNK2/SIPA1/HIF3A/RANGAP1/SORCS2/PNPLA2/HES6/CNNM2/EGLN1/PLEC/MINK1/LRP5/KCNN3/ZNF710/ITGB4/RTN4RL2/IGFBP5/VWA2/HMGN2/GIT1/DOK7/GFAP/GATA2/CHD5/POU2F3/NEGR1/FYN/GPD1L/FGF8/PTK2B/MEGF8/HBEGF/CYP26A1/MANEAL/BEST3/COL4A4/ANKRD13B/CKM/TREX2/CCDC85B/ME3/ARID5A/CDH5/CDH2","ADAMTSL2/RIN1/AP5B1/USP2/ACTN3/TNFSF13/NOL4/MYLK2/SCG2/ZNF205/WNT6/WNK2/SIPA1/HIF3A/RANGAP1/SORCS2/PNPLA2/HES6/CNNM2/EGLN1/PLEC/MINK1/LRP5/KCNN3/ZNF710/ITGB4/RTN4RL2/IGFBP5/VWA2/HMGN2/GIT1/DOK7/GFAP/GATA2/CHD5/POU2F3/NEGR1/FYN/GPD1L/FGF8/PTK2B/MEGF8/HBEGF/CYP26A1/MANEAL/BEST3/COL4A4/ANKRD13B/CKM/TREX2/CCDC85B/ME3/ARID5A/CDH5/CDH2"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","9","PR_Q2","PR_Q2","1.607822456290714","0.00384445349326142461","0.18280363422110169","0.12757573807091172","61","269","0.2267657992565056","0.000000000000000000","25","9","0.14754098360655737","0.092936802973977689","0.063613231552162849","0.081954646381284982","0.18657496715059807002","Keep","PR_01","PR_01",FALSE,"FCHSD2/C2CD2L/LEMD1/ADAMTSL1/CACNA2D2/NEK9/RGN/SSH2/OBSCN/ZNF436/ICE2/VCPKMT/HAUS3/CACNB3/WNT9A/TCN2/TCF12/STIM1/SLC15A2/IKZF4/SCML1/SCD/RGL2/KLK15/INTS10/PON2/SIX4/LUC7L3/PDGFRA/PDE4D/KLF3/TMEM216/PAX3/NFIL3/MXI1/MCC/HOXA5/HMGCS1/HIVEP1/GRM3/RAB30/RBMS3/BACE2/LRRC57/SH3BP4/SMPX/OTP/TASOR/ZNRF2/JMJD1C/FAM227B/DLG3/FITM1/DGKH/USP54/CEP120/CCN2/SESN3/TSHZ2/CA5B/IL1RAPL1","FCHSD2/C2CD2L/LEMD1/ADAMTSL1/CACNA2D2/NEK9/RGN/SSH2/OBSCN/ZNF436/ICE2/VCPKMT/HAUS3/CACNB3/WNT9A/TCN2/TCF12/STIM1/SLC15A2/IKZF4/SCML1/SCD/RGL2/KLK15/INTS10/PON2/SIX4/LUC7L3/PDGFRA/PDE4D/KLF3/TMEM216/PAX3/NFIL3/MXI1/MCC/HOXA5/HMGCS1/HIVEP1/GRM3/RAB30/RBMS3/BACE2/LRRC57/SH3BP4/SMPX/OTP/TASOR/ZNRF2/JMJD1C/FAM227B/DLG3/FITM1/DGKH/USP54/CEP120/CCN2/SESN3/TSHZ2/CA5B/IL1RAPL1"
"GSE282081","ATF3_correlation","2D_J2","TFT_TFT_LEGACY","10","TITF1_Q3","TITF1_Q3","1.651590030534009","0.00391699035162484770","0.18280363422110169","0.12757573807091172","56","244","0.2295081967213115","0.000000000000000000","23","8","0.14285714285714285","0.094262295081967207","0.046938775510204082","0.125268123033011353","0.11926198167767616820","Keep","PR_Q2","PR_Q2",FALSE,"NUAK1/RBM39/GDF3/ADIPOQ/ORAI3/LRRFIP2/CLDN1/DYRK3/PYM1/NSRP1/LRMDA/MLLT10/TRPM3/PIP4K2C/ZDHHC14/HAUS3/TGIF1/TGFB3/TFDP2/SRPK2/SP1/CCDC136/NSD1/GPBP1L1/PURA/CACNA2D3/MAML3/PRPF38B/SYTL2/PLS1/LUC7L3/PDGFRA/SLC25A37/PBX3/NEO1/MXI1/MARK3/KCNJ3/ITPKB/IMPDH2/HOXC4/HOXB3/FOXD3/FGF20/OTP/POGZ/EYA1/ETV1/ARX/TOR1AIP2/CEP120/VPS37A/TSHZ2/CSMD3/MGLL/IL1RAPL1","NUAK1/RBM39/GDF3/ADIPOQ/ORAI3/LRRFIP2/CLDN1/DYRK3/PYM1/NSRP1/LRMDA/MLLT10/TRPM3/PIP4K2C/ZDHHC14/HAUS3/TGIF1/TGFB3/TFDP2/SRPK2/SP1/CCDC136/NSD1/GPBP1L1/PURA/CACNA2D3/MAML3/PRPF38B/SYTL2/PLS1/LUC7L3/PDGFRA/SLC25A37/PBX3/NEO1/MXI1/MARK3/KCNJ3/ITPKB/IMPDH2/HOXC4/HOXB3/FOXD3/FGF20/OTP/POGZ/EYA1/ETV1/ARX/TOR1AIP2/CEP120/VPS37A/TSHZ2/CSMD3/MGLL/IL1RAPL1"
