"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","ATF3_correlation","2D_none","GO_CC","1","GOCC_RIBOSOME","GOCC_RIBOSOME","1.857787973706926","0.0003730266671211527","0.2578805253731100","0.2152080496571271","100","236","0.4237288135593220","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"RNF14/RPL23/MTG1/NEMF/RIOK3/PNPT1/ASCC2/FXR1/MRPL24/DAP3/UBC/MRPL44/RNF25/RPS27/RPS20/RPS16/RPS15A/RPL39/RPL36AL/RPL34/RPL27A/RPL27/RPL24/MRPL23/RPL22/RPL11/RPL7/MRPS35/NUFIP2/PTCD3/MRPL50/MRPL48/MRPS17/HSPA14/MRPS7/RPS27L/MT3/EIF2AK4/MRPL58/MRPL22/MRPL15/MRPS18B/RPL7L1/RPL22L1/EEF1A1/DDX3X/MRPL10/LARP4/ASCC3/MRPS31/RNF10/MRPL19/MRPL33/USP10/FUBP3/MRPL45/MRPL49/UBB/SRP68/MRPL9/MRPL11/MRPL34/MRPL36/MRPL41/MRPS24/MRPS26/MRPL14/MRPS25/MRPS14/MRPL17/RPS27A/RPS26/RPS24/RPS23/RPS18/RPS17/RPS13/RPS12/RPS7/RPS6/RPS4X/RPS3A/MRPL12/RPLP2/RPLP0/RPL36A/RPL38/RPL37/RPL35A/RPL31/RPL30/RPL21/RPL19/RPL18/RPL10/RPL5/RPL4/RPL3L/RPL3/ABCE1","RNF14/RPL23/MTG1/NEMF/RIOK3/PNPT1/ASCC2/FXR1/MRPL24/DAP3/UBC/MRPL44/RNF25/RPS27/RPS20/RPS16/RPS15A/RPL39/RPL36AL/RPL34/RPL27A/RPL27/RPL24/MRPL23/RPL22/RPL11/RPL7/MRPS35/NUFIP2/PTCD3/MRPL50/MRPL48/MRPS17/HSPA14/MRPS7/RPS27L/MT3/EIF2AK4/MRPL58/MRPL22/MRPL15/MRPS18B/RPL7L1/RPL22L1/EEF1A1/DDX3X/MRPL10/LARP4/ASCC3/MRPS31/RNF10/MRPL19/MRPL33/USP10/FUBP3/MRPL45/MRPL49/UBB/SRP68/MRPL9/MRPL11/MRPL34/MRPL36/MRPL41/MRPS24/MRPS26/MRPL14/MRPS25/MRPS14/MRPL17/RPS27A/RPS26/RPS24/RPS23/RPS18/RPS17/RPS13/RPS12/RPS7/RPS6/RPS4X/RPS3A/MRPL12/RPLP2/RPLP0/RPL36A/RPL38/RPL37/RPL35A/RPL31/RPL30/RPL21/RPL19/RPL18/RPL10/RPL5/RPL4/RPL3L/RPL3/ABCE1"
"GSE282081","ATF3_correlation","2D_none","GO_CC","2","GOCC_ATPASE_COMPLEX","GOCC_ATPASE_COMPLEX","1.903221518883932","0.0005338292318200941","0.2578805253731100","0.2152080496571271","80","152","0.5263157894736842","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"DDX21/ATP6V0E1/ACTR5/DEK/AFG2B/LUZP1/VPS72/SS18/SMARCE1/SMARCD1/RBBP4/MTA3/GATAD2B/YY1AP1/PBRM1/ING3/ATP6V0A1/ATP6V1G2/ATP6V0B/RSF1/ATP6V1H/NFRKB/BRD7/AMFR/ATP6V1C2/ATP6V0A2/SUZ12/BICRAL/SF3B1/FAF2/UBXN2A/UBXN2B/BAZ1A/BAZ2A/BRD8/ATP6V1G1/ACTR8/ATP6V1F/BCL7B/MTA2/ATP6V0D1/MTA1/BAZ1B/RUVBL1/ACTL6A/SMARCA5/INO80B/TRRAP/ANP32E/CDK2AP1/VCPIP1/DERL1/VCP/SMARCD3/SMARCC2/SMARCC1/BRD9/SMARCA2/SMARCA1/RBBP7/RB1/EP400/ARID1B/PTPA/INO80D/INO80/POLE3/BCL11A/ATP6V1E1/ATP6V1C1/ATP6V0C/ATP6V1B2/ATP6V1A/PEX6/PEX1/CINP/ATP6V1D/UCHL5/DERL2/ATP6V0A4","DDX21/ATP6V0E1/ACTR5/DEK/AFG2B/LUZP1/VPS72/SS18/SMARCE1/SMARCD1/RBBP4/MTA3/GATAD2B/YY1AP1/PBRM1/ING3/ATP6V0A1/ATP6V1G2/ATP6V0B/RSF1/ATP6V1H/NFRKB/BRD7/AMFR/ATP6V1C2/ATP6V0A2/SUZ12/BICRAL/SF3B1/FAF2/UBXN2A/UBXN2B/BAZ1A/BAZ2A/BRD8/ATP6V1G1/ACTR8/ATP6V1F/BCL7B/MTA2/ATP6V0D1/MTA1/BAZ1B/RUVBL1/ACTL6A/SMARCA5/INO80B/TRRAP/ANP32E/CDK2AP1/VCPIP1/DERL1/VCP/SMARCD3/SMARCC2/SMARCC1/BRD9/SMARCA2/SMARCA1/RBBP7/RB1/EP400/ARID1B/PTPA/INO80D/INO80/POLE3/BCL11A/ATP6V1E1/ATP6V1C1/ATP6V0C/ATP6V1B2/ATP6V1A/PEX6/PEX1/CINP/ATP6V1D/UCHL5/DERL2/ATP6V0A4"
"GSE282081","ATF3_correlation","2D_none","GO_CC","3","GOCC_INTEGRIN_COMPLEX","GOCC_INTEGRIN_COMPLEX","-2.170672316759174","0.0007804174396814448","0.2578805253731100","0.2152080496571271","18","30","0.6000000000000000","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"ITGB8/ITGB7/ITGAV/ITGAD/ITGA9/ITGA7/ITGA5/ITGA4/ITGA3/ITGA2B/ITGA11/TSPAN32/ITGAL/ITGA10/ITGB5/ITGB4/ITGB2/ITGAX","ITGB8/ITGB7/ITGAV/ITGAD/ITGA9/ITGA7/ITGA5/ITGA4/ITGA3/ITGA2B/ITGA11/TSPAN32/ITGAL/ITGA10/ITGB5/ITGB4/ITGB2/ITGAX"
"GSE282081","ATF3_correlation","2D_none","GO_CC","4","GOCC_CYTOSOLIC_RIBOSOME","GOCC_CYTOSOLIC_RIBOSOME","1.959279863798413","0.0010083304999926098","0.2578805253731100","0.2152080496571271","59","121","0.4876033057851240","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"RNF14/RPL23/NEMF/RIOK3/ASCC2/UBC/RNF25/RPS27/RPS20/RPS16/RPS15A/RPL39/RPL36AL/RPL34/RPL27A/RPL27/RPL24/RPL22/RPL11/RPL7/RPS27L/EIF2AK4/RPL7L1/EEF1A1/DDX3X/LARP4/ASCC3/RNF10/USP10/UBB/RPS27A/RPS26/RPS24/RPS23/RPS18/RPS17/RPS13/RPS12/RPS7/RPS6/RPS4X/RPS3A/RPLP2/RPLP0/RPL36A/RPL38/RPL37/RPL35A/RPL31/RPL30/RPL21/RPL19/RPL18/RPL10/RPL5/RPL4/RPL3L/RPL3/ABCE1","RNF14/RPL23/NEMF/RIOK3/ASCC2/UBC/RNF25/RPS27/RPS20/RPS16/RPS15A/RPL39/RPL36AL/RPL34/RPL27A/RPL27/RPL24/RPL22/RPL11/RPL7/RPS27L/EIF2AK4/RPL7L1/EEF1A1/DDX3X/LARP4/ASCC3/RNF10/USP10/UBB/RPS27A/RPS26/RPS24/RPS23/RPS18/RPS17/RPS13/RPS12/RPS7/RPS6/RPS4X/RPS3A/RPLP2/RPLP0/RPL36A/RPL38/RPL37/RPL35A/RPL31/RPL30/RPL21/RPL19/RPL18/RPL10/RPL5/RPL4/RPL3L/RPL3/ABCE1"
"GSE282081","ATF3_correlation","2D_none","GO_CC","5","GOCC_LEWY_BODY","GOCC_LEWY_BODY","-2.059618011677883","0.0022379054443320222","0.3701362013666932","0.3088883500930301","9","12","0.7500000000000000","0.00000000000000000","1","1","0.11111111111111110","0.083333333333333329","0.004048582995951417","0.75000000000000000","0.423728813559322237126","Keep","GOCC_RIBOSOME","GOCC_RIBOSOME",FALSE,"GPX1/WSB1/ARIH1/LRRK2/SNCA/PRKN/HERPUD1/PINK1/NUB1","GPX1/WSB1/ARIH1/LRRK2/SNCA/PRKN/HERPUD1/PINK1/NUB1"
"GSE282081","ATF3_correlation","2D_none","GO_CC","6","GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX","GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX","2.050147324379594","0.0022465762534592208","0.3701362013666932","0.3088883500930301","12","49","0.2448979591836735","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"CUL2/ZYG11B/ELOC/ZSWIM4/ZSWIM6/ZSWIM5/ASB4/ZYG11A/LRRC75A/PRAME/APPBP2/PRAMEF17","CUL2/ZYG11B/ELOC/ZSWIM4/ZSWIM6/ZSWIM5/ASB4/ZYG11A/LRRC75A/PRAME/APPBP2/PRAMEF17"
"GSE282081","ATF3_correlation","2D_none","GO_CC","7","GOCC_CYTOSOLIC_4FE_4S_ASSEMBLY_TARGETING_COMPLEX","GOCC_CYTOSOLIC_4FE_4S_ASSEMBLY_TARGETING_COMPLEX","1.894985296005759","0.0030343269481225743","0.3701362013666932","0.3088883500930301","4","7","0.5714285714285714","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"CIAO1/CIAO2A/MMS19/CIAPIN1","CIAO1/CIAO2A/MMS19/CIAPIN1"
"GSE282081","ATF3_correlation","2D_none","GO_CC","8","GOCC_IRON_SULFUR_CLUSTER_ASSEMBLY_COMPLEX","GOCC_IRON_SULFUR_CLUSTER_ASSEMBLY_COMPLEX","1.958026404922886","0.0031321810428524017","0.3701362013666932","0.3088883500930301","9","24","0.3750000000000000","0.00000000000000000","7","4","0.44444444444444442","0.291666666666666685","0.291666666666666685","0.20761389640108174","1.000000000000000000000","Keep","GOCC_CYTOSOLIC_4FE_4S_ASSEMBLY_TARGETING_COMPLEX","GOCC_CYTOSOLIC_4FE_4S_ASSEMBLY_TARGETING_COMPLEX",FALSE,"CIAO1/CIAO2A/ISCA1/MMS19/CIAPIN1/BOLA2/BOLA1/NUBP1/ISCU","CIAO1/CIAO2A/ISCA1/MMS19/CIAPIN1/BOLA2/BOLA1/NUBP1/ISCU"
"GSE282081","ATF3_correlation","2D_none","GO_CC","9","GOCC_CENTRIOLAR_SUBDISTAL_APPENDAGE","GOCC_CENTRIOLAR_SUBDISTAL_APPENDAGE","1.984856972999341","0.0034228721841441591","0.3701362013666932","0.3088883500930301","7","10","0.7000000000000000","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"CCDC68/CCDC61/NIN/KIF2A/CNTRL/CEP170/CCDC120","CCDC68/CCDC61/NIN/KIF2A/CNTRL/CEP170/CCDC120"
"GSE282081","ATF3_correlation","2D_none","GO_CC","10","GOCC_PERICENTRIOLAR_MATERIAL","GOCC_PERICENTRIOLAR_MATERIAL","1.926648602039274","0.0038623744636334272","0.3701362013666932","0.3088883500930301","18","23","0.7826086956521739","0.00000000000000000","1","1","0.05555555555555555","0.043478260869565216","0.031250000000000000","0.78260869565217384","0.699999999999999955591","Keep","GOCC_CENTRIOLAR_SUBDISTAL_APPENDAGE","GOCC_CENTRIOLAR_SUBDISTAL_APPENDAGE",FALSE,"DYRK3/TCP1/CEP85/BBS4/NIN/NEK1/LCK/NEDD1/RABL2B/TNKS/HOOK3/TNKS2/TUBG1/CDK5RAP2/CEP192/TUBE1/PCM1/CEP85L","DYRK3/TCP1/CEP85/BBS4/NIN/NEK1/LCK/NEDD1/RABL2B/TNKS/HOOK3/TNKS2/TUBG1/CDK5RAP2/CEP192/TUBE1/PCM1/CEP85L"
