"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","1","KEGG_PROTEIN_EXPORT","KEGG_PROTEIN_EXPORT","-2.301826020255934","0.0005373580596732806","0.03867353722560174","0.03144886817734302","22","24","0.9166666666666666","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000","Keep","itself","",TRUE,"SPCS2/SEC11C/IMMP2L/SEC62/SRPRA/SRP68/SRP54/SRP14/SRPRB/SEC61A2/HSPA5/IMMP1L/SEC63/SEC61B/SRP72/SRP19/SRP9/SPCS3/OXA1L/SPCS1/SEC61G/SEC11A","SPCS2/SEC11C/IMMP2L/SEC62/SRPRA/SRP68/SRP54/SRP14/SRPRB/SEC61A2/HSPA5/IMMP1L/SEC63/SEC61B/SRP72/SRP19/SRP9/SPCS3/OXA1L/SPCS1/SEC61G/SEC11A"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","2","KEGG_VEGF_SIGNALING_PATHWAY","KEGG_VEGF_SIGNALING_PATHWAY","2.001621414749896","0.0007504013843090815","0.03867353722560174","0.03144886817734302","23","76","0.3026315789473684","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000","Keep","itself","",TRUE,"JMJD7-PLA2G4B/PLA2G10/PLA2G6/SRC/MAPK12/RAF1/RAC3/RAC2/PTK2/PTGS2/BAD/SPHK2/MAP2K2/MAPK13/MAPK11/PRKCG/PIK3CG/PLA2G3/NFATC1/PLA2G2C/HSPB1/HRAS/SHC2","JMJD7-PLA2G4B/PLA2G10/PLA2G6/SRC/MAPK12/RAF1/RAC3/RAC2/PTK2/PTGS2/BAD/SPHK2/MAP2K2/MAPK13/MAPK11/PRKCG/PIK3CG/PLA2G3/NFATC1/PLA2G2C/HSPB1/HRAS/SHC2"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","3","KEGG_RIBOSOME","KEGG_RIBOSOME","-2.024477761220098","0.0007898311645626527","0.03867353722560174","0.03144886817734302","63","88","0.7159090909090909","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000","Keep","itself","",TRUE,"RPS29/RPS27A/RPS27/RPS26/RPS25/RPS24/RPS23/RPS21/RPS20/RPS19/RPS18/RPS15A/RPS13/RPS11/RPS10/RPS8/RPS7/RPS6/RPS4X/RPS3A/RPS2/RPL39/RPL38/RPL37A/RPL37/RPL36AL/RPL35A/RPL34/RPL32/RPL31/RPL29/RPL27A/RPL30/RPL27/RPL24/RPL23A/RPL21/RPL19/RPL18/RPL11/RPL9/RPL7A/RPL7/RPL6/RPL5/RPL4/RPL26L1/MRPL13/RPL13A/RPL22L1/RPS17/RPS12/RPL36A/RPL41/RPL26/RPL22/RPL15/RPL10/RPL3L/RSL24D1/RPS27L/RPL10A/RPSA","RPS29/RPS27A/RPS27/RPS26/RPS25/RPS24/RPS23/RPS21/RPS20/RPS19/RPS18/RPS15A/RPS13/RPS11/RPS10/RPS8/RPS7/RPS6/RPS4X/RPS3A/RPS2/RPL39/RPL38/RPL37A/RPL37/RPL36AL/RPL35A/RPL34/RPL32/RPL31/RPL29/RPL27A/RPL30/RPL27/RPL24/RPL23A/RPL21/RPL19/RPL18/RPL11/RPL9/RPL7A/RPL7/RPL6/RPL5/RPL4/RPL26L1/MRPL13/RPL13A/RPL22L1/RPS17/RPS12/RPL36A/RPL41/RPL26/RPL22/RPL15/RPL10/RPL3L/RSL24D1/RPS27L/RPL10A/RPSA"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","4","KEGG_HEDGEHOG_SIGNALING_PATHWAY","KEGG_HEDGEHOG_SIGNALING_PATHWAY","2.072560601284279","0.0009247902203913746","0.03867353722560174","0.03144886817734302","33","56","0.5892857142857143","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000","Keep","itself","",TRUE,"WNT5B/WNT10A/WNT9B/WNT11/WNT10B/WNT1/SMO/BMP7/BMP4/HHIP/PRKACA/WNT4/DHH/BMP8A/GLI2/CSNK1G2/CSNK1E/CSNK1D/BTRC/WNT9A/WNT2B/WNT8B/WNT7B/WNT6/WNT3/BMP6/SHH/PTCH1/PRKX/CSNK1G1/RAB23/SUFU/WNT16","WNT5B/WNT10A/WNT9B/WNT11/WNT10B/WNT1/SMO/BMP7/BMP4/HHIP/PRKACA/WNT4/DHH/BMP8A/GLI2/CSNK1G2/CSNK1E/CSNK1D/BTRC/WNT9A/WNT2B/WNT8B/WNT7B/WNT6/WNT3/BMP6/SHH/PTCH1/PRKX/CSNK1G1/RAB23/SUFU/WNT16"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","5","KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE","2.115416742256958","0.0010396112157419822","0.03867353722560174","0.03144886817734302","12","52","0.2307692307692308","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000","Keep","itself","",TRUE,"TPO/IL5/IL4/HLA-F/HLA-E/HLA-DRB1/HLA-DQB1/HLA-DQA1/HLA-DOB/HLA-DMB/HLA-C/HLA-A","TPO/IL5/IL4/HLA-F/HLA-E/HLA-DRB1/HLA-DQB1/HLA-DQA1/HLA-DOB/HLA-DMB/HLA-C/HLA-A"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","6","KEGG_BASAL_CELL_CARCINOMA","KEGG_BASAL_CELL_CARCINOMA","2.023984474157144","0.0013182104789100941","0.03907342603311628","0.03177405307883670","30","55","0.5454545454545454","0.00000000000000000","32","17","0.56666666666666665","0.581818181818181790","0.405063291139240500","0.69924584466009032","0.902628726220718436","Keep","KEGG_HEDGEHOG_SIGNALING_PATHWAY","KEGG_HEDGEHOG_SIGNALING_PATHWAY",FALSE,"FZD4/FZD1/WNT5B/WNT10A/WNT9B/WNT11/WNT10B/WNT1/SMO/BMP4/HHIP/WNT4/APC/GLI2/FZD2/DVL2/DVL1/FZD9/FZD7/FZD6/AXIN2/AXIN1/FZD5/WNT9A/WNT2B/WNT8B/WNT7B/WNT6/WNT3/TP53","FZD4/FZD1/WNT5B/WNT10A/WNT9B/WNT11/WNT10B/WNT1/SMO/BMP4/HHIP/WNT4/APC/GLI2/FZD2/DVL2/DVL1/FZD9/FZD7/FZD6/AXIN2/AXIN1/FZD5/WNT9A/WNT2B/WNT8B/WNT7B/WNT6/WNT3/TP53"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","7","KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION","-1.808268858911180","0.0014705052808162040","0.03907342603311628","0.03177405307883670","65","133","0.4887218045112782","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000","Keep","itself","",TRUE,"ATP5PO/ATP6V0C/ATP5PF/ATP5MC3/ATP6V1H/ATP5F1E/ATP6V1D/ATP5F1C/ATP6V0A4/ATP5F1B/NDUFV3/NDUFV2/NDUFS5/NDUFS4/NDUFS3/NDUFC2/NDUFB10/NDUFB9/NDUFB6/NDUFB4/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA8/NDUFA6/NDUFA5/UQCR10/UQCRQ/PPA2/ATP6V1C2/ATP6V0A2/COX7B2/COX10/COX7C/COX7A2/COX6B1/COX6A1/UQCR11/ATP5PD/ATP6V0D2/ATP5MF/SDHD/PPA1/ATP6V1E1/ATP6V1C1/ATP6V1A/ATP5ME/ATP5MC2/ATP5MC1/ATP5PB/ATP12A/NDUFS6/NDUFC1/NDUFB8/NDUFB5/NDUFA9/NDUFA7/NDUFA3/COX8C/COX15/COX8A/COX7B/ATP5MG","ATP5PO/ATP6V0C/ATP5PF/ATP5MC3/ATP6V1H/ATP5F1E/ATP6V1D/ATP5F1C/ATP6V0A4/ATP5F1B/NDUFV3/NDUFV2/NDUFS5/NDUFS4/NDUFS3/NDUFC2/NDUFB10/NDUFB9/NDUFB6/NDUFB4/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA8/NDUFA6/NDUFA5/UQCR10/UQCRQ/PPA2/ATP6V1C2/ATP6V0A2/COX7B2/COX10/COX7C/COX7A2/COX6B1/COX6A1/UQCR11/ATP5PD/ATP6V0D2/ATP5MF/SDHD/PPA1/ATP6V1E1/ATP6V1C1/ATP6V1A/ATP5ME/ATP5MC2/ATP5MC1/ATP5PB/ATP12A/NDUFS6/NDUFC1/NDUFB8/NDUFB5/NDUFA9/NDUFA7/NDUFA3/COX8C/COX15/COX8A/COX7B/ATP5MG"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","8","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","1.672847014812398","0.0021646860329444864","0.04291724573575671","0.03489980230680720","62","272","0.2279411764705882","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000","Keep","itself","",TRUE,"F2RL3/THRA/TACR1/SCTR/PTGIR/PTGER2/PRSS2/PRSS1/LTB4R2/PARD3/AVPR2/P2RY2/OPRL1/OPRK1/MC5R/MC1R/LEPR/HTR6/HTR2C/HRH2/HCRTR1/GRPR/GRM4/GRIN2D/GRIN2B/GRIN1/MLNR/UTS2R/GNRHR/GLP1R/P2RY10/GIPR/GABRG1/GABRD/GABRB3/F2/EDNRA/ADRB2/ADRA1A/ADRA1D/ADORA1/CNR2/GRIN3B/GRIN3A/CHRNG/CHRNB4/CHRNA7/CHRNA3/CHRM4/CHRM3/PTGFR/PRLR/NMBR/MC2R/MAS1/HTR1F/TAAR6/GRM7/GRM6/DRD5/CHRNA2/CHRM2","F2RL3/THRA/TACR1/SCTR/PTGIR/PTGER2/PRSS2/PRSS1/LTB4R2/PARD3/AVPR2/P2RY2/OPRL1/OPRK1/MC5R/MC1R/LEPR/HTR6/HTR2C/HRH2/HCRTR1/GRPR/GRM4/GRIN2D/GRIN2B/GRIN1/MLNR/UTS2R/GNRHR/GLP1R/P2RY10/GIPR/GABRG1/GABRD/GABRB3/F2/EDNRA/ADRB2/ADRA1A/ADRA1D/ADORA1/CNR2/GRIN3B/GRIN3A/CHRNG/CHRNB4/CHRNA7/CHRNA3/CHRM4/CHRM3/PTGFR/PRLR/NMBR/MC2R/MAS1/HTR1F/TAAR6/GRM7/GRM6/DRD5/CHRNA2/CHRM2"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","9","KEGG_ASTHMA","KEGG_ASTHMA","2.050381070761872","0.0023985305523887852","0.04291724573575671","0.03489980230680720","9","30","0.3000000000000000","0.00000000000000000","19","7","0.77777777777777779","0.633333333333333304","0.301587301587301571","0.25827086456771625","0.075623031341644470","Keep","KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE",FALSE,"EPX/PRG2/IL5/IL4/HLA-DRB1/HLA-DQB1/HLA-DQA1/HLA-DOB/HLA-DMB","EPX/PRG2/IL5/IL4/HLA-DRB1/HLA-DQB1/HLA-DQA1/HLA-DOB/HLA-DMB"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","CP_KEGG_LEGACY","10","KEGG_SPLICEOSOME","KEGG_SPLICEOSOME","-1.753527658160832","0.0024550781703000357","0.04291724573575671","0.03489980230680720","79","127","0.6220472440944882","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000","0.000000000000000000","Keep","itself","",TRUE,"SNRPG/SNRPF/SNRPD2/SNRPD1/SNRPB2/SNRPA1/SNRPA/SRSF5/SRSF4/SRSF1/LSM2/CTNNBL1/PRPF40A/PRPF38B/MAGOHB/WBP11/SF3B6/CWC15/CRNKL1/NCBP1/MAGOH/HSPA1L/HNRNPU/HNRNPK/HNRNPC/HNRNPA1/RBMX/LSM3/SYF2/LSM4/PRPF40B/SF3B1/U2SURP/ACIN1/SNW1/HNRNPA3/DHX15/DDX5/LSM6/SF3A3/SRSF8/SLU7/PPIH/PPIE/BCAS2/SF3B4/RBM8A/CDC5L/SNRNP40/PRPF4/PRPF38A/PHF5A/DDX39B/SNRPE/SNRPD3/SNRPC/TRA2B/SRSF7/SRSF6/SRSF3/SRSF2/RBM25/ISY1/THOC2/RBM22/PLRG1/LSM8/PPIL1/SNU13/TRA2A/LSM5/NCBP2/ZMAT2/SNRNP27/SF3B2/TCERG1/SRSF10/USP39/SMNDC1","SNRPG/SNRPF/SNRPD2/SNRPD1/SNRPB2/SNRPA1/SNRPA/SRSF5/SRSF4/SRSF1/LSM2/CTNNBL1/PRPF40A/PRPF38B/MAGOHB/WBP11/SF3B6/CWC15/CRNKL1/NCBP1/MAGOH/HSPA1L/HNRNPU/HNRNPK/HNRNPC/HNRNPA1/RBMX/LSM3/SYF2/LSM4/PRPF40B/SF3B1/U2SURP/ACIN1/SNW1/HNRNPA3/DHX15/DDX5/LSM6/SF3A3/SRSF8/SLU7/PPIH/PPIE/BCAS2/SF3B4/RBM8A/CDC5L/SNRNP40/PRPF4/PRPF38A/PHF5A/DDX39B/SNRPE/SNRPD3/SNRPC/TRA2B/SRSF7/SRSF6/SRSF3/SRSF2/RBM25/ISY1/THOC2/RBM22/PLRG1/LSM8/PPIL1/SNU13/TRA2A/LSM5/NCBP2/ZMAT2/SNRNP27/SF3B2/TCERG1/SRSF10/USP39/SMNDC1"
