"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","1","GOCC_SYNAPTIC_MEMBRANE","GOCC_SYNAPTIC_MEMBRANE","1.727622199171934","0.0001165351839781267","0.07659516600982878","0.04991768379911607","114","444","0.2567567567567567","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"IQSEC1/RIMS3/CLSTN3/RIMS2/AKAP5/PICK1/NRXN2/NAPA/CBLN1/PDLIM4/SYDE1/NIPSNAP1/IGSF21/SYDE2/DTNBP1/LRFN3/DAGLA/UTRN/ICAM5/TACR1/SYT1/ABCC8/SLC8A3/SLC1A2/LIN7B/RAPSN/NECTIN1/PTPRS/LRFN1/NLGN2/SORCS2/PRKCG/PLXNB1/ABHD17B/SHANK1/PALM/OPRL1/OPRK1/ATP2B3/NRGN/NOTCH1/NEO1/GPR179/IQSEC3/MKLN1/ADAM11/STX19/LRP4/SHC4/GRID2IP/KCNJ4/KCNJ2/KCNA2/APP/GRIN2D/GRIN2B/GRIN1/ANK2/DOK7/GNAO1/CACNG4/ERC2/LRRTM2/NECTIN3/GABRG1/GABRD/GABRB3/CNIH2/FLRT3/SCRIB/GRIP1/ADGRL3/ARC/SYT11/IQSEC2/ERC1/ADGRL1/ERBB4/ERBB3/EPHB2/EPHA4/EFNB3/DBN1/RIMS4/ADORA1/CNR2/CLCN2/AP2M1/GRIN3B/GRIN3A/CSMD2/CHRNG/CHRNB4/CHRNA7/CHRNA3/CHRM4/CHRM3/IL1RAPL1/SEMA4B/UNC13B/BAIAP2/AKAP9/CDH8/OTOF/HTR3B/CASR/SLC1A7/GRM7/HTR3E/GPM6A/CNTN6/GABRR3/CHRNA2/CHRM2","IQSEC1/RIMS3/CLSTN3/RIMS2/AKAP5/PICK1/NRXN2/NAPA/CBLN1/PDLIM4/SYDE1/NIPSNAP1/IGSF21/SYDE2/DTNBP1/LRFN3/DAGLA/UTRN/ICAM5/TACR1/SYT1/ABCC8/SLC8A3/SLC1A2/LIN7B/RAPSN/NECTIN1/PTPRS/LRFN1/NLGN2/SORCS2/PRKCG/PLXNB1/ABHD17B/SHANK1/PALM/OPRL1/OPRK1/ATP2B3/NRGN/NOTCH1/NEO1/GPR179/IQSEC3/MKLN1/ADAM11/STX19/LRP4/SHC4/GRID2IP/KCNJ4/KCNJ2/KCNA2/APP/GRIN2D/GRIN2B/GRIN1/ANK2/DOK7/GNAO1/CACNG4/ERC2/LRRTM2/NECTIN3/GABRG1/GABRD/GABRB3/CNIH2/FLRT3/SCRIB/GRIP1/ADGRL3/ARC/SYT11/IQSEC2/ERC1/ADGRL1/ERBB4/ERBB3/EPHB2/EPHA4/EFNB3/DBN1/RIMS4/ADORA1/CNR2/CLCN2/AP2M1/GRIN3B/GRIN3A/CSMD2/CHRNG/CHRNB4/CHRNA7/CHRNA3/CHRM4/CHRM3/IL1RAPL1/SEMA4B/UNC13B/BAIAP2/AKAP9/CDH8/OTOF/HTR3B/CASR/SLC1A7/GRM7/HTR3E/GPM6A/CNTN6/GABRR3/CHRNA2/CHRM2"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","2","GOCC_RIBOSOMAL_SUBUNIT","GOCC_RIBOSOMAL_SUBUNIT","-1.961012996303413","0.0002118580981303490","0.07659516600982878","0.04991768379911607","118","183","0.6448087431693990","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"MRPL44/MRPL1/MRPL32/MRPL40/MRPS6/MRPS9/MRPS15/MRPS24/MRPS14/RPS29/RPS27A/RPS27/RPS26/RPS25/RPS24/RPS23/RPS21/RPS20/RPS19/RPS18/RPS15A/RPS14/RPS13/RPS11/RPS10/RPS8/RPS7/RPS6/RPS4X/RPS3A/RPS2/RPL39/RPL38/RPL37A/RPL37/RPL36AL/RPL35A/RPL34/RPL32/RPL31/RPL29/RPL27A/RPL30/RPL27/RPL24/RPL23A/RPL21/RPL19/RPL18/RPL11/RPL9/RPL7A/RPL7/RPL6/RPL5/RPL4/MRPL47/MRPS22/MRPS10/MRPS18A/MRPL20/MRPL16/MRPL50/MRPL39/MRPS33/MRPS23/MRPL48/MRPS17/MRPL51/RPL26L1/MRPS7/NPM1/RPSA2/MRPL58/MRPL22/MRPL13/RPL13A/MRPS27/CHCHD1/RPL39L/MRPL54/RACK1/MRPS31/MRPL45/MRPL57/MRPL11/MRPL38/MRPS5/MRPS11/MRPS25/RPS17/RPS12/RPL36A/RPL41/RPL26/RPL22/RPL15/RPL10/RPL3L/MRPS35/PTCD3/DHX29/MRPS21/ZCCHC17/MRPL35/MRPL30/MRPL37/RPS27L/MRPS18C/RPL10A/RPSA/MRPL18/MRPL42/RPL7L1/MRPL21/LARP4/MRPL3/MRPS30","MRPL44/MRPL1/MRPL32/MRPL40/MRPS6/MRPS9/MRPS15/MRPS24/MRPS14/RPS29/RPS27A/RPS27/RPS26/RPS25/RPS24/RPS23/RPS21/RPS20/RPS19/RPS18/RPS15A/RPS14/RPS13/RPS11/RPS10/RPS8/RPS7/RPS6/RPS4X/RPS3A/RPS2/RPL39/RPL38/RPL37A/RPL37/RPL36AL/RPL35A/RPL34/RPL32/RPL31/RPL29/RPL27A/RPL30/RPL27/RPL24/RPL23A/RPL21/RPL19/RPL18/RPL11/RPL9/RPL7A/RPL7/RPL6/RPL5/RPL4/MRPL47/MRPS22/MRPS10/MRPS18A/MRPL20/MRPL16/MRPL50/MRPL39/MRPS33/MRPS23/MRPL48/MRPS17/MRPL51/RPL26L1/MRPS7/NPM1/RPSA2/MRPL58/MRPL22/MRPL13/RPL13A/MRPS27/CHCHD1/RPL39L/MRPL54/RACK1/MRPS31/MRPL45/MRPL57/MRPL11/MRPL38/MRPS5/MRPS11/MRPS25/RPS17/RPS12/RPL36A/RPL41/RPL26/RPL22/RPL15/RPL10/RPL3L/MRPS35/PTCD3/DHX29/MRPS21/ZCCHC17/MRPL35/MRPL30/MRPL37/RPS27L/MRPS18C/RPL10A/RPSA/MRPL18/MRPL42/RPL7L1/MRPL21/LARP4/MRPL3/MRPS30"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","3","GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE","GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE","-2.114618141368218","0.0002957776522802171","0.07659516600982878","0.04991768379911607","32","64","0.5000000000000000","0.000000000000000000","6","3","0.09375000000000000","0.093750000000000000","0.011952191235059761","0.664066738115084543","0.178942431255951495","Keep","GOCC_SYNAPTIC_MEMBRANE","GOCC_SYNAPTIC_MEMBRANE",FALSE,"VMA12/COPB1/CNGA4/SPPL3/KDELR3/KDELR1/CFTR/CSPG5/AP1M2/CNGB1/ITM2B/AP1S2/SPPL2A/NCALD/CLTCL1/GOPC/AFTPH/ZDHHC13/ARCN1/RHOQ/ZDHHC17/COPZ1/DIPK2A/AP1S3/CNGA2/CLTA/AP1S1/SYNRG/STON1/KDELR2/TMED2/AP4B1","VMA12/COPB1/CNGA4/SPPL3/KDELR3/KDELR1/CFTR/CSPG5/AP1M2/CNGB1/ITM2B/AP1S2/SPPL2A/NCALD/CLTCL1/GOPC/AFTPH/ZDHHC13/ARCN1/RHOQ/ZDHHC17/COPZ1/DIPK2A/AP1S3/CNGA2/CLTA/AP1S1/SYNRG/STON1/KDELR2/TMED2/AP4B1"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","4","GOCC_SMALL_RIBOSOMAL_SUBUNIT","GOCC_SMALL_RIBOSOMAL_SUBUNIT","-2.065153473379024","0.0003853550632740632","0.07659516600982878","0.04991768379911607","54","74","0.7297297297297297","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"MRPS6/MRPS9/MRPS15/MRPS24/MRPS14/RPS29/RPS27A/RPS27/RPS26/RPS25/RPS24/RPS23/RPS21/RPS20/RPS19/RPS18/RPS15A/RPS14/RPS13/RPS11/RPS10/RPS8/RPS7/RPS6/RPS4X/RPS3A/RPS2/MRPS22/MRPS10/MRPS18A/MRPS33/MRPS23/MRPS17/MRPS7/NPM1/RPSA2/MRPS27/CHCHD1/RACK1/MRPS31/MRPS5/MRPS11/MRPS25/RPS17/RPS12/MRPS35/PTCD3/DHX29/MRPS21/RPS27L/MRPS18C/RPSA/MRPL42/LARP4","MRPS6/MRPS9/MRPS15/MRPS24/MRPS14/RPS29/RPS27A/RPS27/RPS26/RPS25/RPS24/RPS23/RPS21/RPS20/RPS19/RPS18/RPS15A/RPS14/RPS13/RPS11/RPS10/RPS8/RPS7/RPS6/RPS4X/RPS3A/RPS2/MRPS22/MRPS10/MRPS18A/MRPS33/MRPS23/MRPS17/MRPS7/NPM1/RPSA2/MRPS27/CHCHD1/RACK1/MRPS31/MRPS5/MRPS11/MRPS25/RPS17/RPS12/MRPS35/PTCD3/DHX29/MRPS21/RPS27L/MRPS18C/RPSA/MRPL42/LARP4"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","5","GOCC_COMPLEX_OF_COLLAGEN_TRIMERS","GOCC_COMPLEX_OF_COLLAGEN_TRIMERS","2.193980686667174","0.0003973841485548099","0.07659516600982878","0.04991768379911607","28","33","0.8484848484848485","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"COL27A1/COL14A1/COL11A2/COL9A3/COL8A2/COL6A2/COL5A1/COL4A2/COL3A1/COL2A1/COL1A2/COL1A1/COL6A5/COL8A1/COL5A3/COL24A1/COL16A1/COL12A1/COL10A1/COL9A2/COL7A1/COL6A3/COL6A1/COL4A6/COL4A5/COL4A4/COL4A3/COL4A1","COL27A1/COL14A1/COL11A2/COL9A3/COL8A2/COL6A2/COL5A1/COL4A2/COL3A1/COL2A1/COL1A2/COL1A1/COL6A5/COL8A1/COL5A3/COL24A1/COL16A1/COL12A1/COL10A1/COL9A2/COL7A1/COL6A3/COL6A1/COL4A6/COL4A5/COL4A4/COL4A3/COL4A1"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","6","GOCC_SPLICEOSOMAL_COMPLEX","GOCC_SPLICEOSOMAL_COMPLEX","-1.784485773128373","0.0004492385103215764","0.07659516600982878","0.04991768379911607","131","219","0.5981735159817352","0.007575757575757576","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"PSME3IP1/SNIP1/PRKRIP1/DHX40/ARMC7/NKAP/RNF113A/SNRPG/SNRPF/SNRPD2/SNRPD1/SNRPB2/SNRPA1/SNRPA/SRSF1/LSM2/CWC22/CTNNBL1/ZMAT5/PRPF40A/RNPC3/ZCCHC8/RBM41/CWF19L1/DNAJC17/PRPF38B/MAGOHB/PRPF39/CWC25/PNN/C9orf78/SF3B6/RBMX2/CWC15/CRNKL1/YBX1/NCL/MAGOH/LGALS3/RBM44/IK/CENATAC/HNRNPU/HNRNPK/HNRNPC/HNRNPA2B1/HNRNPA1/HTATSF1/RBMX/LSM3/FAM32A/SYF2/LSM4/PRPF40B/FRG1/PPIL2/SF3B1/PPWD1/KIN/SNW1/HNRNPA3/U2AF1L4/DHX15/DQX1/DDX5/CWF19L2/CLNS1A/LSM6/SF3A3/SLU7/PPIH/PPIE/BCAS2/CWC27/SF3B4/SRRM1/RBM5/PDCD7/RNF113B/RBM8A/CDC5L/SNRNP40/PRPF4/PRPF38A/PHF5A/RBM48/ZRSR2/SNRNP25/DDX39B/GCFC2/SNRPE/SNRPD3/SNRPC/TRA2B/RHEB/PTBP2/ISY1/RBM22/LUC7L/RBM28/PPP1R8/GPATCH1/TXNL4B/PPIL3/PLRG1/LUC7L3/LSM8/PPIL1/LUC7L2/WAC/RBMXL1/SNU13/MFAP1/HNRNPH3/TRA2A/PABPC1/BCLAF3/LSM5/MTREX/KHDC4/SNRNP48/ZMAT2/SREK1/WBP4/SNRNP27/SF3B2/USP39/IVNS1ABP/SYNCRIP/SMNDC1/HNRNPR","PSME3IP1/SNIP1/PRKRIP1/DHX40/ARMC7/NKAP/RNF113A/SNRPG/SNRPF/SNRPD2/SNRPD1/SNRPB2/SNRPA1/SNRPA/SRSF1/LSM2/CWC22/CTNNBL1/ZMAT5/PRPF40A/RNPC3/ZCCHC8/RBM41/CWF19L1/DNAJC17/PRPF38B/MAGOHB/PRPF39/CWC25/PNN/C9orf78/SF3B6/RBMX2/CWC15/CRNKL1/YBX1/NCL/MAGOH/LGALS3/RBM44/IK/CENATAC/HNRNPU/HNRNPK/HNRNPC/HNRNPA2B1/HNRNPA1/HTATSF1/RBMX/LSM3/FAM32A/SYF2/LSM4/PRPF40B/FRG1/PPIL2/SF3B1/PPWD1/KIN/SNW1/HNRNPA3/U2AF1L4/DHX15/DQX1/DDX5/CWF19L2/CLNS1A/LSM6/SF3A3/SLU7/PPIH/PPIE/BCAS2/CWC27/SF3B4/SRRM1/RBM5/PDCD7/RNF113B/RBM8A/CDC5L/CIRSR/SNRNP40/PRPF4/PRPF38A/PHF5A/RBM48/ZRSR2/SNRNP25/DDX39B/GCFC2/SNRPE/SNRPD3/SNRPC/TRA2B/RHEB/PTBP2/ISY1/RBM22/LUC7L/RBM28/PPP1R8/GPATCH1/TXNL4B/PPIL3/PLRG1/LUC7L3/LSM8/PPIL1/LUC7L2/WAC/RBMXL1/SNU13/MFAP1/HNRNPH3/TRA2A/PABPC1/BCLAF3/LSM5/MTREX/KHDC4/SNRNP48/ZMAT2/SREK1/WBP4/SNRNP27/SF3B2/USP39/IVNS1ABP/SYNCRIP/SMNDC1/HNRNPR"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","7","GOCC_SOLID_PHASE_OF_INTERSTITIAL_MATRIX","GOCC_SOLID_PHASE_OF_INTERSTITIAL_MATRIX","2.127652467487191","0.0009912414446910604","0.14486285684556496","0.09440828526079061","11","22","0.5000000000000000","0.000000000000000000","21","11","1.00000000000000000","0.954545454545454586","0.617647058823529438","0.500000000000000444","1.000000000000000000","Keep","GOCC_COMPLEX_OF_COLLAGEN_TRIMERS","GOCC_COMPLEX_OF_COLLAGEN_TRIMERS",FALSE,"COL27A1/COL14A1/COL11A2/COL9A3/COL8A2/COL5A1/COL3A1/COL2A1/COL1A2/COL1A1/COL8A1","COL27A1/COL14A1/COL11A2/COL9A3/COL8A2/COL5A1/COL3A1/COL2A1/COL1A2/COL1A1/COL8A1"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","8","GOCC_INTERSTITIAL_MATRIX","GOCC_INTERSTITIAL_MATRIX","2.078808068620205","0.0014707373210343497","0.14968554923066962","0.09755127255465151","14","31","0.4516129032258064","0.000000000000000000","21","11","0.78571428571428570","0.677419354838709631","0.488372093023255793","0.217600876980864388","1.000000000000000000","Keep","GOCC_COMPLEX_OF_COLLAGEN_TRIMERS","GOCC_COMPLEX_OF_COLLAGEN_TRIMERS",FALSE,"COL27A1/COL14A1/VWA1/TNC/CCDC80/COL11A2/COL9A3/COL8A2/COL5A1/COL3A1/COL2A1/COL1A2/COL1A1/COL8A1","COL27A1/COL14A1/VWA1/TNC/CCDC80/COL11A2/COL9A3/COL8A2/COL5A1/COL3A1/COL2A1/COL1A2/COL1A1/COL8A1"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","10","GOCC_RESPIRATORY_CHAIN_COMPLEX","GOCC_RESPIRATORY_CHAIN_COMPLEX","-1.878722605337280","0.0018555843201281479","0.14968554923066962","0.09755127255465151","61","114","0.5350877192982456","0.016129032258064516","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"UQCRFS1/UQCRC2/UQCRB/SURF1/SDHC/SDHB/NDUFA12/NDUFB11/ATP5PO/ATP5PF/ATP5MC3/ATP5F1E/ATP5F1C/ATP5F1B/NDUFV3/NDUFV2/NDUFS5/NDUFS4/NDUFS3/NDUFC2/NDUFB10/NDUFB9/NDUFB6/NDUFB4/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA8/NDUFA6/NDUFA5/UQCR10/UQCRQ/COX7B2/COX7C/COX7A2/COX6B1/COX6A1/UQCR11/ATP5PD/ATP5MF/ATP5MK/STMP1/SDHD/ATP5ME/ATP5MC2/ATP5MC1/ATP5PB/NDUFS6/NDUFC1/NDUFB8/NDUFB5/NDUFA9/NDUFA7/NDUFA3/COX8C/COX15/COX8A/COX7B/ATP5MG","UQCRFS1/UQCRC2/UQCRB/SURF1/SDHC/SDHB/COXFA4L2/NDUFA12/NDUFB11/ATP5PO/ATP5PF/ATP5MC3/ATP5F1E/ATP5F1C/ATP5F1B/NDUFV3/NDUFV2/NDUFS5/NDUFS4/NDUFS3/NDUFC2/NDUFB10/NDUFB9/NDUFB6/NDUFB4/NDUFB3/NDUFB2/NDUFB1/NDUFAB1/NDUFA10/NDUFA8/NDUFA6/NDUFA5/UQCR10/UQCRQ/COX7B2/COX7C/COX7A2/COX6B1/COX6A1/UQCR11/ATP5PD/ATP5MF/ATP5MK/STMP1/SDHD/ATP5ME/ATP5MC2/ATP5MC1/ATP5PB/NDUFS6/NDUFC1/NDUFB8/NDUFB5/NDUFA9/NDUFA7/NDUFA3/COX8C/COX15/COX8A/COX7B/ATP5MG"
"GSE282081","ATF3_correlation","3D_organoid_J2_hepatocyte","GO_CC","11","GOCC_MICROFIBRIL","GOCC_MICROFIBRIL","2.057736432786041","0.0019514182923534664","0.14968554923066962","0.09755127255465151","7","13","0.5384615384615384","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"FBN3/LTBP4/ADAMTS10/MFAP4/MFAP2/FBN2/FBN1","FBN3/LTBP4/ADAMTS10/MFAP4/MFAP2/FBN2/FBN1"
