"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","1","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION","-2.299489381405039","0.000000000100000000000000","0.0000002421666666666667","0.0000001358583492695634","86","177","0.48587570621468928","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000000000000","0.00000000000000000000000","Keep","itself","",TRUE,"RPS6/RPL7/EIF3A/EIF4G1/LIN28A/PKP1/RPL24/MCTS2/RPS28/RPSA2/RPS25/EIF2S3B/CPEB4/FTSJ1/RPS24/PABPC1/YBX3/RPL27/EIF3B/RPS29/RPL23A/RPL28/RPS21/RPS3A/RPL37A/RBM24/RPL39/RPL18/RPS15/RPL23/RPL30/UBA52/RPL36/RPLP1/RPL32/EIF3E/RPL38/EIF3K/RPS7/YBX1/FAU/ZNF385A/MTOR/RPS4X/RPL27A/RPS9/RPLP2/RPL35/EIF3D/RPS23/RPLP0/RPS18/RPS8/RPL12/RPL29/RPL14/RPL10A/RPL10/RPS5/RPL13/RPL8/RPL7A/EIF3L/EIF2S3/RPL5/RPS14/RPS16/RPS2/PKM/EIF2S2/RPL19/RPL18A/RPS11/GAPDH/RPS19/RACK1/IGF2BP1/RPL3/EEF2/RPS3/RPSA/RPL4/RPL13A/EPRS1/SARS1/AARS1","RPS6/RPL7/EIF3A/EIF4G1/LIN28A/PKP1/RPL24/MCTS2/RPS28/RPSA2/RPS25/EIF2S3B/CPEB4/FTSJ1/RPS24/PABPC1/YBX3/RPL27/EIF3B/RPS29/RPL23A/RPL28/RPS21/RPS3A/RPL37A/RBM24/RPL39/RPL18/RPS15/RPL23/RPL30/UBA52/RPL36/RPLP1/RPL32/EIF3E/RPL38/EIF3K/RPS7/YBX1/FAU/ZNF385A/MTOR/RPS4X/RPL27A/RPS9/RPLP2/RPL35/EIF3D/RPS23/RPLP0/RPS18/RPS8/RPL12/RPL29/RPL14/RPL10A/RPL10/RPS5/RPL13/RPL8/RPL7A/EIF3L/EIF2S3/RPL5/RPS14/RPS16/RPS2/PKM/EIF2S2/RPL19/RPL18A/RPS11/GAPDH/RPS19/RACK1/IGF2BP1/RPL3/EEF2/RPS3/RPSA/RPL4/RPL13A/EPRS1/SARS1/AARS1"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","2","GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS","GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS","2.037561306763909","0.000000000100000000000000","0.0000002421666666666667","0.0000001358583492695634","110","371","0.29649595687331537","0.000000000000000000","10","5","0.04545454545454546","0.026954177897574125","0.018587360594795540","0.1412631011621169607739290086","0.59060153209137666863171","Keep","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION",FALSE,"HSPA8/HNRNPH1/DDX5/RSRP1/SRSF5/ARGLU1/LUC7L3/SRSF6/SRSF10/SRSF7/DDX17/RBM39/RBM14/SRSF1/PRPF39/RBM25/DDX39B/TRA2A/RBM5/SRSF2/CCNL1/TIA1/RBM4B/SFPQ/KHDC4/TRA2B/CCNL2/NCBP2/GEMIN8/PNN/PRP4K/RBM8A/CIRBP/METTL3/SRSF3/CENATAC/LUC7L/AAR2/PRPF38A/CELF2/SNRPD3/TIAL1/RBM6/SRRM2/CWC25/U2AF1L4/DBR1/DDX42/PRPF40A/PTBP2/SNRNP70/SON/RBM22/TFIP11/FMR1/DYRK1A/MPHOSPH10/RBMX/HNRNPU/CD2BP2/WTAP/METTL14/HNRNPA3/HNRNPK/SNIP1/LSM8/RNPC3/PRKRIP1/RBM4/PRPF3/SAP18/HTATSF1/PSIP1/NOVA1/ZC3H14/YJU2B/SRRM1/COIL/RBM48/ZRSR2/CELF5/CELF4/SMN1/CASC3/WDR77/CRNKL1/ZNF830/HNRNPUL2/MFAP1/RBM7/LSM5/RBMX2/GPATCH1/LUC7L2/SF1/LSM6/EIF4A3/AQR/SRSF8/THUMPD2/DDX20/CWC15/BUD13/PRPF4/GEMIN7/RBM41/PPIE/PPIL3/ACIN1/INTS15","HSPA8/HNRNPH1/DDX5/RSRP1/SRSF5/ARGLU1/LUC7L3/SRSF6/SRSF10/SRSF7/DDX17/RBM39/RBM14/SRSF1/PRPF39/RBM25/DDX39B/TRA2A/RBM5/SRSF2/CCNL1/TIA1/RBM4B/SFPQ/KHDC4/TRA2B/CCNL2/NCBP2/GEMIN8/PNN/PRP4K/RBM8A/CIRBP/METTL3/SRSF3/CENATAC/LUC7L/AAR2/PRPF38A/CELF2/SNRPD3/TIAL1/RBM6/SRRM2/CWC25/U2AF1L4/DBR1/DDX42/PRPF40A/PTBP2/SNRNP70/SON/RBM22/TFIP11/FMR1/DYRK1A/MPHOSPH10/RBMX/HNRNPU/CD2BP2/WTAP/METTL14/HNRNPA3/HNRNPK/SNIP1/LSM8/RNPC3/PRKRIP1/RBM4/PRPF3/SAP18/HTATSF1/PSIP1/NOVA1/ZC3H14/YJU2B/SRRM1/COIL/RBM48/ZRSR2/CELF5/CELF4/SMN1/CASC3/WDR77/CRNKL1/ZNF830/HNRNPUL2/MFAP1/RBM7/LSM5/RBMX2/GPATCH1/LUC7L2/SF1/LSM6/EIF4A3/AQR/SRSF8/THUMPD2/DDX20/CWC15/BUD13/PRPF4/GEMIN7/RBM41/PPIE/PPIL3/ACIN1/INTS15"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","3","GOBP_RNA_SPLICING","GOBP_RNA_SPLICING","1.978493561688565","0.000000000100000000000000","0.0000002421666666666667","0.0000001358583492695634","143","499","0.28657314629258518","0.000000000000000000","13","6","0.04195804195804196","0.026052104208416832","0.019607843137254902","0.1360165315470343583292844869","0.67954052725589220163016","Keep","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION",FALSE,"HSPA8/HNRNPH1/DDX5/RSRP1/SRSF5/ARGLU1/LUC7L3/SRSF6/SRSF10/SRSF7/DDX17/RBM39/RBM14/SREK1/SRSF1/POLR2A/PRPF39/RBM25/CLK1/DDX39B/TRA2A/RBM5/SRSF2/CCNL1/TIA1/RBM4B/SFPQ/FUS/SRSF11/KHDC4/TRA2B/CLK2/CCNL2/NCBP2/GEMIN8/PNN/PRP4K/RBM8A/FASTK/ENY2/ZNF638/CIRBP/METTL3/SRSF3/CENATAC/ZNF326/LUC7L/TARDBP/AAR2/PRPF38A/CELF2/HNRNPH2/PRPF38B/TRPT1/IVNS1ABP/SNRPD3/TIAL1/KAT2A/AFF2/RBM6/SRRM2/CWC25/U2AF1L4/CLK4/DBR1/TADA3/DDX42/TSEN54/PRPF40A/PTBP2/SNRNP70/SON/THOC1/SUPT7L/RBM22/TFIP11/FMR1/DYRK1A/MPHOSPH10/RBMX/ZRANB2/CLASRP/HNRNPU/CD2BP2/WTAP/METTL14/HNRNPA3/SUGP2/HNRNPK/PPP4R2/RPS26/TAF10/SNIP1/LSM8/RNPC3/PRKRIP1/RBM4/GRSF1/TADA1/PRPF3/LGALS3/NRDE2/SAP18/HTATSF1/PSIP1/NOVA1/ZC3H14/TAF6L/ANGEL2/YJU2B/SRRM1/COIL/HSPA1A/RBM48/NONO/ZRSR2/CELF5/CELF4/SUPT20H/SMN1/WT1/SGF29/CASC3/WDR77/CRNKL1/ZNF830/HNRNPUL2/MFAP1/RBM7/LSM5/RBMX2/GPATCH1/ILDR1/PPIG/LUC7L2/SF1/LSM6/EIF4A3/THOC6/AQR/SRSF8/THUMPD2/DDX20","HSPA8/HNRNPH1/DDX5/RSRP1/SRSF5/ARGLU1/LUC7L3/SRSF6/SRSF10/SRSF7/DDX17/RBM39/RBM14/SREK1/SRSF1/POLR2A/PRPF39/RBM25/CLK1/DDX39B/TRA2A/RBM5/SRSF2/CCNL1/TIA1/RBM4B/SFPQ/FUS/SRSF11/KHDC4/TRA2B/CLK2/CCNL2/NCBP2/GEMIN8/PNN/PRP4K/RBM8A/FASTK/ENY2/ZNF638/CIRBP/METTL3/SRSF3/CENATAC/ZNF326/LUC7L/TARDBP/AAR2/PRPF38A/CELF2/HNRNPH2/PRPF38B/TRPT1/IVNS1ABP/SNRPD3/TIAL1/KAT2A/AFF2/RBM6/SRRM2/CWC25/U2AF1L4/CLK4/DBR1/TADA3/DDX42/TSEN54/PRPF40A/PTBP2/SNRNP70/SON/THOC1/SUPT7L/RBM22/TFIP11/FMR1/DYRK1A/MPHOSPH10/RBMX/ZRANB2/CLASRP/HNRNPU/CD2BP2/WTAP/METTL14/HNRNPA3/SUGP2/HNRNPK/PPP4R2/RPS26/TAF10/SNIP1/LSM8/RNPC3/PRKRIP1/RBM4/GRSF1/TADA1/PRPF3/LGALS3/NRDE2/SAP18/HTATSF1/PSIP1/NOVA1/ZC3H14/TAF6L/ANGEL2/YJU2B/SRRM1/COIL/HSPA1A/RBM48/NONO/ZRSR2/CELF5/CELF4/SUPT20H/SMN1/WT1/SGF29/CASC3/WDR77/CRNKL1/ZNF830/HNRNPUL2/MFAP1/RBM7/LSM5/RBMX2/GPATCH1/ILDR1/PPIG/LUC7L2/SF1/LSM6/EIF4A3/THOC6/AQR/SRSF8/THUMPD2/DDX20"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","4","GOBP_MYOBLAST_FUSION","GOBP_MYOBLAST_FUSION","-2.299794955088398","0.000000003472863788995876","0.0000063075888567637609","0.0000035386315620826584","42","92","0.45652173913043476","0.000000000000000000","45","30","0.71428571428571430","0.489130434782608703","0.200892857142857151","0.0000733367855416392410913828","0.00403010744399236869873","Keep","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION",TRUE,"DOCK1/CD81/RPL27/CACNA1H/RPL23A/RPL28/CDON/RPL37A/RPL39/RPL18/RPL23/RPL30/UBA52/RPL36/RPLP1/RPL32/RPL38/PTGFRN/NPHS1/RPL27A/RPLP2/RPL35/RPLP0/RPL12/RPL29/RPL14/DOCK5/RPL10A/RPL10/RPL13/RPL8/RPL7A/RPL5/RPL19/RPL18A/ADAMTS15/GDF15/TANC1/CAPN2/RPL4/RPL13A/MYH9","DOCK1/CD81/RPL27/CACNA1H/RPL23A/RPL28/CDON/RPL37A/RPL39/RPL18/RPL23/RPL30/UBA52/RPL36/RPLP1/RPL32/RPL38/PTGFRN/NPHS1/RPL27A/RPLP2/RPL35/RPLP0/RPL12/RPL29/RPL14/DOCK5/RPL10A/RPL10/RPL13/RPL8/RPL7A/RPL5/RPL19/RPL18A/ADAMTS15/GDF15/TANC1/CAPN2/RPL4/RPL13A/MYH9"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","5","GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME","GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME","2.461315171928916","0.000000004348020772817578","0.0000063176741829039411","0.0000035442895487086043","27","70","0.38571428571428573","0.000000000000000000","4","3","0.11111111111111110","0.057142857142857141","0.016460905349794240","0.1563156086574798986355006036","0.28935497582487640366722","Keep","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION",FALSE,"DDX5/SRSF5/ARGLU1/SRSF6/SRSF10/SRSF7/DDX17/RBM14/SRSF1/RBM25/RBM5/SRSF2/TIA1/RBM4B/TRA2B/RBM8A/SRSF3/CELF2/TIAL1/FMR1/DYRK1A/RBMX/HNRNPU/WTAP/RBM4/SAP18/NOVA1","DDX5/SRSF5/ARGLU1/SRSF6/SRSF10/SRSF7/DDX17/RBM14/SRSF1/RBM25/RBM5/SRSF2/TIA1/RBM4B/TRA2B/RBM8A/SRSF3/CELF2/TIAL1/FMR1/DYRK1A/RBMX/HNRNPU/WTAP/RBM4/SAP18/NOVA1"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","8","GOBP_REGULATION_OF_CELL_MORPHOGENESIS","GOBP_REGULATION_OF_CELL_MORPHOGENESIS","-2.010684034742772","0.000000011152194788668814","0.0000101275868924598641","0.0000056816954052043962","55","246","0.22357723577235772","0.000000000000000000","2","1","0.01818181818181818","0.008130081300813009","0.005952380952380952","0.3978762236601958157677927375","0.70735785953177254814506","Keep","GOBP_MYOBLAST_FUSION","GOBP_MYOBLAST_FUSION",FALSE,"NF2/DBN1/DVL1/EEF2K/KIT/SEMA4D/ANKRD27/SRC/CFL1/CLDN3/PLXNB2/CDC42EP3/PARVB/ARHGAP18/ARAP1/RAC2/RHOU/EZR/C15orf62/CYFIP1/HEXB/CUX1/CUX2/RREB1/NHERF1/CORO1B/CORO1C/ARHGAP35/FAM171A1/ANXA1/IL1RAPL1/MYO10/SYT1/CDC42EP4/NEDD4L/SH3KBP1/VIL1/FGD5/MYH10/PRKDC/MACF1/SLC23A2/MYH14/CLDN4/PLXND1/VEGFA/DNMBP/PALM/MYH9/SYNE3/PALM2AKAP2/CDC42EP1/MSN/WNT5A/FN1","NF2/DBN1/DVL1/EEF2K/KIT/SEMA4D/ANKRD27/SRC/CFL1/CLDN3/PLXNB2/CDC42EP3/PARVB/ARHGAP18/ARAP1/RAC2/RHOU/EZR/C15orf62/CYFIP1/HEXB/CUX1/CUX2/RREB1/NHERF1/CORO1B/CORO1C/ARHGAP35/FAM171A1/ANXA1/IL1RAPL1/MYO10/SYT1/CDC42EP4/NEDD4L/SH3KBP1/VIL1/FGD5/MYH10/PRKDC/MACF1/SLC23A2/MYH14/CLDN4/PLXND1/VEGFA/DNMBP/PALM/MYH9/SYNE3/PALM2AKAP2/CDC42EP1/MSN/WNT5A/FN1"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","9","GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION","GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION","-2.315704405000158","0.000000038419457680322402","0.0000310130400052824621","0.0000173986803342681647","30","50","0.59999999999999998","0.000000000000000000","45","30","1.00000000000000000","0.900000000000000022","0.247252747252747263","0.0073174875870792308388268488","0.00403010744399236869873","Keep","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION",TRUE,"RPL27/RPL23A/RPL28/RPL37A/RPL39/RPL18/RPL23/RPL30/UBA52/RPL36/RPLP1/RPL32/RPL38/RPL27A/RPLP2/RPL35/RPLP0/RPL12/RPL29/RPL14/RPL10A/RPL10/RPL13/RPL8/RPL7A/RPL5/RPL19/RPL18A/RPL4/RPL13A","RPL27/RPL23A/RPL28/RPL37A/RPL39/RPL18/RPL23/RPL30/UBA52/RPL36/RPLP1/RPL32/RPL38/RPL27A/RPLP2/RPL35/RPLP0/RPL12/RPL29/RPL14/RPL10A/RPL10/RPL13/RPL8/RPL7A/RPL5/RPL19/RPL18A/RPL4/RPL13A"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","12","GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS","GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS","-2.043229583943206","0.000000143542588618441325","0.0000869030755260813382","0.0000487536478489536407","57","182","0.31318681318681318","0.000000000000000000","5","3","0.05263157894736842","0.027472527472527472","0.014124293785310734","0.1780544265084813282395970191","0.47322565526823590076333","Keep","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION",FALSE,"INSR/NNT/PGD/PRKAA2/PFKP/FOXK2/STAT3/ME2/ZBTB20/FLCN/ARL2/ALDOA/ASPDH/NAMPT/GIT1/BCL2L13/PRPS2/NADK/SLC25A12/HDAC4/PARP14/PRKAG2/HAAO/LDHA/GALK1/LDHB/APP/TPI1/G6PD/ACO1/MTOR/MDH2/UCP2/OGDH/GOT2/NCOR1/GPD1L/PGK1/HK1/HKDC1/IER3/QPRT/RPTOR/ALPL/PKM/GPI/GAPDH/COL6A1/PFKM/FOXK1/PC/ENO1/IDH1/ALDH1L2/TKT/PSAT1/DDIT4","INSR/NNT/PGD/PRKAA2/PFKP/FOXK2/STAT3/ME2/ZBTB20/FLCN/ARL2/ALDOA/ASPDH/NAMPT/GIT1/BCL2L13/PRPS2/NADK/SLC25A12/HDAC4/PARP14/PRKAG2/HAAO/LDHA/GALK1/LDHB/APP/TPI1/G6PD/ACO1/MTOR/MDH2/UCP2/OGDH/GOT2/NCOR1/GPD1L/PGK1/HK1/HKDC1/IER3/QPRT/RPTOR/ALPL/PKM/GPI/GAPDH/COL6A1/PFKM/FOXK1/PC/ENO1/IDH1/ALDH1L2/TKT/PSAT1/DDIT4"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","14","GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT","GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT","-1.778562160865690","0.000000176283033370663396","0.0000914783026741335396","0.0000513204041099350460","106","439","0.24145785876993167","0.000000000000000000","55","17","0.16037735849056603","0.125284738041002291","0.087301587301587297","0.1396068728288746285670640646","0.06387717738793889654669","Keep","GOBP_REGULATION_OF_CELL_MORPHOGENESIS","GOBP_REGULATION_OF_CELL_MORPHOGENESIS",FALSE,"LPAR3/BTN2A2/ARID1B/ARID2/MEGF8/ZBTB46/PRKCZ/PRKCA/ID2/EPHA4/PRKCI/HAX1/RND2/SEMA7A/SIRT2/ACTB/PRMT5/BRD4/GOLGA4/MAPT/RHEB/AP3B1/NRDC/ZBTB7B/SHB/SKIL/BMPR2/MAP2K1/DBN1/EEF2K/KIT/SEMA4D/ANKRD27/STAT5B/GATA3/AMBRA1/LGALS1/XRCC6/KLHL25/ZMIZ1/PLXNB2/TWF2/SMARCA2/MTOR/SPEN/NRP1/FOXO3/CUX1/MAP1B/CUX2/PPARGC1B/KDM1A/RASGRP1/CORO1C/QKI/VSIR/SOX4/TSPO/ROBO1/MAP2K2/GPER1/PAX6/BIN1/OPA1/ANXA1/AP3D1/LIF/IL1RAPL1/ITPKB/FOS/RPTOR/LYN/MMP14/TNFSF9/TESC/BMP4/AXL/NTN1/INPP5D/SMARCA4/XBP1/LIMK1/GLI2/AURKA/SERPINE2/MDK/PRKDC/ASPM/MACF1/MYRF/HES1/NOTCH2/SMAD7/PLXND1/TNFRSF1B/VEGFA/CCR1/TIAM1/NEDD9/ZAP70/ZFP36L1/L1CAM/TRPV2/GLI3/FN1/TGM2","LPAR3/BTN2A2/ARID1B/ARID2/MEGF8/ZBTB46/PRKCZ/PRKCA/ID2/EPHA4/PRKCI/HAX1/RND2/SEMA7A/SIRT2/ACTB/PRMT5/BRD4/GOLGA4/MAPT/RHEB/AP3B1/NRDC/ZBTB7B/SHB/SKIL/BMPR2/MAP2K1/DBN1/EEF2K/KIT/SEMA4D/ANKRD27/STAT5B/GATA3/AMBRA1/LGALS1/XRCC6/KLHL25/ZMIZ1/PLXNB2/TWF2/SMARCA2/MTOR/SPEN/NRP1/FOXO3/CUX1/MAP1B/CUX2/PPARGC1B/KDM1A/RASGRP1/CORO1C/QKI/VSIR/SOX4/TSPO/ROBO1/MAP2K2/GPER1/PAX6/BIN1/OPA1/ANXA1/AP3D1/LIF/IL1RAPL1/ITPKB/FOS/RPTOR/LYN/MMP14/TNFSF9/TESC/BMP4/AXL/NTN1/INPP5D/SMARCA4/XBP1/LIMK1/GLI2/AURKA/SERPINE2/MDK/PRKDC/ASPM/MACF1/MYRF/HES1/NOTCH2/SMAD7/PLXND1/TNFRSF1B/VEGFA/CCR1/TIAM1/NEDD9/ZAP70/ZFP36L1/L1CAM/TRPV2/GLI3/FN1/TGM2"
"GSE282081","Main_DE","2D_J2_coculture","GO_BP","15","GOBP_REGULATION_OF_CELL_SHAPE","GOBP_REGULATION_OF_CELL_SHAPE","-2.082445960319081","0.000000222899517822841937","0.0001079576664655297602","0.0000605655210887858569","36","142","0.25352112676056338","0.000000000000000000","14","7","0.19444444444444445","0.098591549295774641","0.024691358024691357","0.0331743120880760716806534560","0.02975013615898478361310","Keep","GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT","GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT",TRUE,"NF2/KIT/SEMA4D/CFL1/PLXNB2/CDC42EP3/PARVB/ARHGAP18/ARAP1/RAC2/RHOU/EZR/C15orf62/CYFIP1/HEXB/NHERF1/ARHGAP35/FAM171A1/ANXA1/MYO10/CDC42EP4/SH3KBP1/VIL1/FGD5/MYH10/MYH14/PLXND1/VEGFA/DNMBP/PALM/MYH9/SYNE3/PALM2AKAP2/CDC42EP1/MSN/FN1","NF2/KIT/SEMA4D/CFL1/PLXNB2/CDC42EP3/PARVB/ARHGAP18/ARAP1/RAC2/RHOU/EZR/C15orf62/CYFIP1/HEXB/NHERF1/ARHGAP35/FAM171A1/ANXA1/MYO10/CDC42EP4/SH3KBP1/VIL1/FGD5/MYH10/MYH14/PLXND1/VEGFA/DNMBP/PALM/MYH9/SYNE3/PALM2AKAP2/CDC42EP1/MSN/FN1"
