"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","1","MED16_TARGET_GENES","MED16_TARGET_GENES","-2.273069249733962","0.0000002880235496334423","0.00008611904134039925","0.00007982930581076686","9","47","0.1914893617021277","0.000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"HSPD1/RHOBTB3/CUEDC1/KMT2A/TAGLN2/TRIB3/H1-0/STC2/CHAC1","HSPD1/RHOBTB3/CUEDC1/KMT2A/TAGLN2/TRIB3/H1-0/STC2/CHAC1"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","2","NFXL1_TARGET_GENES","NFXL1_TARGET_GENES","-1.674445809562796","0.0000036265172804669010","0.00054216433342980160","0.00050256716400249647","103","473","0.2177589852008457","0.000","2","2","0.01941747572815534","0.004228329809725159","0.003861003861003861","0.047058085784928490","0.033302497687326536","Keep","MED16_TARGET_GENES","MED16_TARGET_GENES",TRUE,"EML2/MICAL3/ARID1B/CMBL/MAP3K8/FGFR4/KDM2B/H3C12/ERBIN/CCND2/PRSS8/SUCLG2/HOMER1/ATP8B3/SMG1/SLC25A6/PHF21A/CD99L2/RHOF/FBXL19/NUP155/TNRC18/H1-10/SCYL1/CHCHD6/CAMK2N1/MARK4/ABCB9/MAST1/ISL2/PDE8A/ADGRG1/BRIP1/SEMA4B/DBN1/RNPEP/HDGF/ACVR1/CDK18/TBC1D9/SRC/EGFL7/ACTN4/MYO18A/LZTS3/FCHO1/PNPLA6/INTS1/FKBP4/SAMD4A/GART/IGF2BP3/DNM1/RGS10/AHNAK/ALMS1/TBC1D1/PHLDB1/NCOA2/ABCA3/CDYL/MRC2/TUBA1C/SULF2/AKNA/TMEM164/OBSCN/PDE2A/RPS18/QKI/NFIC/ZCCHC24/PRSS33/TSC22D4/SAE1/GRAMD1A/EXPH5/ITGB7/EREG/SHISA5/FOS/SEPTIN9/H2AZ1/CCDC85C/WWC1/APOBEC3G/LYPD5/PRSS22/EPB41L1/COASY/LARP1/COL6A1/TTYH3/FRY/DUSP16/TNFRSF1B/SLC38A5/RGS9/FOSL2/TKT/H1-0/GLI3/STC2","EML2/MICAL3/ARID1B/CMBL/MAP3K8/FGFR4/KDM2B/H3C12/ERBIN/CCND2/PRSS8/SUCLG2/HOMER1/ATP8B3/SMG1/SLC25A6/PHF21A/CD99L2/RHOF/FBXL19/NUP155/TNRC18/H1-10/SCYL1/CHCHD6/CAMK2N1/MARK4/ABCB9/MAST1/ISL2/PDE8A/ADGRG1/BRIP1/SEMA4B/DBN1/RNPEP/HDGF/ACVR1/CDK18/TBC1D9/SRC/EGFL7/ACTN4/MYO18A/LZTS3/FCHO1/PNPLA6/INTS1/FKBP4/SAMD4A/GART/IGF2BP3/DNM1/RGS10/AHNAK/ALMS1/TBC1D1/PHLDB1/NCOA2/ABCA3/CDYL/MRC2/TUBA1C/SULF2/AKNA/TMEM164/OBSCN/PDE2A/RPS18/QKI/NFIC/ZCCHC24/PRSS33/TSC22D4/SAE1/GRAMD1A/EXPH5/ITGB7/EREG/SHISA5/FOS/SEPTIN9/H2AZ1/CCDC85C/WWC1/APOBEC3G/LYPD5/PRSS22/EPB41L1/COASY/LARP1/COL6A1/TTYH3/FRY/DUSP16/TNFRSF1B/SLC38A5/RGS9/FOSL2/TKT/H1-0/GLI3/STC2"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","3","NR0B1_TARGET_GENES","NR0B1_TARGET_GENES","-1.705815207368624","0.0000059619267006925074","0.00059420536116901992","0.00055080735633905218","73","379","0.1926121372031662","0.000","24","7","0.09589041095890410","0.063324538258575203","0.028985507246376812","0.156943321982754430","0.251054690094034194","Keep","NFXL1_TARGET_GENES","NFXL1_TARGET_GENES",FALSE,"NOL4L/UPP1/ETFA/ACTB/AIFM2/NELFB/SOCS3/EVA1C/RPH3AL/SLC25A6/FZD5/GPAT3/RUVBL1/MARK4/PRELID2/DUSP1/PLEKHM3/SEMA4B/CTBP2/TSEN15/KCTD3/GNB2/PSMD3/PPARG/PRSS23/SRC/KIF21A/ZMIZ1/ID1/SAMD4A/FAM171A2/TMSB10/IGF2BP3/PTPN11/STK35/RHOBTB3/ATXN2/EP400/USP3/SYNRG/NCOA2/SIK2/KMT2C/SLC1A4/PITPNC1/USP9X/CLTC/AGTPBP1/PACSIN3/KMT2A/CTH/AVPI1/AXL/SDK1/S100A2/EEIG2/GPRC5A/NR2F1/CD109/MET/GDF15/MED13L/CDC42BPA/CAPN2/TAGLN2/TBL1X/IDH1/MYC/IER2/SREBF1/TRIB3/ENAH/DDIT4","NOL4L/UPP1/ETFA/ACTB/AIFM2/NELFB/SOCS3/EVA1C/RPH3AL/SLC25A6/FZD5/GPAT3/RUVBL1/MARK4/PRELID2/DUSP1/PLEKHM3/SEMA4B/CTBP2/TSEN15/KCTD3/GNB2/PSMD3/PPARG/PRSS23/SRC/KIF21A/ZMIZ1/ID1/SAMD4A/FAM171A2/TMSB10/IGF2BP3/PTPN11/STK35/RHOBTB3/ATXN2/EP400/USP3/SYNRG/NCOA2/SIK2/KMT2C/SLC1A4/PITPNC1/USP9X/CLTC/AGTPBP1/PACSIN3/KMT2A/CTH/AVPI1/AXL/SDK1/S100A2/EEIG2/GPRC5A/NR2F1/CD109/MET/GDF15/MED13L/CDC42BPA/CAPN2/TAGLN2/TBL1X/IDH1/MYC/IER2/SREBF1/TRIB3/ENAH/DDIT4"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","5","NR1H4_TARGET_GENES","NR1H4_TARGET_GENES","-1.576725548152273","0.0002102431836292532820","0.01257254238102934601","0.01165430217211665086","92","435","0.2114942528735632","0.000","13","6","0.06521739130434782","0.029885057471264367","0.014525139664804470","0.036394409118761795","0.041863808973600106","Keep","NFXL1_TARGET_GENES","NFXL1_TARGET_GENES",TRUE,"PPAT/NTHL1/CAPN15/UBAC2/MFSD2B/ELFN1/ACTN1/CYFIP2/NOS1AP/LPCAT3/MLF2/COL4A2/NDRG2/WSB2/CDC34/PTP4A2/MPC1/AGPAT3/CHPT1/BAD/ASPDH/SNX3/NQO2/GUCD1/STK40/MAP3K8/TOM1/AJUBA/SLIT1/FRMD6/HPN/MPST/JUP/PHKA1/MAPKAP1/FBXL19/ITIH3/HIRA/CLPTM1L/ECH1/RGS3/GREB1L/SMPD1/DIXDC1/BAZ1B/SYBU/KLF13/SDC1/EFNA1/TTC7B/MYO18A/PNPLA6/TACC2/CELSR1/CAST/MTOR/UST/TOP1MT/PTMS/NRP1/PITPNM1/ZFP64/ICAM1/SELENBP1/SLC43A1/CHKA/HSPB1/NFIC/SREBF2/LTBP3/KMT2A/HSD17B2/SPG21/GPRC5C/SAA1/C2CD3/FASN/ELF3/NDST1/PLEC/CAPN2/TAGLN2/MPRIP/PPME1/ITGB5/TGFBI/SREBF1/FLNA/INHBE/IQGAP2/FLNB/DDIT4","PPAT/NTHL1/CAPN15/UBAC2/MFSD2B/ELFN1/ACTN1/CYFIP2/NOS1AP/LPCAT3/MLF2/COL4A2/NDRG2/WSB2/CDC34/PTP4A2/MPC1/AGPAT3/CHPT1/BAD/ASPDH/SNX3/NQO2/GUCD1/STK40/MAP3K8/TOM1/AJUBA/SLIT1/FRMD6/HPN/MPST/JUP/PHKA1/MAPKAP1/FBXL19/ITIH3/HIRA/CLPTM1L/ECH1/RGS3/GREB1L/SMPD1/DIXDC1/BAZ1B/SYBU/KLF13/SDC1/EFNA1/TTC7B/MYO18A/PNPLA6/TACC2/CELSR1/CAST/MTOR/UST/TOP1MT/PTMS/NRP1/PITPNM1/ZFP64/ICAM1/SELENBP1/SLC43A1/CHKA/HSPB1/NFIC/SREBF2/LTBP3/KMT2A/HSD17B2/SPG21/GPRC5C/SAA1/C2CD3/FASN/ELF3/NDST1/PLEC/CAPN2/TAGLN2/MPRIP/PPME1/ITGB5/TGFBI/SREBF1/FLNA/INHBE/IQGAP2/FLNB/DDIT4"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","7","PSMB5_TARGET_GENES","PSMB5_TARGET_GENES","-1.570737861754109","0.0006315765314677453677","0.02481471166006676138","0.02300236016199350489","59","311","0.1897106109324759","0.000","20","4","0.06779661016949153","0.064308681672025719","0.026178010471204188","0.547164931069881177","0.667186470372846507","Keep","NFXL1_TARGET_GENES","NFXL1_TARGET_GENES",FALSE,"JUNB/FSCN1/HSP90AA1/LGALS1/CFL1/PRDX1/RPLP1/ID1/RPL32/TPI1/CDC25C/TMSB10/FAU/AHNAK/NPM1/TRIM25/RPS9/TUBA1C/RPLP0/MKNK2/RPL12/AFF1/RPL10A/RPL10/JPT1/TRAF7/IER3/ARL4D/H2AZ1/LMNA/PMAIP1/ANLN/RPS2/PKM/RND3/COL1A1/CCN1/GAPDH/PPP1R15A/RPL3/EEF2/GADD45A/S100A6/RPSA/EMP1/RPL13A/CITED2/DYNC1H1/VEGFA/TMSB4X/ATF3/FLNA/FTL/ATF4/SERPINE1/EEF1A1/SLC38A2/STC2/DDIT4","JUNB/FSCN1/HSP90AA1/LGALS1/CFL1/PRDX1/RPLP1/ID1/RPL32/TPI1/CDC25C/TMSB10/FAU/AHNAK/NPM1/TRIM25/RPS9/TUBA1C/RPLP0/MKNK2/RPL12/AFF1/RPL10A/RPL10/JPT1/TRAF7/IER3/ARL4D/H2AZ1/LMNA/PMAIP1/ANLN/RPS2/PKM/RND3/COL1A1/CCN1/GAPDH/PPP1R15A/RPL3/EEF2/GADD45A/S100A6/RPSA/EMP1/RPL13A/CITED2/DYNC1H1/VEGFA/TMSB4X/ATF3/FLNA/FTL/ATF4/SERPINE1/EEF1A1/SLC38A2/STC2/DDIT4"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","8","SIX4_TARGET_GENES","SIX4_TARGET_GENES","-1.862720903862499","0.0006639387735134919585","0.02481471166006676138","0.02300236016199350489","13","43","0.3023255813953488","0.000","3","2","0.15384615384615385","0.069767441860465115","0.006315789473684210","0.212786646138886565","0.114602059768744782","Keep","NR1H4_TARGET_GENES","NR1H4_TARGET_GENES",FALSE,"S100A13/PKD1L2/CLIP1/RND2/ANK3/GREB1L/ZFP64/CABLES1/SLC11A2/CLTC/SMURF2/DLG5/ZFP36L1","S100A13/PKD1L2/CLIP1/RND2/ANK3/GREB1L/ZFP64/CABLES1/SLC11A2/CLTC/SMURF2/DLG5/ZFP36L1"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","9","EPC1_TARGET_GENES","EPC1_TARGET_GENES","-1.509381282384951","0.0008452068328806452415","0.02807964922570144184","0.02602884182416041053","105","393","0.2671755725190840","0.000","18","8","0.07619047619047620","0.045801526717557252","0.026239067055393587","0.075461248927965630","0.009644862666430967","Keep","PSMB5_TARGET_GENES","PSMB5_TARGET_GENES",TRUE,"NME1/JADE1/HNRNPUL1/PTBP1/CCDC86/IPO8/ZNF580/NOC4L/SNX12/ZKSCAN2/PPAT/ZCCHC7/SKIDA1/POM121/ZNF460/MRPS35/CCDC88A/PEMT/PTMA/ADRM1/HES4/DCLRE1B/PTP4A2/TMEM268/MGME1/COX4I1/RBL1/CMSS1/PDE12/PIEZO1/POLR2J/TCP11L2/ARHGDIA/VWA8/SCAMP5/SUPV3L1/SLC25A12/MRPL4/RNF145/RANBP2/IPO11/BUD31/PABPC1/PHF21A/CCT4/RPL23A/FZD5/SLC3A2/CAPZB/WDR43/AURKB/NAPG/SLC4A2/DHX37/CAD/LDHB/LRRC59/UBA52/DYNLT1/MMP15/F12/KDM5C/INTS1/EIF3E/NCL/CLUH/LSS/EIF5A/YBX1/PDAP1/DLAT/AHNAK/PRMT1/USP3/FADS1/PGM2L1/KCNJ4/GOT2/CCNI/MCM7/THAP4/LONRF3/RPL10A/CLTC/CCNB1IP1/ESRRA/EIF2S3/XPOT/TARS1/PKM/GRK6/LARP1/MDN1/ASNS/MTHFD1L/RPSA/MTHFD2/TBL1X/HERPUD1/ANXA2/HMGA1/EPRS1/VEGFA/YARS1/GARS1","NME1/JADE1/HNRNPUL1/PTBP1/CCDC86/IPO8/ZNF580/NOC4L/SNX12/ZKSCAN2/PPAT/ZCCHC7/SKIDA1/POM121/ZNF460/MRPS35/CCDC88A/PEMT/PTMA/ADRM1/HES4/DCLRE1B/PTP4A2/TMEM268/MGME1/COX4I1/RBL1/CMSS1/PDE12/PIEZO1/POLR2J/TCP11L2/ARHGDIA/VWA8/SCAMP5/SUPV3L1/SLC25A12/MRPL4/RNF145/RANBP2/IPO11/BUD31/PABPC1/PHF21A/CCT4/RPL23A/FZD5/SLC3A2/CAPZB/WDR43/AURKB/NAPG/SLC4A2/DHX37/CAD/LDHB/LRRC59/UBA52/DYNLT1/MMP15/F12/KDM5C/INTS1/EIF3E/NCL/CLUH/LSS/EIF5A/YBX1/PDAP1/DLAT/AHNAK/PRMT1/USP3/FADS1/PGM2L1/KCNJ4/GOT2/CCNI/MCM7/THAP4/LONRF3/RPL10A/CLTC/CCNB1IP1/ESRRA/EIF2S3/XPOT/TARS1/PKM/GRK6/LARP1/MDN1/ASNS/MTHFD1L/RPSA/MTHFD2/TBL1X/HERPUD1/ANXA2/HMGA1/EPRS1/VEGFA/YARS1/GARS1"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","10","SS18_SSX1_FUSION_UNIPROT_Q8IZH1_UNREVIEWED_TARGET_GENES","SS18_SSX1_FUSION_UNIPROT_Q8IZH1_UNREVIEWED_TARGET_GENES","-1.470948540418179","0.0010941816232051344761","0.03271603053383352611","0.03032660333591765886","92","419","0.2195704057279236","0.000","20","6","0.06521739130434782","0.047732696897374700","0.025706940874035990","0.260349550064184199","0.166636016520602254","Keep","NR0B1_TARGET_GENES","NR0B1_TARGET_GENES",FALSE,"METTL15/VPS13B/TRPS1/ROBO2/GBX2/ST7/TBL1XR1/AGPAT3/HOXC12/RHOQ/OLA1/METRN/BATF3/SH3PXD2A/SOX18/KLF11/HHIP/TCP11L2/SULT2B1/B3GNT7/BNIP2/PTCH1/GIT1/PAG1/ARHGDIA/ZBTB46/CKS1B/COL8A2/EPHA4/AGPAT2/NOL4L/CPTP/UBL4A/ZBED4/SOCS3/RAB3IL1/RPH3AL/SALL4/BLACAT1/PRKAG2/AP3B1/ADORA1/MN1/MXI1/ASPHD1/SHB/NEDD4/CLSTN1/RAB37/ZNF516/CTIF/STAT5B/LAMA3/SELENON/HSPD1/ZNF469/ARHGAP32/AKAP6/TRIM2/FOXO3/TLE4/LARS1/COL26A1/KMT2D/ASAP2/TSPO/CBX4/TIMM44/LTBP3/LMO7/ELOVL6/ESRRA/GGH/SYMPK/PTHLH/DNM3/EPB41L1/SSH2/DST/HES2/ETV1/LIMS1/SERINC2/CKB/PCDH1/UNC13D/MYC/TBC1D16/EEF1A2/RASGRP3/ENAH/SLC1A3","METTL15/VPS13B/TRPS1/ROBO2/GBX2/ST7/TBL1XR1/AGPAT3/HOXC12/RHOQ/OLA1/METRN/BATF3/SH3PXD2A/SOX18/KLF11/HHIP/TCP11L2/SULT2B1/B3GNT7/BNIP2/PTCH1/GIT1/PAG1/ARHGDIA/ZBTB46/CKS1B/COL8A2/EPHA4/AGPAT2/NOL4L/CPTP/UBL4A/ZBED4/SOCS3/RAB3IL1/RPH3AL/SALL4/BLACAT1/PRKAG2/AP3B1/ADORA1/MN1/MXI1/ASPHD1/SHB/NEDD4/CLSTN1/RAB37/ZNF516/CTIF/STAT5B/LAMA3/SELENON/HSPD1/ZNF469/ARHGAP32/AKAP6/TRIM2/FOXO3/TLE4/LARS1/COL26A1/KMT2D/ASAP2/TSPO/CBX4/TIMM44/LTBP3/LMO7/ELOVL6/ESRRA/GGH/SYMPK/PTHLH/DNM3/EPB41L1/SSH2/DST/HES2/ETV1/LIMS1/SERINC2/CKB/PCDH1/UNC13D/MYC/TBC1D16/EEF1A2/RASGRP3/ENAH/SLC1A3"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","11","CTR9_TARGET_GENES","CTR9_TARGET_GENES","1.729645562421410","0.0013684834622544118140","0.03719786865582446617","0.03448110877938372065","15","70","0.2142857142857143","0.000","8","5","0.33333333333333331","0.114285714285714282","0.021447721179624665","0.009170897431003539","0.007419848325048322","Keep","PSMB5_TARGET_GENES","PSMB5_TARGET_GENES",TRUE,"H2BC21/SRSF7/RBM39/ZEB2/CCNL1/SFPQ/TRA2B/POMT1/ZNF207/H2AC6/TAPT1/TMEM138/HNRNPU/ERCC3/TLDC2","H2BC21/SRSF7/RBM39/ZEB2/CCNL1/SFPQ/TRA2B/POMT1/ZNF207/H2AC6/TAPT1/TMEM138/HNRNPU/ERCC3/TLDC2"
"GSE282081","Main_DE","2D_J2_coculture","TFT_GTRD","12","ZNF23_TARGET_GENES","ZNF23_TARGET_GENES","-1.870703717081161","0.0023189634182072785436","0.05778083850366470126","0.05356079393266267169","8","17","0.4705882352941176","0.000","2","2","0.25000000000000000","0.117647058823529410","0.004608294930875576","0.205882352941176378","0.047801212730241738","Keep","SS18_SSX1_FUSION_UNIPROT_Q8IZH1_UNREVIEWED_TARGET_GENES","SS18_SSX1_FUSION_UNIPROT_Q8IZH1_UNREVIEWED_TARGET_GENES",TRUE,"RFX1/STAT6/RPH3AL/RAB37/PNPLA6/DNM2/CUEDC1/ASS1","RFX1/STAT6/RPH3AL/RAB37/PNPLA6/DNM2/CUEDC1/ASS1"
