"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","13","CSR_LATE_UP.V1_DN","CSR_LATE_UP.V1_DN","-1.794570168450546","0.00004932400469358096","0.0007170951451605233","0.0002349340716127368","43","147","0.29251700680272108","0.00000000000000000","14","8","0.18604651162790697","0.09523809523809523","0.043343653250773995","0.0211568406285042240","0.10580837920185894","Exclude","HOXA9_DN.V1_DN","HOXA9_DN.V1_DN",FALSE,"PDE5A/SC5D/TP53INP1/LONRF1/HMGCS1/DDB2/ADAM17/LPAR3/LDLR/TBC1D2B/SOD2/PRXL2A/GSN/BACH1/FAM131C/KIAA0930/PLCD1/LSS/SLC25A1/HMGCR/L1CAM/SNTB1/RASSF2/DHCR7/TSC22D3/LPIN1/NYNRIN/PRKCI/UBE2L6/OLFML2A/ADGRB2/ELOVL6/FADS1/ERMP1/FDFT1/DENND11/TRERF1/BTG2/INSIG1/QPRT/ASS1/GLI3/SCD","PDE5A/SC5D/TP53INP1/LONRF1/HMGCS1/DDB2/ADAM17/LPAR3/LDLR/TBC1D2B/SOD2/PRXL2A/GSN/BACH1/FAM131C/KIAA0930/PLCD1/LSS/SLC25A1/HMGCR/L1CAM/SNTB1/RASSF2/DHCR7/TSC22D3/LPIN1/NYNRIN/PRKCI/UBE2L6/OLFML2A/ADGRB2/ELOVL6/FADS1/ERMP1/FDFT1/DENND11/TRERF1/BTG2/INSIG1/QPRT/ASS1/GLI3/SCD"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","20","STK33_NOMO_DN","STK33_NOMO_DN","-1.600274470378176","0.00029774746056352347","0.0028137135023252975","0.0009218263070307656","62","282","0.21985815602836881","0.00000000000000000","9","5","0.08064516129032258","0.03191489361702127","0.016100178890876567","0.0268949825077236492","0.39626944785553186","Exclude","TBK1.DF_DN","TBK1.DF_DN",FALSE,"KAZN/STX11/HES6/ITGB7/SEMA3C/ACAP1/SOBP/PCYOX1/FAM117B/PNMA2/ABTB3/APEH/NUDT11/VARS1/SATB2/POLD1/ST6GALNAC3/MAP3K21/PLCH1/ADCY3/CRYBG1/LYRM7/BACE2/HEATR5A/CYFIP2/CHML/CILK1/SLC39A14/HSPA4L/ADGRA2/BPNT1/FERMT1/PLS1/AGO4/TET1/RASGRP1/SLC43A1/TNKS/LGR4/OSBPL1A/ZNRF3/MAPK14/NEO1/JDP2/TEX15/CDA/VPS13C/VAT1/LPCAT2/EXPH5/MGAT4A/DSG2/APOBEC3C/SETD7/AP5B1/ASNS/KLF5/PSPH/F13A1/GPT2/H1-0/SCD","KAZN/STX11/HES6/ITGB7/SEMA3C/ACAP1/SOBP/PCYOX1/FAM117B/PNMA2/ABTB3/APEH/NUDT11/VARS1/SATB2/POLD1/ST6GALNAC3/MAP3K21/PLCH1/ADCY3/CRYBG1/LYRM7/BACE2/HEATR5A/CYFIP2/CHML/CILK1/SLC39A14/HSPA4L/ADGRA2/BPNT1/FERMT1/PLS1/AGO4/TET1/RASGRP1/SLC43A1/TNKS/LGR4/OSBPL1A/ZNRF3/MAPK14/NEO1/JDP2/TEX15/CDA/VPS13C/VAT1/LPCAT2/EXPH5/MGAT4A/DSG2/APOBEC3C/SETD7/AP5B1/ASNS/KLF5/PSPH/F13A1/GPT2/H1-0/SCD"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","21","ERBB2_UP.V1_DN","ERBB2_UP.V1_DN","-1.622010973699469","0.00035176012369513932","0.0030886271602003786","0.0010118932743257206","70","197","0.35532994923857869","0.01408450704225352","17","10","0.14285714285714285","0.08629441624365482","0.036480686695278972","0.0356284445207778189","0.19477489503270184","Exclude","TBK1.DF_DN","TBK1.DF_DN",FALSE,"MAP4K3/GREB1/PRKAR2B/RNF138/DTL/NMRK1/JAK2/IFIT1/RALGAPA1/LAMB1/DLC1/BST2/ZBTB10/MRPL19/MSH2/MARCHF7/CHD1/PRMT3/TTK/ICE1/UBA6/DEPDC1/CUL5/SMARCA5/IGF1R/TOPBP1/RBBP8/DNAJB14/XK/IFIH1/MBNL2/NRIP1/INPP5F/MAD2L1/BTG3/GULP1/RHOBTB3/TTC39A/KIF5C/KCTD3/SLC26A2/PLA2G12A/HSPA4L/TMED5/EIF2S3/HS2ST1/RASGRP1/SMC3/OAS1/BRWD1/GOLGA4/LTN1/ANKRD12/NCAPG/FLNB/PRELID3B/MYC/SLC7A2/LPGAT1/CENPE/HSPA13/ADD3/ADAM9/PMAIP1/RPRD1A/RAB31/TIAM1/PSPH/ABLIM1/ASS1","MAP4K3/GREB1/PRKAR2B/RNF138/DTL/NMRK1/JAK2/IFIT1/RALGAPA1/LAMB1/DLC1/BST2/ZBTB10/MRPL19/MSH2/MARCHF7/CHD1/PRMT3/TTK/ICE1/UBA6/DEPDC1/CUL5/SMARCA5/IGF1R/TOPBP1/RBBP8/DNAJB14/DCPH1/XK/IFIH1/MBNL2/NRIP1/INPP5F/MAD2L1/BTG3/GULP1/RHOBTB3/TTC39A/KIF5C/KCTD3/SLC26A2/PLA2G12A/HSPA4L/TMED5/EIF2S3/HS2ST1/RASGRP1/SMC3/OAS1/BRWD1/GOLGA4/LTN1/ANKRD12/NCAPG/FLNB/PRELID3B/MYC/SLC7A2/LPGAT1/CENPE/HSPA13/ADD3/ADAM9/PMAIP1/RPRD1A/RAB31/TIAM1/PSPH/ABLIM1/ASS1"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","22","STK33_SKM_DN","STK33_SKM_DN","-1.620179274317222","0.00035952273822438264","0.0030886271602003786","0.0010118932743257206","62","276","0.22463768115942029","0.00000000000000000","154","43","0.69354838709677424","0.55797101449275366","0.383084577114427838","0.0102124556319158760","0.10198242469267220","Exclude","STK33_DN","STK33_DN",FALSE,"SLC18B1/ZBED3/ACAP1/SPRY1/MREG/FAM117B/SORL1/DZIP1/ATP8B2/NPR3/NUDT11/TNFAIP8/RSAD1/RGS16/LPAR3/CAMK4/CALD1/MCTP2/PIK3CB/PROCR/PLCH1/BMP2K/ADCY3/CRYBG1/SV2A/LYRM7/UAP1L1/ID3/PCGF2/BACE2/SNTB1/CYFIP2/CHML/CAST/FRMD5/EEF2K/BPNT1/FERMT1/TRAF7/PLS1/OGDHL/SLC43A1/PFKM/MAPK14/TANC2/TEX15/CDA/TNFSF10/ELOVL6/RAPGEF5/GRB10/MARCKS/PODXL/PPM1H/ASNS/TANC1/PSPH/STC2/ALDH1L2/ABLIM1/LRATD2/SCD","SLC18B1/ZBED3/ACAP1/SPRY1/MREG/FAM117B/SORL1/DZIP1/ATP8B2/NPR3/NUDT11/TNFAIP8/RSAD1/RGS16/LPAR3/CAMK4/CALD1/MCTP2/PIK3CB/PROCR/PLCH1/BMP2K/ADCY3/CRYBG1/SV2A/LYRM7/UAP1L1/ID3/PCGF2/BACE2/SNTB1/CYFIP2/CHML/CAST/FRMD5/EEF2K/BPNT1/FERMT1/TRAF7/PLS1/OGDHL/SLC43A1/PFKM/MAPK14/TANC2/TEX15/CDA/TNFSF10/ELOVL6/RAPGEF5/GRB10/MARCKS/PODXL/PPM1H/ASNS/TANC1/PSPH/STC2/ALDH1L2/ABLIM1/LRATD2/SCD"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","26","IL2_UP.V1_UP","IL2_UP.V1_UP","1.609770861865289","0.00092079543569489127","0.0065697184194448014","0.0021523652865950674","27","190","0.14210526315789473","0.00000000000000000","108","23","0.85185185185185186","0.56842105263157894","0.398523985239852385","0.0008634275271552957","0.63122052279885588","Exclude","IL15_UP.V1_UP","IL15_UP.V1_UP",FALSE,"SLC2A3/TNFRSF12A/FOSL1/PLXNA3/RGCC/LIF/TNFRSF21/RHOB/EGR3/KLF6/TRIB1/TLCD3A/MAFF/USP36/DUSP6/CDH3/SH2D4A/POLR1G/TMEM158/GADD45B/TM4SF1/KCNK5/YRDC/TRMU/PMM2/MFSD12/DUSP4","SLC2A3/TNFRSF12A/FOSL1/PLXNA3/RGCC/LIF/TNFRSF21/RHOB/EGR3/KLF6/TRIB1/TLCD3A/MAFF/USP36/DUSP6/CDH3/SH2D4A/POLR1G/TMEM158/GADD45B/TM4SF1/KCNK5/YRDC/TRMU/PMM2/MFSD12/DUSP4"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","29","P53_DN.V1_UP","P53_DN.V1_UP","1.563774026037494","0.00119192703015818515","0.0077680761620654145","0.0025449701809699796","39","194","0.20103092783505155","0.00000000000000000","6","4","0.10256410256410256","0.03092783505154639","0.024489795918367346","0.0156854410679908678","0.05831903945111491","Exclude","CORDENONSI_YAP_CONSERVED_SIGNATURE","CORDENONSI_YAP_CONSERVED_SIGNATURE",FALSE,"ANKRD1/SDC4/CCN1/ANXA1/EGFR/CRIM1/KRT15/AXL/F3/NR2F1/PRSS2/CEMIP/KLK1/KRT18/GLUL/SYNJ2/APBB2/MAFF/MISP/BMP4/INPP1/KLK10/ITGB4/KRT19/VIPR1/PPL/THOC1/TACSTD2/PLCE1/ZNF185/CLIP3/REEP2/FHL2/COL1A2/ZNF799/YAP1/LAMB2/CD24/TJP2","ANKRD1/SDC4/CCN1/ANXA1/EGFR/CRIM1/KRT15/AXL/F3/NR2F1/PRSS2/CEMIP/KLK1/KRT18/GLUL/SYNJ2/APBB2/MAFF/MISP/BMP4/INPP1/KLK10/ITGB4/KRT19/VIPR1/PPL/THOC1/TACSTD2/PLCE1/ZNF185/CLIP3/REEP2/FHL2/COL1A2/ZNF799/YAP1/LAMB2/CD24/TJP2"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","32","NFE2L2.V2","NFE2L2.V2","-1.454930854399683","0.00199995961210204260","0.0118122614589776884","0.0038699225594263685","59","469","0.12579957356076760","0.00000000000000000","6","3","0.05084745762711865","0.01279317697228145","0.010657193605683837","0.0287100926444728011","0.28949398533151732","Exclude","CAHOY_ASTROCYTIC","CAHOY_ASTROCYTIC",FALSE,"B4GALNT1/PTPRZ1/ANKS6/CCDC138/FECH/DMD/ZSWIM6/VIL1/NCF2/KCNQ2/HPN/CDKN2B/FZD7/WDHD1/IDE/PALLD/ORC1/GNE/L1CAM/CRTAP/PATJ/NSD2/TKT/BRIP1/KIF5C/FERMT1/HDAC9/C1orf21/TET1/DIPK1A/LCN2/EIF2S2/SLC2A4/SLC1A4/TLR4/IQGAP2/LRPPRC/FUT1/JDP2/MGST1/CBS/KIAA0040/MARS1/MTHFD2/NAV2/PCSK9/ASNS/PCK2/SLC7A11/TFRC/STC2/TNFRSF11B/PSAT1/SLC6A6/IDH1/GPT2/PHGDH/SREBF1/CHAC1","B4GALNT1/PTPRZ1/ANKS6/CCDC138/FECH/DMD/ZSWIM6/VIL1/NCF2/KCNQ2/HPN/CDKN2B/FZD7/WDHD1/IDE/PALLD/ORC1/GNE/L1CAM/CRTAP/PATJ/NSD2/TKT/BRIP1/KIF5C/FERMT1/HDAC9/C1orf21/TET1/DIPK1A/LCN2/EIF2S2/SLC2A4/SLC1A4/TLR4/IQGAP2/LRPPRC/FUT1/JDP2/MGST1/CBS/KIAA0040/MARS1/MTHFD2/NAV2/PCSK9/ASNS/PCK2/SLC7A11/TFRC/STC2/TNFRSF11B/PSAT1/SLC6A6/IDH1/GPT2/PHGDH/SREBF1/CHAC1"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","34","RPS14_DN.V1_UP","RPS14_DN.V1_UP","1.511141728573939","0.00296137217267799374","0.0164617453128276664","0.0053931823110150330","21","191","0.10994764397905760","0.00000000000000000","8","4","0.19047619047619047","0.04188481675392670","0.021505376344086023","0.0057620853374252181","0.06884706199135604","Exclude","IL15_UP.V1_UP","IL15_UP.V1_UP",FALSE,"ANKRD1/SDC4/CRIM1/PDGFA/CDKN1A/PLK2/EMP1/BIRC3/ARL4C/SPINT1/RHOB/EGR3/IGFBP7/JAG1/TNFAIP2/PDE4D/MAF/EPS8L2/RCBTB2/ITGB2/PTPRO","ANKRD1/SDC4/CRIM1/PDGFA/CDKN1A/PLK2/EMP1/BIRC3/ARL4C/SPINT1/RHOB/EGR3/IGFBP7/JAG1/TNFAIP2/PDE4D/MAF/EPS8L2/RCBTB2/ITGB2/PTPRO"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","37","EGFR_UP.V1_DN","EGFR_UP.V1_DN","-1.509687185044640","0.00431912808447635320","0.0220625731882711090","0.0072281205420994029","67","196","0.34183673469387754","0.00000000000000000","13","8","0.11940298507462686","0.06632653061224490","0.027718550106609809","0.0350934168791181070","0.18924537106092518","Exclude","TBK1.DF_DN","TBK1.DF_DN",FALSE,"GREB1/RPP25/DTL/DERA/MEX3D/FAM234B/ARMC9/H2BC9/MARF1/KIF11/PDLIM3/DLC1/HEBP1/ELOVL5/NDC1/BST2/PCYOX1/ID1/EPS8/DEPDC1/SATB2/IGF1R/NCAPG2/TENM1/XK/ANXA9/TMEM106B/NRIP1/BDH1/INPP5F/BTG3/GULP1/RHOBTB3/ANK3/PRKACB/TTC39A/BRIP1/KIF5C/BDKRB2/DCAF6/HSPA4L/TBL1XR1/EIF2S3/RASGRP1/SPTBN1/PDCD4/MICB/CHN1/NUP205/LTN1/TSC22D3/DNAJC12/EPB41L2/SLC39A8/ATF7IP/TCAF1/ADD3/PRKD3/TSPAN5/DMXL2/GRB10/PHF20/BAZ2B/CELSR2/PSPH/CADM1/ABLIM1","GREB1/RPP25/DTL/DERA/MEX3D/FAM234B/ARMC9/H2BC9/MARF1/KIF11/PDLIM3/DLC1/HEBP1/ELOVL5/NDC1/BST2/PCYOX1/ID1/EPS8/DEPDC1/SATB2/IGF1R/NCAPG2/TENM1/XK/ANXA9/TMEM106B/NRIP1/BDH1/INPP5F/BTG3/GULP1/RHOBTB3/ANK3/PRKACB/TTC39A/BRIP1/KIF5C/BDKRB2/DCAF6/HSPA4L/TBL1XR1/EIF2S3/RASGRP1/SPTBN1/PDCD4/MICB/CHN1/NUP205/LTN1/TSC22D3/DNAJC12/EPB41L2/SLC39A8/ATF7IP/TCAF1/ADD3/PRKD3/TSPAN5/DMXL2/GRB10/PHF20/BAZ2B/CELSR2/PSPH/CADM1/ABLIM1"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","C6","39","PKCA_DN.V1_DN","PKCA_DN.V1_DN","1.512998920572039","0.00557898533635939418","0.0270366212454339859","0.0088577137283775108","19","154","0.12337662337662338","0.00000000000000000","6","3","0.15789473684210525","0.03896103896103896","0.019354838709677420","0.0253300146673185629","0.13287559460685727","Exclude","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN",FALSE,"TNFRSF12A/EDN3/EXT1/SYT12/METTL1/ADGRB1/PSPC1/TRIB1/CENPT/TMPRSS5/ZEB2/TXNRD2/TNNI2/CD44/MAP3K6/SLC30A1/PDGFRB/GJB3/WDR5","TNFRSF12A/EDN3/EXT1/SYT12/METTL1/ADGRB1/PSPC1/TRIB1/CENPT/TMPRSS5/ZEB2/TXNRD2/TNNI2/CD44/MAP3K6/SLC30A1/PDGFRB/GJB3/WDR5"
