"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","7","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","2.335569818271354","0.0000001745817389845657","0.00001636080296769644","0.00001041188372525141","27","51","0.5294117647058824","0.03571428571428571","26","18","0.6666666666666666","0.50980392156862742","0.29885057471264370","0.017536758509007121","0.27198336776563237","Exclude","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS",FALSE,"NDUFS6/NDUFS5/NDUFA3/NDUFB2/NDUFS3/NDUFB11/NDUFAB1/NDUFA11/NDUFA9/NDUFS2/NDUFA1/NDUFB9/NDUFC1/NDUFB10/NDUFV3/NDUFA8/NDUFB7/NDUFB1/NDUFV1/NDUFS8/NDUFB6/NDUFS4/CAPN1/NDUFA10/NDUFB8/NDUFB3/NDUFV2","NDUFS6/NDUFS5/NDUFA3/NDUFB2/NDUFS3/NDUFB11/COXFA4/NDUFAB1/NDUFA11/NDUFA9/NDUFS2/NDUFA1/NDUFB9/NDUFC1/NDUFB10/NDUFV3/NDUFA8/NDUFB7/NDUFB1/NDUFV1/NDUFS8/NDUFB6/NDUFS4/CAPN1/NDUFA10/NDUFB8/NDUFB3/NDUFV2"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","31","KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III","KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III","1.881882831631069","0.0010337232208921061025","0.02187491719049100905","0.01392102176993355832","6","11","0.5454545454545454","0.00000000000000000","5","5","0.8333333333333334","0.45454545454545453","0.07352941176470588","0.012987012987012997","0.08897493772989098","Exclude","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS",FALSE,"UQCRFS1/CYC1/UQCRH/UQCRQ/UQCRC2/UQCRB","UQCRFS1/CYC1/UQCRH/UQCRQ/UQCRC2/UQCRB"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","39","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ELECTRON_TRANSFER_IN_COMPLEX_III","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ELECTRON_TRANSFER_IN_COMPLEX_III","1.889766905749853","0.0021570366094240188241","0.03628246194313221318","0.02308986764058199720","6","12","0.5000000000000000","0.00000000000000000","5","5","0.8333333333333334","0.41666666666666669","0.07246376811594203","0.007575757575757579","0.08897493772989098","Exclude","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS",FALSE,"UQCRFS1/CYC1/UQCRH/UQCRQ/UQCRC2/UQCRB","UQCRFS1/CYC1/UQCRH/UQCRQ/UQCRC2/UQCRB"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","40","KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY","-1.877250809040189","0.0023239249928461583675","0.03811236988267698717","0.02425440636964519905","8","23","0.3478260869565217","0.00000000000000000","17","8","1.0000000000000000","0.73913043478260865","0.33333333333333331","0.049580472921434013","0.24641593592315308","Exclude","KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY",FALSE,"IL2RA/JAK1/STAT5A/IL7/IL15RA/STAT6/STAT3/STAT1","IL2RA/JAK1/STAT5A/IL7/IL15RA/STAT6/STAT3/STAT1"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","47","KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY","-1.710901112034432","0.0037607777525780947646","0.05242249229552997658","0.03336125344499493023","22","46","0.4782608695652174","0.00000000000000000","37","21","0.9545454545454546","0.80434782608695654","0.80434782608695654","0.015873292901086428","1.00000000000000000","Exclude","KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY",FALSE,"WNT7B/LRP5/APC/FZD6/WNT9B/TCF7/DVL2/MYC/WNT9A/DVL3/LEF1/WNT3/WNT4/WNT5A/WNT6/AXIN2/FZD7/GSK3B/CTNNB1/WNT16/CCND1/WNT10A","WNT7B/LRP5/APC/FZD6/WNT9B/TCF7/DVL2/MYC/WNT9A/DVL3/LEF1/WNT3/WNT4/WNT5A/WNT6/AXIN2/FZD7/GSK3B/CTNNB1/WNT16/CCND1/WNT10A"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","50","KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY","-1.677189014715133","0.0042530442513093362836","0.05579994057717847789","0.03551063442990178010","21","45","0.4666666666666667","0.00000000000000000","36","20","0.9523809523809523","0.80000000000000004","0.78260869565217395","0.018904414253251442","1.00000000000000000","Exclude","KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY",FALSE,"WNT7B/APC/FZD6/WNT9B/TCF7/DVL2/MYC/WNT9A/DVL3/LEF1/WNT3/WNT4/WNT5A/WNT6/AXIN2/FZD7/GSK3B/CTNNB1/WNT16/CCND1/WNT10A","WNT7B/APC/FZD6/WNT9B/TCF7/DVL2/MYC/WNT9A/DVL3/LEF1/WNT3/WNT4/WNT5A/WNT6/AXIN2/FZD7/GSK3B/CTNNB1/WNT16/CCND1/WNT10A"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","70","KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY","-1.718535647353436","0.0119542251840131681651","0.11202816743875194938","0.07129382681451063020","10","31","0.3225806451612903","0.00000000000000000","3","3","0.3000000000000000","0.09677419354838709","0.08571428571428572","0.026696329254727470","0.57142857142857162","Exclude","KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY",FALSE,"IFNGR1/RIPK3/JAK1/STAT5A/IFNAR1/JAK2/STAT6/STAT3/STAT2/STAT1","IFNGR1/RIPK3/JAK1/STAT5A/IFNAR1/JAK2/STAT6/STAT3/STAT2/STAT1"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","80","KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY","-1.685148567247008","0.0198288391654435347533","0.16259648115663694057","0.10347509589110935602","5","12","0.4166666666666667","0.00000000000000000","3","3","0.6000000000000000","0.25000000000000000","0.18750000000000000","0.045454545454545484","0.57142857142857162","Exclude","KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY",FALSE,"ERBB2/EGF/PIK3CB/EGFR/PIK3CA","ERBB2/EGF/PIK3CB/EGFR/PIK3CA"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","102","KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_JNK_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_JNK_SIGNALING_PATHWAY","-1.550030078613765","0.0369572282361275705753","0.23768570316568321532","0.15126127424197896576","3","13","0.2307692307692308","0.00000000000000000","2","2","0.6666666666666666","0.15384615384615385","0.11111111111111110","0.038461538461538464","0.71428571428571430","Exclude","KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY",FALSE,"EGF/MAP3K1/EGFR","EGF/MAP3K1/EGFR"
"GSE282081","Main_DE","3D_hepatic_coculture","CP_KEGG_MEDICUS","114","KEGG_MEDICUS_REFERENCE_TYPE_II_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_TYPE_II_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY","-1.577274395656327","0.0495856818896045423162","0.28227194492254736868","0.17963560072430448389","5","21","0.2380952380952381","0.00000000000000000","8","5","1.0000000000000000","0.38095238095238093","0.13793103448275862","0.002751977984176125","0.11838780677781184","Exclude","KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY",FALSE,"IFNGR1/JAK1/JAK2/STAT3/STAT1","IFNGR1/JAK1/JAK2/STAT3/STAT1"
