"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","1","EPC1_TARGET_GENES","EPC1_TARGET_GENES","2.071758503046218","0.00000000010000000000","0.000000014950000000","0.000000007243529223383747","127","393","0.3231552162849873","0.000000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.00000000000000000000","Keep","itself","",TRUE,"GSE1/TXNL4A/SSU72/ANP32A/UBA52/TM2D3/PRMT1/RPL10A/RANBP1/NOP56/RPS17/CAPZB/NME1/YBX1/MRPL4/RNF145/MMAB/PTMA/RPS26/EIF5A/PEMT/NDUFA11/RAN/EIF3E/PUS1/PABPC1/HDAC2/DDX51/ZBTB45/SFXN4/RPSA/GATC/HNRNPUL1/ZNF581/AP4M1/HMGA1/TAF5L/COX4I1/RABGGTA/GUSB/REX1BD/UBE2S/EPRS1/MVK/MRPL15/CCT2/CCDC86/HES4/GARS1/DECR2/BUD13/GOT2/LSS/PINX1/FBXO41/MAZ/CMSS1/BANF1/PDAP1/MRPL14/WDR43/BYSL/FNTA/ZNF580/SCNM1/SNX5/AIMP2/NDUFAF5/MDN1/PKM/ZNHIT1/SNRNP35/TPT1/FAHD1/MRPL3/DIMT1/KLHL21/YARS1/CCNB1IP1/G6PC3/RPL23A/TRMT2A/ANP32B/NCL/MRPS35/SCAMP5/MCM7/CALM3/CCDC106/YWHAE/EMC8/DYNLT1/POLR2J/EIF2S3/MAPKAPK5/PARL/NUF2/FADS1/PLD6/DLAT/GDI2/NOC4L/THAP4/TARS1/RNPS1/UTP25/TRIAP1/LSM14B/U2AF2/GALE/HRAS/GRK6/ATG4B/SUPV3L1/B3GALNT2/AURKB/SMIM12/MMP15/GFER/ALG3/HNRNPF/EIF1AD/COMMD1/TBL1X/JADE1/TMEM268/SNAI1","GSE1/TXNL4A/SSU72/ANP32A/UBA52/TM2D3/PRMT1/RPL10A/RANBP1/NOP56/RPS17/CAPZB/NME1/YBX1/MRPL4/RNF145/MMAB/PTMA/RPS26/EIF5A/PEMT/NDUFA11/RAN/EIF3E/PUS1/PABPC1/HDAC2/DDX51/ZBTB45/SFXN4/RPSA/GATC/HNRNPUL1/ZNF581/AP4M1/HMGA1/TAF5L/COX4I1/RABGGTA/GUSB/REX1BD/UBE2S/EPRS1/MVK/MRPL15/CCT2/CCDC86/HES4/GARS1/DECR2/BUD13/GOT2/LSS/PINX1/FBXO41/MAZ/CMSS1/BANF1/PDAP1/MRPL14/WDR43/BYSL/FNTA/ZNF580/SCNM1/SNX5/AIMP2/NDUFAF5/MDN1/PKM/ZNHIT1/SNRNP35/TPT1/FAHD1/MRPL3/DIMT1/KLHL21/YARS1/CCNB1IP1/G6PC3/RPL23A/TRMT2A/ANP32B/NCL/MRPS35/SCAMP5/MCM7/CALM3/CCDC106/YWHAE/EMC8/DYNLT1/POLR2J/EIF2S3/MAPKAPK5/PARL/NUF2/FADS1/PLD6/DLAT/GDI2/NOC4L/THAP4/TARS1/RNPS1/UTP25/TRIAP1/LSM14B/U2AF2/GALE/HRAS/GRK6/ATG4B/SUPV3L1/B3GALNT2/AURKB/SMIM12/MMP15/GFER/ALG3/HNRNPF/EIF1AD/COMMD1/TBL1X/JADE1/TMEM268/SNAI1"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","2","FOXR2_TARGET_GENES","FOXR2_TARGET_GENES","2.259575184990794","0.00000000010000000000","0.000000014950000000","0.000000007243529223383747","74","234","0.3162393162393162","0.000000000000000000","15","7","0.094594594594594600","0.064102564102564097","0.024509803921568627","0.1564809548073577694","0.17491730196673047071","Keep","EPC1_TARGET_GENES","EPC1_TARGET_GENES",FALSE,"RPS16/MRPL20/RACK1/RPS5/RANBP1/NTHL1/RPS17/RPS6/RPS27/EIF3I/MRPS26/RPS14/LUC7L/RPS21/SSR2/RPL34/EEF1A1/STX10/TMEM258/ITPA/C19orf53/NOP16/RPL32/DNAAF5/MRPL43/RPLP2/NDUFB9/RPS18/RPL8/HIGD2A/CDC45/RPS25/BANF1/PDAP1/FEN1/ATP13A1/EIF3D/RSL1D1/NSUN6/ERH/LYPLA2/PCBP1/BABAM1/RPL6/RPL27/RSL24D1/PNKP/UBE2G2/UTP11/ZNF202/FKBP1A/YARS1/PGK1/MCMBP/TRMT112/SAMD10/TRMT2A/TCOF1/COG8/SFSWAP/MRPL24/EIF2S3/TATDN1/ADSL/KCTD5/CHERP/USF1/KLRG1/GTPBP4/SERBP1/EME1/UFD1/EIF3L/SURF6","RPS16/MRPL20/RACK1/RPS5/RANBP1/NTHL1/RPS17/RPS6/RPS27/EIF3I/MRPS26/RPS14/LUC7L/RPS21/SSR2/RPL34/EEF1A1/STX10/TMEM258/ITPA/C19orf53/NOP16/RPL32/DNAAF5/MRPL43/RPLP2/NDUFB9/RPS18/RPL8/HIGD2A/CDC45/RPS25/BANF1/PDAP1/FEN1/ATP13A1/EIF3D/RSL1D1/NSUN6/ERH/LYPLA2/PCBP1/BABAM1/RPL6/RPL27/RSL24D1/PNKP/UBE2G2/UTP11/ZNF202/FKBP1A/YARS1/PGK1/MCMBP/TRMT112/SAMD10/TRMT2A/TCOF1/COG8/SFSWAP/MRPL24/EIF2S3/TATDN1/ADSL/KCTD5/CHERP/USF1/KLRG1/GTPBP4/SERBP1/EME1/UFD1/EIF3L/SURF6"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","3","PRMT5_TARGET_GENES","PRMT5_TARGET_GENES","-1.921332678190493","0.00007536547747683133","0.007160060648836670","0.003469171140538355752742","30","105","0.2857142857142857","0.000000000000000000","4","1","0.033333333333333333","0.038095238095238099","0.008097165991902834","0.7457339918790517608","0.79166261720292296911","Keep","EPC1_TARGET_GENES","EPC1_TARGET_GENES",FALSE,"SLC12A8/TPST2/CCN2/H2AC11/H4C8/FRMD6/AFAP1/NFE2L2/RND3/AXL/EPHA2/PRKCH/NCOR1/SH3BP4/PRCP/MICAL2/CFLAR/POLR2A/DAAM1/ESYT1/SQSTM1/UTRN/PRR5L/ZBTB4/TRABD2A/NRP1/ANKRD1/KRT80/KLF6/ZBTB38","SLC12A8/TPST2/CCN2/H2AC11/H4C8/FRMD6/AFAP1/NFE2L2/RND3/AXL/EPHA2/PRKCH/NCOR1/SH3BP4/PRCP/MICAL2/CFLAR/POLR2A/DAAM1/ESYT1/SQSTM1/UTRN/PRR5L/ZBTB4/TRABD2A/NRP1/ANKRD1/KRT80/KLF6/ZBTB38"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","4","TERF1_TARGET_GENES","TERF1_TARGET_GENES","-1.656833615783535","0.00009578676453293205","0.007160060648836670","0.003469171140538355752742","64","299","0.2140468227424749","0.000000000000000000","5","1","0.015625000000000000","0.016722408026755852","0.009469696969696970","0.7028457290137961611","0.85351307401870102343","Keep","FOXR2_TARGET_GENES","FOXR2_TARGET_GENES",FALSE,"HLA-A/TANK/UST/PPP2R5B/ZNF785/TNFSF10/HLA-DRB1/APOBEC3B/LIMA1/DMAC2L/GMFB/CLIP1/ARF4/SORT1/DUSP16/TLK2/ACTR2/GNG5/SLC25A45/SMG6/CYTIP/RGS3/BANK1/MRTFA/CALCOCO2/KAT7/BMAL2/ELF1/PLEK/SERPINA1/TNIK/BACH1/SLFN11/SPG11/TRIM22/KATNBL1/UMODL1/MYO3B/SLC6A12/SLC25A46/BCL9L/TACC1/PNPLA8/APOL6/ST3GAL1/KPNA1/TRAK1/SYNJ1/CD69/PRKACB/ARL6IP5/RAB18/FOXN3/EPB41L1/GJC1/NEDD9/ITPRID2/BBX/CD74/VMP1/RASGRP3/PHLDB2/FNDC3B/NFAT5","HLA-A/TANK/UST/PPP2R5B/ZNF785/TNFSF10/HLA-DRB1/APOBEC3B/LIMA1/DMAC2L/GMFB/CLIP1/ARF4/SORT1/DUSP16/TLK2/ACTR2/GNG5/SLC25A45/SMG6/CYTIP/RGS3/BANK1/MRTFA/CALCOCO2/KAT7/BMAL2/ELF1/PLEK/SERPINA1/TNIK/BACH1/SLFN11/SPG11/TRIM22/KATNBL1/UMODL1/MYO3B/SLC6A12/SLC25A46/BCL9L/TACC1/PNPLA8/APOL6/ST3GAL1/KPNA1/TRAK1/SYNJ1/CD69/PRKACB/ARL6IP5/RAB18/FOXN3/EPB41L1/GJC1/NEDD9/ITPRID2/BBX/CD74/VMP1/RASGRP3/PHLDB2/FNDC3B/NFAT5"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","5","RORA_TARGET_GENES","RORA_TARGET_GENES","1.669846434477233","0.00015401913968444265","0.008774729396201884","0.004251505605931289559496","76","266","0.2857142857142857","0.000000000000000000","14","7","0.092105263157894732","0.052631578947368418","0.021705426356589147","0.0687101117378932230","0.12643176004577885707","Keep","EPC1_TARGET_GENES","EPC1_TARGET_GENES",FALSE,"NME1/UFC1/SLC27A5/MRPL13/RNF145/SUGCT/DPAGT1/ATP5PF/PEMT/GTPBP3/CCDC97/H3C7/NOSIP/RPS7/ZNF581/TATDN3/ALDH18A1/EIF3F/NOP16/C12orf76/FKBP3/CLRN3/RPS18/CDC123/TARS2/HIGD2A/MRPL48/BANF1/KIF22/EIF5B/CSDE1/MCAT/NSL1/MRPL30/ZNF580/KIAA0586/YJU2/ZC3HC1/HMGN2/TMEM222/RPL27/MAN2C1/PHF14/TUT1/FEM1B/UQCC1/INTS12/CCNA2/STX18/MRPL1/LSM5/NSA2/VPS25/HDAC8/NDUFAF1/H2BC9/VPS51/NLN/NUF2/ZNF408/YIPF2/HSPA9/TXN2/RRM1/IFTAP/ZNF561/NUDCD3/MTOR/NUDT5/PRRG2/UQCC6/HSD17B2/NDUFB3/TMEM230/ELP3/TMEM69","NME1/UFC1/SLC27A5/MRPL13/RNF145/SUGCT/DPAGT1/ATP5PF/PEMT/GTPBP3/CCDC97/H3C7/NOSIP/RPS7/ZNF581/TATDN3/ALDH18A1/EIF3F/NOP16/C12orf76/FKBP3/CLRN3/RPS18/CDC123/TARS2/HIGD2A/MRPL48/BANF1/KIF22/EIF5B/CSDE1/MCAT/NSL1/MRPL30/ZNF580/KIAA0586/YJU2/ZC3HC1/HMGN2/TMEM222/RPL27/MAN2C1/PHF14/TUT1/FEM1B/UQCC1/INTS12/CCNA2/STX18/MRPL1/LSM5/NSA2/VPS25/HDAC8/NDUFAF1/H2BC9/VPS51/NLN/NUF2/ZNF408/YIPF2/HSPA9/TXN2/RRM1/IFTAP/ZNF561/NUDCD3/MTOR/NUDT5/PRRG2/UQCC6/HSD17B2/NDUFB3/TMEM230/ELP3/TMEM69"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","6","MAML1_TARGET_GENES","MAML1_TARGET_GENES","-1.634442604025502","0.00017608152634518830","0.008774729396201884","0.004251505605931289559496","50","325","0.1538461538461539","0.000000000000000000","2","2","0.040000000000000001","0.006153846153846154","0.004672897196261682","0.0232668566001899349","0.07967032967032967872","Exclude","PRMT5_TARGET_GENES","PRMT5_TARGET_GENES",FALSE,"MKNK2/GTPBP8/SNX25/LZTFL1/HDAC7/IRF8/SLC33A1/CFAP97/MAP1LC3B2/CD37/PLEK/HES1/GSAP/CYBC1/BACH1/ICAM2/LRIG1/REL/FKTN/ZNF831/CEACAM1/ECE1/PRKCH/BCL9L/SEC14L1/RHBDF2/TRIM38/GOLM2/RIMS2/DAAM1/ST3GAL1/PIK3AP1/TOR1AIP1/PDE4D/F8/NR3C1/CD69/GADD45B/NEDD9/DGKA/TLE4/ZEB1/ST6GAL1/RASGRP3/BIRC3/AFF3/RAB30/ZEB2/TXNIP/NFAT5","MKNK2/GTPBP8/SNX25/LZTFL1/HDAC7/IRF8/SLC33A1/CFAP97/MAP1LC3B2/CD37/PLEK/HES1/GSAP/CYBC1/BACH1/ICAM2/LRIG1/REL/FKTN/ZNF831/CEACAM1/ECE1/PRKCH/BCL9L/SEC14L1/RHBDF2/TRIM38/GOLM2/RIMS2/DAAM1/ST3GAL1/PIK3AP1/TOR1AIP1/PDE4D/F8/NR3C1/CD69/GADD45B/NEDD9/DGKA/TLE4/ZEB1/ST6GAL1/RASGRP3/BIRC3/AFF3/RAB30/ZEB2/TXNIP/NFAT5"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","7","PITX1_TARGET_GENES","PITX1_TARGET_GENES","1.521259346745351","0.00038763677258390322","0.016557627857512438","0.008022452257913322004601","84","351","0.2393162393162393","0.000000000000000000","20","10","0.119047619047619041","0.056980056980056981","0.027624309392265192","0.0082159438808825369","0.07103028217899351460","Exclude","EPC1_TARGET_GENES","EPC1_TARGET_GENES",FALSE,"FAM174B/FBL/RPS12/RPLP0/PRMT1/MRPL51/SMG9/GAPDH/MLF2/RPS17/CCNB1/MMAB/PTMA/PCSK9/HNRNPA1/SNRPA1/CCDC97/RAB11A/EEF1A1/GUSB/EIF2B4/TDG/DMAC2/DTL/MVK/FBXO22/ITFG2/NOP16/UQCRC2/C20orf96/RFC2/BUD13/INTS7/PA2G4/HIGD2A/STARD10/CCT3/CMSS1/SERTAD3/TSACC/XRCC6/LZIC/MBD1/ANAPC5/SDHA/LMO7/BNIP1/CFAP298/RCCD1/SLC11A2/MAN2C1/SHARPIN/SAMM50/DHODH/MRPL55/COX19/NOL7/DIMT1/FIS1/STOML1/FEM1B/ADPGK/DDX55/ZNF669/SPAG7/TULP3/ESRP2/ZBTB17/BRK1/MVD/ACADSB/ATAD1/RUSC1/AGPAT1/FADS1/CDC7/TMEM62/SPRTN/PPCS/GPN1/EMC4/UQCC6/GUK1/NUP42","FAM174B/FBL/RPS12/RPLP0/PRMT1/MRPL51/SMG9/GAPDH/MLF2/RPS17/CCNB1/MMAB/PTMA/PCSK9/HNRNPA1/SNRPA1/CCDC97/RAB11A/EEF1A1/GUSB/EIF2B4/TDG/DMAC2/DTL/MVK/FBXO22/ITFG2/NOP16/UQCRC2/C20orf96/RFC2/BUD13/INTS7/PA2G4/HIGD2A/STARD10/CCT3/CMSS1/SERTAD3/TSACC/XRCC6/LZIC/MBD1/ANAPC5/SDHA/LMO7/BNIP1/CFAP298/RCCD1/SLC11A2/MAN2C1/SHARPIN/SAMM50/DHODH/MRPL55/COX19/NOL7/DIMT1/FIS1/STOML1/FEM1B/ADPGK/DDX55/ZNF669/SPAG7/TULP3/ESRP2/ZBTB17/BRK1/MVD/ACADSB/ATAD1/RUSC1/AGPAT1/FADS1/CDC7/TMEM62/SPRTN/PPCS/GPN1/EMC4/UQCC6/GUK1/NUP42"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","8","ZNF791_TARGET_GENES","ZNF791_TARGET_GENES","-1.879788101114513","0.00047506095739957170","0.017755403282808991","0.008602794819531146483516","17","68","0.2500000000000000","0.000000000000000000","1","1","0.058823529411764705","0.014705882352941176","0.003322259136212625","0.2499999999999998890","0.31623931623931633705","Keep","FOXR2_TARGET_GENES","FOXR2_TARGET_GENES",FALSE,"RND1/STX4/DVL2/PRDM6/FCHO2/CWC25/NOVA1/STX17/GIT2/TSC22D4/SAXO3/STAT6/SDCBP/RAB11FIP5/SDC4/TSHZ2/CCN1","RND1/STX4/DVL2/PRDM6/FCHO2/CWC25/NOVA1/STX17/GIT2/TSC22D4/SAXO3/STAT6/SDCBP/RAB11FIP5/SDC4/TSHZ2/CCN1"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","9","NPM1_TARGET_GENES","NPM1_TARGET_GENES","1.467939821406758","0.00062165296494572379","0.020652692946530157","0.010006580929750005445888","86","364","0.2362637362637363","0.011494252873563218","20","12","0.139534883720930231","0.054945054945054944","0.027137042062415198","0.0003620454869952982","0.00832516382487309692","Keep","EPC1_TARGET_GENES","EPC1_TARGET_GENES",TRUE,"RPS19/RPS11/EIF3G/NOL9/RPL10A/RPL18/RPL10/RPL27A/YBX1/RPS20/RPS8/IREB2/KDM1A/ANKRD46/PPIA/EIF5A/COX7A2/CUEDC2/GTPBP3/RPL12/TNPO2/TFB2M/AURKAIP1/NARS1/TIPIN/GATC/KMT5A/RPS7/RPS3A/HNRNPUL1/COX4I1/GFUS/TOMM22/UBE2J2/SSRP1/GOT2/SEM1/EMD/IDH3B/HNRNPH3/WDR43/BYSL/FNTA/R3HCC1/LZIC/MTIF2/UCHL5/IRF2BP1/POLR1H/NDUFB7/ZNF787/STUB1/TMEM209/RPL37A/MRGBP/TUFM/MRPS33/SF3A3/BRIX1/ZNF202/ZFTRAF1/KLHL21/FIS1/VMA12/ATP9B/RPL7A/HENMT1/TIMM10/SNRPE/SSNA1/WDR70/FUBP1/COG8/TMEM18/CACYBP/EMC8/FRS3/COA1/PFDN5/MKKS/CASP9/ZNF250/HOXA9/KCTD5/CYP1A1/KLRG1","RPS19/RPS11/EIF3G/NOL9/RPL10A/RPL18/RPL10/RPL27A/YBX1/RPS20/RPS8/IREB2/KDM1A/ANKRD46/PPIA/EIF5A/COX7A2/CUEDC2/GTPBP3/RPL12/TNPO2/TFB2M/AURKAIP1/NARS1/TIPIN/GATC/KMT5A/RPS7/RPS3A/HNRNPUL1/COX4I1/GFUS/TOMM22/UBE2J2/SSRP1/GOT2/SEM1/EMD/IDH3B/HNRNPH3/WDR43/BYSL/FNTA/R3HCC1/LZIC/MTIF2/UCHL5/IRF2BP1/POLR1H/NDUFB7/ZNF787/STUB1/TMEM209/RPL37A/MRGBP/TUFM/MRPS33/SF3A3/BRIX1/ZNF202/ZFTRAF1/KLHL21/FIS1/VMA12/ATP9B/RPL7A/XTBD1/HENMT1/TIMM10/SNRPE/SSNA1/WDR70/FUBP1/COG8/TMEM18/CACYBP/EMC8/FRS3/COA1/PFDN5/MKKS/CASP9/ZNF250/HOXA9/KCTD5/CYP1A1/KLRG1"
"GSE282081","Main_DE","3D_hepatic_coculture","TFT_GTRD","10","SOX11_TARGET_GENES","SOX11_TARGET_GENES","1.872548723959060","0.00114455024729003484","0.034222052393972038","0.016581166327752923372874","17","47","0.3617021276595745","0.000000000000000000","7","4","0.235294117647058820","0.148936170212765950","0.016166281755196306","0.2026554972079771533","0.15602172720779616810","Keep","EPC1_TARGET_GENES","EPC1_TARGET_GENES",FALSE,"APEX1/RANBP1/ZNF397/RBMX/ZNF146/SNRPA/AP4M1/SETMAR/SFPQ/CFL1/RPL23/OSGEP/TRMT2A/GTF2IRD1/MCM7/GNL3/ACTMAP","APEX1/RANBP1/ZNF397/RBMX/ZNF146/SNRPA/AP4M1/SETMAR/SFPQ/CFL1/RPL23/OSGEP/TRMT2A/GTF2IRD1/MCM7/GNL3/ACTMAP"
