"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","5","GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN","GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN","1.998295750416750","0.00000001167030249379779","0.00001137154274995656","0.000004682812557415731","67","200","0.3350000000000000","0.00000000000000000","12","8","0.11940298507462686","0.06000000000000000","0.031168831168831169","0.01637198225458840264","0.05252467833807967","Exclude","GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN","GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN",FALSE,"CCDC85B/AATF/UBE2S/FKBP4/SMC4/SLC7A5/HSPA8/KIF15/GADD45GIP1/ETFB/IL18R1/MRPL52/NAT10/NXT1/MRPL34/NUDC/BUD31/NHP2/UTP14A/DNAJC2/EGR2/CLTA/E2F8/EIF3J/MRPS2/PARP2/JPT2/GINS3/IFRD2/GSPT1/BHLHE40/ALG3/NFKB1/ATAD2/TOE1/ODC1/NUP88/MNAT1/TTLL12/TMEM11/CFAP20/HSPA9/NEIL3/MCM4/R3HDM1/PDAP1/ITGB3BP/GRPEL1/NASP/SERBP1/ALDOA/MTREX/MORF4L2/IPO5/DDX49/DNAAF2/PSMG1/POLR2H/UTP18/CLUH/WARS1/HK2/HPF1/DNTTIP2/MRPL40/POLD2/RPP30","CCDC85B/AATF/UBE2S/FKBP4/SMC4/SLC7A5/HSPA8/KIF15/GADD45GIP1/ETFB/IL18R1/MRPL52/NAT10/NXT1/MRPL34/NUDC/BUD31/NHP2/UTP14A/DNAJC2/EGR2/CLTA/E2F8/EIF3J/MRPS2/PARP2/JPT2/GINS3/IFRD2/GSPT1/BHLHE40/ALG3/NFKB1/ATAD2/TOE1/ODC1/NUP88/MNAT1/TTLL12/TMEM11/CFAP20/HSPA9/NEIL3/MCM4/R3HDM1/PDAP1/ITGB3BP/GRPEL1/NASP/SERBP1/ALDOA/MTREX/MORF4L2/IPO5/DDX49/DNAAF2/PSMG1/POLR2H/UTP18/CLUH/WARS1/HK2/HPF1/DNTTIP2/MRPL40/POLD2/RPP30"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","6","GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP","GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP","2.014529610301099","0.00000002501489007958214","0.00002031209074462071","0.000008364539068952713","79","200","0.3950000000000000","0.00000000000000000","29","16","0.20253164556962025","0.14499999999999999","0.078167115902964962","0.04943538565412437802","0.12154488039620677","Exclude","GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN","GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN",FALSE,"NOL7/DCLRE1A/HNRNPAB/RBM10/SLC7A5/TAP1/TMEM106C/HSPD1/IFT57/REXO2/LTB/PABPN1/RUVBL1/GGH/PDCD5/MKI67/PLPP1/EXO1/MRPL58/C1QBP/BAG2/NOC4L/EIF2B3/CDT1/ERCC6L/CLPP/GINS3/HNRNPM/POP7/IFRD2/PTBP1/PDCD2/TOE1/NCL/ODC1/MCM10/TARS1/POLR1E/TTI2/ILKAP/MCAT/CFAP20/TSR3/MICAL3/BORA/PFDN2/DTL/TWNK/PMS1/NOLC1/SPDL1/SGTA/IPO5/SLC25A38/ISG20L2/SRM/UBE2M/DUS1L/DTYMK/SUPT16H/MRPL17/POLD2/COX17/UAP1/EIF2S1/TRAF1/LIF/BLMH/IFT56/BZW2/CENPF/NPRL3/RACGAP1/NVL/CTPS1/BYSL/NUDT15/MRE11/UBAP2","NOL7/DCLRE1A/HNRNPAB/RBM10/SLC7A5/TAP1/TMEM106C/HSPD1/IFT57/REXO2/LTB/PABPN1/RUVBL1/GGH/PDCD5/MKI67/PLPP1/EXO1/MRPL58/C1QBP/BAG2/NOC4L/EIF2B3/CDT1/ERCC6L/CLPP/GINS3/HNRNPM/POP7/IFRD2/PTBP1/PDCD2/TOE1/NCL/ODC1/MCM10/TARS1/POLR1E/TTI2/ILKAP/MCAT/CFAP20/TSR3/MICAL3/BORA/PFDN2/DTL/TWNK/PMS1/NOLC1/SPDL1/SGTA/IPO5/SLC25A38/ISG20L2/SRM/UBE2M/DUS1L/DTYMK/SUPT16H/MRPL17/POLD2/COX17/UAP1/EIF2S1/TRAF1/LIF/BLMH/IFT56/BZW2/CENPF/NPRL3/RACGAP1/NVL/CTPS1/BYSL/NUDT15/MRE11/UBAP2"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","19","GSE24210_RESTING_TREG_VS_TCONV_DN","GSE24210_RESTING_TREG_VS_TCONV_DN","1.866232717332577","0.00000086664842935796789","0.00021173142606329838","0.000087191210776791148","61","200","0.3050000000000000","0.00000000000000000","10","6","0.09836065573770492","0.05000000000000000","0.025641025641025640","0.04671013318396706471","0.11461819417237126","Exclude","GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN","GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN",FALSE,"AHSA1/COMTD1/PPP2CA/ZNF768/NQO1/SQLE/SLC7A5/NSMF/RNASEH2B/TSEN2/CDC34/NCBP1/NAT10/NHP2/RUVBL1/PDCD5/GTF2I/CWC27/MRPS31/USP28/NAP1L4/RBM19/CYBA/EIF3J/EIF2B3/TMEM51/CLPP/CCNQ/IFRD2/FOSL1/PTBP1/SLC25A1/SHQ1/NDUFAF2/MRPL46/EIF2S2/MTHFD1/GEMIN5/MESD/PSMF1/GRPEL1/SSBP1/CKAP5/ABCC4/RSL1D1/MBD3/CCT6A/ELAC2/PSMG1/RCC1/CPTP/SRM/GFM1/CASP4/HMGCS1/TXNL1/CLUH/RRP9/POLR3B/QTRT2/NELFE","AHSA1/COMTD1/PPP2CA/ZNF768/NQO1/SQLE/SLC7A5/NSMF/RNASEH2B/TSEN2/CDC34/NCBP1/NAT10/NHP2/RUVBL1/PDCD5/GTF2I/CWC27/MRPS31/USP28/NAP1L4/RBM19/CYBA/EIF3J/EIF2B3/TMEM51/CLPP/CCNQ/IFRD2/FOSL1/PTBP1/SLC25A1/SHQ1/NDUFAF2/MRPL46/EIF2S2/MTHFD1/GEMIN5/MESD/PSMF1/GRPEL1/SSBP1/CKAP5/ABCC4/RSL1D1/MBD3/CCT6A/ELAC2/PSMG1/RCC1/CPTP/SRM/GFM1/CASP4/HMGCS1/TXNL1/CLUH/RRP9/POLR3B/QTRT2/NELFE"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","23","GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_DN","GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_DN","1.874457247340194","0.00000157691113163868966","0.00033403091449320417","0.000137554261136626474","66","196","0.3367346938775510","0.00000000000000000","68","30","0.45454545454545453","0.34693877551020408","0.209230769230769220","0.01857554777055508977","0.24711270037094077","Exclude","GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN","GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN",FALSE,"DCLRE1A/OLFM1/CEP83/SLC39A3/ANP32B/NOC3L/ST3GAL4/BRCA1/POLQ/CMTM7/UTP14A/CTNNBL1/TXNDC12/MRPL58/CDC26/THAP11/TOR3A/E2F8/MRPS2/CAMK4/BUD13/DHFR/MALSU1/TEDC2/DDX23/POP7/RIOK1/POLD3/CHERP/CCDC59/UBE3D/ITGA9/MIS18A/NSRP1/TTI2/RBMX2/ASTE1/NUP88/MRM3/MTHFD1/EBNA1BP2/HADH/CCDC150/MCM4/MRPL9/PLD6/ACTR3B/TCF19/FAM111B/NLE1/COPRS/TICRR/CDCA4/DTYMK/GNL3/FEN1/LHFPL1/PIK3CB/JADE1/CLNS1A/DNTTIP2/STK39/POLD2/GPSM2/TBC1D31/MUTYH","DCLRE1A/OLFM1/CEP83/SLC39A3/ANP32B/NOC3L/ST3GAL4/BRCA1/POLQ/CMTM7/UTP14A/CTNNBL1/TXNDC12/MRPL58/CDC26/THAP11/TOR3A/E2F8/MRPS2/CAMK4/BUD13/DHFR/MALSU1/TEDC2/DDX23/POP7/RIOK1/POLD3/CHERP/CCDC59/UBE3D/ITGA9/MIS18A/NSRP1/TTI2/RBMX2/ASTE1/NUP88/MRM3/MTHFD1/EBNA1BP2/HADH/CCDC150/MCM4/MRPL9/PLD6/ACTR3B/TCF19/FAM111B/NLE1/COPRS/TICRR/CDCA4/DTYMK/GNL3/FEN1/LHFPL1/PIK3CB/JADE1/CLNS1A/DNTTIP2/STK39/POLD2/GPSM2/TBC1D31/MUTYH"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","25","GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_DN","GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_DN","-1.878309832031154","0.00000226395238684766369","0.00044119904114887270","0.000181686201744227953","50","200","0.2500000000000000","0.00000000000000000","9","5","0.10000000000000001","0.04500000000000000","0.023017902813299233","0.04499269403664443723","0.11997670993110525","Exclude","GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",FALSE,"SPRED1/LIX1L/SLC66A3/MAPK3/ITGB2/KDELR1/RAB8B/SKIL/UBASH3B/CYBB/LAT2/ALOX5AP/NCF2/MAPK1IP1L/DENND10/GALNT9/BACH1/SH3BGRL3/PRDM1/ANXA2/CD9/CORO1C/DAP/SDCBP/F2RL1/FSTL1/TRAM1/ANXA1/ACTR3/STARD4/ATP6V1H/NPC2/MOB1A/ITGAV/LUZP1/TMEM128/LITAF/SLC6A20/NSG1/MALT1/TGFBR1/SLC30A7/WLS/CCR1/CAMK1D/PLAT/RAB31/MYO1G/ZNF217/KCNN4","SPRED1/LIX1L/SLC66A3/MAPK3/ITGB2/KDELR1/RAB8B/SKIL/UBASH3B/CYBB/LAT2/ALOX5AP/NCF2/MAPK1IP1L/DENND10/GALNT9/BACH1/SH3BGRL3/PRDM1/ANXA2/CD9/CORO1C/DAP/SDCBP/F2RL1/FSTL1/TRAM1/ANXA1/ACTR3/STARD4/ATP6V1H/NPC2/MOB1A/ITGAV/LUZP1/TMEM128/LITAF/SLC6A20/NSG1/MALT1/TGFBR1/SLC30A7/WLS/CCR1/CAMK1D/PLAT/RAB31/MYO1G/ZNF217/KCNN4"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","29","GSE43955_10H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN","GSE43955_10H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN","-1.839731659496742","0.00000395434763401396692","0.00065913857778367591","0.000271433918597749802","62","200","0.3100000000000000","0.00000000000000000","7","5","0.08064516129032258","0.03500000000000000","0.017811704834605598","0.03071315641734850832","0.05242253321084862","Exclude","GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP","GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP",FALSE,"GHITM/RECK/ELK3/S100A6/LANCL1/PSMD2/ESRP2/FKBP7/CD72/PON1/HAL/CDS2/IFI27L2/LPIN2/ANXA7/MATN2/LY6E/C1QTNF1/MAPK6/BMPR1B/HDAC3/STT3B/CCNT1/ADGRE1/MELTF/HSD17B2/MYL2/TSPAN6/TUBB2A/MX2/HAS2/WWTR1/DUSP6/GNGT2/RCAN1/C2/GPX2/GPR162/CCN1/TAGLN/F3/OAZ2/SMAD5/ANXA2/PLAUR/ID2/SLC22A17/KRT6A/PPP4R2/KCNQ2/SLC1A2/NYNRIN/MDM2/CACNB3/WLS/HPGD/TPD52L1/COL1A1/TIMP3/OLR1/FOLR1/KCNN4","GHITM/RECK/ELK3/S100A6/LANCL1/PSMD2/ESRP2/FKBP7/CD72/PON1/HAL/CDS2/IFI27L2/LPIN2/ANXA7/MATN2/LY6E/C1QTNF1/MAPK6/BMPR1B/HDAC3/STT3B/CCNT1/ADGRE1/MELTF/HSD17B2/MYL2/TSPAN6/TUBB2A/MX2/HAS2/WWTR1/DUSP6/GNGT2/RCAN1/C2/GPX2/GPR162/CCN1/TAGLN/F3/OAZ2/SMAD5/ANXA2/PLAUR/ID2/SLC22A17/KRT6A/PPP4R2/KCNQ2/SLC1A2/NYNRIN/MDM2/CACNB3/WLS/HPGD/TPD52L1/COL1A1/TIMP3/OLR1/FOLR1/KCNN4"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","30","GSE39820_CTRL_VS_TGFBETA1_IL6_CD4_TCELL_DN","GSE39820_CTRL_VS_TGFBETA1_IL6_CD4_TCELL_DN","-1.862583439539573","0.00000405873508487485077","0.00065913857778367591","0.000271433918597749802","58","200","0.2900000000000000","0.01694915254237288","5","4","0.06896551724137931","0.02500000000000000","0.012658227848101266","0.02556679943104451028","0.06672475985684520","Exclude","GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP","GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP",FALSE,"RAB11A/HS1BP3/FURIN/ATP6V0E1/ACVR1B/TACC2/SMIM3/SNAPC1/NINJ1/MAPRE1/ETV6/TRAF6/TMEM14C/CORO7/TOX2/KAT2B/TMX4/LIMK2/CCDC6/C6orf120/TSPAN6/CNP/PLD2/HEXB/TLE6/DENND10/PFN2/MAPK9/ABI1/PAFAH1B1/GALNT9/NECAP2/TNFRSF1A/SMPD1/ACAP1/PPME1/CAPZA1/NT5E/ANXA4/RBMS2/ITGA3/PTPN1/SMOX/PSAP/CCNC/LBH/DNASE1L1/PLEKHG2/FEZ2/DAZAP2/B4GALT1/ACP5/GAB2/EID1/ATOSB/PPP1CC/SERPINB1/SGPL1","RAB11A/HS1BP3/FURIN/ATP6V0E1/ACVR1B/TACC2/SMIM3/SNAPC1/NINJ1/MAPRE1/ETV6/TRAF6/TMEM14C/CORO7/TOX2/KAT2B/TMX4/LIMK2/CCDC6/C6orf120/TSPAN6/CNP/PLD2/HEXB/TLE6/DENND10/PFN2/MAPK9/ABI1/PAFAH1B1/GALNT9/NECAP2/TNFRSF1A/SMPD1/ACAP1/PPME1/CAPZA1/NT5E/ANXA4/RBMS2/ITGA3/PTPN1/SMOX/PSAP/CCNC/LBH/DNASE1L1/CDC50A/PLEKHG2/FEZ2/DAZAP2/B4GALT1/ACP5/GAB2/EID1/ATOSB/PPP1CC/SERPINB1/SGPL1"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","32","GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN","GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN","-1.932414885933508","0.00000484674110137493789","0.00072658873827451337","0.000299209961434805292","52","166","0.3132530120481928","0.00000000000000000","5","4","0.07692307692307693","0.03012048192771084","0.013850415512465374","0.03385240904823950264","0.06043852329085600","Exclude","GSE40068_CXCR5POS_BCL6POS_TFH_VS_CXCR5NEG_BCL6NEG_CD4_TCELL_DN","GSE40068_CXCR5POS_BCL6POS_TFH_VS_CXCR5NEG_BCL6NEG_CD4_TCELL_DN",FALSE,"BST1/FSCN1/GRN/NINJ1/CDKN1A/ELF4/P2RX4/STAB1/SLC15A3/APLP2/SORT1/NEU1/MPP1/FHL3/CDC42EP3/TOLLIP/TOM1/SIRPA/DSE/ABCC6/GAS7/BNIP3L/C2/HIF1A/CD63/RAB1A/PLIN3/LEPROT/MARCHF2/VAMP3/LAPTM4A/PLAUR/SDCBP/MICAL2/SERPINA1/ARF4/ICAM1/SAMD4A/CKAP4/CD36/NPC2/TIMP1/FLVCR2/LAMP2/DAZAP2/SUMO3/ANPEP/ADM/TIMP2/WLS/SERPINB1/NRG1","BST1/FSCN1/GRN/NINJ1/CDKN1A/ELF4/P2RX4/STAB1/SLC15A3/APLP2/SORT1/NEU1/MPP1/FHL3/CDC42EP3/TOLLIP/TOM1/SIRPA/DSE/ABCC6/GAS7/BNIP3L/C2/HIF1A/CD63/RAB1A/PLIN3/LEPROT/MARCHF2/VAMP3/LAPTM4A/PLAUR/SDCBP/MICAL2/SERPINA1/ARF4/ICAM1/SAMD4A/CKAP4/CD36/NPC2/TIMP1/FLVCR2/LAMP2/DAZAP2/SUMO3/ANPEP/ADM/TIMP2/WLS/SERPINB1/NRG1"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","34","GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN","GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN","-1.843180695316697","0.00000507061106349208908","0.00072658873827451337","0.000299209961434805292","52","200","0.2600000000000000","0.00000000000000000","18","9","0.17307692307692307","0.09000000000000000","0.047120418848167540","0.01951732883588173581","0.07618340403105750","Exclude","GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP","GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP",FALSE,"CBLC/CLDN7/GRN/ACVR1B/NINJ1/ZDHHC7/DHX58/PI4K2A/CMKLR1/TRPV2/SLC8B1/ITGB2/APLP2/FES/CAVIN1/CLIP4/ST3GAL5/MPP1/NPTN/ATP6V1E1/NCF2/ALAS1/ALDH2/S100A13/CD63/ITGA5/GPNMB/VAMP3/CD9/RHOQ/SDCBP/THEMIS2/LMBR1L/CD81/PSAP/NPC2/PRCP/DAB2/LAMP2/CAPG/ARHGEF10L/CTTN/STARD8/FZD2/SGPL1/COL8A2/TLE2/CCR1/ZNF185/RAB31/TNS3/GABARAPL1","CBLC/CLDN7/GRN/ACVR1B/NINJ1/ZDHHC7/DHX58/PI4K2A/CMKLR1/TRPV2/SLC8B1/ITGB2/APLP2/FES/CAVIN1/CLIP4/ST3GAL5/MPP1/NPTN/ATP6V1E1/NCF2/ALAS1/ALDH2/S100A13/CD63/ITGA5/GPNMB/VAMP3/CD9/RHOQ/SDCBP/THEMIS2/LMBR1L/CD81/PSAP/NPC2/PRCP/DAB2/LAMP2/CAPG/ARHGEF10L/CTTN/STARD8/FZD2/SGPL1/COL8A2/TLE2/CCR1/ZNF185/RAB31/TNS3/GABARAPL1"
"GSE282081","Main_DE","3D_organoid","IMMUNESIGDB","37","GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN","GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN","1.785923973020006","0.00000663778029168639312","0.00087403420489448938","0.000359928150497118918","80","199","0.4020100502512563","0.01234567901234568","8","6","0.07500000000000000","0.04020100502512563","0.020512820512820513","0.04758156658106087872","0.08152544147863929","Exclude","GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN","GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN",FALSE,"JUND/CRLS1/KLF6/CEBPD/GZMB/HNRNPAB/SNX25/CDC6/HSPD1/EGLN1/LRFN4/TSEN2/HSPA5/PLPP1/POLRMT/CHCHD4/NOL8/PALS2/RAD51/EIF3J/ZDHHC9/OTUD5/DDX10/GINS3/NANS/RPF2/ERICH1/LYSMD2/RPS19BP1/EPOP/SURF6/NCL/PLP2/AIMP2/MCRIP2/CHD1L/ZNF664/EBNA1BP2/MSH2/ZNF473/BATF/GRPEL1/TNFRSF1B/MTHFD1L/IL17RB/MRM2/PPP1R15B/CDCA4/GNL3/HEY1/TRNT1/WARS1/SRI/GPR55/TRIB3/RABGGTB/QTRT2/EPHB2/PDSS1/RPP30/NDUFAF6/RBM18/RABIF/DNAJA3/TAF1A/WRNIP1/SKI/BYSL/ATG101/RPP38/SPIN4/PUM3/PPAN/DNAAF5/FBXO30/BATF3/METTL1/SFT2D1/RERE/BCS1L","JUND/CRLS1/KLF6/CEBPD/GZMB/HNRNPAB/SNX25/CDC6/HSPD1/EGLN1/LRFN4/TSEN2/HSPA5/PLPP1/POLRMT/CHCHD4/NOL8/PALS2/RAD51/EIF3J/ZDHHC9/OTUD5/DDX10/GINS3/NANS/RPF2/ERICH1/LYSMD2/RPS19BP1/EPOP/SURF6/NCL/PLP2/AIMP2/MCRIP2/CHD1L/ZNF664/EBNA1BP2/MSH2/ZNF473/BATF/GRPEL1/TNFRSF1B/MTHFD1L/IL17RB/MRM2/PPP1R15B/CDCA4/GNL3/HEY1/TRNT1/WARS1/SRI/GPR55/TRIB3/RABGGTB/QTRT2/EPHB2/DRC9/PDSS1/RPP30/NDUFAF6/RBM18/RABIF/DNAJA3/TAF1A/WRNIP1/SKI/BYSL/ATG101/RPP38/SPIN4/PUM3/PPAN/DNAAF5/FBXO30/BATF3/METTL1/SFT2D1/RERE/BCS1L"
