"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","1","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","2.834286118570417","0.000000000100000000000000","0.0000000462000000000000","0.00000003218635208182962","63","88","0.71590909090909094","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"RPL41/RPS26/FAU/RPL37/RPL36/RPL36A/RPL11/RPS17/RPS10/RPL24/RPL38/RPS27/RPL27A/RPL35/RPL8/RPS20/RPL6/RPS24/RPL18/RPL19/RPL9/RPS15A/RPL27/RPL21/RPS15/RPL23/RPS8/RPS9/UBA52/RPL37A/RPS13/RPL10A/RPL10/RPL29/RPS27A/RPL32/RPL14/RPL28/RPLP2/RPLP1/RPS7/RPS4X/RPS6/RPL7/RPL23A/RPL39/RPL13/RPL31/RPL35A/RPS25/RPS3A/RPS14/RPS2/RPS12/RPL7A/RPL17/RPL22/RPS18/RPL5/RPL26/RPS6KB2/RPL12/RPS19","RPL41/RPS26/FAU/RPL37/RPL36/RPL36A/RPL11/RPS17/RPS10/RPL24/RPL38/RPS27/RPL27A/RPL35/RPL8/RPS20/RPL6/RPS24/RPL18/RPL19/RPL9/RPS15A/RPL27/RPL21/RPS15/RPL23/RPS8/RPS9/UBA52/RPL37A/RPS13/RPL10A/RPL10/RPL29/RPS27A/RPL32/RPL14/RPL28/RPLP2/RPLP1/RPS7/RPS4X/RPS6/RPL7/RPL23A/RPL39/RPL13/RPL31/RPL35A/RPS25/RPS3A/RPS14/RPS2/RPS12/RPL7A/RPL17/RPL22/RPS18/RPL5/RPL26/RPS6KB2/RPL12/RPS19"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","2","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","2.662839029771810","0.000000000100000000000000","0.0000000462000000000000","0.00000003218635208182962","51","105","0.48571428571428571","0.01923076923076923","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"NDUFB2/NDUFS3/NDUFS6/NDUFS5/ATP5MF/NDUFB9/SLC25A14/NDUFA12/ATP5IF1/COX5A/NDUFA8/ATP5PO/NDUFC1/NDUFV3/SDHA/UCP3/ATP5MC2/UQCRB/ATP5PF/ATP5F1E/COX6B1/NDUFAB1/SLC25A6/NDUFB10/NDUFV1/NDUFB3/COX17/COX4I1/NDUFA3/ATP5MC1/COX6C/ATP5PD/NDUFB8/NDUFA11/COX7A2/COX6A1/NDUFA10/ATP5ME/ATP5F1D/UQCRFS1/NDUFB7/NDUFA9/SLC25A4/COX7C/COX8A/NDUFS8/NDUFS4/UQCRQ/COX7B/NDUFS2/SLC25A5","NDUFB2/NDUFS3/NDUFS6/NDUFS5/ATP5MF/NDUFB9/SLC25A14/NDUFA12/ATP5IF1/COX5A/NDUFA8/ATP5PO/NDUFC1/NDUFV3/SDHA/UCP3/ATP5MC2/UQCRB/ATP5PF/ATP5F1E/COX6B1/NDUFAB1/SLC25A6/NDUFB10/NDUFV1/NDUFB3/COX17/COX4I1/NDUFA3/ATP5MC1/COX6C/ATP5PD/NDUFB8/NDUFA11/COX7A2/COX6A1/NDUFA10/ATP5ME/ATP5F1D/UQCRFS1/NDUFB7/NDUFA9/SLC25A4/COXFA4/COX7C/COX8A/NDUFS8/NDUFS4/UQCRQ/COX7B/NDUFS2/SLC25A5"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","3","WP_MRNA_PROCESSING","WP_MRNA_PROCESSING","2.277740965674179","0.000000000798303855672810","0.0000002458775875472255","0.00000017129659311311440","66","126","0.52380952380952384","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"PPM1G/U2AF2/SNRPF/SUGP1/SNRPB2/SFPQ/SNRPD1/FUS/HNRNPD/CPSF4/RNPS1/SNRPD3/TXNL4A/HNRNPC/SRSF7/YBX1/HNRNPU/SNRPA/SNRPA1/SRSF6/DDX20/RBMX/METTL3/SRSF2/NONO/PHF5A/SNRPG/HNRNPA1/HNRNPM/SRSF9/SF3B2/NXF1/SRSF4/SF3B4/HNRNPAB/SNRPE/CLASRP/SFSWAP/RBM5/SNRNP70/CLK2/PABPN1/CSTF2/HNRNPL/SNRNP40/SRSF3/SRSF5/LSM7/PRPF3/SF3B5/RBM39/PTBP1/NCBP2/CD2BP2/HNRNPA2B1/SNRPB/SF3A3/SREK1/HNRNPK/SNU13/HNRNPH1/PCBP2/PRMT2/TRA2B/LSM2/DHX9","PPM1G/U2AF2/SNRPF/SUGP1/SNRPB2/SFPQ/SNRPD1/FUS/HNRNPD/CPSF4/RNPS1/SNRPD3/TXNL4A/HNRNPC/SRSF7/YBX1/HNRNPU/SNRPA/SNRPA1/SRSF6/DDX20/RBMX/METTL3/SRSF2/NONO/PHF5A/SNRPG/HNRNPA1/HNRNPM/SRSF9/SF3B2/NXF1/SRSF4/SF3B4/HNRNPAB/SNRPE/CLASRP/SFSWAP/RBM5/SNRNP70/CLK2/PABPN1/CSTF2/HNRNPL/SNRNP40/SRSF3/SRSF5/LSM7/PRPF3/SF3B5/RBM39/PTBP1/NCBP2/CD2BP2/HNRNPA2B1/SNRPB/SF3A3/SREK1/HNRNPK/SNU13/HNRNPH1/PCBP2/PRMT2/TRA2B/LSM2/DHX9"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","4","WP_PYRIMIDINE_METABOLISM","WP_PYRIMIDINE_METABOLISM","2.486144337110864","0.000000002711610605682427","0.0000006263820499126406","0.00000043638426831658922","31","84","0.36904761904761907","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"NME1/RRM2/POLE4/POLR1C/POLR3E/UCKL1/POLR2L/POLE3/CTPS1/DCTD/POLR1H/DTYMK/POLA2/POLR2G/POLR2C/POLD2/NME3/POLR3D/POLR3K/NME2/DCTPP1/DHODH/UMPS/TYMS/PNPT1/POLR3B/POLR2H/POLR2J/POLR2I/ENTPD1/NT5C","NME1/RRM2/POLE4/POLR1C/POLR3E/UCKL1/POLR2L/POLE3/CTPS1/DCTD/POLR1H/DTYMK/POLA2/POLR2G/POLR2C/POLD2/NME3/POLR3D/POLR3K/NME2/DCTPP1/DHODH/UMPS/TYMS/PNPT1/POLR3B/POLR2H/POLR2J/POLR2I/ENTPD1/NT5C"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","5","WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM","WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM","2.483908702620708","0.000000022593585090913615","0.0000037126857314210991","0.00000258653268659533786","34","56","0.60714285714285710","0.00000000000000000","38","22","0.64705882352941180","0.678571428571428603","0.308943089430894324","0.820840038318320309","0.108096965608303355322","Keep","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",FALSE,"NDUFB2/NDUFS3/NDUFS6/NDUFB11/NDUFS5/DMAC1/NDUFB9/NDUFA12/ECSIT/NDUFA8/NDUFC1/NDUFV3/FOXRED1/NDUFAF4/NDUFAB1/NDUFB10/NDUFV1/NDUFB3/NDUFA3/NDUFB8/NDUFA10/DMAC2/NDUFB7/TMEM70/NDUFAF2/NDUFAF6/NDUFAF1/NDUFS4/NDUFS2/ACAD9/TMEM126B/NDUFB4/NDUFA1/NDUFA2","NDUFB2/NDUFS3/NDUFS6/NDUFB11/NDUFS5/DMAC1/NDUFB9/NDUFA12/ECSIT/NDUFA8/NDUFC1/NDUFV3/FOXRED1/NDUFAF4/NDUFAB1/NDUFB10/NDUFV1/NDUFB3/NDUFA3/NDUFB8/NDUFA10/DMAC2/NDUFB7/TMEM70/NDUFAF2/NDUFAF6/NDUFAF1/NDUFS4/NDUFS2/ACAD9/TMEM126B/NDUFB4/NDUFA1/NDUFA2"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","6","WP_EGFEGFR_SIGNALING","WP_EGFEGFR_SIGNALING","-2.118814375306919","0.000000024108348905331818","0.0000037126857314210991","0.00000258653268659533786","57","162","0.35185185185185186","0.00000000000000000","4","2","0.03508771929824561","0.024691358024691357","0.016260162601626018","0.440608574119648710","0.932436778750284078754","Keep","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",FALSE,"MAP4K1/PLD1/NCK1/SH3KBP1/RPS6KA1/GAB2/STAT5A/EPS15/ATXN2/MAP3K1/CBLC/CRK/GAB1/PTK2/SRC/INPPL1/SOS2/PRKCD/ABL1/PAK1/MAPK1/GRB2/CRKL/PLD2/MAP3K2/SP1/RAB5A/SYNJ1/EPS8/STAT5B/MEF2D/PTPN11/BRAF/CREB1/NCOA3/RPS6KA5/JAK2/MAPK14/STXBP1/PTPN12/PRKCI/MAP3K3/RPS6KA3/MEF2A/RICTOR/DNM1/PRKCA/IQGAP1/KRAS/JAK1/AP2B1/REPS2/FOXO4/USP6NL/CBL/USP8/STAT3","MAP4K1/PLD1/NCK1/SH3KBP1/RPS6KA1/GAB2/STAT5A/EPS15/ATXN2/MAP3K1/CBLC/CRK/GAB1/PTK2/SRC/INPPL1/SOS2/PRKCD/ABL1/PAK1/MAPK1/GRB2/CRKL/PLD2/MAP3K2/SP1/RAB5A/SYNJ1/EPS8/STAT5B/MEF2D/PTPN11/BRAF/CREB1/NCOA3/RPS6KA5/JAK2/MAPK14/STXBP1/PTPN12/PRKCI/MAP3K3/RPS6KA3/MEF2A/RICTOR/DNM1/PRKCA/IQGAP1/KRAS/JAK1/AP2B1/REPS2/FOXO4/USP6NL/CBL/USP8/STAT3"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","7","WP_OXIDATIVE_PHOSPHORYLATION","WP_OXIDATIVE_PHOSPHORYLATION","2.462665442905301","0.000000057670742764569186","0.0000076125380449231328","0.00000530345951840300475","31","60","0.51666666666666672","0.03125000000000000","56","29","0.93548387096774188","0.933333333333333348","0.513761467889908285","0.668153434433541693","0.305594057638882865557","Keep","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",FALSE,"NDUFB2/NDUFS3/NDUFS6/NDUFS5/ATP5MF/NDUFB9/NDUFA8/ATP5PO/NDUFC1/NDUFV3/ATP5MC2/ATP6AP1/ATP5PF/ATP5F1E/NDUFAB1/NDUFB10/NDUFV1/NDUFA3/ATP5MC1/ATP5PD/NDUFB8/NDUFA11/NDUFA10/ATP5ME/ATP5F1D/NDUFB7/NDUFA9/GZMB/NDUFS8/NDUFS4/NDUFS2","NDUFB2/NDUFS3/NDUFS6/NDUFS5/ATP5MF/NDUFB9/NDUFA8/ATP5PO/NDUFC1/NDUFV3/ATP5MC2/ATP6AP1/ATP5PF/ATP5F1E/NDUFAB1/NDUFB10/NDUFV1/NDUFA3/ATP5MC1/ATP5PD/NDUFB8/NDUFA11/NDUFA10/ATP5ME/ATP5F1D/NDUFB7/NDUFA9/COXFA4/GZMB/NDUFS8/NDUFS4/NDUFS2"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","8","WP_1P36_COPY_NUMBER_VARIATION_SYNDROME","WP_1P36_COPY_NUMBER_VARIATION_SYNDROME","2.191939689864358","0.000000255873651686902676","0.0000295534067698372549","0.00002058909860414520978","41","112","0.36607142857142855","0.00000000000000000","2","1","0.02439024390243903","0.017857142857142856","0.007352941176470588","0.600225225225225145","0.581320450885668305041","Keep","WP_EGFEGFR_SIGNALING","WP_EGFEGFR_SIGNALING",FALSE,"MRPL20/INTS14/ATAD3B/SSU72/TAS1R3/AURKAIP1/PERM1/RER1/UBE2J2/CDK11B/ATAD3A/PRKCZ/ACAP3/CCNL2/SDF4/PUSL1/SKI/TRAF2/INTS11/COMMD1/B3GALT6/CALML6/SCNN1D/C1orf159/TNFRSF14/METTL14/HES5/FAAP20/RBX1/CD160/FNDC10/PANK4/NOC2L/TMEM52/CPTP/PHKG2/PLEKHN1/INTS10/CFAP74/HSPA8/INTS13","MRPL20/INTS14/ATAD3B/SSU72/TAS1R3/AURKAIP1/PERM1/RER1/UBE2J2/CDK11B/ATAD3A/PRKCZ/ACAP3/CCNL2/SDF4/PUSL1/SKI/TRAF2/INTS11/COMMD1/B3GALT6/CALML6/SCNN1D/C1orf159/TNFRSF14/METTL14/HES5/FAAP20/RBX1/CD160/FNDC10/PANK4/NOC2L/TMEM52/CPTP/PHKG2/PLEKHN1/INTS10/CFAP74/HSPA8/INTS13"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","9","WP_PHOSPHOINOSITIDES_METABOLISM","WP_PHOSPHOINOSITIDES_METABOLISM","-2.204613918025271","0.000000779384524365835840","0.0000798040240498111168","0.00005559741159337701930","28","49","0.57142857142857140","0.00000000000000000","5","1","0.03571428571428571","0.102040816326530615","0.024271844660194174","0.989328663935509445","0.889473523793260834047","Keep","WP_EGFEGFR_SIGNALING","WP_EGFEGFR_SIGNALING",FALSE,"PIP5K1C/PLCG2/SACM1L/PIK3C2B/PIP5K1B/PIK3CD/PLCH1/PIP4K2A/PIP4P2/PIP5K1A/PIP4K2B/MTMR11/PIP4K2C/PLCB4/MTM1/PIK3CB/MTMR3/PLCD1/PIK3C2A/MTMR12/PLCB3/PIK3R4/SBF2/MTMR6/OCRL/MTMR4/PIK3CA/PIKFYVE","PIP5K1C/PLCG2/SACM1L/PIK3C2B/PIP5K1B/PIK3CD/PLCH1/PIP4K2A/PIP4P2/PIP5K1A/PIP4K2B/MTMR11/PIP4K2C/PLCB4/MTM1/PIK3CB/MTMR3/PLCD1/PIK3C2A/MTMR12/PLCB3/PIK3R4/SBF2/MTMR6/OCRL/MTMR4/PIK3CA/PIKFYVE"
"GSE282081","Main_DE","Hepatocyte_coculture","CP_WIKIPATHWAYS","10","WP_MIRTARGETED_GENES_IN_MUSCLE_CELL","WP_MIRTARGETED_GENES_IN_MUSCLE_CELL","-1.759673076964300","0.000000863679913958994574","0.0000798040240498111168","0.00005559741159337701930","112","397","0.28211586901763225","0.00000000000000000","11","4","0.03571428571428571","0.027707808564231738","0.020072992700729927","0.377404497355538271","0.584193594216281475440","Keep","WP_EGFEGFR_SIGNALING","WP_EGFEGFR_SIGNALING",FALSE,"HSD17B12/DSG2/PGM1/TMT1A/AMIGO2/ATP6V1C1/GRPEL2/TMEM41B/PAFAH1B2/MYO1E/WDR11/ABCG2/MATR3/SFXN1/MYO10/LRRC8A/PPP3CA/MTHFD2/NUCB1/AP3D1/CD164/SLC7A6/SYNE1/SPCS3/HIPK3/GNPNAT1/MBNL1/SLC4A10/SLC38A1/RBMS1/NOTCH2/SYNE2/CCNG1/CPNE8/NAPG/MRC2/MPZL1/ADIPOR2/ADAR/PDCD4/SNX6/MYLIP/CAPG/SNAP29/GPD2/TRAM1/VPS39/FAR1/WDFY1/GALNT7/TMED10/LUZP1/AP3B1/MTPN/TMED7/RAB6A/HES1/IGF2R/CARHSP1/SDCBP/TP53INP1/ARCN1/ANKFY1/HMOX1/SPARC/BACH1/PTPRF/SNAP23/SHOC2/LRP1/SCAMP1/ARID4B/PICALM/MAGT1/ANAPC1/CAND1/NUFIP2/CALCOCO2/ATG9A/NFIA/ZEB1/DOCK7/HSDL1/SLC7A11/SLC38A2/NCOA3/CDCP1/GNA13/MAPK14/SEC24A/RB1/PRKCI/GFPT1/PKN2/DHX40/ERBB3/ACVR1B/UBE4A/SLC4A7/SEC23A/PTPRJ/KRAS/LTN1/STRN/FNDC3A/KPNA3/TNFRSF10B/ATRX/CLOCK/RAB30/STX7/FNDC3B","HSD17B12/DSG2/PGM1/TMT1A/AMIGO2/ATP6V1C1/GRPEL2/TMEM41B/PAFAH1B2/MYO1E/WDR11/ABCG2/MATR3/SFXN1/MYO10/LRRC8A/PPP3CA/MTHFD2/NUCB1/AP3D1/CD164/SLC7A6/SYNE1/SPCS3/HIPK3/GNPNAT1/MBNL1/SLC4A10/SLC38A1/RBMS1/NOTCH2/SYNE2/CCNG1/CPNE8/NAPG/MRC2/MPZL1/ADIPOR2/ADAR/PDCD4/SNX6/MYLIP/CAPG/SNAP29/GPD2/TRAM1/VPS39/FAR1/WDFY1/GALNT7/TMED10/LUZP1/AP3B1/MTPN/TMED7/RAB6A/HES1/IGF2R/CARHSP1/SDCBP/TP53INP1/ARCN1/ANKFY1/HMOX1/SPARC/BACH1/PTPRF/SNAP23/SHOC2/LRP1/SCAMP1/ARID4B/PICALM/MAGT1/ANAPC1/CAND1/NUFIP2/CALCOCO2/ATG9A/NFIA/ZEB1/DOCK7/HSDL1/SLC7A11/SLC38A2/NCOA3/CDCP1/GNA13/MAPK14/SEC24A/RB1/PRKCI/GFPT1/PKN2/DHX40/ERBB3/ACVR1B/UBE4A/SLC4A7/SEC23A/PTPRJ/KRAS/LTN1/STRN/FNDC3A/KPNA3/TNFRSF10B/ATRX/CLOCK/RAB30/STX7/FNDC3B"
