"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","1","GOBP_MATURATION_OF_SSU_RRNA","GOBP_MATURATION_OF_SSU_RRNA","2.935176767552060","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","59","73","0.8082191780821918","0.000000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"NOP56/BYSL/NGDN/TRMT112/TSR2/FSAF1/FBL/PNO1/KRI1/NOP58/ABT1/IMP4/WDR43/RRS1/RRP36/IMP3/TSR3/DNTTIP2/UTP11/RCL1/RRP9/WDR75/RIOK1/UTP25/WDR46/UTP14A/NOL6/RRP7A/EMG1/DCAF13/RPS8/MPHOSPH10/LSM6/UTP3/RIOK2/UTP6/NAT10/NOC4L/DHX37/UTP4/UTP15/UTP18/RPP40/RPS14/SLX9/NOL7/FCF1/PWP2/KRR1/TSR1/SNU13/NOB1/NOL10/NOL11/RPS19/SRFBP1/UTP20/WDR3/BMS1","NOP56/BYSL/NGDN/TRMT112/TSR2/FSAF1/FBL/PNO1/KRI1/NOP58/ABT1/IMP4/WDR43/RRS1/RRP36/IMP3/TSR3/DNTTIP2/UTP11/RCL1/RRP9/WDR75/RIOK1/UTP25/WDR46/UTP14A/NOL6/RRP7A/EMG1/DCAF13/RPS8/MPHOSPH10/LSM6/UTP3/RIOK2/UTP6/NAT10/NOC4L/DHX37/UTP4/UTP15/UTP18/RPP40/RPS14/SLX9/NOL7/FCF1/PWP2/KRR1/TSR1/SNU13/NOB1/NOL10/NOL11/RPS19/SRFBP1/UTP20/WDR3/BMS1"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","2","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","3.176142206321769","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","90","114","0.7894736842105263","0.000000000000000000","73","58","0.644444444444444486","0.640350877192982448","0.640350877192982448","0.5197746155077884733","1.000000000000000000000","Keep","GOBP_MATURATION_OF_SSU_RRNA","GOBP_MATURATION_OF_SSU_RRNA",FALSE,"NOP56/BYSL/NGDN/TRMT112/TSR2/LTV1/FSAF1/FBL/FAU/PNO1/KRI1/NOP58/RBFA/ABT1/IMP4/WDR43/RRS1/RRP36/NPM1/IMP3/TSR3/RPS19BP1/DNTTIP2/RCC1L/UTP11/SURF6/RCL1/RPS17/RRP9/WDR75/RIOK1/RPS27/ERAL1/UTP25/WDR46/RPS24/MCAT/UTP14A/NOL6/RPS15A/DIMT1/RRP7A/EMG1/RPS15/DCAF13/RPS8/RPS9/MPHOSPH10/RPS13/LSM6/RPS27A/UTP3/RIOK2/UTP6/RPS27L/NAT10/RPS7/RPS4X/RPS6/NOC4L/DHX37/UTP4/AK6/UTP15/UTP18/TFB1M/RPP40/RPS25/RPS3A/RPS14/RPS12/SLX9/NOL7/FCF1/PDCD2/PWP2/KRR1/NOM1/TSR1/SNU13/NOB1/NOL10/EXOSC10/NOL11/METTL17/RPS19/SRFBP1/UTP20/RPS11/WDR3","NOP56/BYSL/NGDN/TRMT112/TSR2/LTV1/FSAF1/FBL/FAU/PNO1/KRI1/NOP58/RBFA/ABT1/IMP4/WDR43/RRS1/RRP36/NPM1/IMP3/TSR3/RPS19BP1/DNTTIP2/RCC1L/UTP11/SURF6/RCL1/RPS17/RRP9/WDR75/RIOK1/RPS27/ERAL1/UTP25/WDR46/RPS24/MCAT/UTP14A/NOL6/RPS15A/DIMT1/RRP7A/EMG1/RPS15/DCAF13/RPS8/RPS9/MPHOSPH10/RPS13/LSM6/RPS27A/UTP3/RIOK2/UTP6/RPS27L/NAT10/RPS7/RPS4X/RPS6/NOC4L/DHX37/UTP4/AK6/UTP15/UTP18/TFB1M/RPP40/RPS25/RPS3A/RPS14/RPS12/SLX9/NOL7/FCF1/PDCD2/PWP2/KRR1/NOM1/TSR1/SNU13/NOB1/NOL10/EXOSC10/NOL11/METTL17/RPS19/SRFBP1/UTP20/RPS11/WDR3"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","3","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","3.071880508532943","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","58","80","0.7250000000000000","0.000000000000000000","5","5","0.086206896551724144","0.062500000000000000","0.026455026455026454","0.1906037000973709317","0.299375261881083931659","Keep","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",FALSE,"NOL9/NOP16/EIF6/MRTO4/TRMT112/PES1/EBNA1BP2/LTO1/DDX28/RRP15/TUFM/MTG2/RRS1/NPM1/DDX55/ZNF622/RPL11/WDR74/RPF2/RCC1L/RPL26L1/SURF6/RPL24/CINP/GTPBP4/PELP1/MALSU1/BRIX1/MAK16/RPL35/NDUFAB1/NIP7/NSA2/TMA16/MTERF4/RPL14/GTF3A/NVL/GTPBP6/AIRIM/FTSJ3/MTG1/RPL7/RPF1/SDAD1/RPL35A/GTPBP10/FASTKD2/PAK1IP1/MRM3/PPAN/LAS1L/SENP3/AFG2B/RPL7A/NOC2L/RPL5/RPL26","NOL9/NOP16/EIF6/MRTO4/TRMT112/PES1/EBNA1BP2/LTO1/DDX28/RRP15/TUFM/MTG2/RRS1/NPM1/DDX55/ZNF622/RPL11/WDR74/RPF2/RCC1L/RPL26L1/SURF6/RPL24/CINP/GTPBP4/PELP1/MALSU1/BRIX1/MAK16/RPL35/NDUFAB1/NIP7/NSA2/TMA16/MTERF4/RPL14/GTF3A/NVL/GTPBP6/AIRIM/FTSJ3/MTG1/RPL7/RPF1/SDAD1/RPL35A/GTPBP10/FASTKD2/PAK1IP1/MRM3/PPAN/LAS1L/SENP3/AFG2B/RPL7A/NOC2L/RPL5/RPL26"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","5","GOBP_MITOCHONDRIAL_TRANSLATION","GOBP_MITOCHONDRIAL_TRANSLATION","3.165669485807480","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","84","131","0.6412213740458015","0.000000000000000000","6","5","0.059523809523809521","0.045801526717557252","0.029268292682926831","0.2972109765041880958","0.470155793573515001782","Keep","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS",FALSE,"MRPL20/MRPL51/MRPL32/MRPL15/RPUSD4/UQCC2/MRPS11/MRPL16/MRPL36/MRPS6/MRPL27/MRPL37/COA3/MPV17L2/MRPL39/AURKAIP1/MRPS25/TUFM/MTG2/MRPS15/MRPL13/MRPS33/MRPL9/MRPL24/TRUB2/MRPS23/MRPL38/YARS2/MRPL17/MRPL14/MRPS34/MRPL40/MRPL35/MRPL11/MALSU1/MRPS21/MTIF3/MRPL4/CHCHD1/MRPL33/MRPL55/GATC/MRPS7/MRPL3/SARS2/MRPL1/C1QBP/MRPL23/CDK5RAP1/MRPS26/MRPL21/MRPS2/MTIF2/METTL8/MRPL58/MRPS9/TARS2/MRPL47/AARS2/MRPL44/MRPL18/MTG1/EARS2/MRPS18B/MRPS12/MRPS31/GADD45GIP1/FASTKD2/MRPL2/MRPL22/DAP3/RPUSD3/MRPL48/MRPL50/MRPL45/MRPS5/MRPS18A/MRPS30/MRPL43/FASTKD3/WARS2/MRPS14/MRPL57/MRPS17","MRPL20/MRPL51/MRPL32/MRPL15/RPUSD4/UQCC2/MRPS11/MRPL16/MRPL36/MRPS6/MRPL27/MRPL37/COA3/MPV17L2/MRPL39/AURKAIP1/MRPS25/TUFM/MTG2/MRPS15/MRPL13/MRPS33/MRPL9/MRPL24/TRUB2/MRPS23/MRPL38/YARS2/MRPL17/MRPL14/MRPS34/MRPL40/MRPL35/MRPL11/MALSU1/MRPS21/MTIF3/MRPL4/CHCHD1/MRPL33/MRPL55/GATC/MRPS7/MRPL3/SARS2/MRPL1/C1QBP/MRPL23/CDK5RAP1/MRPS26/MRPL21/MRPS2/MTIF2/METTL8/MRPL58/MRPS9/TARS2/MRPL47/AARS2/MRPL44/MRPL18/MTG1/EARS2/MRPS18B/MRPS12/MRPS31/GADD45GIP1/FASTKD2/MRPL2/MRPL22/DAP3/RPUSD3/MRPL48/MRPL50/MRPL45/MRPS5/MRPS18A/MRPS30/MRPL43/FASTKD3/WARS2/MRPS14/MRPL57/MRPS17"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","7","GOBP_MITOCHONDRIAL_GENE_EXPRESSION","GOBP_MITOCHONDRIAL_GENE_EXPRESSION","3.197585716090728","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","105","170","0.6176470588235294","0.000000000000000000","131","84","0.800000000000000044","0.770588235294117685","0.770588235294117685","0.1655246673493533105","1.000000000000000000000","Keep","GOBP_MITOCHONDRIAL_TRANSLATION","GOBP_MITOCHONDRIAL_TRANSLATION",FALSE,"MRPL20/MRPL51/MRPL32/MRPL15/RPUSD4/UQCC2/MRPS11/PUS1/GTPBP3/SLIRP/MRPL16/MRPL36/MRPS6/MRPL27/MRPL37/COA3/MPV17L2/ANGEL2/TFB2M/MTPAP/MRPL39/AURKAIP1/MRPS25/TUFM/MTG2/YRDC/MTERF3/MRPS15/MRPL13/MRPS33/MRPL9/MRPL24/TRUB2/MRPS23/MRPL38/YARS2/MRPL17/MRPL14/MRPS34/MRPL40/MRPL35/MRPL11/MALSU1/MRPS21/MTIF3/MRPL4/CHCHD1/MRPL33/FASTK/MRPL55/GATC/MRPS7/MRPL3/SARS2/MRPL1/TBRG4/TWNK/C1QBP/MRPL23/CDK5RAP1/MRPS26/MRPL21/MTERF1/KAT8/MRPS2/MTIF2/MTRES1/METTL8/SUPV3L1/HSD17B10/MRPL58/MRPS9/PNPT1/TARS2/MRPL47/AARS2/ELAC2/MRPL44/MRPL18/MTG1/EARS2/TRNT1/MRPS18B/SLC25A33/MRPS12/MRPS31/TFB1M/GADD45GIP1/FASTKD2/MRPL2/MRPL22/DAP3/RPUSD3/MRPL48/MRPL50/MRPL45/MRPS5/MRPS18A/MRPS30/MRPL43/FASTKD3/WARS2/MRPS14/MRPL57/MRPS17","MRPL20/MRPL51/MRPL32/MRPL15/RPUSD4/UQCC2/MRPS11/PUS1/GTPBP3/SLIRP/MRPL16/MRPL36/MRPS6/MRPL27/MRPL37/COA3/MPV17L2/ANGEL2/TFB2M/MTPAP/MRPL39/AURKAIP1/MRPS25/TUFM/MTG2/YRDC/MTERF3/MRPS15/MRPL13/MRPS33/MRPL9/MRPL24/TRUB2/MRPS23/MRPL38/YARS2/MRPL17/MRPL14/MRPS34/MRPL40/MRPL35/MRPL11/MALSU1/MRPS21/MTIF3/MRPL4/CHCHD1/MRPL33/FASTK/MRPL55/GATC/MRPS7/MRPL3/SARS2/MRPL1/TBRG4/TWNK/C1QBP/MRPL23/CDK5RAP1/MRPS26/MRPL21/MTERF1/KAT8/MRPS2/MTIF2/MTRES1/METTL8/SUPV3L1/HSD17B10/MRPL58/MRPS9/PNPT1/TARS2/MRPL47/AARS2/ELAC2/MRPL44/MRPL18/MTG1/EARS2/TRNT1/MRPS18B/SLC25A33/MRPS12/MRPS31/TFB1M/GADD45GIP1/FASTKD2/MRPL2/MRPL22/DAP3/RPUSD3/MRPL48/MRPL50/MRPL45/MRPS5/MRPS18A/MRPS30/MRPL43/FASTKD3/WARS2/MRPS14/MRPL57/MRPS17"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","9","GOBP_RIBOSOME_ASSEMBLY","GOBP_RIBOSOME_ASSEMBLY","2.910284485330795","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","42","71","0.5915492957746479","0.000000000000000000","13","10","0.238095238095238082","0.183098591549295781","0.057017543859649120","0.1284020213160751711","0.193146819234453009928","Keep","GOBP_MITOCHONDRIAL_GENE_EXPRESSION","GOBP_MITOCHONDRIAL_GENE_EXPRESSION",FALSE,"EIF6/MRTO4/FAU/MPV17L2/DDX28/RBFA/ABT1/TUFM/MTG2/MTERF3/RRS1/ZNF574/NPM1/RPL11/RPF2/RCC1L/RPL24/RPL38/MALSU1/BRIX1/RPS27/ERAL1/MCAT/NDUFAB1/C1QBP/RRP7A/NIP7/RPS15/SBDS/MRPS2/MTERF4/GTPBP6/RPS27L/RPS6/DHX37/MTG1/TFB1M/GTPBP10/FASTKD2/EIF5B/MRM3/RPS14","EIF6/MRTO4/FAU/MPV17L2/DDX28/RBFA/ABT1/TUFM/MTG2/MTERF3/RRS1/ZNF574/NPM1/RPL11/RPF2/RCC1L/RPL24/RPL38/MALSU1/BRIX1/RPS27/ERAL1/MCAT/NDUFAB1/C1QBP/RRP7A/NIP7/RPS15/SBDS/MRPS2/MTERF4/GTPBP6/RPS27L/RPS6/DHX37/MTG1/TFB1M/GTPBP10/FASTKD2/EIF5B/MRM3/RPS14"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","11","GOBP_ELECTRON_TRANSPORT_CHAIN","GOBP_ELECTRON_TRANSPORT_CHAIN","2.476727445812442","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","69","126","0.5476190476190477","0.014285714285714285","1","1","0.014492753623188406","0.007936507936507936","0.004878048780487805","0.5476190476190476719","0.725000000000000088818","Keep","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS",FALSE,"NDUFB2/NDUFS3/NDUFS6/PARK7/COQ9/NDUFS5/FDX1/NDUFB9/NDUFA12/COX5A/NDUFA8/CCNB1/NDUFC1/ISCU/MYBBP1A/NDUFV3/SDHA/UQCRB/COX6B1/NDUFAB1/NDUFB10/NDUFV1/NDUFB3/UQCC3/COX4I1/NDUFA3/COX6C/CYC1/NDUFB8/NDUFA11/DGUOK/COX7A2/COX6A1/CHCHD2/NDUFA10/UQCRFS1/NDUFB7/NDUFA9/DNAJC15/MTCH2/ETFDH/COX7C/COX8A/NDUFS8/NDUFAF1/NDUFS4/UQCRQ/COX7B/NDUFS2/POR/NDOR1/SCO2/NDUFB4/NDUFA1/NDUFA2/UQCRH/NDUFA6/SLC25A51/ETFB/UQCR10/AIFM2/PLEC/BID/SDHB/COX5B/NDUFV2/CYB561/THAP11/NDUFB1","NDUFB2/NDUFS3/NDUFS6/PARK7/COQ9/NDUFS5/FDX1/NDUFB9/NDUFA12/COX5A/NDUFA8/CCNB1/NDUFC1/ISCU/MYBBP1A/NDUFV3/SDHA/UQCRB/COX6B1/NDUFAB1/NDUFB10/NDUFV1/NDUFB3/UQCC3/COX4I1/NDUFA3/COX6C/CYC1/NDUFB8/NDUFA11/DGUOK/COX7A2/COX6A1/CHCHD2/NDUFA10/UQCRFS1/NDUFB7/NDUFA9/DNAJC15/MTCH2/COXFA4/ETFDH/COX7C/COX8A/NDUFS8/NDUFAF1/NDUFS4/UQCRQ/COX7B/NDUFS2/POR/NDOR1/SCO2/NDUFB4/NDUFA1/NDUFA2/UQCRH/NDUFA6/SLC25A51/ETFB/UQCR10/AIFM2/PLEC/BID/SDHB/COX5B/NDUFV2/CYB561/THAP11/NDUFB1"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","13","GOBP_TRNA_PROCESSING","GOBP_TRNA_PROCESSING","2.828026638057161","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","72","139","0.5179856115107914","0.027027027027027029","4","4","0.055555555555555552","0.028776978417266189","0.019230769230769232","0.0690851354982994770","0.418149077111068245838","Keep","GOBP_MATURATION_OF_SSU_RRNA","GOBP_MATURATION_OF_SSU_RRNA",FALSE,"TRMT1/TRMU/RPUSD4/QTRT1/PUS1/TRMT112/GTPBP3/TSEN54/DUS1L/POP4/ANGEL2/FARS2/YRDC/URM1/TRUB2/METTL1/FTSJ1/TRMT6/TRMT10B/OSGEP/TRMT2A/TP53RK/RPP30/TARBP1/GRSF1/SLC35F2/TYW3/KARS1/NSUN2/TRMT61A/CDK5RAP1/THUMPD3/POP5/TRMT10A/PUSL1/LSM6/RPP38/METTL8/QTRT2/TSEN2/HSD17B10/ANKRD16/NAT10/DUS3L/RTRAF/ELAC2/LCMT2/RPP21/TRNT1/THG1L/MTFMT/RPP40/PUS3/BCDIN3D/ELP6/POP7/NSUN6/KTI12/THUMPD2/LAGE3/RPP25/TYW5/CTU1/METTL2B/ELAC1/TRMO/FAM98A/METTL2A/TRMT44/PTCD1/CTU2/TYW1B","TRMT1/TRMU/RPUSD4/QTRT1/PUS1/TRMT112/GTPBP3/TSEN54/DUS1L/POP4/ANGEL2/FARS2/YRDC/URM1/TRUB2/METTL1/FTSJ1/TRMT6/TRMT10B/OSGEP/TRMT2A/TP53RK/RPP30/TARBP1/GRSF1/SLC35F2/TYW3/KARS1/NSUN2/TRMT61A/CDK5RAP1/THUMPD3/POP5/TRMT10A/PUSL1/LSM6/RPP38/METTL8/QTRT2/TSEN2/HSD17B10/ANKRD16/NAT10/DUS3L/RTRAF/ELAC2/LCMT2/RPP21/TRNT1/THG1L/MTFMT/RPP40/PUS3/BCDIN3D/QTGAL/ELP6/POP7/NSUN6/KTI12/THUMPD2/LAGE3/RPP25/TYW5/CTU1/QTMAN/METTL2B/ELAC1/TRMO/FAM98A/METTL2A/TRMT44/PTCD1/CTU2/TYW1B"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","15","GOBP_TRNA_MODIFICATION","GOBP_TRNA_MODIFICATION","2.630441209035749","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","48","96","0.5000000000000000","0.040000000000000001","2","2","0.041666666666666664","0.020833333333333332","0.011976047904191617","0.2473684210526315708","0.651065449010654440087","Keep","GOBP_MATURATION_OF_SSU_RRNA","GOBP_MATURATION_OF_SSU_RRNA",FALSE,"TRMT1/TRMU/RPUSD4/QTRT1/PUS1/TRMT112/GTPBP3/DUS1L/YRDC/URM1/TRUB2/METTL1/FTSJ1/TRMT6/TRMT10B/OSGEP/TARBP1/SLC35F2/TYW3/NSUN2/TRMT61A/CDK5RAP1/THUMPD3/TRMT10A/PUSL1/METTL8/QTRT2/HSD17B10/ANKRD16/NAT10/DUS3L/LCMT2/THG1L/MTFMT/PUS3/BCDIN3D/ELP6/NSUN6/KTI12/THUMPD2/TYW5/CTU1/METTL2B/TRMO/METTL2A/TRMT44/CTU2/TYW1B","TRMT1/TRMU/RPUSD4/QTRT1/PUS1/TRMT112/GTPBP3/DUS1L/YRDC/URM1/TRUB2/METTL1/FTSJ1/TRMT6/TRMT10B/OSGEP/TARBP1/SLC35F2/TYW3/NSUN2/TRMT61A/CDK5RAP1/THUMPD3/TRMT10A/PUSL1/METTL8/QTRT2/HSD17B10/ANKRD16/NAT10/DUS3L/LCMT2/THG1L/MTFMT/PUS3/BCDIN3D/QTGAL/ELP6/NSUN6/KTI12/THUMPD2/TYW5/CTU1/QTMAN/METTL2B/TRMO/METTL2A/TRMT44/CTU2/TYW1B"
"GSE282081","Main_DE","Hepatocyte_coculture","GO_BP","18","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","2.721620502623811","0.00000000009999999999999999","0.00000003027500000000000","0.00000002582393850205016","36","76","0.4736842105263158","0.000000000000000000","1","1","0.027777777777777776","0.013157894736842105","0.006451612903225806","0.4736842105263157077","0.725000000000000088818","Keep","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS",FALSE,"NDUFB2/NDUFS3/NDUFS6/NDUFB11/NDUFS5/ATP5MF/ATP5MJ/NDUFB9/NDUFA12/ATP5IF1/NDUFA8/ATP5PO/NDUFC1/NDUFV3/DNAJC30/SDHA/ATP5MC2/ATP5MK/ATP5PF/ATP5F1E/NDUFAB1/NDUFB10/NDUFV1/NDUFB3/NDUFA3/ATP5MC1/ATP5PD/NDUFB8/NDUFA11/ATP6V0C/ATPSCKMT/NDUFA10/ATP5ME/ATP5F1D/NDUFB7/NDUFA9","NDUFB2/NDUFS3/NDUFS6/NDUFB11/NDUFS5/ATP5MF/ATP5MJ/NDUFB9/NDUFA12/ATP5IF1/NDUFA8/ATP5PO/NDUFC1/NDUFV3/DNAJC30/SDHA/ATP5MC2/ATP5MK/ATP5PF/ATP5F1E/NDUFAB1/NDUFB10/NDUFV1/NDUFB3/NDUFA3/ATP5MC1/ATP5PD/NDUFB8/NDUFA11/ATP6V0C/ATPSCKMT/NDUFA10/ATP5ME/ATP5F1D/NDUFB7/NDUFA9"
