"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","9","DMRT1_TARGET_GENES","DMRT1_TARGET_GENES","1.680863543879753","0.000001669205924635772","0.00005545473016289952","0.00002789464009046022","108","416","0.2596153846153846","0.009174311926605505","29","12","0.11111111111111110","0.069711538461538464","0.034939759036144581","0.044750301241558550","0.07711476828826587","Exclude","ALKBH3_TARGET_GENES","ALKBH3_TARGET_GENES",FALSE,"NOP16/INTS14/KPTN/MRPL51/TPD52L2/EIF3B/RPL41/MRPS11/HARS1/PSMC3/CCDC97/POLE3/TARBP2/WDR77/PRCC/HEXA/PNO1/NOP58/SEC11A/KXD1/PPIA/HIGD2A/HDGF/MRPL13/MRPS33/LSM8/DDX55/BRAT1/SNRPA/WDR74/SNRPA1/VPS28/TMEM87A/MRPL11/VPS33B/AKT1S1/MALSU1/ZC3HC1/ING3/MTIF3/SARS2/MRPL1/RPL18/TWNK/CFAP68/DNAAF10/EMG1/SPAG1/PHB2/EDC3/B9D2/MTIF2/TRMT10A/NKAPD1/NOL8/SFSWAP/NDUFB3/RHBDD3/FERRY3/METTL8/BRD2/TIMM13/IDH3B/ZDHHC6/SYF2/CCT5/CMSS1/C9orf43/SLTM/LAD1/EWSR1/SEC61A1/PPWD1/LUC7L2/S100A10/DEDD/RBM4/ATPSCKMT/LSM5/SERPINH1/ACTMAP/EIF2S1/SRSF5/ZMAT2/UTP15/MRPS12/FCSK/IPO13/TXN2/TNFRSF14/MRM3/RPS14/ARL1/GRK6/RACK1/PPP1R1B/MAN2C1/TMEM62/PHYKPL/CLIC1/RBM48/NUP107/SLC3A2/MRPL48/NFX1/FDXACB1/ECH1/SMIM12","NOP16/INTS14/KPTN/MRPL51/TPD52L2/EIF3B/RPL41/MRPS11/HARS1/PSMC3/CCDC97/POLE3/TARBP2/WDR77/PRCC/HEXA/PNO1/NOP58/SEC11A/KXD1/PPIA/HIGD2A/HDGF/MRPL13/MRPS33/LSM8/DDX55/BRAT1/SNRPA/WDR74/SNRPA1/VPS28/TMEM87A/MRPL11/VPS33B/AKT1S1/MALSU1/ZC3HC1/ING3/MTIF3/SARS2/MRPL1/RPL18/TWNK/CFAP68/DNAAF10/EMG1/SPAG1/PHB2/EDC3/B9D2/MTIF2/TRMT10A/NKAPD1/NOL8/SFSWAP/NDUFB3/RHBDD3/FERRY3/METTL8/BRD2/TIMM13/IDH3B/ZDHHC6/SYF2/CCT5/CMSS1/C9orf43/SLTM/LAD1/EWSR1/SEC61A1/PPWD1/LUC7L2/S100A10/DEDD/RBM4/ATPSCKMT/LSM5/SERPINH1/ACTMAP/EIF2S1/SRSF5/ZMAT2/UTP15/MRPS12/FCSK/IPO13/TXN2/TNFRSF14/MRM3/RPS14/ARL1/GRK6/RACK1/PPP1R1B/MAN2C1/TMEM62/PHYKPL/CLIC1/RBM48/NUP107/SLC3A2/COXFA4/MRPL48/NFX1/FDXACB1/ECH1/SMIM12"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","13","RORA_TARGET_GENES","RORA_TARGET_GENES","1.685547391738246","0.000026181283169337542","0.00060216951289476339","0.00030290115534427293","77","266","0.2894736842105263","0.000000000000000000","11","7","0.09090909090909091","0.041353383458646614","0.022494887525562373","0.015674040347507693","0.11269031647153983","Exclude","FOXR2_TARGET_GENES","FOXR2_TARGET_GENES",FALSE,"NME1/NOP16/UFC1/BANF1/KIF22/GTPBP3/VPS25/CCDC97/HMGN2/STX18/HIGD2A/SRSF7/C12orf76/MRPL13/ZNF581/ALG3/TMEM87A/NLN/ZC3HC1/EIF3F/YJU2/SUPT7L/H3C7/MCAT/MRPL1/ATP5PF/RPL27/AAR2/NSA2/DPAGT1/INTS12/MPHOSPH10/CALM2/UMPS/NKAPD1/NOL8/NDUFB3/TRIP4/ZNF408/ZNF580/TAF1D/ZDHHC6/UTP3/TARS2/RPS7/SLC4A1AP/NUDCD3/FKBP3/ZNF561/LSM5/DNAJC2/DMAP1/BRF2/ALDH18A1/GOLGA3/UQCC1/TXN2/TMEM101/RBM28/EIF5B/ISY1/PSMC2/C2CD2L/MAN2C1/UQCC6/EIF1AD/SMIM20/RUVBL1/NUP107/PEMT/VPS51/MRPL48/NOSIP/TIMM9/NDUFAF1/SF3B6/RPS18","NME1/NOP16/UFC1/BANF1/KIF22/GTPBP3/VPS25/CCDC97/HMGN2/STX18/HIGD2A/SRSF7/C12orf76/MRPL13/ZNF581/ALG3/TMEM87A/NLN/ZC3HC1/EIF3F/YJU2/SUPT7L/H3C7/MCAT/MRPL1/ATP5PF/RPL27/AAR2/NSA2/DPAGT1/INTS12/MPHOSPH10/CALM2/UMPS/NKAPD1/NOL8/NDUFB3/TRIP4/ZNF408/ZNF580/TAF1D/ZDHHC6/UTP3/TARS2/RPS7/SLC4A1AP/NUDCD3/FKBP3/ZNF561/LSM5/DNAJC2/DMAP1/BRF2/ALDH18A1/GOLGA3/UQCC1/TXN2/TMEM101/RBM28/EIF5B/ISY1/PSMC2/C2CD2L/MAN2C1/UQCC6/EIF1AD/SMIM20/RUVBL1/NUP107/PEMT/VPS51/MRPL48/NOSIP/TIMM9/NDUFAF1/SF3B6/RPS18"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","16","RUVBL1_TARGET_GENES","RUVBL1_TARGET_GENES","1.746537944348217","0.000119560165914692155","0.00223428060053080949","0.00112387983910163772","61","182","0.3351648351648351","0.000000000000000000","12","8","0.13114754098360656","0.065934065934065936","0.029702970297029702","0.016136124819046357","0.06535005925953839","Exclude","FOXR2_TARGET_GENES","FOXR2_TARGET_GENES",FALSE,"UFC1/BANF1/TPD52L2/ITFG2/ILF2/RPL41/POLR3E/TMEM18/NACA/C1orf174/HNRNPC/PSMC5/METTL1/RPL11/RPL24/RCC1/RABGGTB/TBCC/ATP5MC2/SNRPG/RPL18/AAR2/THUMPD3/EMG1/PHB2/NKAPD1/PPEF1/TRIP4/MMADHC/ZNF408/TAF1D/DDX42/PPWD1/POLG/FTSJ3/HSP90AB1/SRSF3/SERBP1/DMAC2/SPATA2/RPS14/RPS12/EIF1AD/ZNF653/RBM48/SNRPB/EIF4G2/GSTA4/MZT2B/CEP95/RPL26/ALOXE3/LRP3/PPP2R3C/SMPD4/FMC1/PRDX1/MRPL30/IMPDH2/MYNN/PRKRA","UFC1/BANF1/TPD52L2/ITFG2/ILF2/RPL41/POLR3E/TMEM18/NACA/C1orf174/HNRNPC/PSMC5/METTL1/RPL11/RPL24/RCC1/RABGGTB/TBCC/ATP5MC2/SNRPG/RPL18/AAR2/THUMPD3/EMG1/PHB2/NKAPD1/PPEF1/TRIP4/MMADHC/ZNF408/TAF1D/DDX42/PPWD1/POLG/FTSJ3/HSP90AB1/SRSF3/SERBP1/DMAC2/SPATA2/RPS14/RPS12/EIF1AD/ZNF653/RBM48/SNRPB/EIF4G2/GSTA4/MZT2B/CEP95/RPL26/ALOXE3/LRP3/PPP2R3C/SMPD4/FMC1/PRDX1/MRPL30/IMPDH2/MYNN/PRKRA"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","17","RAX2_TARGET_GENES","RAX2_TARGET_GENES","1.860833592331778","0.000185775572925916510","0.00326746448852053249","0.00164358830433220296","22","72","0.3055555555555556","0.000000000000000000","3","3","0.13636363636363635","0.041666666666666664","0.009900990099009901","0.025821596244131446","0.06993696944858703","Exclude","FOXR2_TARGET_GENES","FOXR2_TARGET_GENES",FALSE,"POLR1G/USE1/PRPF31/CFL1/MRPL27/PRCC/HDGF/EME1/ZNF581/RPL27A/PSMA5/ERAL1/BCAS2/TEAD4/ZNF358/UBE2N/TSEN2/ZNF580/NEK8/ZNF384/EMC4/PPOX","POLR1G/USE1/PRPF31/CFL1/MRPL27/PRCC/HDGF/EME1/ZNF581/RPL27A/PSMA5/ERAL1/BCAS2/TEAD4/ZNF358/UBE2N/TSEN2/ZNF580/NEK8/ZNF384/EMC4/PPOX"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","18","ZNF581_TARGET_GENES","ZNF581_TARGET_GENES","1.519882267032995","0.000400550986028904311","0.00665359693459124241","0.00334686854037895016","73","332","0.2198795180722891","0.000000000000000000","13","6","0.08219178082191780","0.039156626506024098","0.017060367454068241","0.042763779544623251","0.12349071967554864","Exclude","ALKBH3_TARGET_GENES","ALKBH3_TARGET_GENES",FALSE,"INTS14/TBCB/RPUSD4/CHTOP/QTRT1/HARS1/ANAPC7/UBE2I/HNRNPH3/TMEM18/SLC25A39/TDP1/PNO1/CCT2/DDX41/CZIB/ENY2/PLEKHJ1/C19orf53/CENPM/NDUFV3/FEM1A/KRT18/SAP18/TMEM87A/LARP7/RIOK1/FRS3/CXXC1/TMEM138/RPL27A/EVA1C/BCAS2/PIK3R3/SAP30BP/CASC3/NOL6/CFAP68/DNAAF10/GSTK1/MPHOSPH10/SF3B4/NUSAP1/SNRPE/FAM133B/DDX39B/NDUFA3/SLC35C1/EEF1B2/COMMD1/CYC1/OGA/POLR2I/EBAG9/RBM22/ESRP2/EIF2S1/HMGB1/FAN1/BRF2/TIMM10B/RPL31/TMBIM4/LRR1/NABP2/UBAP2/RPS12/DCP1B/NOL7/BCDIN3D/TMEM62/FBXL12/KRT8","INTS14/TBCB/RPUSD4/CHTOP/QTRT1/HARS1/ANAPC7/UBE2I/HNRNPH3/TMEM18/SLC25A39/TDP1/PNO1/CCT2/DDX41/CZIB/ENY2/PLEKHJ1/C19orf53/CENPM/NDUFV3/FEM1A/KRT18/SAP18/TMEM87A/LARP7/RIOK1/FRS3/CXXC1/TMEM138/RPL27A/EVA1C/BCAS2/PIK3R3/SAP30BP/CASC3/NOL6/CFAP68/DNAAF10/GSTK1/MPHOSPH10/SF3B4/NUSAP1/SNRPE/FAM133B/DDX39B/NDUFA3/SLC35C1/EEF1B2/COMMD1/CYC1/OGA/POLR2I/EBAG9/RBM22/ESRP2/EIF2S1/HMGB1/FAN1/BRF2/TIMM10B/RPL31/TMBIM4/LRR1/NABP2/UBAP2/RPS12/DCP1B/NOL7/BCDIN3D/TMEM62/FBXL12/KRT8"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","21","ZNF830_TARGET_GENES","ZNF830_TARGET_GENES","1.490050320636127","0.000636670909794744846","0.00870650281801215072","0.00437951391777772255","80","289","0.2768166089965398","0.000000000000000000","14","8","0.10000000000000001","0.048442906574394463","0.027504911591355600","0.016935704395067874","0.17101893227329065","Exclude","FOXR2_TARGET_GENES","FOXR2_TARGET_GENES",FALSE,"EIF6/FUNDC2/NDUFB2/POLR1G/BANF1/COPS9/LRRC47/UBE2I/BCS1L/PHPT1/TSEN54/TFB2M/TOE1/POLR1H/MRPL13/MRPS33/NELFE/COG1/POLR2C/DET1/WDR75/ARL14EP/TIMM10/BRIX1/CCT7/RPS20/RPL18/BBIP1/SH3GL1/AAR2/SIGIRR/COG8/NIP7/LRRC59/SRSF8/ZSCAN25/PSMB7/SNRPE/FIS1/WIZ/PFDN5/UQCC3/METTL18/COX17/RPL10/RRP8/ZNF3/RPS7/TPM4/ZNF16/COX7A2/EIF2S1/GGA1/BAX/THOC1/DNAJC7/NDUFB7/RPS14/CD2BP2/MFSD12/EIF1AD/SMARCD1/TM9SF1/PRADC1/UBR7/MVB12A/DECR2/PCBP2/ZSCAN9/STUB1/TRIM41/SLC4A11/HDAC8/SLC35A1/ESR2/SH2B1/CNTROB/SSRP1/CDIPT/ABCD4","EIF6/FUNDC2/NDUFB2/POLR1G/BANF1/COPS9/LRRC47/UBE2I/BCS1L/PHPT1/TSEN54/TFB2M/TOE1/POLR1H/MRPL13/MRPS33/NELFE/COG1/POLR2C/DET1/WDR75/ARL14EP/TIMM10/BRIX1/CCT7/RPS20/RPL18/BBIP1/SH3GL1/AAR2/SIGIRR/COG8/NIP7/LRRC59/SRSF8/ZSCAN25/PSMB7/SNRPE/FIS1/WIZ/PFDN5/UQCC3/METTL18/COX17/RPL10/RRP8/ZNF3/RPS7/TPM4/ZNF16/COX7A2/EIF2S1/GGA1/BAX/THOC1/DNAJC7/NDUFB7/RPS14/CD2BP2/MFSD12/EIF1AD/SMARCD1/TM9SF1/PRADC1/UBR7/MVB12A/DECR2/PCBP2/ZSCAN9/STUB1/TRIM41/SLC4A11/HDAC8/SLC35A1/ESR2/SH2B1/CNTROB/SSRP1/CDIPT/ABCD4"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","27","MYBL1_TARGET_GENES","MYBL1_TARGET_GENES","1.419705049991518","0.001314944513652192360","0.01456179294748168214","0.00732482102335713352","122","482","0.2531120331950207","0.000000000000000000","8","5","0.04098360655737705","0.016597510373443983","0.011299435028248588","0.027653931536710325","0.19300171325066923","Exclude","FOXR2_TARGET_GENES","FOXR2_TARGET_GENES",FALSE,"NME1/EIF3B/ITFG2/RBM14/CDCA3/UBE2I/BRMS1/HNRNPH3/CCDC97/MBD1/TPM3/PGD/TMEM258/ALYREF/TOMM40/COA3/POP4/CCT2/SENP8/NACA/MTPAP/TINAGL1/RAD52/IMP4/MCRS1/NECAP1/FEN1/GTF3C2/FNTB/CENPM/WDR74/GNL3/KRT18/AIMP2/BRIX1/RPL27A/PHF5A/MRPL33/SEH1L/HNRNPA1/CNOT9/KIFC1/INTS12/MTERF1/H2BC6/EMC1/POP5/LIG1/HNRNPAB/PFDN5/COX17/COX4I1/MICOS13/MYADM/ANAPC11/DDR1/TMEM184A/MAZ/SNRNP70/SAC3D1/POLR3B/ST7L/ANKRD13C/LPXN/PLAA/LUC7L2/RPS6/DEDD/ERI2/ZNF561/HSP90AB1/PPIE/SRSF3/ARRDC1/NR2C2AP/H2AX/TMBIM4/LRR1/ANKRD18A/MEIOSIN/FADS2/SH3TC2/LRRC46/CTDNEP1/HENMT1/UFSP1/UBE2S/EZH2/UBAP2/SEC61B/ACIN1/FCF1/KRT8/REXO2/RBM48/HNRNPA2B1/SNRPB/EIF4G2/AGPAT5/ABCF1/ZMAT1/BLOC1S2/STT3A/RPL7A/JTB/HNRNPK/CNTD1/TOMM70/NDUFS8/REXO5/ZBED5/WARS2/QSOX1/EIF2B2/MLH3/WDR89/DHRS7B/ANAPC5/RPL12/BMP4/ESR2/ACY1","NME1/EIF3B/ITFG2/RBM14/CDCA3/UBE2I/BRMS1/HNRNPH3/CCDC97/MBD1/TPM3/PGD/TMEM258/ALYREF/TOMM40/COA3/POP4/CCT2/SENP8/NACA/MTPAP/TINAGL1/RAD52/IMP4/MCRS1/NECAP1/FEN1/GTF3C2/FNTB/CENPM/WDR74/GNL3/KRT18/AIMP2/BRIX1/RPL27A/PHF5A/MRPL33/SEH1L/HNRNPA1/CNOT9/KIFC1/INTS12/MTERF1/H2BC6/EMC1/POP5/LIG1/HNRNPAB/PFDN5/COX17/COX4I1/MICOS13/MYADM/ANAPC11/DDR1/TMEM184A/MAZ/SNRNP70/SAC3D1/POLR3B/ST7L/ANKRD13C/LPXN/PLAA/LUC7L2/RPS6/DEDD/ERI2/ZNF561/HSP90AB1/PPIE/SRSF3/ARRDC1/NR2C2AP/H2AX/TMBIM4/LRR1/ANKRD18A/MEIOSIN/FADS2/SH3TC2/LRRC46/CTDNEP1/HENMT1/UFSP1/UBE2S/EZH2/UBAP2/SEC61B/ACIN1/FCF1/KRT8/REXO2/RBM48/HNRNPA2B1/SNRPB/EIF4G2/AGPAT5/ABCF1/ZMAT1/BLOC1S2/STT3A/RPL7A/JTB/HNRNPK/CNTD1/TOMM70/NDUFS8/REXO5/ZBED5/WARS2/QSOX1/EIF2B2/MLH3/WDR89/DHRS7B/ANAPC5/RPL12/BMP4/ESR2/ACY1"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","29","ZNF524_TARGET_GENES","ZNF524_TARGET_GENES","1.425650773116787","0.001834670136209211062","0.01874728175723747170","0.00943019063939931450","78","355","0.2197183098591549","0.000000000000000000","15","7","0.08974358974358974","0.042253521126760563","0.022761760242792108","0.026754924250381600","0.09970237222647814","Exclude","ZZZ3_TARGET_GENES","ZZZ3_TARGET_GENES",FALSE,"NOP56/NOP16/ITFG2/QTRT1/LUC7L/ING5/POLR3E/R3HCC1/DUS1L/ZNF276/CZIB/VPS37C/C1orf35/DRAP1/MRPL39/AURKAIP1/RNPS1/METTL26/SEC13/EIF2D/MCRIP2/NPM1/DDX55/CFAP20/NDUFC1/RPL11/COPS7B/TMEM87A/EMC10/FRS3/PTOV1/ENSA/KCTD5/MRPL4/PIK3R3/MED26/JPT1/PPCDC/PLCXD1/SLC25A6/LRRC59/C6orf136/INTS12/MRPS2/SDF4/EPHA2/NSFL1C/NKAPD1/PCDH9/PPEF1/MTERF4/RPL29/FOXL1/VPS33A/CUEDC2/PDHB/ZNF3/B3GALT6/TGS1/KMT5B/REXO4/MMAB/ESRP2/MRPL44/MTG1/PSME2/FBXW8/DMAP1/CENPU/BRF2/NDUFA10/C1orf159/MAX/RIC8A/TMEM101/ITGB3BP/MRM3/LRFN4","NOP56/NOP16/ITFG2/QTRT1/LUC7L/ING5/POLR3E/R3HCC1/DUS1L/ZNF276/CZIB/VPS37C/C1orf35/DRAP1/MRPL39/AURKAIP1/RNPS1/METTL26/SEC13/EIF2D/MCRIP2/NPM1/DDX55/CFAP20/NDUFC1/RPL11/COPS7B/TMEM87A/EMC10/FRS3/PTOV1/ENSA/KCTD5/MRPL4/PIK3R3/MED26/JPT1/PPCDC/PLCXD1/SLC25A6/LRRC59/C6orf136/INTS12/MRPS2/SDF4/EPHA2/NSFL1C/NKAPD1/PCDH9/PPEF1/MTERF4/RPL29/FOXL1/VPS33A/CUEDC2/PDHB/ZNF3/B3GALT6/TGS1/KMT5B/REXO4/MMAB/ESRP2/MRPL44/MTG1/PSME2/FBXW8/DMAP1/CENPU/BRF2/NDUFA10/C1orf159/MAX/RIC8A/TMEM101/ITGB3BP/MRM3/LRFN4"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","33","NR1I2_TARGET_GENES","NR1I2_TARGET_GENES","1.386855696934969","0.002398516287391160191","0.02173201120999869798","0.01093155857695123079","76","348","0.2183908045977012","0.000000000000000000","13","6","0.07894736842105263","0.037356321839080463","0.019877675840978593","0.041589968993951440","0.13186615967957138","Exclude","ZZZ3_TARGET_GENES","ZZZ3_TARGET_GENES",FALSE,"NME1/INTS14/ITFG2/DDX39A/PUS1/CDCA3/CLN6/PTRHD1/MRPL36/GTF3C6/MEST/HEXA/PNO1/PPIA/TRIM28/IMPDH1/SAYSD1/ADPGK/LSM8/FEN1/SLC20A1/RPS19BP1/TOMM7/COPS7A/TMEM87A/COA4/MRPL11/NLN/CCNI2/DESI1/PARP6/ZFYVE27/MRPS21/CXXC1/ATP5MC2/MRRF/RPL8/DAGLB/PDAP1/MAPKAPK5/SNRNP35/CSRP2/CFAP68/THUMPD3/YBX3/DNAAF10/MARCHF3/NBN/ERVK3-1/PSMB7/CPSF7/DDR1/UBE2M/EIF2B5/RPS27L/RPLP1/NAT10/SCARB1/GMEB2/EBAG9/RBM22/SLC2A1/HSP90AB1/DNAJC2/DMAP1/ATP5ME/PEX6/LRRC14/RHNO1/COPZ1/PSMC2/PPAN/NCBP2/MTCH2/CLN5/MAN2C1","NME1/INTS14/ITFG2/DDX39A/PUS1/CDCA3/CLN6/PTRHD1/MRPL36/GTF3C6/MEST/HEXA/PNO1/PPIA/TRIM28/IMPDH1/SAYSD1/ADPGK/LSM8/FEN1/SLC20A1/RPS19BP1/TOMM7/COPS7A/TMEM87A/COA4/MRPL11/NLN/CCNI2/DESI1/PARP6/ZFYVE27/MRPS21/CXXC1/ATP5MC2/MRRF/RPL8/DAGLB/PDAP1/MAPKAPK5/SNRNP35/CSRP2/CFAP68/THUMPD3/YBX3/DNAAF10/MARCHF3/NBN/ERVK3-1/PSMB7/CPSF7/DDR1/UBE2M/EIF2B5/RPS27L/RPLP1/NAT10/SCARB1/GMEB2/EBAG9/RBM22/SLC2A1/HSP90AB1/DNAJC2/DMAP1/ATP5ME/PEX6/LRRC14/RHNO1/COPZ1/PSMC2/PPAN/NCBP2/MTCH2/CLN5/MAN2C1"
"GSE282081","Main_DE","Hepatocyte_coculture","TFT_GTRD","34","KLF14_TARGET_GENES","KLF14_TARGET_GENES","1.468310738444651","0.002558437001344183656","0.02249919598240914670","0.01131746511813188673","60","257","0.2334630350194553","0.000000000000000000","5","4","0.06666666666666667","0.019455252918287938","0.010288065843621399","0.011300283363577005","0.09626633633943286","Exclude","FOXR2_TARGET_GENES","FOXR2_TARGET_GENES",FALSE,"NOP16/INTS14/BANF1/NDUFS3/HAUS8/GTPBP3/UCKL1/PISD/ATP5MF/UBE2Q1/ZNF276/AURKAIP1/STX18/MRPS15/SEC13/EIF2D/ZNF581/LZIC/NAT9/COLGALT1/STOML1/TRNAU1AP/FAAH/PUF60/PTOV1/CNDP2/KCTD5/MRPL4/ADAM15/IBA57/INTS12/NSFL1C/PXMP2/CELF3/ZNF408/SEMA6A/BORCS8/HIVEP3/RPS7/REXO4/NCOA4/MRPL44/HMGB1/KCTD13/EARS2/BLOC1S1/FBXW8/DMAP1/BRF2/ACSBG2/RBM28/CCNE1/SLX9/KCNIP2/MFSD12/EIF1AD/INO80C/SYT7/VPS51/NOSIP","NOP16/INTS14/BANF1/NDUFS3/HAUS8/GTPBP3/UCKL1/PISD/ATP5MF/UBE2Q1/ZNF276/AURKAIP1/STX18/MRPS15/SEC13/EIF2D/ZNF581/LZIC/NAT9/COLGALT1/STOML1/TRNAU1AP/FAAH/PUF60/PTOV1/CNDP2/KCTD5/MRPL4/ADAM15/IBA57/INTS12/NSFL1C/PXMP2/CELF3/ZNF408/SEMA6A/BORCS8/HIVEP3/RPS7/REXO4/NCOA4/MRPL44/HMGB1/KCTD13/EARS2/BLOC1S1/FBXW8/DMAP1/BRF2/ACSBG2/RBM28/CCNE1/SLX9/KCNIP2/MFSD12/EIF1AD/INO80C/SYT7/VPS51/NOSIP"
