Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GOBP_RNA_SPLICING,GOBP_RNA_SPLICING,1.89210089431e-05,452,124,"THOC1,THRAP3,SUPT7L,DHX38,RBM39,CIRSR,CRIPT,YTHDC1,SCAF11,PRPF3,ZPR1,KAT2B,RBM17,RPUSD4,ZC3H10,GEMIN2,PPP1R9B,NSRP1,RBM48,TRRAP,AKAP17A,TAF15,ZC3H14,PRKRIP1,DHX40,DDX39B,AHNAK,RNF113A,TMBIM6,SUPT6H,SRPK2,SON,SNRPF,SNRPE,SNRPD3,UPF3A,RBM15,SFPQ,RRAGC,ATXN7,RPS26,DHX35,RBM4,RBM25,CWC22,METTL3,CTNNBL1,LUC7L,IWS1,RNPC3,RBM41,SMU1,PRPF38B,PPP1R8,TXNL4B,CWC25,SLC38A2,POLR2A,PNN,EXOSC10,PPIL3,PLRG1,PIK3R1,CDK12,LUC7L3,CWC15,CDC40,CRNKL1,RSRC1,DDX47,RBMXL1,NONO,NCBP1,MFAP1,ILDR2,RBM44,IK,ZBTB8OS,HSPA1A,HNRNPU,HNRNPL,HNRNPH1,HNRNPF,HMX2,HTATSF1,ZNF638,RBMXL2,FAM98A,GEMIN5,USP49,FRG1,PPIL2,SRRM2,MTREX,SF3B3,TARDBP,PPWD1,AFF2,GPATCH8,ZC3H13,SETX,SNW1,NCBP2,KHDC4,RBM24,ERN1,DHX8,PPP4R2,CLK1,AHNAK2,SNRNP27,CLP1,SF3A3,TCERG1,USP39,KHDRBS3,PRPF8,SLU7,DDX17,SMNDC1,SRRM1,HNRNPR,MPHOSPH10,MBNL2",83,GMT,499,keep,itself,,1.0,0.0,0.0,True,1,4.723055709015728,RNA SPLICING,RNA SPLICING,1
2,GOBP_HISTONE_MRNA_METABOLIC_PROCESS,GOBP_HISTONE_MRNA_METABOLIC_PROCESS,0.0023451309853597,32,13,"TUT7,SLBP,SSB,SNRPF,SNRPE,SNRPD3,EXOSC4,CPSF2,EXOSC10,NCBP1,ZNF473,TUT4,NCBP2",38,GMT,32,keep,itself,,1.0,0.0,0.0,True,31,2.629832895110846,HISTONE MRNA METABOLIC PROCESS,HISTONE MRNA METABOLIC PROCESS,2
3,GOBP_CYTOPLASMIC_TRANSLATION,GOBP_CYTOPLASMIC_TRANSLATION,0.0003448740974405,172,86,"GTPBP1,RPL23,RPL14,EIF2B5,EIF3H,EIF3F,EIF3D,SLBP,CPEB1,RPS26,RPS25,RPS24,RPS23,RPS20,RPS12,RPS8,RPS7,RPS3A,RPL38,RPL36AL,RPL31,RPL30,RPL27,RPL22,RPL21,RPL17,RPL15,RPL11,RPL7A,RPL6,RPL5,RBM4,METTL3,EIF3L,NCK1,NCBP1,MTIF2,HNRNPU,MCTS1,EIF2S3B,NMNAT2,NCBP2,CPEB3,RBM24,RPL22L1,EIF4G1,DHX36,NEMF,EIF2B3,EIF2B4,EIF3I,EIF3C,EIF3A,DENR,UNK,CPEB4,LIN28A,CSDE1,CNBP,EIF3CL,SH3BGRL,SARS1,RPS29,RPS27A,RPS27,RPS17,RPS13,RPS10,RPS4X,RPS3,RPLP0,RPL36A,RPL39,RPL37A,RPL37,RPL35A,RPL34,RPL32,RPL27A,RPL26,RPL24,RPL23A,RPL9,RPL7,RPL4,RPL3",42,GMT,177,keep,itself,,1.0,0.0,0.0,True,5,3.4623394230901363,CYTOPLASMIC TRANSLATION,CYTOPLASMIC TRANSLATION,3
4,GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION,GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION,7.2110815468e-05,33,19,"L3MBTL3,TPR,TAL1,SSRP1,SETD5,PHF2,PAX7,MLLT3,KMT2A,MKI67,HNRNPU,UBN2,ASB7,TLK2,CDK2,TLK1,CDK1,ERI1,SAMD1",1,GMT,33,keep,itself,,1.0,0.0,0.0,True,3,4.141999593175034,REGULATION OF CHROMATIN ORGANIZATION,REGULATION OF CHROMATIN ORGANIZATION,4
5,GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS,GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS,3.50852150928e-05,47,20,"STX8,MTMR2,RAB11A,HOOK3,FHIP1B,RAB7A,EZR,SORL1,AKTIP,RDX,RAB5A,PIK3C3,CHMP3,DYNC1LI1,MYO1D,MSN,DENND10,DNAJC13,LMTK2,EMP2",0,GMT,48,keep,itself,,1.0,0.0,0.0,True,2,4.454875856648924,VESICLE MEDIATED TRANSPORT BETWEEN ENDOSOMAL COMPARTMENTS,"VESICLE MEDIATED TRANSPORT BETWEEN ENDOSOMAL
COMPARTMENTS",5
6,GOBP_REGULATION_OF_CYTOKINESIS,GOBP_REGULATION_OF_CYTOKINESIS,0.0017364966462609,91,45,"CDC6,KIF20B,KIF23,RAB11A,CDC14B,PKP4,CUL4A,ANKRD53,E2F8,WNK1,BBS4,BIRC6,MAP10,PIK3C3,CHMP3,TAS2R13,ARF6,DCDC1,SETD2,CCDC66,ATXN10,EXOC7,E2F7,PLK3,OR2A4,CDC25B,KIF14,CCP110,CHMP4C,PRC1,KLHL13,CDC14A,ZFYVE19,CUL3,CUL4B,RAB11FIP4,CALM2,DCAF11,MYO19,CSPP1,SVIL,AURKC,AURKA,SSTR5,SPAST",44,GMT,99,keep,itself,,1.0,0.0,0.0,True,28,2.760326051116128,REGULATION OF CYTOKINESIS,REGULATION OF CYTOKINESIS,6
7,GOBP_CELLULAR_RESPONSE_TO_NITROGEN_LEVELS,GOBP_CELLULAR_RESPONSE_TO_NITROGEN_LEVELS,0.0008000626116978,10,8,"MAP1LC3B,MAP1LC3B2,GABARAPL1,GABARAPL2,GABARAP,ATG7,BECN2,ATG5",5,GMT,12,keep,itself,,1.0,0.0,0.0,True,11,3.096876024444519,CELLULAR RESPONSE TO NITROGEN LEVELS,CELLULAR RESPONSE TO NITROGEN LEVELS,7
8,GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY,GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY,0.0001107200241743,80,29,"PTGDR2,GPR83,NMU,QRFPR,PROK2,NPS,PPY,RXFP3,NMBR,GLRA2,CYSLTR1,ECRG4,SSTR4,SSTR3,NPFFR1,RELA,SORCS2,PYY,LTB4R2,NTSR1,NMB,MC5R,RXFP4,MCHR1,NPW,PCSK1N,SORCS3,NXPH4,TENM1",6,GMT,117,keep,itself,,1.0,0.0,0.0,True,4,3.9557738280646664,NEUROPEPTIDE SIGNALING PATHWAY,NEUROPEPTIDE SIGNALING PATHWAY,8
9,GOBP_HORMONE_MEDIATED_APOPTOTIC_SIGNALING_PATHWAY,GOBP_HORMONE_MEDIATED_APOPTOTIC_SIGNALING_PATHWAY,0.0016285848979144,4,3,"PTH,CRH,SSTR3",27,GMT,5,keep,itself,,1.0,0.0,0.0,True,26,2.7881895967953314,HORMONE MEDIATED APOPTOTIC SIGNALING PATHWAY,HORMONE MEDIATED APOPTOTIC SIGNALING PATHWAY,9
10,GOBP_NEGATIVE_REGULATION_OF_GLYCOGEN_BIOSYNTHETIC_PROCESS,GOBP_NEGATIVE_REGULATION_OF_GLYCOGEN_BIOSYNTHETIC_PROCESS,0.0004257318440838,8,6,"SELENOS,PRKAG3,INPP5K,ENPP1,GSK3A,GRB10",4,GMT,11,keep,itself,,1.0,0.0,0.0,True,6,3.370863864052034,NEGATIVE REGULATION OF GLYCOGEN BIOSYNTHETIC PROCESS,"NEGATIVE REGULATION OF GLYCOGEN BIOSYNTHETIC
PROCESS",10
