term_id	term_name	p_value	term_size	intersection_size	intersection
GOMF_METAL_DEPENDENT_DEUBIQUITINASE_ACTIVITY	GOMF_METAL_DEPENDENT_DEUBIQUITINASE_ACTIVITY	0.0007604635806291	12	8	EIF3H,EIF3F,BRCC3,COPS5,COPS6,STAMBP,PRPF8,PSMD14
GOMF_CATECHOLAMINE_BINDING	GOMF_CATECHOLAMINE_BINDING	0.0014064920445904	11	7	ADRB2,ADRB3,RNLS,DRD4,DRD2,ADRA2C,ADRA2B
GOMF_INSULIN_RECEPTOR_BINDING	GOMF_INSULIN_RECEPTOR_BINDING	0.0010979208405842	21	11	IRS2,SNX2,SNX1,SHC1,CCDC88A,PHIP,PIK3R1,ENPP1,IGF1R,GRB10,SORBS1
GOMF_INTRACELLULARLY_CALCIUM_GATED_CHLORIDE_CHANNEL_ACTIVITY	GOMF_INTRACELLULARLY_CALCIUM_GATED_CHLORIDE_CHANNEL_ACTIVITY	0.0008562131601956	18	9	CLCA4,TTYH3,BEST1,ANO8,TTYH1,ANO10,ANO7,ANO5,BEST3
GOMF_ADRENERGIC_RECEPTOR_ACTIVITY	GOMF_ADRENERGIC_RECEPTOR_ACTIVITY	0.0021952035422667	9	7	ADRB2,ADRA1D,ADRB3,ADRA1A,ADRB1,ADRA2C,ADRA2B
GOMF_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY	GOMF_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY	0.0009707440252535	26	13	ADRB2,ADRA1D,CHRM3,ADRB3,ADRA1A,HTR1D,DRD4,ADRB1,ADRA2C,ADRA2B,CHRM4,CHRM1,HRH3
GOMF_NUCLEIC_ACID_CONFORMATION_ISOMERASE_ACTIVITY	GOMF_NUCLEIC_ACID_CONFORMATION_ISOMERASE_ACTIVITY	2.68611775782e-05	155	54	DHX38,RECQL5,HELB,SLFN11,DHX57,BTAF1,NAV2,DDX18,FBH1,SMARCA5,MCM8,BRIP1,DHX40,DDX39B,TP53,TOP1,SUPV3L1,SMARCA1,YTHDC2,IFIH1,DHX35,RFC2,RECQL,CHD8,DDX24,SMARCAD1,DDX28,DHX32,DDX60,DDX19A,ERCC6L,ATRX,DDX47,SMARCAL1,MRE11,MOV10,MCM6,MCM3,RAD54B,MTREX,SETX,ERCC3,DHX36,DHX8,DDX6,DQX1,CHD3,DDX52,SRCAP,POLQ,DDX17,RAD50,DDX43,MOV10L1
GOMF_G_PROTEIN_COUPLED_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOMF_G_PROTEIN_COUPLED_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.0036248447423177	9	4	GABRB1,ADRB1,CHRM4,CHRM1
GOMF_K63_LINKED_DEUBIQUITINASE_ACTIVITY	GOMF_K63_LINKED_DEUBIQUITINASE_ACTIVITY	0.0014402202736937	17	15	BRCC3,OTUD4,USP54,STAMBP,PSMD14,USP8,USP14,USP9X,TNFAIP3,OTUD5,YOD1,USP53,DESI2,ATXN3,USP27X
GOMF_EPINEPHRINE_BINDING	GOMF_EPINEPHRINE_BINDING	0.0015471766997159	6	5	ADRB3,RNLS,DRD4,ADRA2C,ADRA2B
