Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,3.046019e-10,65,45,"DNAJC30,SDHD,SDHC,NDUFB11,ATP5PO,ATP5ME,ATP5MC2,ATP5MC1,ATP5F1E,NDUFA13,NDUFS4,NDUFB6,NDUFB4,NDUFB3,NDUFAB1,NDUFA3,NDUFA11,ATP5MG,ATP5PD,VPS9D1,ATP5MJ,ATP5IF1,ATP5MK,SDHB,NDUFA12,ATP6V0C,ATP5PF,ATP5MC3,ATP5PB,ATP5F1C,NDUFV3,NDUFS6,NDUFS5,NDUFS3,NDUFB10,NDUFB9,NDUFB8,NDUFB5,NDUFB2,NDUFB1,NDUFA9,NDUFA8,NDUFA6,NDUFA5,NDUFA1",0,GMT,76,keep,itself,,1.0,0.0,0.0,True,1,9.516267392014612,PROTON MOTIVE FORCE DRIVEN ATP SYNTHESIS,PROTON MOTIVE FORCE DRIVEN ATP SYNTHESIS,1
2,GOBP_ATP_BIOSYNTHETIC_PROCESS,GOBP_ATP_BIOSYNTHETIC_PROCESS,1.96323904e-07,92,52,"DNAJC30,UQCC3,TMSB4X,TAFAZZIN,SDHD,SDHC,NDUFB11,ATP5PO,ATP5ME,ATP5MC2,ATP5MC1,ATP5F1E,NDUFA13,NDUFS4,NDUFB6,NDUFB4,NDUFB3,NDUFAB1,NDUFA3,LETMD1,NDUFA11,ATP5MG,ATP5PD,VPS9D1,ATP5MJ,ATP5IF1,ATP5MK,SDHB,FAM3A,NDUFA12,PPARA,TREM2,ATP6V0C,ATP5PF,ATP5MC3,ATP5PB,ATP5F1C,NDUFV3,NDUFS6,NDUFS5,NDUFS3,NDUFB10,NDUFB9,NDUFB8,NDUFB5,NDUFB2,NDUFB1,NDUFA9,NDUFA8,NDUFA6,NDUFA5,NDUFA1",1,GMT,105,exclude,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,0.0012,1.0,45.0,False,3,6.707026818366055,ATP BIOSYNTHETIC PROCESS,ATP BIOSYNTHETIC PROCESS,2
3,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,4.08390093405e-05,115,58,"TBPL1,DNAJC30,UQCC3,TMSB4X,TAFAZZIN,SDHD,SDHC,NDUFB11,ATP5PO,ATP5ME,ATP5MC2,ATP5MC1,ATP5F1E,NDUFA13,NDUFS4,NDUFB6,NDUFB4,NDUFB3,NDUFAB1,NDUFA3,LETMD1,DTYMK,NDUFA11,ATP5MG,ATP5PD,VPS9D1,ATP5MJ,ATP5IF1,ATP5MK,UCK2,SDHB,FAM3A,NDUFA12,PPARA,TREM2,ATP6V0C,ATP5PF,ATP5MC3,ATP5PB,ATP5F1C,AK3,NME4,NME1,NDUFV3,NDUFS6,NDUFS5,NDUFS3,NDUFB10,NDUFB9,NDUFB8,NDUFB5,NDUFB2,NDUFB1,NDUFA9,NDUFA8,NDUFA6,NDUFA5,NDUFA1",28,GMT,130,exclude,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,5.92e-05,1.0,45.0,False,20,4.388924801432643,NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS,NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS,3
4,GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,6.05463e-10,310,122,"ARHGAP25,MFN2,IQSEC1,ARHGEF11,RALGPS1,MAP4K4,SLIT2,ADGRG1,ARHGEF2,SQSTM1,SYNGAP1,GBF1,CBL,PKP4,ARHGAP19,CGNL1,RASAL1,OBSCN,KCTD10,DOCK8,SHOC2,ARHGAP10,EPS8L3,VAV2,TSC2,TRIO,TNFAIP1,TGM2,BNIP2,WNK1,TNS3,ITSN1,BCR,ROBO1,RAP1GAP,RAF1,RHOU,DENND1A,ARHGAP23,PREX1,DOCK6,HEG1,PLEKHG5,ARFGEF3,RALGAPA2,RALGAPB,CDC42SE2,PSD,ARHGEF40,DENND4C,ARHGEF10L,RALGPS2,PPP1CA,RASIP1,EPS8L1,RHOF,PIK3CB,CYRIB,CDON,OPHN1,NOTCH2,NOTCH1,MYO9B,ARRB1,LRP4,KRAS,ITGB1,ITGAV,ITGA3,IGF1,TAX1BP3,ARHGAP35,ABR,GIT1,GRB2,SCAI,RABL3,ARHGEF16,CYTH4,ABL2,TIAM2,AUTS2,SIPA1L1,PLEKHG3,KANK2,NGEF,RALGAPA1,ABL1,ARHGAP8,NUP62,CD2AP,PSD4,ARHGEF18,ARHGEF12,DOCK9,KANK1,IQSEC2,SIPA1L3,ARHGAP26,FOXM1,RASA3,F2RL1,F2R,EPHB2,LPAR1,ABCA1,DAG1,PRAG1,CSNK1A1,CRKL,CRK,COL3A1,FGD4,ARAP1,AKAP13,MAPRE2,RALBP1,GNA13,STAMBP,ARFGEF2,DLC1,SPRY3",11,GMT,324,keep,itself,,1.0,0.0,0.0,True,2,9.217912391557771,REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION,"REGULATION OF SMALL GTPASE MEDIATED SIGNAL
TRANSDUCTION",4
5,GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,7.54913020714e-05,87,40,"ADGRG1,ARHGEF2,PKP4,KCTD10,DOCK8,EPS8L3,TNFAIP1,BCR,ROBO1,RAF1,DOCK6,HEG1,CDC42SE2,RASIP1,EPS8L1,OPHN1,MYO9B,ARRB1,ITGB1,ITGA3,TAX1BP3,ARHGAP35,SCAI,ARHGEF16,ABL2,KANK2,ABL1,ARHGEF18,DOCK9,KANK1,F2RL1,F2R,LPAR1,ABCA1,PRAG1,CSNK1A1,COL3A1,AKAP13,RALBP1,DLC1",22,GMT,92,keep,itself,,1.0,0.0,0.0,True,23,4.122103083867524,REGULATION OF RHO PROTEIN SIGNAL TRANSDUCTION,REGULATION OF RHO PROTEIN SIGNAL TRANSDUCTION,5
6,GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,0.0001053651065481,139,56,"ARHGEF11,CELSR1,ADGRG1,ARHGEF2,ARHGEF7,PKP4,KCTD10,DOCK8,EPS8L3,TNFAIP1,PHACTR4,RTKN,BCR,ROBO1,RAF1,DOCK6,HEG1,CDC42SE2,SYNJ2BP,RASIP1,EPS8L1,HACD3,OPHN1,MYO9B,MYO6,ARRB1,ITGB1,ITGA3,TAX1BP3,ARHGAP35,SCAI,GNA12,ARHGEF16,ABL2,KANK2,ABL1,SH3BP4,ARHGEF18,ARHGEF12,DOCK9,KANK1,F2RL1,F2R,LPAR1,ABCA1,PRAG1,CDC42EP5,CSNK1A1,COL3A1,COL1A2,AKAP13,RALBP1,GNA13,CDC42EP2,DLC1,CDH13",73,GMT,146,keep,GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,0.068,1.0,40.0,False,26,3.9773031893378565,RHO PROTEIN SIGNAL TRANSDUCTION,RHO PROTEIN SIGNAL TRANSDUCTION,6
7,GOBP_DEVELOPMENTAL_CELL_GROWTH,GOBP_DEVELOPMENTAL_CELL_GROWTH,2.18431428898e-05,213,81,"CXCL12,S100B,GATA4,EPHA7,KIAA0319,ULK2,AKAP6,PLAA,SLIT2,CTDP1,WASF1,NRP2,RASAL1,SYT3,USP9X,NDEL1,KMT2D,CCDC134,MUL1,DDR1,VCL,TNR,TGFBR2,SYT1,AURKA,SLIT3,RAPH1,RARG,CPNE5,ISLR2,SMURF1,SEMA3G,PRKCZ,ADCY10,SEMA5B,PLXNA1,BCL11A,CTDSPL2,ITSN2,PAK1,NPPA,NKX6-1,MAP2,MAP1B,LAMB2,L1CAM,ITGB1,APP,IGF1,PRMT2,ANAPC2,GSK3B,GOLGA4,DISC1,CYFIP2,GDI1,AUTS2,SIN3A,SNX32,G6PD,ABL1,CD2AP,MACF1,ADNP,PUM2,NEDD4L,COBL,CYFIP1,CLASP2,FSTL4,ALCAM,EXT1,MEGF8,DNM2,CTNNB1,RNF157,PDLIM5,SEMA4F,SEMA3A,CDK5,CDH4",55,GMT,234,keep,itself,,1.0,0.0,0.0,True,12,4.660684873224818,DEVELOPMENTAL CELL GROWTH,DEVELOPMENTAL CELL GROWTH,7
8,GOBP_NEURON_PROJECTION_EXTENSION,GOBP_NEURON_PROJECTION_EXTENSION,2.71787923901e-05,158,62,"CXCL12,S100B,KIAA0319,ULK2,PLAA,SLIT2,WASF1,NRP2,RASAL1,SYT3,USP9X,NDEL1,CCDC134,MUL1,DDR1,VCL,TNR,SYT1,AURKA,SLIT3,RAPH1,CPNE5,ISLR2,SMURF1,SEMA3G,PRKCZ,ADCY10,SEMA5B,PLXNA1,BCL11A,ITSN2,PAK1,NKX6-1,MAP2,MAP1B,LAMB2,L1CAM,ITGB1,ANAPC2,GSK3B,GOLGA4,DISC1,CYFIP2,GDI1,AUTS2,SIN3A,SNX32,ABL1,MACF1,ADNP,NEDD4L,CYFIP1,CLASP2,ALCAM,MEGF8,DNM2,CTNNB1,RNF157,SEMA4F,SEMA3A,CDK5,CDH4",54,GMT,170,keep,itself,,1.0,0.0,0.0,True,14,4.56576984377597,NEURON PROJECTION EXTENSION,NEURON PROJECTION EXTENSION,8
9,GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,2.74416891104e-05,226,84,"CXCL12,S100B,FGF10,EPHA7,MED12,KIAA0319,ULK2,PLAA,SLIT2,WASF1,NRP2,NKD1,RASAL1,SYT3,USP9X,NDEL1,CCDC134,MUL1,DDR1,VCL,TNR,TGFBR2,SYT1,AURKA,SLIT3,RAPH1,SIX1,RARG,CPNE5,ISLR2,PTK7,SMURF1,SEMA3G,BIN3,PRKCZ,ADCY10,KIF26B,SEMA5B,PLXNA1,BCL11A,CTDSPL2,ITSN2,PAK1,NOTCH1,NKX6-1,MAP2,MAP1B,LAMB2,L1CAM,ITGB1,APP,ANAPC2,GSK3B,GOLGA4,DISC1,CYFIP2,GDI1,AUTS2,SIN3A,SNX32,ABL1,CD2AP,MACF1,ADNP,PUM2,NEDD4L,COBL,CYFIP1,CLASP2,FSTL4,FGFR2,FGF1,ALCAM,MEGF8,S1PR1,DNM2,CTNNB1,RNF157,SEMA4F,YAP1,SEMA3A,CDK5,TRIM28,CDH4",69,GMT,241,keep,GOBP_NEURON_PROJECTION_EXTENSION,GOBP_NEURON_PROJECTION_EXTENSION,0.2538,1.0,62.0,False,15,4.5615891601391585,DEVELOPMENTAL GROWTH INVOLVED IN MORPHOGENESIS,"DEVELOPMENTAL GROWTH INVOLVED IN
MORPHOGENESIS",9
10,GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH,GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH,0.0002358072954097,287,101,"BCL2L11,ACTN3,CXCL12,RAG2,MYOZ1,NPY1R,EPHA7,KIAA0319,ULK2,VGLL4,AKAP6,PLAA,CTDP1,SGPL1,HDAC3,LIN7A,STC2,MFSD2A,RASAL1,SYT3,WWC2,MUL1,FTO,EZR,VIL1,TNR,TGFBR3,SYT1,STK4,STK3,STAT5B,SIX1,PEX5,BBS2,CPNE5,ISLR2,PTEN,SMURF1,TBX20,SEMA3G,ADCY10,MBD5,CHD7,PPARD,PLS1,BCL11A,ATP8A2,ITSN2,PAK1,NOTCH1,NKX6-1,MTM1,MAP2,MAP1B,L1CAM,AR,IL7,RBPJ,APP,IGF1,ACACB,ANAPC2,GSK3B,FLVCR1,DLL1,GOLGA4,DISC1,GDI1,LATS2,GATA6,SIN3A,NIPBL,G6PD,ABL1,MACF1,ADNP,PUM2,NEDD4L,WWC1,PLCB1,CLASP2,FSTL4,MYCBP2,FGFR2,AKT1,ERBB4,MEGF8,DRD2,DNM2,DIO3,GPAT4,RNF157,AFG3L2,RAI1,SEMA4F,YAP1,BASP1,SEMA3A,ZMPSTE24,CDK5,CDH4",243,GMT,325,keep,GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,0.1041,0.4851,47.0,False,35,3.627442762823779,REGULATION OF DEVELOPMENTAL GROWTH,REGULATION OF DEVELOPMENTAL GROWTH,10
