Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,HP_THIN_UPPER_LIP_VERMILION,HP_THIN_UPPER_LIP_VERMILION,1e-10,314,134,"MED13,MED12,AMMECR1,FIG4,TMEM94,ADAMTSL2,CEP135,HS2ST1,CDC42BPB,COG1,TRIP12,ARHGEF2,UBE3B,SYNGAP1,CDK13,PPFIA3,MFSD2A,SLC9A7,TRAPPC9,TRRAP,ARID1A,SMC1A,KDM5C,USP9X,KMT2D,EDEM3,WDR26,KAT6A,ALG9,ALG12,BRPF1,ZFX,KDM6A,VPS51,TRIO,TRAPPC10,TCF20,TAF1,SYT1,SPTBN1,SMARCC2,SMARCB1,SMARCA4,SLC2A1,SHMT2,IFIH1,SEL1L,SARS1,BCR,EEFSEC,DPF2,PURA,ARID1B,TBC1D24,GATAD2B,LMBRD1,MBD5,EXOC2,PRKAR1B,PACS1,ZNF407,SMPD4,THUMPD1,ASXL2,SETD5,INTS11,PIGG,QRICH1,ATRX,BCL11A,KDM3B,PDE4D,OPHN1,OCRL,OCA2,ROR2,CNOT2,MAF,KCNMA1,KCNJ2,STT3A,HIVEP2,PYCR2,ANKRD11,SH3PXD2B,PGM2L1,AGO2,AFF4,B4GALT1,ANKRD17,CNTNAP2,SIN3A,NIPBL,MTOR,NAA80,PIGN,SRRM2,KAT6B,ADNP,WASHC4,NCAPD3,PACS2,RHOBTB2,ANKLE2,KDM1A,SPEN,CEP152,PUF60,FGFR2,BPTF,EXT1,EP300,ARID2,PHC1,ATN1,AGL,AARS1,CUX1,CTNNB1,CRKL,CREBBP,POLR3A,CIT,CHD2,TLK2,MAPRE2,SRCAP,CPLX1,RAI1,CTCF,KATNB1,CDK6,ATP9A,HUWE1",3,GMT,333,keep,itself,,1.0,0.0,0,True,1,10.0,THIN UPPER LIP VERMILION,THIN UPPER LIP VERMILION,1
2,HP_THIN_VERMILION_BORDER,HP_THIN_VERMILION_BORDER,1e-10,409,161,"MED13,MED12,AMMECR1,FIG4,TMEM94,HDAC4,ADAMTSL2,CEP135,HS2ST1,CDC42BPB,COG1,TRIP12,ARHGEF2,UBE3B,SYNGAP1,CDK13,PPFIA3,MFSD2A,SLC9A7,TRAPPC9,COG3,TRRAP,ARID1A,SMC1A,KDM5C,USP9X,KMT2D,SHOC2,EDEM3,WDR26,TTI2,KAT6A,ALG9,ALG12,FTO,BRPF1,ZFX,KDM6A,VPS51,TRIO,TRAPPC10,TCF20,TBX1,TAF1,SYT1,SPTBN1,SMARCC2,SMARCB1,SMARCA4,SLC2A1,SHMT2,IFIH1,SEL1L,SARS1,BCR,EEFSEC,DPF2,RECQL,PYCR1,BBS2,PURA,ARID1B,TBC1D24,GATAD2B,LMBRD1,MBD5,EXOC2,PRKAR1B,VAC14,PACS1,SCYL2,PRKACA,ZNF407,SMPD4,THUMPD1,ASXL2,SETD5,PHIP,PPP2R3C,INTS11,PIGG,QRICH1,ATRX,BCL11A,PIGA,KDM3B,DYNC2LI1,PDE4D,OPHN1,OCRL,OCA2,ROR2,NOTCH2,CNOT2,MAF,LMNA,MYMK,KCNMA1,KCNJ2,STT3A,HIVEP2,PYCR2,ANKRD11,SH3PXD2B,PGM2L1,GLUL,AGO2,AFF4,B4GALT1,GATA6,ANKRD17,CNTNAP2,SIN3A,NIPBL,ABL1,MTOR,NAA80,LEMD3,PIGN,SRRM2,KAT6B,ADNP,WASHC4,NCAPD3,PACS2,RHOBTB2,ANKLE2,KDM1A,SPEN,CEP152,PUF60,FGFR2,BPTF,EXT1,EVC,EP300,ARID2,PHC1,ATN1,AGL,AARS1,CUX1,CTNNB1,GATA5,CRKL,CREBBP,COL3A1,POLR3A,CIT,CHD2,TLK2,MAPRE2,SRCAP,CPLX1,RAI1,CTCF,KATNB1,ZMPSTE24,CDK6,ATP9A,HUWE1",9,GMT,430,exclude,HP_THIN_UPPER_LIP_VERMILION,HP_THIN_UPPER_LIP_VERMILION,0.0167,1.0,134,False,3,10.0,THIN VERMILION BORDER,THIN VERMILION BORDER,2
3,HP_ABNORMALITY_OF_UPPER_LIP_VERMILLION,HP_ABNORMALITY_OF_UPPER_LIP_VERMILLION,1e-10,457,171,"MED13,MED12,AMMECR1,FIG4,TMEM94,SETD1A,ADAMTSL2,CEP135,HS2ST1,CDC42BPB,COG1,PLAA,ZNHIT3,TRIP12,ARHGEF2,UBE3B,SYNGAP1,DCHS1,CDK13,PPFIA3,MFSD2A,SLC9A7,TRAPPC9,BAP1,TRRAP,ARID1A,SMC1A,KDM5C,USP9X,KMT2D,EDEM3,WDR26,KAT6A,ALG9,FAT4,ALG12,BRPF1,CACNA2D1,ZFX,KDM6A,VPS51,SLC35A2,TRIO,TRAPPC10,CRIPTO,TCF20,TAF1,SYT1,SPTBN1,SMARCC2,SMARCB1,SMARCA4,SLC2A1,SIX3,SHMT2,IFIH1,SEL1L,SARS1,RYR1,BCR,EEFSEC,DPF2,ZNF462,PURA,EPG5,ARID1B,TBC1D24,GATAD2B,ZMIZ1,LMBRD1,MBD5,EXOC2,PRKAR1B,PACS1,ZNF407,SMPD4,THUMPD1,ASXL2,SETD5,PPP2R1A,INTS11,PIGG,QRICH1,ATRX,BCL11A,KDM3B,SUFU,PIGT,PDE4D,CDON,OPHN1,OCRL,OCA2,ROR2,CNOT2,MAP1B,MAF,KCNMA1,KCNJ2,STT3A,HOXB1,HIVEP2,PYCR2,ANKRD11,SH3PXD2B,DLL1,PGM2L1,GLI2,AGO2,AFF4,CYFIP2,B4GALT1,GBA1,ANKRD17,CNTNAP2,SIN3A,GALNT2,NIPBL,MTOR,NAA80,PIGN,SRRM2,KAT6B,ADNP,WASHC4,NCAPD3,DENND5A,PACS2,RHOBTB2,FBXO28,ANKLE2,CDK19,IQSEC2,KDM1A,SPEN,CEP152,CILK1,PUF60,FGFR2,BPTF,EXT1,EP300,ARID2,PHC1,ATN1,AGL,OTUD7A,AARS1,CAMSAP1,CUX1,CTNNB1,CRKL,CREBBP,DIS3L2,EDARADD,POLR3A,CIT,CHD2,TLK2,MAPRE2,MSL3,EDAR,SRCAP,CPLX1,WDR4,RAI1,CTCF,KATNB1,CDK6,ATP9A,HUWE1",30,GMT,481,exclude,HP_THIN_UPPER_LIP_VERMILION,HP_THIN_UPPER_LIP_VERMILION,0.000775,1.0,134,False,7,10.0,ABNORMALITY OF UPPER LIP VERMILLION,ABNORMALITY OF UPPER LIP VERMILLION,3
4,HP_UPSLANTED_PALPEBRAL_FISSURE,HP_UPSLANTED_PALPEBRAL_FISSURE,9.1126325e-09,330,123,"FIG4,HDAC4,ADAMTSL2,CEP135,HS2ST1,SEC24C,CDC42BPB,COG1,TRIP12,MTSS2,CCDC32,UBE3B,WASF1,HERC1,CDK13,MFSD2A,LRRC8C,KAT8,TRRAP,SMC1A,KDM5C,USP9X,WDR26,PALB2,ZNF148,ZFX,XRCC2,UFD1,TRIO,TRAPPC10,TFAP2A,BUB1B,TBCD,TBX1,BRCA2,SPTBN1,SARS1,RREB1,RAD51,PEX5,PURA,ARID1B,GATAD2B,ZMIZ1,EXOC2,PRKAR1B,HHAT,VAC14,SETD5,RFWD3,PHIP,QRICH1,ATRX,PIGA,PEX14,PEX12,PEX10,PEX7,PEX1,PIGT,PCNT,MRPS2,NSDHL,OCRL,ROR2,CNOT3,CNOT2,NFIX,RERE,NBN,MYCN,MAF,HSD17B4,HIVEP2,PYCR2,ANKRD11,ANK1,FRYL,HECTD4,AGO2,ANKRD17,AUTS2,CNTNAP2,PARS2,ABL1,PIGN,ADNP,NCAPD3,FLNA,ANKLE2,IQSEC2,SPEN,CEP152,PUF60,FGFR2,FANCG,FANCF,BPTF,FANCE,FANCD2,FANCA,EXTL3,EP300,UBR1,MEGF8,PHC1,DVL3,DPYD,DHCR7,ASXL1,CREBBP,COL3A1,U2AF2,POLR3A,CIT,TLK2,MAPRE2,RAI1,CTCF,SLC30A9,MAD2L2,CDK6,HUWE1",53,GMT,345,keep,itself,,1.0,0.0,0,True,21,8.04035614387556,UPSLANTED PALPEBRAL FISSURE,UPSLANTED PALPEBRAL FISSURE,4
5,HP_HIP_DYSPLASIA,HP_HIP_DYSPLASIA,2.15006525e-08,244,99,"MED12,FIG4,HDAC4,ADAMTSL2,TBX4,LONP1,UBE3B,KCNAB2,ZNF469,BAP1,AXIN1,SMC1A,USP9X,KMT2D,WDR26,SH3TC2,CRELD1,LUZP1,ZFX,KDM6A,UMPS,TPM3,THRA,TBCD,TAF1,SIX1,GNPNAT1,PRDM16,RYR1,TRAPPC11,TRPV4,ALDH18A1,PYCR1,SELENON,THOC2,DPYSL5,PRKCZ,UNC45A,MBD5,PRIM1,PPP2R1A,PHIP,PPP2R3C,CASZ1,FGFRL1,PLOD1,KDM3B,TRIM33,PCNT,NSDHL,GEMIN4,OCA2,CNOT3,NFIX,RERE,LRP1,LMNA,LETM1,HSPG2,HIVEP2,ANKRD11,NSMCE2,SH3PXD2B,GLI3,ZBTB20,NIPBL,GABRD,SHPK,ATP6V0A2,KAT6B,BICD2,FLNA,KDM6B,SPEN,CEP152,PUF60,EYA1,EXTL3,EXT1,EP300,LGI3,TET3,DVL3,ATN1,DNA2,ARSK,CREBBP,COMP,COL3A1,COL2A1,COL1A2,COL1A1,POLR3A,PRDM5,SRCAP,CPLX1,CTCF,IPO8,UBE4B",38,GMT,256,keep,itself,,1.0,0.0,0,True,24,7.667548359951862,HIP DYSPLASIA,HIP DYSPLASIA,5
6,HP_LONG_FINGERS,HP_LONG_FINGERS,6.9898672e-09,308,119,"GATA4,EFEMP1,SLC12A6,MED12,AMMECR1,FIG4,TMEM94,PUM1,SEC24C,CDC42BPB,GTPBP1,TBX4,PLAA,ZNHIT3,UBE3B,WASF1,HERC1,ZNF469,TRAPPC9,SMC1A,KDM5C,USP9X,ALG12,CRELD1,BRPF1,ZMYM2,ZFX,UFD1,TRIO,TGFBR2,TCF20,TBX1,SPTAN1,SOX5,WNK1,BCORL1,RYR1,RREB1,BCR,RECQL,KMT2C,PRR12,GATAD2B,ZMIZ1,EXOSC5,DPYSL5,CYP26B1,KMT2E,PRKAR1B,CCDC88A,VAC14,PRIM1,SOX6,SETD5,PHIP,PIGG,KIF1A,ATRX,RETREG1,PLOD1,PIGA,PEPD,SUFU,NSDHL,CNOT3,NFIX,MYH11,MTM1,MAP1B,MAF,LETM1,MYMK,HIVEP2,PYCR2,HECTD4,BIN1,SH2B1,SIN3A,KDSR,NR5A1,ABL1,NAA80,PIGN,SPIDR,ADNP,FLNA,CIC,KDM1A,CNOT1,SPEN,DHX30,PUF60,FGFR2,FBN2,FARSA,ELN,EIF2S3,ECE1,POLR3H,ASXL1,DDX6,AEBP1,VPS13B,CRKL,AMER1,COL3A1,COL2A1,COL1A2,CNTN1,POLR3A,PRDM5,MAPRE2,CPLX1,CTCF,MTHFS,IPO8,KATNB1,SPEG,HUWE1",43,GMT,320,keep,itself,,1.0,0.0,0,True,18,8.155531075306547,LONG FINGERS,LONG FINGERS,6
7,HP_MYOPIA,HP_MYOPIA,2.71896464e-08,434,154,"EFEMP1,ADAMTS18,CRYAA,CNGA3,SLC12A6,AMMECR1,TMEM94,TMEM63A,ADAMTSL2,GTF2IRD1,BAZ1B,UBE3B,HERC1,ELP1,ZNF469,LRRC8C,SLITRK6,CHD6,ZNF644,BAP1,ARID1A,SMC1A,KDM5C,RBM10,USP9X,CAMK2G,SHOC2,WDR26,KAT6A,CSPP1,CRELD1,ZFX,CLIP2,VARS1,USH2A,TGFBR2,TGFBI,TFAP2A,TEAD1,TCF20,TAF1,SOX5,SMARCC2,SMARCB1,SMARCA4,NMNAT1,GZF1,NSD1,IFIH1,TRAPPC11,GRK1,DPF2,ALDH18A1,BBS2,PURA,PTPN11,ARID1B,PRR12,TBC1D24,PTEN,EXOSC5,PSAP,MBD5,PACS1,POMGNT1,VPS50,SETD5,FKBP14,INTS11,ATRX,PLOD1,PIGA,PIGT,PCYT1A,PAK2,OCA2,GPR143,NOTCH2,NFIX,RERE,MYO7A,MYO5A,MAF,LRP5,LAMB2,BLOC1S3,KRAS,ARCN1,IGF1,HSPG2,HTT,HADHA,TNPO2,GMPPB,CPSF1,GTF2I,ANKRD11,SLC39A5,AFF4,B4GALT1,TKFC,NIPBL,ATP6V0A2,NEDD4L,FBXW11,PACS2,FLNA,KDM6B,IQSEC2,ATF6,PUF60,FGFR2,ALDH3A2,FKTN,FBN2,BPTF,AKT1,ERBB3,ELN,EPHA2,EIF2S3,ARID2,DPYD,ASXL1,ADAMTS17,TIMM8A,LCA5,AEBP1,AP1B1,DAG1,AARS1,VPS13B,CYP1B1,CTNNB1,VCAN,CRYBA2,CREBBP,TMEM270,COL2A1,COL1A2,CANT1,PDZD8,CHM,POLR3A,PRDM5,TLK2,PNPLA6,SRCAP,RAI1,YME1L1,IPO8,KAT5,HUWE1,KLLN",147,GMT,459,keep,itself,,1.0,0.0,0,True,27,7.565596440353925,MYOPIA,MYOPIA,7
8,HP_ABNORMALITY_OF_MOUTH_SIZE,HP_ABNORMALITY_OF_MOUTH_SIZE,1e-10,422,160,"MED13,MED12,AMMECR1,CDC6,PTDSS1,KMT2B,SETD1A,HDAC9,ADAMTSL2,HS2ST1,SKIC3,SEC24C,CDC42BPB,GTF2IRD1,TBX4,CHST3,COG1,NRXN1,TRIP12,BAZ1B,UBE3B,SYNGAP1,DCHS1,CDK13,PPFIA3,KCNAB2,WDR73,CUL4B,CHD6,POLR1B,TRRAP,ARID1A,KLHL15,WDR26,KAT6A,ALG9,FAT4,CRELD1,BRPF1,LUZP1,ZNF148,CA2,ZFX,CLIP2,UFD1,TRIO,TCOF1,TBX1,SMARCC2,SMARCB1,SMARCA4,SLC12A2,SLC2A1,NMNAT1,PRDM16,RYR1,RREB1,BCR,DPF2,RAF1,ALDH18A1,ARID1B,GATAD2B,PTEN,ZMIZ1,EXOSC5,DPYSL5,PRKCZ,MBD5,PACS1,SCYL2,CHD7,THUMPD1,SOX6,INTS11,CASZ1,QRICH1,DYM,ATRX,PRRX1,PLCB4,PIGA,KDM3B,TRIM33,RLIM,OCA2,ROR2,NOTCH2,NFIX,RERE,MIPEP,MCM5,MAF,LMNA,KCNMA1,KARS1,ITGA3,FREM2,RSPO2,HSPG2,HIVEP2,GTF2I,ANKRD11,SH3PXD2B,HECTD4,BIN1,GBA1,ZBTB20,AUTS2,CNTNAP2,SH2B1,SIN3A,GABRD,RALGAPA1,MTOR,NAA80,PIGN,ATP6V0A2,ADNP,NEDD4L,PACS2,FLNA,KDM6B,CDK19,SPEN,FGFR2,BPTF,EXTL3,EP300,LGI3,ELN,ARID2,DPYD,DHCR24,DHCR7,ASXL1,CCBE1,CRKL,CREBBP,TMEM270,COL3A1,COL2A1,CANT1,SP7,POLR3A,CHD2,TLK2,MAPRE2,SRCAP,WDR4,RAI1,CTCF,KAT5,KATNB1,SPEG,UBE4B,ZMPSTE24,SF3B4,HUWE1,AKT3",27,GMT,434,keep,itself,,1.0,0.0,0,True,6,10.0,ABNORMALITY OF MOUTH SIZE,ABNORMALITY OF MOUTH SIZE,8
9,HP_NARROW_MOUTH,HP_NARROW_MOUTH,7.8593333e-09,232,91,"MED12,AMMECR1,CDC6,HDAC9,SKIC3,SEC24C,TBX4,CHST3,COG1,UBE3B,SYNGAP1,DCHS1,CDK13,KCNAB2,CHD6,POLR1B,KAT6A,FAT4,CRELD1,BRPF1,LUZP1,CA2,UFD1,TCOF1,TBX1,PRDM16,RYR1,RREB1,BCR,ALDH18A1,PTEN,ZMIZ1,PRKCZ,SCYL2,CHD7,SOX6,CASZ1,PRRX1,PLCB4,PIGA,TRIM33,RLIM,NOTCH2,NFIX,RERE,MCM5,MAF,LMNA,KARS1,ITGA3,FREM2,RSPO2,HSPG2,HIVEP2,HECTD4,BIN1,GBA1,ZBTB20,AUTS2,SH2B1,SIN3A,GABRD,NAA80,PIGN,ATP6V0A2,NEDD4L,FLNA,SPEN,FGFR2,BPTF,EXTL3,EP300,LGI3,DHCR24,ASXL1,CCBE1,CRKL,CREBBP,COL3A1,COL2A1,CANT1,SP7,POLR3A,TLK2,MAPRE2,CTCF,SPEG,UBE4B,ZMPSTE24,HUWE1,AKT3",22,GMT,239,keep,itself,,1.0,0.0,0,True,19,8.104614293198711,NARROW MOUTH,NARROW MOUTH,9
10,HP_LONG_PHILTRUM,HP_LONG_PHILTRUM,1.750071458e-07,422,144,"MED12,CDC6,TMEM94,ADAMTSL2,SKIC3,SEC24C,GTF2IRD1,CHST3,COG1,PLAA,TRIP12,ARHGEF2,BAZ1B,SYNGAP1,CBL,KCNAB2,CEP19,HPDL,SLC9A7,HES7,COG3,BAP1,ARID1A,SMC1A,USP9X,CAMK2G,TRIM8,ALG13,ALG9,BRPF1,LUZP1,ZFX,CLIP2,UFD1,TRIO,TPM3,BUB1B,TBX1,TAF1,SMARCB1,SMARCA4,SLC2A1,SHMT2,NSD1,PRDM16,RREB1,RAC3,PYCR1,BBS2,EPG5,ARID1B,SCAF4,TBC1D24,PTEN,ZMIZ1,PRKCZ,CSGALNACT1,EXOC2,SETD5,DYNC2I1,PHIP,PPP2R3C,CASZ1,BCOR,PIGT,PDE4D,SCAPER,OCRL,DDR2,ROR2,NOTCH2,RERE,MYCN,ALG11,MAF,LTBP1,LFNG,MYMK,SLC6A17,KRAS,KIT,KARS1,HSPG2,HSD17B4,TNPO2,PYCR2,GTF2I,ANKRD11,MRPS28,FRYL,HECTD4,PGM2L1,PCLO,AFF4,B4GALT1,KIF26A,SIN3A,NIPBL,GABRD,MTOR,PIGN,ATP6V0A2,KAT6B,SUZ12,ADNP,EXOC7,RHOBTB2,FLNA,KDM6B,CNOT1,SPEN,NLRP1,PUF60,FGFR2,FGF3,EXTL3,EXT1,ELN,TET3,UBR1,EIF2S3,MEGF8,DVL3,ATN1,DHCR7,BBS12,AP1G1,AARS1,ARSK,CTNNB1,CREBBP,TMEM270,COL2A1,CANT1,POLR3A,CHD2,MAPRE2,SRCAP,CPLX1,RAI1,DLL3,CTCF,UBE4B,HUWE1",194,GMT,438,keep,itself,,1.0,0.0,0,True,35,6.756944218067134,LONG PHILTRUM,LONG PHILTRUM,10
